SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
111,4497,4141,8639,11615,10642,22258,2638,2583,5219,1699,1638,3339,15978,14885,30861,7941,7647,15580,1979,2091,4063,1835,1804,3640,11754,11557,23312,591,656,1246,482,735,1216,1891,1094,2988,1759,2591,4353,14,16,30,4738,5091,9833,4256,5621,9877,1703,2175,3878,650,916,1566,1942,3359,5308,14,9,24,8568,12078,20650,13331,17189,30518,339,348,690,646,1044,1693,9,12,26,1003,1404,2406,8539,8580,17122,55098,57760,112854
112,2386,2183,4573,6052,5592,11644,2312,2263,4576,1362,1371,2734,9752,9238,18989,4168,3895,8068,2153,2216,4369,1323,1286,2613,7663,7411,15074,298,387,689,317,655,978,930,633,1560,1041,1813,2855,20,19,38,2610,3511,6121,701,1223,1918,507,982,1494,244,423,668,791,1871,2664,14,23,36,2255,4517,6779,4876,8043,12913,170,225,398,412,764,1179,18,17,25,599,1003,1603,9847,10086,19928,35118,37964,73082
113,1867,1790,3656,4725,4330,9054,1863,1911,3767,503,467,968,7092,6710,13810,3002,3032,6036,1688,1776,3461,588,610,1195,5286,5422,10702,260,216,476,164,296,467,877,551,1422,660,1194,1857,11,7,14,1972,2266,4235,604,1307,1907,235,471,709,139,291,428,474,1071,1550,7,6,13,1457,3141,4597,3433,5414,8843,199,158,360,214,394,616,9,6,11,428,561,991,6852,5676,12525,24955,25565,50524
114,1648,1490,3139,4404,4082,8487,679,674,1348,797,844,1639,5894,5606,11497,2761,2587,5351,892,939,1835,874,1115,1994,4537,4653,9188,162,221,386,123,237,356,742,403,1144,579,1145,1728,8,12,23,1620,2023,3643,441,732,1174,231,456,693,94,171,267,399,852,1248,7,3,5,1177,2217,3390,2798,4242,7038,138,128,262,162,381,548,9,11,13,310,516,824,5541,4839,10385,20727,21346,42073
115,3161,2959,6124,9852,8979,18828,2026,1975,3998,1831,1713,3548,13725,12681,26409,5697,5186,10885,2689,2749,5443,2785,2621,5412,11184,10575,21754,343,466,808,273,491,764,1321,527,1850,899,1683,2579,14,3,17,2852,3172,6022,3955,4505,8465,754,943,1705,614,631,1243,1086,1628,2718,14,12,29,6428,7723,14152,9293,10909,20200,305,289,588,482,681,1163,0,15,20,792,975,1766,3756,3805,7557,41914,41906,83814
116,4864,4444,9306,14323,13379,27697,4078,4149,8224,2079,2105,4181,20516,19660,40172,8628,8328,16956,3973,3771,7743,1903,1793,3701,14526,13919,28446,836,780,1619,857,1383,2241,1276,785,2062,1659,2797,4450,25,17,39,4651,5760,10408,4673,5616,10291,1458,2038,3500,672,786,1464,1373,2057,3433,19,28,48,8205,10526,18733,12883,16342,29225,1145,903,2050,1056,1340,2396,27,25,54,2228,2267,4501,12338,10923,23256,67359,67551,134907
117,2173,1970,4146,4551,4331,8885,1248,1234,2476,689,664,1360,6499,6237,12733,2559,2365,4929,1258,1377,2632,1022,903,1925,4861,4648,9508,599,773,1368,1683,2201,3885,713,557,1273,2499,3069,5570,15,20,39,5502,6626,12130,6930,8237,15175,4030,4169,8196,685,824,1515,3088,3716,6803,37,21,60,14777,16971,31747,20300,23629,43927,1492,1893,3388,2034,2503,4541,28,15,41,3562,4408,7970,11455,9568,21020,48848,50468,99314
118,2624,2408,5028,4580,4413,8992,1666,1741,3405,2668,2470,5144,8934,8643,17572,1712,1644,3356,1920,2123,4041,3731,3468,7192,7376,7243,14621,265,312,576,446,766,1215,538,337,880,1419,2049,3467,10,15,21,2683,3479,6160,4479,4979,9461,1672,1957,3626,441,539,982,1535,2377,3910,26,21,45,8151,9877,18029,10858,13371,24224,354,382,738,860,1260,2122,18,14,30,1237,1656,2889,7883,7348,15228,38906,40662,79570
119,6125,5436,11563,15161,13648,28815,5390,5263,10656,3444,3530,6974,24046,22488,46529,11070,10184,21254,5088,5242,10333,3113,3251,6361,19320,18706,38023,1592,1215,2804,2092,2484,4579,2068,928,2990,2798,4044,6837,52,47,97,8596,8709,17304,9429,10382,19811,3745,3595,7336,1198,1296,2497,2124,2949,5074,46,37,88,16537,18269,34804,25208,27034,52247,2117,1703,3818,1951,2478,4426,51,43,95,4112,4231,8345,18928,18579,37506,97740,96472,194216
120,2852,2611,5466,6601,6352,12953,2393,2420,4819,1104,1218,2323,10119,10003,20120,3430,3509,6937,2547,2586,5135,2167,2081,4249,8158,8187,16342,785,645,1427,982,1258,2242,809,445,1253,1447,2100,3547,15,8,31,4034,4461,8493,5385,5776,11156,2270,2522,4790,804,729,1530,1884,2750,4632,33,32,63,10375,11798,22170,14437,16281,30715,1066,939,2007,1182,1533,2719,17,16,35,2273,2488,4761,6910,6802,13711,44746,46379,91121
121,4845,4360,9202,13184,12318,25499,2317,2298,4616,3288,3236,6528,18811,17878,36688,6551,6100,12658,3115,3003,6121,6077,5885,11959,15767,15003,30774,453,466,920,602,1004,1606,866,471,1345,1591,3074,4670,8,4,14,3527,5021,8549,7120,7361,14478,1695,2293,3986,869,911,1783,2555,3748,6295,23,31,52,12261,14341,26602,15805,19380,35178,484,579,1064,1061,1602,2662,11,16,26,1557,2200,3757,6083,6802,12887,62871,65616,128492
122,3225,3010,6237,8590,8173,16760,1674,1477,3148,1461,1285,2750,11741,10935,22675,5101,4801,9896,2557,2402,4964,2555,2590,5149,10223,9804,20031,350,337,686,290,437,733,1252,563,1817,1138,1673,2813,12,8,19,3054,3024,6078,3179,3638,6819,589,889,1479,484,594,1078,1046,1893,2940,8,20,23,5304,7042,12348,8370,10073,18444,222,259,483,574,823,1399,6,0,8,796,1087,1884,4325,4695,9018,38681,39611,78289
123,3856,3483,7344,10547,9944,20491,2230,2331,4562,1936,1914,3848,14747,14212,28953,6600,6229,12830,2648,2705,5356,1616,1679,3293,10885,10633,21514,417,533,943,405,748,1148,1540,749,2283,1085,1892,2976,20,14,29,3457,3925,7384,2344,3320,5666,732,1191,1925,372,553,928,871,1593,2462,10,11,28,4339,6667,11000,7817,10621,18436,372,455,832,502,809,1315,6,3,15,884,1272,2158,7457,7828,15287,45646,48048,93699
124,4089,3657,7747,10737,10141,20879,2499,2563,5060,1678,1544,3226,14937,14272,29201,6333,6320,12651,3130,3075,6202,1770,1614,3384,11246,11026,22269,503,683,1187,410,813,1223,1814,940,2761,1268,2371,3638,17,16,28,4008,4830,8841,2155,3113,5272,774,1324,2097,443,626,1074,1173,2406,3582,8,16,27,4556,7491,12050,8586,12336,20920,381,388,768,561,904,1463,14,13,25,955,1302,2257,8917,8896,17811,48727,51485,100213
125,5039,4542,9589,14544,13731,28268,4155,4088,8241,1943,2041,3982,20695,19896,40590,9050,8497,17543,3883,3813,7694,1928,1950,3879,14889,14274,29169,1435,1129,2563,1789,2324,4114,1358,786,2146,2260,3601,5864,27,28,48,6869,7863,14730,7693,8264,15958,3500,3512,7012,1027,1068,2093,1919,2568,4489,56,45,96,14193,15460,29652,21130,23386,44512,2252,1750,3999,1862,2045,3909,48,35,86,4166,3839,8004,18451,15353,33811,84373,81295,165672
126,2114,1927,4041,6156,5793,11950,1361,1342,2704,748,660,1409,8274,7813,16086,3489,3425,6916,1696,1511,3205,1233,1134,2365,6426,6082,12510,254,288,546,463,714,1181,432,200,634,982,1668,2649,3,6,17,2146,2876,5023,3985,4223,8208,1475,1686,3160,509,453,958,1119,1578,2699,27,22,41,7116,7952,15066,9268,10846,20111,335,381,722,607,804,1405,6,5,14,944,1194,2137,3705,3949,7644,30725,31804,62528
127,4821,4265,9092,14334,13207,27540,4950,4866,9820,2586,2598,5183,21933,20732,42665,11702,10891,22590,4287,4454,8742,2286,2388,4677,18326,17779,36106,1024,1086,2116,1061,1832,2896,1730,696,2422,1723,2766,4494,31,39,68,5570,6419,11988,5802,7780,13584,1377,1819,3194,841,992,1830,1200,1920,3114,30,42,75,9249,12542,21792,14874,19037,33911,930,1111,2044,1178,1842,3021,45,47,91,2157,3001,5152,14410,14042,28453,76521,78856,155375
128,2882,2649,5533,7249,6543,13792,2234,2139,4371,553,532,1089,10047,9225,19267,5162,4944,10098,2117,2136,4254,872,952,1823,8164,8033,16192,272,398,674,239,348,586,1612,564,2176,904,1397,2295,10,11,21,3036,2718,5752,2189,3077,5266,458,646,1109,381,487,870,936,1571,2511,8,9,11,3974,5796,9770,7011,8523,15537,148,162,312,379,594,974,8,5,11,536,760,1299,3707,4043,7754,32347,33231,65578
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,37,31,72,109,126,237,14,12,30,20,17,36,146,161,310,73,93,167,15,15,34,19,8,29,107,124,229,13,16,31,11,34,46,16,20,31,38,54,96,0,0,0,84,123,205,37,60,96,25,50,74,10,7,17,23,44,67,0,0,3,97,158,254,176,286,459,14,19,31,14,24,37,0,0,0,28,43,68,2245,1516,3758,2746,2157,4898
201,1844,1747,3590,4606,4174,8781,1842,1812,3653,717,755,1470,7175,6750,13924,2795,2811,5604,1699,1611,3310,1149,1279,2432,5653,5699,11355,236,236,470,189,315,502,589,321,909,610,922,1535,6,10,13,1632,1801,3435,974,1592,2559,436,802,1236,155,237,391,596,1323,1919,10,11,18,2166,3960,6129,3802,5768,9572,191,179,370,313,562,872,13,9,18,512,748,1261,5482,5143,10626,24469,25856,50329
202,1761,1619,3380,4588,4303,8891,1834,1721,3557,540,534,1081,6969,6566,13535,3169,3026,6201,1299,1328,2632,826,867,1693,5296,5233,10529,279,352,628,231,426,656,579,329,904,581,849,1430,8,9,20,1673,1965,3640,758,1361,2120,299,594,888,111,189,303,456,1192,1649,4,13,16,1628,3347,4976,3305,5321,8629,204,192,396,284,479,760,15,9,18,496,680,1172,5710,5411,11122,23542,24829,48368
203,3927,3486,7408,9191,8579,17771,2952,3025,5975,1459,1338,2791,13621,12947,26566,5111,4604,9712,2712,3190,5901,2571,2273,4842,10397,10073,20474,533,621,1156,482,749,1236,1281,653,1932,1307,1713,3015,17,8,32,3622,3744,7372,2857,3957,6809,1217,1584,2799,413,608,1023,1204,2493,3701,15,16,34,5701,8664,14368,9342,12424,21762,441,432,876,665,1048,1714,17,7,24,1123,1494,2617,9131,8113,17242,47540,48533,96069
204,1774,1723,3498,4609,4307,8920,1973,1937,3909,623,631,1252,7212,6889,14098,3150,3101,6251,1731,1764,3502,875,952,1824,5757,5823,11581,377,365,737,228,433,665,761,490,1252,614,1203,1817,17,8,27,1997,2501,4498,379,746,1123,204,480,687,83,189,273,495,1116,1609,4,8,13,1162,2543,3706,3167,5050,8217,242,188,427,305,503,810,13,15,29,557,704,1261,6528,6270,12798,24997,26453,51449
205,2940,2667,5606,8193,7586,15780,2316,2295,4612,1056,954,2008,11580,10842,22417,5472,5225,10695,1949,2119,4066,1226,1321,2545,8644,8667,17309,327,431,760,210,565,770,1041,700,1738,861,1735,2597,28,17,44,2465,3448,5911,706,1365,2068,351,834,1186,133,322,461,609,1710,2317,15,19,28,1812,4254,6062,4283,7703,11984,364,288,649,456,799,1258,27,23,51,840,1112,1953,11524,10876,22401,39810,41865,81675
206,4535,4318,8851,9808,9378,19186,2637,2486,5120,1754,1922,3672,14217,13808,28022,6260,5815,12069,1998,2142,4138,3099,3482,6573,11360,11445,22807,1488,1516,3009,2405,3113,5518,1021,725,1747,3404,4297,7702,15,18,38,8342,9672,18013,13689,17361,31057,7420,8833,16249,1500,1921,3428,5547,8515,14066,56,59,113,28209,36690,64905,36593,46397,82987,1389,1727,3111,2200,3038,5239,29,33,63,3620,4801,8415,16984,16813,33800,87310,97575,184887
207,3692,3375,7068,10117,9335,19449,2362,2191,4555,1841,2231,4078,14342,13772,28117,6535,5896,12427,2884,2566,5446,4772,5235,10007,14199,13708,27904,722,507,1228,813,1012,1820,768,318,1089,1305,1859,3161,17,12,20,3618,3708,7323,8676,9073,17746,2493,2660,5156,993,976,1970,1995,2805,4805,22,33,60,14179,15548,29731,17818,19272,37095,659,568,1234,1019,1531,2548,17,11,30,1701,2110,3808,6022,6337,12363,57773,58582,116357
208,4897,4614,9515,10942,10367,21314,3244,3114,6363,3198,3094,6293,17408,16599,34009,6222,5762,11977,3311,3360,6667,6024,5892,11918,15568,15041,30612,770,599,1372,575,896,1471,987,429,1415,1365,1975,3337,12,8,22,3717,3906,7618,6892,7802,14697,1865,2277,4140,849,926,1777,1997,3268,5271,13,24,42,11617,14305,25922,15352,18225,33580,535,474,1006,968,1493,2464,19,18,31,1520,1982,3501,6963,7621,14582,61708,64085,125793
209,6958,6198,13154,16781,15578,32360,5326,5257,10584,1630,1653,3279,23781,22532,46311,11144,10312,21453,4629,4707,9340,2217,2346,4557,18012,17379,35399,1325,1081,2410,1194,1665,2860,1961,790,2748,2145,2809,4951,35,21,53,6657,6367,13028,6063,7900,13964,2571,3272,5843,717,954,1665,2158,3826,5979,37,31,66,11530,15987,27513,18225,22384,40601,1139,1074,2207,1529,2095,3625,35,16,55,2700,3184,5885,11380,11082,22467,81062,82749,163811
210,5338,4866,10208,11890,10979,22863,5004,4834,9843,2601,2729,5330,19535,18572,38103,8015,7406,15417,3712,3755,7471,2834,2953,5789,14586,14148,28726,1412,1009,2417,1155,1487,2643,1475,592,2067,1664,2381,4044,36,22,56,5739,5488,11235,4320,5745,10057,1569,2021,3589,560,670,1232,1296,2374,3667,19,35,57,7763,10841,18600,13532,16370,29900,1290,1276,2563,1285,1971,3262,30,34,56,2600,3282,5881,11227,10645,21877,66815,67873,134689
211,6218,5618,11836,16579,15262,31845,3066,3030,6089,2205,2199,4414,21874,20514,42390,10692,10053,20748,3752,3567,7321,3746,3536,7284,18204,17172,35383,943,1032,1972,670,1090,1758,2307,963,3275,2002,2960,4961,29,18,46,5947,6067,12015,5205,6362,11570,1418,2061,3477,792,987,1777,1913,3441,5355,19,26,47,9348,12877,22226,15325,18973,34293,663,663,1329,1239,1978,3218,26,18,44,1928,2654,4587,8611,8920,17532,72161,73854,146015
212,10215,9237,19455,27931,25860,53791,6297,6123,12420,4436,4614,9049,38723,36665,75393,18895,17585,36482,5758,6071,11834,5294,5321,10613,30011,29017,59031,2490,2385,4877,2365,3123,5480,2836,1359,4195,3600,5309,8911,48,29,80,11344,12205,23541,12296,13887,26180,4365,5112,9470,1219,1503,2727,2801,4505,7304,74,49,118,20745,25056,45801,32144,37319,69463,2490,2300,4790,2811,3993,6803,58,63,126,5358,6362,11718,21229,20085,41309,137680,138693,276370
213,10940,10144,21083,28017,25863,53882,8784,8821,17606,4521,4687,9207,41402,39428,80836,17602,16053,33651,6333,7181,13508,4059,4161,8218,28041,27427,55471,2469,1828,4295,2550,3097,5641,2404,1079,3480,3307,5063,8372,40,38,82,10767,11103,21874,8994,11187,20185,3849,5054,8901,1151,1343,2494,2885,4877,7754,50,55,110,16931,22517,39446,27759,33677,61433,2957,2661,5615,2898,4240,7140,70,68,136,5922,6963,12887,27142,23083,50223,141205,140731,281936
214,3491,3141,6633,9644,9009,18652,1597,1499,3095,1046,1078,2119,12298,11589,23888,6288,5814,12100,1755,1762,3518,1835,1975,3803,9884,9561,19448,540,638,1177,344,732,1071,1319,522,1843,1052,1666,2720,14,13,24,3269,3569,6838,1712,2606,4318,429,965,1392,253,429,685,852,1847,2700,8,19,32,3259,5870,9127,6542,9446,15992,369,326,699,548,970,1522,5,20,26,927,1318,2244,8324,8637,16957,41469,43689,85155
215,1543,1463,2999,4246,3848,8092,1298,1346,2647,471,478,948,6016,5680,11697,3464,3268,6734,750,889,1634,337,350,687,4551,4515,9065,178,242,423,128,258,382,516,298,810,414,867,1283,11,15,17,1243,1681,2920,283,545,826,130,329,457,64,141,206,236,716,950,3,6,14,715,1734,2449,1969,3413,5377,193,164,356,278,485,764,20,15,33,486,665,1151,7100,5970,13077,21658,21711,43372
216,1432,1235,2668,3638,3276,6910,1655,1776,3431,320,304,621,5621,5360,10976,2195,2127,4324,1722,1669,3390,555,566,1117,4469,4371,8846,162,233,395,124,318,435,612,397,1009,448,822,1270,21,13,32,1365,1780,3145,310,600,912,127,317,439,56,151,206,252,660,913,3,9,10,752,1732,2481,2119,3522,5639,149,138,285,235,419,657,11,11,22,397,565,964,5482,5083,10569,19521,20136,39653
217,1262,1218,2474,3010,2761,5774,1706,1647,3350,280,257,541,5000,4677,9675,2299,2163,4468,1364,1506,2868,417,370,786,4080,4040,8116,146,214,357,119,259,382,558,337,890,449,705,1151,11,8,21,1287,1517,2806,230,507,738,140,299,440,54,112,162,275,657,928,0,9,12,693,1581,2277,1982,3101,5087,115,109,219,158,287,439,5,9,21,272,401,673,4283,4107,8397,16885,17546,34423
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,29,25,3,29
299,45,31,78,137,129,266,10,10,20,9,11,18,155,154,303,63,78,137,6,4,17,3,14,14,73,97,172,12,26,36,6,29,37,13,4,20,24,27,52,4,0,3,54,92,146,39,50,90,23,41,69,5,20,21,22,42,64,0,0,0,91,152,244,148,246,391,13,11,25,17,25,39,0,0,0,27,40,71,2220,1366,3584,2670,1932,4600
