SA4_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
111,2021,180,73,3,0,2271,797,70,21,0,0,891,647,68,44,3,0,757,1181,109,46,5,0,1342,1640,111,82,0,6,1835,5162,420,258,10,3,5849,7234,660,312,0,0,8211,11792,677,393,5,4,12862,6304,279,127,3,4,6718,4313,203,108,7,0,4626,2683,141,110,3,3,2944,2452,168,91,4,5,2718,46221,3079,1654,40,26,51020
112,1328,146,65,5,3,1547,541,86,33,5,0,653,505,71,26,9,0,612,912,141,55,10,3,1111,1268,158,83,6,7,1522,3532,453,215,16,5,4219,3853,557,185,3,4,4609,5191,545,163,17,8,5927,2659,212,60,4,0,2933,2187,142,53,3,0,2389,1510,68,43,5,0,1624,1530,193,59,8,5,1794,25011,2779,1031,84,35,28943
113,856,19,12,4,6,905,461,7,7,3,0,473,460,9,10,0,0,472,994,17,27,10,0,1047,1510,24,38,8,0,1588,4114,56,55,14,7,4241,3429,35,29,0,5,3501,2880,15,17,5,4,2909,872,3,4,0,0,881,722,4,0,3,3,737,523,6,4,4,8,536,1038,8,8,3,4,1060,17863,201,199,53,33,18348
114,984,36,19,7,0,1040,387,8,0,0,0,399,291,25,0,5,0,327,544,19,7,10,0,577,819,28,16,0,0,861,2248,89,23,3,3,2367,2607,84,15,8,7,2712,3790,68,31,0,0,3886,1939,23,9,4,7,1985,1576,20,10,0,0,1613,1223,9,7,0,5,1239,1042,31,3,5,0,1085,17448,435,134,47,22,18091
115,1620,99,46,0,0,1769,353,25,13,0,0,394,266,31,10,0,0,312,453,39,22,0,0,523,609,40,22,3,0,670,1729,139,91,0,0,1964,2075,186,134,0,7,2399,4166,411,434,3,3,5021,3942,412,281,5,13,4651,7062,612,206,3,15,7896,8851,348,105,0,11,9317,2393,137,71,0,3,2604,33532,2478,1438,19,54,37513
116,1728,164,52,0,0,1945,408,37,27,0,0,467,396,42,16,0,0,455,694,79,28,0,0,802,939,111,48,0,0,1103,3128,405,233,0,0,3775,4114,723,463,8,3,5304,8776,1673,821,8,12,11287,8611,1033,218,3,42,9906,8905,641,92,6,16,9663,4046,285,61,0,7,4393,3032,363,109,5,6,3511,44781,5564,2162,29,91,52622
117,283,432,842,10,0,1564,67,88,145,3,0,306,43,70,127,4,0,240,72,97,258,0,0,427,96,159,352,3,0,612,276,393,1253,3,0,1930,297,450,1558,9,4,2323,525,859,3538,16,8,4946,473,814,3130,3,0,4420,903,1636,3493,13,14,6056,1670,2989,2753,22,13,7450,337,398,1009,11,3,1760,5045,8382,18465,104,41,32032
118,630,363,555,17,0,1565,53,74,90,3,0,218,47,54,96,3,0,200,75,72,139,0,0,284,120,94,216,5,0,430,295,255,582,4,0,1135,267,277,697,15,0,1254,522,490,1378,15,3,2407,378,435,1302,12,0,2124,854,920,1908,15,5,3694,4024,3139,2182,38,9,9391,759,457,638,8,0,1865,8004,6633,9779,131,18,24566
119,1995,505,680,5,0,3187,469,137,198,5,0,801,446,116,167,0,0,729,609,175,357,4,0,1149,830,273,496,4,3,1604,2370,748,1536,23,0,4676,2457,916,2457,18,4,5853,4954,1808,4494,40,13,11310,3937,1496,2389,19,5,7841,6578,1886,1407,10,12,9899,7057,1127,690,7,7,8893,2981,698,911,16,0,4605,34679,9887,15775,144,54,60541
120,838,335,508,14,5,1686,158,66,104,0,0,332,130,52,109,0,0,288,186,72,206,0,0,466,246,122,249,3,0,622,667,300,902,7,3,1874,682,322,1207,18,0,2227,1266,711,3080,30,7,5097,997,594,2193,29,0,3817,2041,1240,2065,14,0,5361,5437,2288,1335,29,6,9100,1016,373,697,7,0,2096,13668,6475,12649,150,24,32961
121,1913,239,727,5,0,2888,308,33,135,0,0,472,245,33,131,0,0,406,354,33,208,0,0,595,433,46,290,0,0,771,1423,166,1010,5,0,2600,1372,181,1253,0,5,2808,2871,399,3219,18,4,6508,2280,345,2653,7,4,5281,4509,615,2781,13,8,7923,12897,1396,2413,17,3,16726,1976,200,868,7,4,3051,30562,3684,15683,71,24,50025
122,1162,111,287,5,4,1572,240,29,82,0,0,348,201,25,78,0,0,305,271,42,122,0,0,442,388,39,172,0,0,598,1052,94,494,8,0,1651,1027,117,633,9,3,1783,2083,227,1378,12,5,3700,1867,213,1217,8,0,3296,3992,374,1398,16,4,5774,9575,679,1090,12,11,11364,1581,145,410,0,6,2140,23438,2091,7357,56,26,32976
123,1326,100,31,0,0,1457,438,33,8,0,0,486,377,53,11,0,0,444,692,83,28,0,0,801,973,96,22,0,0,1091,3226,392,126,0,5,3749,4358,605,170,0,0,5138,9221,734,187,0,11,10154,7323,269,58,0,8,7656,5509,123,41,0,0,5674,2884,59,27,0,0,2978,2406,150,65,0,3,2630,38734,2708,776,6,30,42256
124,1614,119,47,0,3,1779,540,40,16,0,0,599,453,42,18,0,0,509,874,69,34,0,0,984,1152,100,61,0,0,1315,3603,389,243,0,6,4241,5050,669,411,4,9,6143,9691,1063,272,5,5,11033,7284,376,92,0,5,7755,5668,191,47,0,0,5900,2794,78,28,0,5,2908,2345,176,58,0,3,2578,41074,3310,1326,13,26,45743
125,1551,325,487,4,7,2371,343,84,110,0,0,538,302,78,133,0,0,514,448,121,213,0,0,783,680,167,336,4,0,1185,1894,576,1197,7,0,3671,2243,749,2202,10,6,5205,4213,1772,4362,21,14,10384,3478,1437,2211,11,9,7146,4876,1255,1127,12,9,7272,4180,668,582,3,7,5435,2147,557,833,6,3,3538,26352,7775,13782,73,63,48042
126,951,164,269,3,0,1385,138,40,57,0,0,232,131,19,42,0,0,185,190,33,97,0,0,323,241,49,142,0,0,434,648,167,425,0,4,1244,631,187,651,0,0,1476,1363,422,1727,4,0,3520,1087,377,1277,0,3,2745,1996,553,1014,3,3,3567,4806,628,483,0,5,5928,1043,162,365,0,3,1579,13225,2809,6554,17,16,22619
127,1997,189,155,0,3,2344,522,59,59,0,0,646,465,61,53,0,0,574,734,97,109,6,0,944,1081,125,149,0,0,1349,3242,441,580,0,0,4265,3986,637,680,0,6,5308,8534,1244,651,0,26,10454,7632,699,187,0,26,8550,7484,381,135,0,16,8020,3554,156,93,0,6,3816,3116,285,208,0,3,3616,42346,4383,3041,10,103,49881
128,956,157,180,0,0,1297,260,39,55,0,0,352,212,37,61,0,0,314,317,70,93,3,0,481,444,81,145,0,0,674,1287,226,409,0,0,1927,1448,298,682,3,0,2432,3014,645,1502,3,3,5173,2851,620,1005,4,4,4476,5060,888,643,0,7,6596,5687,594,326,3,3,6623,1385,206,274,3,0,1863,22921,3856,5386,21,20,32207
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,996,44,5,4,0,1054,676,42,4,0,0,718,578,28,4,3,0,616,1227,82,8,6,6,1325,1724,102,23,0,0,1850,4697,263,33,14,7,5009,4637,118,12,6,8,4780,3845,82,6,3,11,3943,1259,26,0,3,4,1292,885,20,0,5,0,916,579,11,3,0,0,594,1219,40,3,0,3,1265,22326,846,105,45,33,23358
202,1066,20,4,0,3,1092,645,18,6,0,0,674,561,15,5,7,0,583,1099,33,3,9,0,1146,1598,65,4,3,0,1670,4836,118,15,6,8,4984,4704,74,13,7,8,4801,3678,46,6,17,6,3749,1317,10,0,7,0,1336,976,16,0,0,0,997,625,3,4,0,4,634,1231,25,0,6,0,1258,22340,445,59,59,31,22934
203,1784,98,18,7,0,1898,867,45,10,0,0,921,683,38,7,0,0,732,1344,98,18,3,0,1468,1777,142,37,0,0,1957,5993,405,95,7,0,6499,7733,419,65,3,3,8223,9946,314,69,3,10,10335,4162,112,14,3,4,4293,3101,75,12,0,8,3195,1976,56,7,0,0,2038,2371,101,17,3,0,2497,41744,1889,360,28,31,44058
204,1066,24,5,0,8,1109,636,17,0,0,0,659,597,15,0,4,0,615,1191,56,0,4,0,1250,1875,80,17,5,7,1981,5011,109,15,11,5,5143,4724,46,4,9,10,4797,3819,16,8,9,3,3848,1262,8,0,4,3,1275,1000,5,0,7,0,1008,655,5,0,3,3,666,1348,23,4,3,0,1385,23182,410,55,56,35,23742
205,1835,62,25,0,6,1927,1171,37,14,3,3,1231,1159,25,19,0,0,1197,2382,66,30,6,0,2480,3280,82,44,0,4,3411,8212,148,67,7,8,8447,7224,77,32,3,9,7345,5662,67,13,5,16,5757,1919,19,0,3,0,1940,1395,16,4,4,0,1415,965,15,5,4,4,983,2329,50,15,0,0,2393,37523,647,263,40,48,38528
206,1254,892,1209,11,3,3370,284,194,297,4,0,768,221,146,310,4,4,684,315,260,560,4,0,1138,472,383,926,5,0,1789,1211,1106,4144,29,4,6498,1268,1215,5795,43,13,8343,2390,2416,7414,73,7,12299,1918,1824,3150,32,3,6927,3294,2948,2661,36,11,8942,5115,3980,2067,28,11,11202,1309,1043,1441,10,3,3811,19048,16418,29966,280,67,65786
207,2156,528,235,0,0,2919,391,128,58,0,0,577,318,76,62,0,0,455,454,152,116,0,0,715,580,186,172,0,0,939,1680,564,777,4,0,3026,1570,650,1166,5,0,3391,3208,1274,1425,4,0,5913,2324,1079,584,0,0,3989,4435,1383,467,0,4,6294,8684,1497,287,4,8,10483,2199,521,287,0,6,3010,28010,8025,5621,22,26,41710
208,2071,647,314,10,0,3040,486,181,103,0,0,777,382,161,112,0,0,654,604,252,172,6,0,1031,821,326,275,10,0,1419,2230,936,1171,27,4,4368,2364,1161,1691,31,0,5246,4554,2326,2422,26,5,9334,3510,1723,1003,20,7,6259,5782,2156,719,11,6,8680,9074,1973,462,10,6,11524,2497,793,478,11,0,3775,34381,12632,8918,153,32,56121
209,2952,299,82,0,0,3345,1029,113,31,0,0,1172,885,116,24,0,0,1025,1457,202,55,0,0,1712,2043,313,129,7,0,2489,6516,1066,492,9,3,8078,9551,1587,591,7,5,11740,16044,2205,480,12,4,18743,8682,969,164,0,0,9821,7352,591,105,4,0,8054,4937,316,59,3,0,5321,4454,502,88,4,0,5050,65903,8286,2290,49,29,76562
210,2190,268,39,4,0,2495,819,93,25,0,0,931,643,77,13,0,0,733,1220,170,33,0,0,1423,1667,249,49,0,0,1968,5737,967,201,10,0,6917,8641,1460,250,0,4,10356,13888,1902,115,8,3,15918,5885,811,30,0,6,6723,4567,533,27,0,4,5132,2997,301,12,0,0,3314,3733,452,47,0,5,4235,51986,7292,828,22,25,60154
211,3697,292,44,0,4,4026,1258,103,21,0,0,1385,1147,100,14,0,0,1262,1848,135,30,4,0,2018,2489,212,66,0,0,2759,7498,690,281,0,5,8482,9408,1082,370,0,9,10862,16073,1546,255,3,7,17891,10394,809,73,3,4,11279,8764,473,40,4,7,9289,5108,219,27,0,6,5364,4373,309,57,4,3,4745,72045,5962,1283,25,44,79356
212,4712,410,163,0,3,5289,1485,165,62,0,0,1717,1355,143,55,0,0,1549,2314,268,102,0,0,2690,3166,347,201,0,4,3721,10668,1367,638,8,6,12684,16105,2027,676,3,10,18817,27534,2422,704,4,18,30678,12787,1136,324,0,4,14253,9675,828,311,0,5,10818,6755,461,158,0,4,7374,7006,675,200,0,6,7879,103545,10250,3592,18,56,117469
213,4430,510,105,0,3,5052,1419,189,48,4,0,1666,1292,179,54,0,0,1529,2278,325,106,0,0,2710,3258,448,214,3,0,3924,11678,1776,839,15,3,14303,17955,2395,902,9,15,21272,28034,3017,699,10,26,31783,11234,1356,237,3,9,12836,8221,1158,139,6,4,9530,5274,692,83,5,3,6060,7100,729,188,7,3,8021,102179,12768,3615,60,71,118690
214,1901,200,35,4,0,2141,756,92,9,0,0,857,615,91,10,0,0,720,1155,142,18,0,0,1313,1549,221,31,0,0,1811,4574,731,105,4,0,5412,6005,902,95,3,3,7002,9401,766,90,4,3,10258,4894,248,40,0,0,5177,3902,144,21,0,4,4072,2743,103,18,0,0,2863,2552,205,20,0,0,2785,40047,3839,489,19,14,44407
215,1061,19,7,5,5,1090,775,10,5,0,0,790,857,13,0,3,0,876,1691,31,13,5,4,1744,2097,48,21,5,0,2165,4296,66,27,3,0,4398,2475,27,5,0,0,2511,1650,12,4,0,0,1675,513,3,0,0,0,518,369,0,0,0,0,376,275,0,0,3,0,280,1060,18,8,9,0,1093,17123,249,90,33,16,17516
216,802,26,0,3,5,828,486,18,0,3,0,499,483,26,0,4,0,509,1062,52,0,7,3,1124,1580,33,0,5,0,1629,4061,79,3,5,3,4144,3097,30,0,4,0,3134,2200,19,0,7,4,2228,613,10,0,0,0,622,447,7,0,0,3,454,399,4,0,3,3,414,996,25,0,5,0,1018,16221,319,4,42,19,16610
217,861,24,4,5,3,898,483,21,8,0,0,512,561,13,3,0,0,583,1137,30,6,3,0,1182,1499,50,12,7,0,1574,3536,85,19,9,0,3652,2682,46,9,5,6,2737,1942,29,5,5,0,1986,654,7,0,3,0,665,480,3,0,0,0,491,428,0,0,3,4,435,928,17,5,0,0,958,15193,337,81,44,20,15669
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1277,93,35,0,0,1401,521,55,20,0,0,601,430,58,15,0,0,504,677,99,23,0,0,805,986,128,34,0,0,1154,2914,537,125,3,5,3586,4700,600,142,0,0,5448,9254,421,122,0,0,9799,4699,131,37,0,0,4871,3429,74,27,0,0,3528,1908,38,22,0,0,1970,1821,109,18,0,0,1951,32615,2344,631,13,12,35620
302,1063,94,68,0,0,1226,363,41,26,0,0,431,286,48,45,0,0,374,530,89,79,0,0,692,749,118,164,0,0,1032,2362,615,600,0,0,3576,3710,820,578,0,0,5108,6961,554,399,0,5,7914,3909,158,96,0,3,4173,2984,76,75,3,0,3143,1645,55,49,0,0,1747,1275,131,89,0,0,1499,25835,2798,2268,4,7,30917
303,1925,180,119,0,0,2231,523,61,41,0,0,621,453,76,48,0,0,586,706,124,113,8,0,953,1061,244,200,0,0,1513,3103,1167,798,4,4,5076,4422,1447,989,6,5,6870,8649,1203,637,3,5,10497,5787,364,190,0,0,6338,5248,209,126,0,4,5591,3506,112,73,4,4,3698,2165,270,153,0,0,2586,37555,5467,3498,19,27,46563
304,1067,35,80,0,0,1179,314,17,23,0,0,354,267,9,31,0,0,310,406,36,63,0,0,503,553,50,103,0,0,702,1735,148,403,0,0,2291,2386,263,433,0,0,3082,5014,295,364,0,0,5669,3565,106,112,0,0,3779,3456,92,86,5,0,3632,2566,32,51,0,3,2652,1146,51,91,0,0,1295,22461,1139,1839,0,12,25449
305,888,70,471,0,0,1429,186,29,118,0,0,328,144,23,137,0,0,310,276,44,290,0,0,611,309,46,447,0,0,806,968,236,1928,4,5,3146,1067,385,2504,0,8,3970,2335,588,2570,0,8,5508,2297,361,1062,0,0,3718,3588,245,833,0,11,4669,4715,156,734,0,4,5615,1036,101,496,0,5,1641,17819,2288,11586,11,45,31755
306,1158,63,71,10,10,1311,493,30,63,0,5,598,516,61,75,5,7,662,1043,127,203,5,0,1377,1598,135,254,8,7,1997,5180,301,384,10,3,5876,6103,155,219,17,12,6504,5527,83,123,6,10,5752,1842,20,36,3,0,1908,1280,10,23,0,0,1321,795,9,30,13,8,850,1574,65,97,8,11,1751,27115,1055,1581,83,63,29899
307,885,20,0,10,3,915,382,19,0,0,0,403,441,16,3,3,0,458,954,11,0,10,0,975,1281,15,0,9,4,1301,2947,26,4,11,3,2987,2169,10,0,5,4,2193,1667,5,0,5,4,1679,550,0,0,9,0,555,451,4,0,0,0,455,382,5,0,5,0,398,829,11,0,5,3,843,12935,132,12,60,32,13174
308,1121,19,32,9,11,1185,593,18,21,0,0,638,610,17,18,3,0,645,1266,41,34,4,0,1351,1869,52,49,0,0,1970,5493,81,73,11,7,5665,5417,98,57,3,4,5579,5190,64,39,7,11,5309,1896,23,14,4,0,1930,1325,23,15,4,4,1368,792,9,3,0,7,811,1616,23,13,11,3,1660,27196,472,362,62,43,28126
309,2411,523,455,11,6,3400,831,273,171,0,0,1276,667,225,129,0,0,1027,1214,437,295,9,0,1951,1686,729,551,8,8,2976,5075,2731,1645,14,19,9489,8382,3256,1780,10,23,13451,16412,2619,1592,9,24,20652,8871,792,526,7,9,10200,7035,594,448,0,8,8089,4646,368,325,0,10,5350,4182,809,537,3,9,5543,61421,13354,8442,76,127,83418
310,1663,44,7,0,0,1719,741,20,5,0,0,766,702,27,6,0,0,736,1419,63,12,0,0,1502,2353,139,18,0,0,2514,9166,370,44,4,5,9588,10764,251,28,10,5,11059,9916,135,14,10,0,10075,3250,21,0,4,5,3282,2068,24,4,3,0,2091,1052,14,3,4,0,1075,2421,62,5,3,0,2491,45516,1175,137,39,18,46888
311,1533,68,19,0,5,1625,702,40,3,0,0,745,539,68,11,0,0,621,1100,174,28,0,3,1300,1735,268,53,0,0,2057,6752,561,127,3,3,7448,10461,295,56,0,3,10819,11191,157,37,8,8,11397,4060,32,10,0,0,4112,2395,27,4,0,0,2434,1194,21,3,0,0,1223,2766,90,26,5,6,2877,44431,1805,376,25,34,46660
312,821,25,13,8,5,876,336,22,7,0,0,367,296,25,10,4,3,343,608,45,34,0,0,689,975,51,41,9,0,1074,3466,145,69,6,9,3698,4196,109,53,4,0,4364,4679,69,41,13,9,4808,1819,23,12,3,0,1861,1164,18,8,8,3,1196,661,8,13,9,0,696,1316,38,22,5,3,1382,20341,581,319,69,36,21348
313,1237,61,46,3,0,1350,557,33,22,0,0,609,461,39,28,0,0,527,874,86,35,8,3,997,1273,132,54,4,0,1472,4716,292,166,0,8,5184,6919,185,133,6,10,7244,7572,115,133,8,6,7835,2871,33,40,5,6,2954,1723,19,29,0,0,1769,871,15,32,0,0,926,1848,63,49,0,0,1969,30913,1070,777,42,31,32833
314,1101,68,4,0,0,1165,374,51,0,0,0,421,366,46,3,0,0,416,626,82,0,0,0,712,975,147,5,0,0,1136,3223,545,19,0,4,3784,5984,404,24,0,8,6414,8944,241,19,0,7,9212,3726,52,4,0,0,3784,2595,41,4,0,0,2639,1374,18,6,0,0,1400,1519,69,10,0,0,1596,30799,1765,100,5,22,32687
