SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
10704,759,1086,1842,7316,8784,16096,7,5,12,510,581,1089,90,97,188,13779,15823,29604,43,61,102,2460,2510,4967,184,253,438,60,75,141,149,201,352,136,108,247,235,274,503,444,591,1033,1076,1275,2353,117,156,277,63,74,135,1379,1913,3292,1630,1784,3416,33,41,73,29706,34609,64318,946,663,1612,1695,1464,3161,63,68,133,8,6,10,113,108,223,168,269,436,293,389,679,28540,25841,54386,304,262,565,116,202,316,28960,26303,55263,3953,3804,7760,66376,68383,134762
10801,90,158,254,3484,4109,7593,3,0,3,181,218,401,0,0,0,2857,3291,6151,11,20,33,47,36,85,96,113,211,26,33,59,33,29,69,8,7,19,91,125,212,33,59,87,396,484,880,40,54,95,24,41,63,503,695,1196,256,333,589,8,10,15,8097,9661,17763,79,70,144,36,29,68,13,5,17,12,4,18,9,17,28,36,39,71,58,58,116,6291,5686,11984,43,24,70,32,49,77,6362,5764,12125,1404,1419,2821,16139,17170,33311
10802,152,216,363,3992,4528,8521,0,0,0,156,169,328,0,0,0,4347,4843,9190,7,15,19,53,45,101,206,270,478,18,19,37,26,49,80,0,0,3,61,71,131,187,255,442,635,741,1379,114,153,262,274,325,596,840,1158,1994,423,485,906,9,12,18,11347,13145,24486,78,69,149,40,22,62,16,18,38,26,41,67,48,34,81,66,104,180,143,179,322,10277,9512,19783,74,62,137,52,71,123,10395,9644,20039,3236,2462,5693,25394,25762,51154
10803,6,0,4,29,39,64,0,0,0,0,0,0,0,0,0,19,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,3,5,6,0,0,0,13,24,37,0,0,5,9,8,10,0,0,0,74,102,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,96,216,4,0,4,0,0,0,119,100,217,25,24,50,220,232,445
10804,242,363,604,7686,9331,17015,0,0,0,402,477,880,0,5,7,8045,9689,17733,17,28,46,106,125,231,160,208,370,35,42,78,89,121,208,24,27,50,317,339,661,312,391,702,1131,1311,2437,106,160,262,196,263,457,1296,1794,3090,967,1203,2169,19,30,54,20910,25536,46448,203,191,392,102,103,207,26,32,61,8,3,12,51,34,82,93,166,260,153,204,354,16908,15778,32692,150,100,246,47,130,185,17109,16008,33118,2844,2747,5589,41583,45192,86780
10805,141,230,372,5984,6628,12611,0,0,0,544,561,1101,3,0,4,4159,4728,8882,22,28,53,74,77,151,184,242,429,46,63,112,39,47,90,9,5,18,89,90,178,148,190,337,857,962,1818,119,178,291,109,147,253,949,1335,2279,658,773,1433,9,24,31,14017,16069,30083,71,76,144,60,73,130,17,22,39,24,20,47,20,16,37,58,95,147,102,132,232,11007,10252,21252,68,60,121,44,64,105,11111,10376,21480,2484,2379,4864,27996,29349,57345
10901,194,303,494,3885,4855,8742,0,0,0,307,309,614,75,75,148,6897,7737,14634,15,25,39,150,142,293,88,136,223,31,29,59,813,970,1783,12,13,15,62,72,127,342,427,769,857,1003,1857,42,61,105,112,124,237,923,1274,2199,661,748,1413,14,16,38,15285,18012,33299,697,607,1300,196,148,342,20,19,36,0,3,3,381,307,692,80,120,199,463,432,891,13026,12381,25407,83,54,138,36,48,86,13142,12486,25635,2650,2402,5048,32640,34406,67044
10902,49,59,108,850,941,1797,0,0,0,28,35,68,0,0,0,1500,1481,2978,10,14,27,20,21,38,15,16,31,3,11,11,36,37,73,3,0,0,17,20,39,33,41,76,198,217,412,5,6,9,17,26,48,236,305,547,129,134,274,4,4,0,3104,3311,6418,24,13,42,27,27,51,0,0,0,3,0,4,17,13,32,7,6,21,27,24,58,2508,2062,4573,11,7,14,8,8,18,2533,2074,4610,954,818,1777,6720,6336,13056
10903,78,106,188,3071,3571,6640,0,0,0,222,244,471,0,5,6,4855,5236,10086,12,29,41,39,52,91,28,46,75,17,47,64,98,113,214,3,3,11,38,53,88,42,57,99,839,865,1703,27,29,56,10,18,23,1173,1441,2617,260,296,558,7,8,16,10753,12095,22849,60,38,101,53,30,84,9,8,18,4,5,11,23,22,41,32,40,68,56,70,124,8407,7559,15963,25,19,48,9,16,22,8443,7596,16039,2099,1956,4050,21550,21897,43453
11001,145,214,361,3374,3875,7252,0,0,0,129,164,294,89,77,162,3009,3479,6487,8,16,23,38,41,78,75,104,180,20,20,40,34,40,77,0,4,6,46,43,89,109,135,239,679,775,1449,47,56,105,78,88,171,388,528,909,310,401,715,18,16,29,8454,9850,18305,216,220,438,208,177,383,15,14,26,13,9,22,46,54,98,305,385,690,365,443,809,6640,6327,12969,81,55,136,25,50,73,6742,6431,13170,1959,2073,4037,18111,19424,37537
11002,64,98,164,4394,4880,9279,4,0,4,133,145,275,6,0,3,3368,3808,7178,13,20,39,20,22,48,70,93,161,8,12,23,41,56,95,0,3,9,54,40,88,124,151,273,832,827,1661,94,144,237,62,90,152,684,851,1534,459,554,1011,25,26,54,10392,11721,22121,72,55,126,32,25,55,9,9,18,10,11,21,9,13,26,41,69,106,61,90,152,6005,5474,11479,40,21,61,25,29,53,6068,5522,11594,2388,2110,4498,19092,19633,38731
11003,39,52,95,2798,3013,5808,0,0,0,56,69,124,0,0,0,2660,2854,5517,3,7,9,24,21,48,17,36,53,3,10,14,39,43,81,3,0,3,27,21,50,82,104,179,429,419,846,39,47,86,35,33,71,258,290,543,260,275,528,4,9,8,6737,7232,13971,50,40,91,25,20,48,4,0,4,17,15,39,9,7,14,10,23,35,41,47,87,3356,2868,6229,13,9,19,6,10,15,3373,2885,6261,2136,2022,4160,12412,12304,24713
11004,205,268,471,9565,10998,20559,0,0,0,352,381,730,86,95,185,8620,9743,18362,6,18,26,61,49,115,122,151,273,38,39,81,49,75,126,12,16,29,120,95,218,322,385,707,1172,1338,2501,88,104,194,86,76,158,1307,1575,2878,821,880,1705,29,22,49,22854,26032,48890,299,272,569,200,150,352,10,3,15,23,26,55,103,79,185,74,150,225,200,261,458,13895,12241,26143,74,70,139,25,44,72,13996,12356,26347,3879,3593,7468,41646,42933,84579
11101,362,540,899,8921,10915,19841,4,0,4,1150,1311,2462,29,30,57,10923,12793,23710,24,33,60,542,551,1091,164,217,376,122,127,253,107,150,256,18,25,36,295,324,622,896,990,1884,1298,1582,2879,148,230,373,203,245,445,2114,3115,5231,1356,1614,2970,91,93,180,28384,34344,62727,336,295,635,222,222,438,39,48,90,8,10,18,87,63,147,121,223,345,215,300,513,28454,25735,54195,215,152,363,81,140,226,28751,26029,54780,3317,3101,6416,61622,64868,126496
11102,236,399,637,6066,7362,13425,0,0,0,687,809,1498,36,40,79,6588,7753,14339,16,30,47,190,169,353,199,255,452,60,61,119,62,92,154,20,21,39,174,232,407,401,479,875,796,884,1683,145,182,328,1377,1616,2990,1443,1934,3378,1144,1297,2433,153,179,333,19549,23384,42932,274,252,530,207,169,380,14,17,33,7,14,20,37,41,82,83,113,190,130,168,291,18304,16455,34759,158,124,281,67,119,183,18536,16695,35227,2561,2433,4995,41502,43523,85022
11103,830,1074,1899,10392,12330,22725,0,0,0,1181,1288,2464,29,22,50,15771,18206,33981,39,44,90,1374,1435,2804,130,178,306,111,127,239,107,127,234,47,46,94,522,565,1082,740,884,1625,1471,1686,3159,214,255,466,210,245,461,2208,3041,5253,2077,2440,4522,63,79,137,36691,42995,79687,1029,857,1883,1634,1221,2857,80,82,156,27,20,41,185,138,326,209,321,531,426,476,898,40956,38572,79532,444,369,816,128,239,364,41525,39183,80711,5686,5218,10907,87900,91097,179000
11201,494,780,1274,4724,5503,10225,0,3,3,278,365,644,0,0,6,6435,7526,13964,7,13,21,117,138,259,176,196,367,31,28,62,78,104,180,10,3,18,82,101,185,289,412,701,1043,1201,2241,46,53,98,128,190,321,969,1291,2257,668,825,1490,37,47,86,15127,18005,33133,162,156,311,70,65,132,258,245,498,18,22,42,79,77,152,163,246,414,261,342,605,21321,21219,42542,146,124,269,177,325,505,21647,21671,43316,4275,4226,8507,42285,45487,87772
11202,306,410,721,4438,5190,9628,0,0,0,301,352,650,4,6,17,6387,7124,13517,14,18,37,59,72,127,153,173,332,34,33,71,47,60,108,3,5,12,90,85,175,316,415,729,1306,1414,2726,68,79,148,202,211,414,1251,1522,2773,856,977,1837,127,123,258,15663,17881,33548,104,116,221,89,87,178,34,28,65,12,20,32,75,72,146,179,325,498,265,408,672,14851,13733,28587,143,136,281,85,114,206,15081,13991,29074,3798,3634,7430,35340,36554,71896
11203,371,606,981,6457,7830,14288,0,0,0,368,453,825,0,0,0,8789,10314,19101,43,66,108,142,161,304,349,424,770,46,63,105,114,158,267,15,13,29,116,171,287,428,559,987,1207,1422,2628,35,73,109,318,383,694,1005,1411,2417,928,1166,2092,30,33,71,20389,24699,45087,374,350,722,52,48,105,64,73,138,13,17,29,149,139,289,137,228,361,298,381,680,20604,19651,40257,132,126,257,124,227,352,20865,20004,40868,4389,4419,8805,46804,50586,97392
11301,111,166,276,3155,3609,6760,0,0,3,152,185,338,112,118,233,8007,8344,16347,20,9,29,37,35,76,56,76,132,78,80,159,98,101,198,14,14,29,111,99,210,268,324,592,669,786,1457,30,50,79,160,193,347,997,1144,2139,388,460,846,13,7,22,14376,15629,30000,799,674,1476,520,367,888,7,8,14,6,0,10,608,516,1126,50,48,97,664,560,1228,5883,5053,10937,50,41,92,12,19,27,5949,5108,11056,2431,2181,4614,24857,24700,49559
11302,38,51,93,1730,1826,3553,0,0,0,84,91,171,0,0,0,1693,1811,3508,0,0,0,18,15,36,34,39,74,4,0,8,24,31,53,0,0,0,15,16,31,52,63,122,214,210,421,7,7,15,34,49,77,165,219,388,127,149,274,5,3,6,4198,4529,8732,35,36,67,17,15,30,0,3,4,4,7,11,9,4,11,10,18,31,24,29,56,2331,2054,4381,6,13,15,3,13,18,2341,2077,4421,857,678,1531,7516,7412,14931
11303,249,287,539,7955,9255,17215,0,0,0,570,615,1190,98,92,189,12808,14241,27050,41,39,76,132,125,259,97,118,212,58,49,106,453,581,1027,106,119,227,255,196,459,372,478,850,1692,1929,3625,76,93,172,105,104,216,1690,2107,3802,876,987,1864,18,14,31,27406,31148,58555,451,369,819,377,326,701,8,18,25,6,11,22,138,103,243,488,576,1068,636,694,1327,15224,13881,29101,110,77,190,39,61,99,15368,14022,29391,4479,3332,7812,48977,50189,99169
11401,355,538,894,9133,10643,19772,0,0,0,796,932,1730,3,0,3,9062,10414,19478,38,46,86,394,335,726,226,285,514,62,77,135,128,128,256,13,16,24,119,133,256,309,396,713,1238,1447,2688,108,118,223,58,65,122,1239,1642,2882,1099,1260,2363,21,31,50,24053,27976,52028,292,243,537,171,147,311,45,75,121,21,18,35,55,43,97,143,210,353,216,269,483,23269,21318,44588,173,122,289,84,126,212,23524,21561,45088,4954,3912,8868,53607,54719,108328
11402,200,295,497,4853,5891,10742,0,0,3,248,271,522,93,85,178,5032,5722,10761,22,27,47,215,220,434,123,155,275,21,32,55,63,69,137,12,13,24,67,66,130,137,195,333,532,702,1230,34,29,61,29,34,66,643,886,1530,602,715,1315,34,41,77,12767,15143,27908,373,319,695,134,95,232,79,82,161,4,5,4,64,63,124,50,117,168,114,183,295,9797,9386,19181,78,80,153,32,68,99,9905,9530,19436,1727,1728,3453,25301,27378,52678
