SA3_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
10304,1127,245,1328,298,119,3519,4791,5380,1524,97,2371,2010,413,957,5611,332,3588,33659,2048,54076,65,56,23,7,27,23,11,17,45,4,33,264,3224,3671,5975,6021,1892,439,2948,2650,571,1386,6778,580,4945,34219,5390,61266,5,7,0,0,0,0,0,0,6,0,8,44,0,55,275,102,110,25,160,211,35,93,198,47,132,455,34,1193,281,103,111,25,160,212,35,93,203,47,137,499,38,1251,5590,4834,1734,380,2721,2366,510,1244,6115,522,4199,23489,1551,43909,92,55,30,25,39,52,16,23,51,13,34,214,2598,3045,5962,4991,1878,432,2923,2629,564,1359,6372,579,4374,24197,4185,48201
10401,1622,383,1665,287,86,4557,5746,4292,1750,74,2497,2397,560,1237,4457,404,3029,25645,1734,44428,98,49,23,7,44,40,19,27,60,10,31,218,4218,4681,7696,5076,2342,607,3277,3380,903,1924,6135,794,4722,26148,6042,53665,4,0,0,0,0,0,0,0,9,0,4,41,5,56,524,142,218,35,270,326,76,152,302,83,229,543,50,1760,526,141,218,35,273,326,76,152,309,83,230,587,58,1818,6998,4159,2076,499,2920,2945,800,1708,5470,687,4006,18935,1435,39076,156,69,45,69,67,88,28,50,116,22,115,205,3610,4208,7682,4375,2339,607,3266,3362,898,1912,5902,788,4349,19722,5100,45096
10402,1907,492,2384,528,164,6267,8716,6752,2753,186,3153,3699,680,1928,7841,612,5654,49130,3062,80141,147,62,37,113,49,70,16,25,137,21,120,462,5154,6058,11041,7716,3549,985,4092,4974,1087,2728,9884,1131,8166,50123,8377,92462,7,6,3,0,0,3,0,3,11,0,4,55,4,78,640,150,276,58,295,428,85,204,379,81,317,841,60,2415,646,155,283,63,296,430,93,203,387,87,322,889,63,2493,10158,6376,3200,746,3692,4390,958,2450,8893,1010,6976,36295,2519,68577,221,73,56,169,79,130,22,52,166,30,165,329,4222,5124,11023,6604,3535,979,4066,4945,1071,2705,9449,1127,7459,37508,6809,76197
10501,285,102,358,95,17,1155,1502,1742,450,25,1024,782,161,337,1146,117,806,10761,630,16741,26,25,3,7,22,23,4,6,14,5,6,125,3503,3716,1937,1968,594,179,1302,1083,250,524,1436,228,1170,10981,4152,21607,0,0,0,0,0,0,0,0,0,0,0,10,0,16,59,22,23,8,49,44,4,25,42,9,30,120,19,301,59,26,23,8,50,44,4,25,46,9,30,130,18,312,1830,1581,559,166,1216,1004,233,477,1318,201,1015,7808,493,14012,32,23,10,6,34,25,10,17,16,12,16,108,2727,2945,1925,1628,590,179,1302,1074,246,518,1377,228,1062,8048,3235,17273
10502,441,125,492,117,36,1542,2056,1989,481,28,1222,849,188,430,1761,135,1076,9182,724,16356,24,28,6,0,18,19,3,9,22,0,10,86,1817,1984,2683,2300,652,182,1567,1172,305,636,2218,263,1577,9383,2584,19876,3,0,0,0,0,0,0,0,0,0,0,11,3,22,147,62,42,20,91,91,28,54,77,24,68,137,16,484,147,57,41,20,91,91,26,54,78,23,70,151,18,500,2483,1885,598,164,1443,1056,269,558,2032,239,1362,6755,607,14326,43,23,8,4,23,24,5,13,18,0,8,84,1452,1637,2675,1973,652,182,1562,1167,300,625,2137,263,1444,6992,2074,16461
10503,1331,347,1689,368,108,4551,6010,6542,1760,80,3154,2640,560,1193,5484,406,3779,37802,2399,61226,105,73,32,5,58,55,16,29,72,7,40,341,7692,8305,7783,7423,2278,587,4009,3613,854,1765,6887,761,5507,38512,10195,74084,3,8,0,0,0,0,0,0,5,0,6,31,0,44,363,112,134,31,215,234,40,96,194,63,176,489,44,1384,369,119,137,31,215,238,40,96,195,63,183,518,41,1428,7246,5847,2072,499,3701,3272,776,1610,6236,662,4658,26873,1874,50745,153,77,48,58,71,85,22,41,81,26,74,288,6126,6761,7767,6042,2264,587,3982,3589,838,1750,6513,760,4912,27684,8043,58936
10601,2433,537,2694,556,160,6848,8579,8956,2286,98,4140,3197,718,1571,9122,540,5448,50901,3352,84375,105,68,37,7,52,47,19,32,94,13,59,373,6029,6700,11141,10272,2977,769,5455,4539,1147,2379,11648,1081,8206,51831,9538,97927,20,22,8,0,3,0,0,4,15,0,21,548,14,635,600,187,204,50,325,318,72,160,420,67,318,841,65,2313,622,212,206,52,334,321,72,163,435,67,337,1383,81,2949,10344,8013,2707,665,5013,4086,1035,2153,10412,973,6821,35613,2556,69584,154,78,47,53,75,87,28,43,103,28,73,264,5067,5699,11119,8296,2964,769,5422,4495,1129,2350,10951,1076,7231,37263,7703,78236
10602,2078,425,2286,521,122,5742,7042,8408,1917,109,3721,2704,575,1235,9261,450,5505,46839,3094,77668,76,55,13,0,36,30,5,13,73,3,38,350,3046,3606,8909,9522,2477,573,4706,3758,920,1840,11414,875,7832,47705,6258,87019,46,29,15,0,3,3,0,0,55,3,37,441,26,613,569,196,184,32,290,313,60,131,398,67,290,807,64,2168,610,234,190,32,295,321,62,131,454,75,327,1248,86,2777,8166,7461,2234,504,4321,3345,818,1664,10164,776,6374,32396,2306,62868,108,43,31,35,48,56,17,17,83,20,59,184,2325,2778,8886,7737,2453,573,4658,3725,901,1810,10696,864,6755,33825,4716,68430
10603,1768,431,1951,452,156,5601,8699,6453,2701,139,3779,3500,745,1575,6959,549,4983,37839,2520,66619,87,63,32,5,48,63,20,23,62,11,37,298,3627,4193,10775,7362,3387,689,4790,4649,1099,2172,8787,997,6975,38583,6305,76414,79,56,13,0,9,30,0,8,94,3,89,723,26,1023,887,247,337,55,452,569,110,227,596,111,478,1039,65,3197,970,302,345,55,456,597,110,233,685,107,563,1763,89,4219,9646,5878,2984,602,4223,3945,959,1880,7525,856,5726,27278,2017,56082,146,57,49,32,79,75,18,39,68,26,44,229,3030,3608,10759,6240,3377,689,4764,4620,1087,2150,8272,991,6333,29268,5138,63908
10604,562,122,685,134,31,1740,2439,2815,717,26,1377,1008,224,493,2337,171,1516,16698,1049,26564,29,42,11,4,16,22,4,8,27,4,18,135,2035,2278,3052,3175,894,220,1695,1329,321,693,2919,299,2224,16966,3114,30584,3,0,0,0,0,0,0,0,3,0,0,27,0,34,141,47,49,19,94,78,13,55,102,21,69,245,15,612,139,52,49,19,94,78,13,56,107,21,70,271,11,650,2854,2528,833,181,1563,1215,289,618,2616,273,1849,12002,818,21898,52,21,8,18,22,25,8,6,19,9,45,119,1660,1924,3044,2595,886,217,1683,1319,311,680,2742,299,1965,12398,2492,24478
10701,1922,503,2389,590,119,6646,6518,6498,1923,91,3806,2349,673,1297,6773,466,4917,43051,2561,69464,102,67,33,74,54,57,8,25,92,21,81,305,3046,3710,8878,7507,2589,889,5154,3517,1128,1985,8793,991,7392,43943,5721,79819,7,7,0,0,0,6,0,0,14,0,10,63,3,95,295,99,98,26,182,172,57,115,212,49,157,379,46,1185,305,109,98,26,184,178,57,115,218,49,170,440,52,1287,8393,6040,2433,737,4874,3234,1024,1819,8075,910,6368,31555,2100,60341,168,52,41,126,70,74,25,31,120,30,95,227,2357,3009,8865,6205,2573,886,5130,3490,1107,1968,8420,991,6641,32215,4511,64634
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
10703,1948,483,2438,613,172,6611,8858,7824,2594,136,4055,3293,794,1469,7944,583,6122,54612,3444,87850,109,60,38,7,51,51,20,20,62,14,50,376,4124,4798,11212,8855,3362,764,5217,4527,1215,2187,9956,1073,8612,55597,7743,99254,17,17,0,0,0,5,0,0,19,0,19,206,8,274,446,124,173,33,221,308,68,119,283,48,245,727,49,1870,457,132,175,33,221,317,70,119,300,48,257,936,58,2141,10573,7191,3115,608,4889,4082,1100,2025,9076,985,7374,40202,2811,74761,164,54,47,116,71,107,24,26,96,34,127,226,3304,3947,11195,7386,3339,759,5184,4501,1201,2167,9469,1073,7754,41360,6175,80850
10704,2248,589,2840,788,145,7814,9683,9968,3276,155,4243,3643,1005,1650,10527,707,8492,79073,4067,120751,246,74,80,184,102,118,38,38,207,47,247,537,5026,6197,12704,10997,4182,1163,5674,5167,1524,2524,12977,1344,11581,80396,9237,134762,13,16,6,4,0,3,0,0,19,0,10,237,12,300,460,142,202,48,223,331,73,138,273,75,272,823,55,2071,475,158,207,47,232,335,75,136,291,70,284,1056,68,2366,11871,9180,3874,807,5264,4589,1359,2297,12009,1189,10075,60801,3367,104492,343,80,85,313,151,210,63,66,272,71,332,276,4281,5367,12692,9415,4160,1163,5644,5145,1496,2502,12572,1336,10694,62133,7716,112228
10801,1091,322,1114,196,50,3212,4164,2602,1300,95,1601,1639,371,785,2612,318,1916,15603,1086,27818,78,31,21,12,26,28,10,19,38,6,31,169,1938,2278,5534,3090,1739,664,2197,2383,606,1201,3742,646,3064,15964,3073,33311,0,0,0,0,0,0,0,0,4,0,3,19,0,27,339,98,153,40,182,238,48,104,164,73,145,333,39,1147,340,101,159,40,185,234,48,104,170,72,151,352,39,1174,4955,2564,1514,413,1928,2001,519,1040,3216,513,2617,12110,936,25443,237,55,64,209,81,141,34,51,233,61,120,171,1602,2243,5529,2721,1735,664,2194,2379,607,1193,3612,647,2885,12632,2573,28862
10802,1551,434,1780,327,112,4831,5419,4070,1745,97,2303,2267,469,1385,4219,387,2882,23647,1757,41452,97,63,20,14,44,35,10,27,72,18,48,300,4321,4878,7384,4960,2320,655,3170,3234,827,2121,5836,837,4709,24270,6190,51154,10,7,0,0,3,0,0,0,3,0,7,29,3,42,462,127,208,51,227,307,76,158,276,84,236,491,49,1587,472,129,208,51,232,315,75,161,283,85,238,517,55,1629,6783,4066,2059,568,2864,2834,715,1901,5203,727,4023,17588,1435,37095,124,83,38,35,68,80,26,45,96,30,61,253,3535,4143,7372,4276,2313,651,3153,3223,816,2111,5583,837,4320,18364,5020,42862
10803,0,0,0,5,0,12,21,23,14,0,14,5,0,0,20,0,10,298,8,394,0,0,0,0,0,0,0,0,0,0,0,5,35,38,27,23,12,0,16,13,4,5,21,0,12,308,39,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,8,0,16,0,6,3,0,0,0,0,0,0,0,0,10,0,20,27,25,8,0,15,12,4,0,14,0,10,237,6,327,0,0,0,0,0,0,0,0,0,0,0,6,30,37,27,19,12,0,16,13,4,5,20,0,10,250,36,379
10804,2215,607,2692,549,147,7187,9437,7141,3044,191,3791,3823,796,1870,7493,722,5473,43827,2763,75346,145,64,57,71,66,66,14,36,97,33,127,319,3521,4243,12165,8360,3978,1140,4933,5247,1267,2820,9809,1365,8293,44697,6425,86780,5,3,0,0,3,4,0,4,9,0,8,75,3,100,790,212,320,85,389,547,117,239,468,132,385,924,71,2847,798,215,320,86,392,548,117,238,471,132,397,998,73,2951,11152,6830,3564,911,4401,4556,1097,2512,8733,1185,6964,32975,2266,66209,205,78,76,134,112,111,43,52,124,40,167,283,2908,3762,12150,7124,3966,1134,4910,5218,1253,2807,9327,1355,7533,34257,5249,72918
10805,1584,430,1666,338,140,4995,6452,5139,1879,148,2840,2487,579,1293,5085,499,3369,27273,1809,48257,110,100,37,33,48,51,26,35,84,20,70,294,3460,4093,8427,6118,2484,748,3784,3546,969,1932,6747,941,5101,27904,5412,57345,0,0,0,0,0,0,0,0,4,0,0,18,4,28,513,149,213,52,295,326,84,180,301,84,249,613,56,1852,523,149,213,52,295,326,85,182,305,84,250,635,57,1885,7732,4953,2206,575,3378,3097,841,1671,6022,815,4356,20363,1506,42720,167,94,59,117,88,101,32,62,116,36,107,279,2794,3579,8416,5193,2478,749,3766,3530,960,1915,6442,939,4715,21280,4359,48177
