SA3_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
20101,10489,941,556,115,12,13,53,12176
20102,2751,233,139,22,4,0,17,3165
20103,1917,199,136,18,5,0,29,2311
20201,9127,875,491,88,12,10,61,10670
20202,4982,363,199,37,5,0,18,5604
20203,1045,92,46,9,0,0,9,1201
20301,2808,229,108,17,0,0,15,3177
20302,20420,1685,819,160,22,13,81,23203
20303,9492,727,319,44,0,0,31,10622
20401,4813,499,234,39,15,0,35,5638
20402,3929,363,224,33,13,3,48,4620
20403,6777,644,379,68,4,7,49,7931
20501,5418,547,351,64,10,4,39,6425
20502,3468,366,201,41,4,3,36,4118
20503,5701,524,283,36,9,4,53,6605
20504,6117,752,447,60,7,7,68,7458
20505,3718,363,210,33,6,0,27,4357
20601,8206,344,122,29,0,0,14,8719
20602,5553,232,79,20,0,0,7,5893
20603,7339,341,99,24,4,0,7,7819
20604,6143,348,73,20,4,4,11,6605
20605,7041,524,140,24,4,0,7,7751
20606,3755,229,59,11,0,0,3,4058
20607,5867,354,96,25,3,0,13,6358
20701,20864,822,276,84,10,0,29,22080
20702,12651,540,191,77,6,3,27,13497
20703,12302,527,179,60,6,0,24,13096
20801,12835,686,230,45,0,0,12,13810
20802,18865,825,265,53,9,0,25,20043
20803,14627,936,340,56,8,0,19,15983
20804,4858,200,57,11,0,0,4,5125
20901,15346,741,283,58,3,0,22,16457
20902,9601,469,182,66,3,0,33,10352
20903,9309,614,254,45,4,0,20,10243
20904,32860,1840,996,363,29,10,94,36196
21001,7833,377,153,49,9,0,16,8441
21002,4155,254,126,19,3,0,14,4574
21003,9020,369,142,75,7,0,15,9629
21004,5259,426,246,34,6,0,27,6002
21005,27614,1213,593,319,28,15,57,29835
21101,19986,1283,535,151,13,4,50,22019
21102,3744,179,55,25,0,0,9,4016
21103,13733,861,362,87,10,0,35,15087
21104,8118,351,106,51,6,0,15,8645
21105,17929,1535,761,154,16,8,68,20469
21201,14042,1138,689,119,20,6,69,16091
21202,17592,1071,526,175,14,3,49,19437
21203,31233,2038,1194,480,39,28,96,35110
21204,21487,1203,555,397,34,31,88,23791
21205,22184,894,297,172,9,3,36,23599
21301,20391,1226,618,384,29,20,83,22758
21302,10278,588,241,45,5,3,21,11191
21303,8334,453,140,65,9,5,31,9039
21304,25405,1715,1012,329,41,21,104,28629
21305,40637,2152,1158,553,57,17,133,44713
21401,13875,1420,732,121,26,9,56,16241
21402,15922,1426,642,79,15,7,79,18170
21501,4830,408,265,46,3,4,38,5591
21502,4777,465,293,64,12,5,55,5667
21503,3113,256,146,32,12,4,26,3583
21601,3214,310,207,37,8,0,27,3800
21602,2337,223,157,36,4,0,23,2783
21603,6258,534,303,74,11,7,45,7224
21701,3039,256,144,19,6,0,25,3491
21703,3274,240,152,23,3,0,23,3716
21704,4877,409,228,39,12,0,37,5600
29797,0,0,0,0,0,0,0,0
29999,0,0,0,0,0,0,0,0
30101,7908,933,396,77,12,4,35,9359
30102,9213,1284,539,92,14,3,65,11209
30103,8217,990,356,58,12,4,25,9662
30201,5583,531,177,33,9,5,18,6353
30202,7564,700,231,47,9,4,24,8573
30203,3937,425,150,36,8,4,18,4575
30204,6403,647,244,60,11,0,28,7395
30301,6498,544,168,34,3,0,15,7258
30302,6954,595,167,36,0,0,22,7776
30303,9386,716,229,80,4,6,33,10458
30304,4369,304,107,40,0,0,16,4832
30305,8616,684,282,119,16,0,38,9758
30306,5680,429,151,72,5,5,36,6379
30401,4259,393,100,30,5,0,14,4793
30402,6720,551,160,38,6,4,6,7477
30403,5485,385,91,33,6,0,4,6010
30404,6481,613,168,27,5,0,16,7315
30501,4339,537,83,18,0,0,12,4987
30502,4573,475,93,7,6,0,16,5164
30503,8252,731,171,32,3,0,15,9214
30504,6225,464,125,16,4,0,8,6842
30601,5432,798,238,54,13,3,38,6575
30602,7627,1194,462,170,38,14,68,9577
30603,2630,259,131,60,10,10,33,3133
30604,811,88,49,7,0,4,3,966
30605,3053,317,178,52,15,9,59,3676
30701,3731,376,215,40,5,4,45,4415
30702,3527,399,246,55,14,10,38,4288
30703,3128,341,213,31,9,0,40,3762
30801,2597,380,170,36,7,6,19,3218
30803,9567,1820,715,145,38,15,110,12421
30804,1356,109,77,14,0,0,9,1557
30805,5589,872,409,62,12,7,63,7021
30901,5500,609,165,27,6,0,27,6342
30902,5105,671,196,34,13,3,25,6044
30903,5006,683,231,36,6,3,38,6001
30904,1987,240,99,31,3,0,13,2374
30905,4451,460,198,31,3,0,27,5161
30906,7363,893,428,75,13,5,42,8819
30907,17086,2383,1191,195,39,20,94,21015
30908,5144,681,228,35,9,0,13,6112
30909,4723,594,201,46,8,0,27,5600
30910,2845,386,94,19,6,0,10,3367
31001,7661,743,358,154,23,10,48,8995
31002,5520,832,437,101,12,9,83,7000
31003,10140,1571,826,152,34,14,118,12856
31004,11177,1339,838,217,48,25,63,13700
31101,1081,148,90,13,4,3,10,1352
31102,3583,606,328,64,13,7,31,4620
31103,8905,1151,693,185,37,15,104,11087
31104,7004,934,541,113,20,16,64,8679
31105,6217,774,398,100,21,3,48,7550
31106,7321,801,361,146,18,9,60,8723
31201,2842,362,194,35,3,0,26,3465
31202,10728,1884,761,125,26,9,87,13618
31203,1616,319,116,11,3,0,10,2076
31301,1974,432,150,42,9,5,28,2628
31302,6350,1145,656,130,28,3,70,8380
31303,1152,154,98,13,11,0,17,1442
31304,6581,1070,545,104,29,9,48,8383
31305,4592,793,297,61,10,5,36,5803
31401,11614,1176,482,62,14,7,44,13400
31402,9570,1286,601,108,22,7,54,11643
31403,3799,486,272,50,21,3,26,4650
31501,2207,299,181,143,23,8,59,2915
31502,2300,328,172,90,18,6,37,2950
31503,1273,152,61,18,0,0,11,1531
31601,5854,726,244,40,8,3,25,6895
31602,8358,1262,416,69,11,7,55,10180
31603,4608,622,150,32,7,0,24,5445
31605,4043,512,160,18,3,4,20,4750
31606,5572,720,307,53,11,6,31,6697
31607,4817,659,256,45,13,8,30,5835
31608,2281,284,84,27,3,0,21,2703
31701,14029,1773,831,170,22,5,114,16946
31801,3053,331,158,48,11,4,39,3635
31802,15393,2862,1109,209,40,19,144,19771
31901,6598,1021,487,96,27,10,73,8308
31902,3254,427,223,55,10,4,71,4044
31903,3867,553,289,55,14,3,51,4820
31904,4050,732,313,67,13,11,52,5234
31905,2924,504,247,47,11,3,42,3777
39797,0,0,0,0,0,0,0,0
39999,0,0,0,0,0,0,0,0
40101,882,71,17,0,0,0,0,975
40102,9170,697,377,48,9,3,35,10349
40103,5721,248,100,36,0,0,11,6114
40104,6439,355,137,51,0,0,9,6993
40105,3668,196,68,12,5,0,3,3959
40106,3401,199,74,12,0,0,9,3699
40107,4127,213,99,13,0,0,20,4472
40201,3628,406,239,47,10,0,33,4358
40202,8519,945,679,181,35,18,101,10480
40203,8251,460,200,112,11,4,23,9059
40204,14603,1167,795,255,30,14,113,16972
40205,10716,942,374,108,13,0,44,12201
40301,3180,250,98,12,0,0,12,3551
40302,9804,731,330,74,17,3,35,10995
40303,8017,528,197,34,0,0,22,8801
40304,16962,1776,1068,152,45,9,123,20134
40401,11843,805,338,110,12,0,42,13157
40402,5482,489,238,80,12,3,39,6353
40403,6417,410,165,32,3,0,22,7051
40501,3786,329,190,36,7,0,24,4375
40502,1837,157,94,27,0,3,20,2146
40503,2014,164,120,26,4,0,39,2373
40504,1669,141,113,21,4,5,25,1971
40601,4565,385,306,60,9,6,64,5400
40602,1772,183,125,46,12,8,51,2197
40701,3913,385,249,54,14,3,40,4657
40702,5579,481,403,57,8,4,58,6593
40703,5315,543,347,67,13,6,71,6366
49797,0,0,0,0,0,0,0,0
49999,0,0,0,0,0,0,0,0
50101,4751,1059,246,36,14,0,35,6135
50102,8880,1938,626,113,42,6,99,11703
50103,1725,325,107,22,6,0,14,2199
50201,7500,2311,600,89,27,3,119,10656
50301,8171,790,166,26,8,0,16,9167
50302,9000,951,123,35,0,4,14,10123
50401,8034,1069,241,69,13,0,30,9460
50402,3925,858,219,58,13,0,50,5118
50403,15616,2763,862,249,46,21,103,19656
50501,18760,2814,641,110,20,6,75,22425
50502,20836,2380,513,145,28,7,63,23971
50503,22966,4123,1363,265,46,12,126,28906
50601,10008,1698,547,124,31,13,74,12495
50602,6134,818,174,58,15,0,37,7229
50603,11090,1166,269,128,15,3,63,12738
50604,14012,1841,565,202,33,12,83,16749
50605,5946,1047,295,60,23,5,31,7406
50606,3434,764,268,58,15,0,27,4567
50607,3926,460,75,21,8,0,11,4491
50701,12471,1954,485,113,16,7,68,15118
50702,3464,490,85,22,0,0,9,4068
50703,4479,879,300,63,15,4,38,5783
50704,12146,1395,275,88,8,0,26,13938
50705,12068,3223,1022,144,43,13,124,16640
50901,4779,821,261,57,10,5,57,5994
50902,3908,782,253,54,14,7,71,5091
50903,1481,190,84,16,9,0,13,1786
51001,2321,388,127,115,30,8,74,3070
51002,1812,324,168,45,15,3,25,2389
51003,2681,417,162,27,9,9,24,3316
51101,1233,201,82,14,4,0,12,1546
51102,615,125,34,14,7,0,8,805
51103,2997,551,217,60,11,3,45,3878
51104,3782,873,243,63,17,11,57,5032
59797,0,0,0,0,0,0,0,0
59999,0,0,0,0,0,0,0,0
60101,1681,234,191,25,3,0,22,2167
60102,5447,570,316,52,10,0,44,6429
60103,4537,556,347,76,11,4,46,5579
60104,3841,342,206,32,5,5,21,4446
60105,4613,319,133,19,7,0,18,5116
60106,1567,213,124,17,5,0,19,1942
60201,7325,733,468,60,9,6,50,8653
60202,2081,224,120,14,3,0,15,2459
60203,3081,288,216,21,0,0,26,3644
60301,1054,124,106,15,6,4,14,1314
60302,1811,171,128,20,0,0,20,2161
60303,414,48,24,0,6,0,8,498
60401,3912,491,298,38,6,0,43,4792
60402,3726,506,295,25,9,5,41,4601
60403,1356,146,115,17,0,0,17,1646
69797,0,0,0,0,0,0,0,0
69999,0,0,0,0,0,0,0,0
70101,1920,336,55,16,5,0,13,2343
70102,5218,789,214,128,21,5,48,6407
70103,1800,349,126,28,4,3,17,2325
70104,3465,721,289,76,13,12,23,4591
70201,2749,383,152,159,31,25,80,3584
70202,343,37,24,31,8,5,21,473
70203,1157,93,49,139,16,16,40,1527
70204,1082,97,57,100,12,17,22,1380
70205,1273,170,89,121,27,24,43,1741
79797,0,0,0,0,0,0,0,0
79999,0,0,0,0,0,0,0,0
80101,10985,800,385,90,8,3,53,12322
80103,74,7,5,0,0,0,0,92
80104,11666,733,379,109,9,3,44,12944
80105,4445,249,100,16,0,0,11,4836
80106,2851,176,53,10,0,0,5,3095
80107,9925,885,518,114,18,4,55,11512
80108,2831,189,88,18,4,0,7,3133
80109,4292,241,86,33,3,0,17,4677
80110,1458,86,29,15,0,0,0,1588
80111,75,4,3,0,0,0,0,79
89797,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0
90101,133,11,4,0,0,0,0,149
90102,70,3,0,0,0,0,0,77
90103,13,3,0,0,0,0,0,18
90104,143,19,10,3,0,0,0,171
99797,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0
