SA3_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
31905,1021,137,1159,5319,2206,294,7824,29098,3709,40629
39797,0,0,0,0,0,0,0,45,135,183
39999,33,13,44,1219,501,70,1785,8009,3440,13234
40101,348,70,425,1700,1033,58,2796,18748,2032,23578
40102,1360,122,1498,14086,5347,654,20087,41828,2879,64794
40103,1512,74,1609,7905,3025,207,11135,26217,928,38283
40104,1745,168,1935,9086,3112,264,12453,32140,1603,46199
40105,1252,113,1377,5632,1995,162,7792,23088,1267,32147
40106,743,56,818,5050,1741,156,6947,17343,952,25238
40107,1440,110,1572,6176,2340,249,8772,22975,904,32648
40201,803,131,935,6040,2348,269,8659,20697,1459,30811
40202,1416,248,1676,16299,5112,807,22215,49968,4998,77184
40203,1447,102,1573,13200,3252,304,16751,42589,3638,62976
40204,2141,328,2497,23452,7562,803,31824,78864,5618,116301
40205,2235,194,2446,16064,6625,598,23292,54234,2554,80083
40301,1391,86,1482,4841,2811,200,7848,22045,1184,31076
40302,2586,173,2788,15655,5811,540,21998,56013,2784,80798
40303,2037,144,2205,11659,4532,482,16667,36676,1567,54914
40304,3428,440,3902,28834,12398,1488,42718,95973,6515,145208
40401,3434,212,3676,17311,6775,611,24700,71684,4043,100427
40402,1368,92,1466,8525,3272,322,12115,36845,2485,51451
40403,2231,127,2385,9713,3295,291,13303,40279,2054,55643
40501,787,81,872,6057,2405,237,8703,20730,1659,31084
40502,591,64,658,3089,1362,169,4615,12894,1348,18864
40503,746,80,826,3376,1603,158,5136,15799,1622,22565
40504,790,152,948,2883,1509,151,4542,16586,1838,22965
40601,1209,167,1385,8311,3411,478,12202,30560,3774,46538
40602,308,58,367,3366,1739,318,5424,12408,2901,20736
40701,1923,210,2144,6584,3675,417,10671,34607,2694,47972
40702,1506,235,1750,9776,3926,443,14139,36513,4508,55163
40703,1873,209,2096,9211,3945,392,13553,41047,5154,59757
49797,0,0,0,0,0,0,0,0,5,12
49999,15,0,11,315,124,17,459,1761,756,2975
50101,1187,135,1332,9582,3061,549,13197,29755,3362,46314
50102,1742,371,2133,17267,6517,996,24779,55710,6330,86826
50103,461,52,508,3203,1174,158,4536,13693,1694,19922
50201,2585,489,3095,15273,6624,814,22705,59960,6141,88811
50301,1901,245,2184,11920,4941,496,17359,39315,2656,59324
50302,1922,278,2226,15688,5223,594,21501,67508,6524,95536
50401,1721,204,1949,13396,4618,481,18498,48525,3690,70713
50402,692,164,870,6676,2945,363,9983,22549,3844,36378
50403,1434,216,1678,27148,7957,1083,36184,73073,6710,115971
50501,2517,244,2794,28584,12052,1290,41928,83833,4903,130669
50502,4952,493,5514,34043,11641,1215,46902,116144,9513,172558
50503,2192,394,2616,39218,11718,1690,52633,101444,8441,162511
50601,851,134,1006,18199,5083,803,24092,43761,4239,72096
50602,1123,179,1318,11134,3507,359,14995,44090,4700,63786
50603,1731,435,2191,16448,5305,488,22241,54684,4568,81486
50604,1561,284,1869,21949,6815,799,29565,63618,6928,100107
50605,1150,133,1292,10124,4012,451,14588,30430,2385,47399
50606,222,22,249,6433,1963,339,8741,13828,1645,24215
50607,968,249,1233,6165,2723,257,9144,25967,2093,37202
50701,1441,322,1782,21217,6707,920,28846,59585,4815,93241
50702,941,153,1107,6023,2615,322,8956,22776,2209,33939
50703,382,35,416,8735,2247,391,11371,20821,3261,35457
50704,2940,373,3363,17992,7657,700,26347,57725,3693,87766
50705,1682,377,2083,23979,8089,1294,33357,65730,7159,106248
50901,1411,222,1644,8919,3278,538,12744,33742,4288,50772
50902,991,191,1196,7125,3006,378,10505,30510,5625,46644
50903,376,92,471,2739,1006,101,3851,10257,1755,15859
51001,101,38,139,4729,2262,624,7625,14536,4714,26876
51002,34,3,39,4113,1074,364,5552,10230,4204,19985
51003,11,3,19,5592,1013,348,6951,11018,4260,22223
51101,279,26,315,2360,815,138,3316,8107,1434,12856
51102,66,22,90,1249,373,113,1736,4907,1158,7794
51103,199,36,236,5960,1738,346,8044,17511,4733,30285
51104,899,197,1108,7584,2867,437,10888,28039,5745,44672
59797,0,0,0,40,5,3,45,248,221,516
59999,12,23,30,613,205,45,861,3063,3361,7285
60101,173,14,186,3239,1065,191,4491,9809,893,15191
60102,1443,174,1630,9428,4286,440,14153,32153,2645,48955
60103,1234,144,1395,8569,3364,429,12362,33343,2596,48304
60104,688,59,756,6415,2575,361,9357,19543,1031,29928
60105,1199,115,1331,7513,3259,385,11160,34304,2351,47808
60106,298,34,336,2850,1223,160,4239,10132,944,15312
60201,2064,282,2357,13164,4906,630,18704,49967,3810,72482
60202,428,43,474,3282,1324,161,4760,14335,1267,20367
60203,758,151,912,5183,2184,240,7610,23387,2331,33327
60301,122,24,148,1742,722,64,2530,6952,896,10374
60302,313,72,388,3113,1234,178,4524,12256,1311,18097
60303,171,27,200,733,379,28,1143,5113,569,6825
60401,1263,120,1386,6992,3079,385,10461,28795,2368,41625
60402,1044,148,1196,6750,2801,391,9935,28054,2417,40404
60403,254,52,306,2482,971,121,3573,9734,1357,14662
69797,0,0,0,0,0,0,0,11,3,19
69999,3,0,3,144,39,7,192,726,324,1248
70101,135,49,182,3556,1062,120,4735,16199,2406,23342
70102,338,52,397,9015,2799,422,12240,27344,3723,43305
70103,76,12,97,3040,1021,137,4197,10050,2938,17179
70104,135,17,159,6977,1656,363,8995,16023,2766,27783
70201,168,33,202,5453,2708,532,8704,16736,3237,28672
70202,11,0,14,722,563,162,1448,2132,448,4031
70203,20,8,31,2071,2182,656,4910,5888,1461,12263
70204,6,0,15,1918,2082,761,4764,3692,1182,9636
70205,57,9,64,2514,1986,598,5098,7101,2143,14343
79797,0,0,0,3,4,0,11,60,26,94
79999,4,0,7,288,57,11,354,1487,1208,3052
80101,1522,125,1667,17925,6024,805,24754,58586,3456,86802
80103,12,0,16,132,51,5,186,827,760,1772
80104,350,17,374,18665,3634,515,22814,42053,2585,67456
80105,928,122,1069,7511,2451,347,10311,40139,3411,53862
80106,697,129,842,4480,1695,152,6328,19180,1745,27253
80107,1075,189,1281,15404,6477,686,22566,47152,2557,72279
80108,601,77,683,4414,1428,225,6069,12917,836,19823
80109,1123,83,1221,6476,2069,246,8788,22368,1361,32513
80110,22,0,22,2565,393,58,3020,5402,347,8770
80111,4,0,4,133,37,0,171,267,41,474
89797,0,0,0,0,0,0,0,0,0,0
89999,0,0,4,63,32,0,97,335,130,560
90101,4,0,4,218,38,7,271,711,425,1406
90102,6,0,11,69,31,4,105,270,89,467
90103,0,0,0,25,20,0,44,121,80,246
90104,46,7,50,276,147,29,453,1168,218,1839
99797,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,4,0,0,4,6,3,11
