SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
30204,..,6174,6174,6943,639,7576,3786,130,3916,3652,36,3689,1324,6,1333,609,7,618,16318,6993,23305
30301,..,4440,4440,6112,588,6699,3463,223,3685,3569,74,3640,1282,19,1295,417,8,426,14838,5348,20194
30302,..,10177,10177,9399,2026,11423,4116,787,4908,3878,274,4150,1336,89,1425,448,30,474,19173,13385,32556
30303,..,5383,5383,7326,866,8193,4799,350,5150,5184,148,5331,2024,62,2087,1068,32,1103,20400,6836,27243
30304,..,3448,3448,4025,562,4584,2330,241,2571,2483,109,2589,891,39,939,374,29,397,10098,4427,14522
30305,..,3266,3266,5735,476,6212,4340,174,4515,4522,53,4576,1930,12,1939,1198,14,1207,17729,3984,21711
30306,..,2700,2700,4131,481,4623,2967,241,3202,2923,128,3054,1335,60,1398,1048,25,1071,12408,3643,16042
30401,..,1820,1820,3721,181,3907,2112,35,2143,2381,12,2394,818,0,818,359,0,361,9392,2050,11444
30402,..,2117,2117,4705,196,4905,2835,45,2888,3783,24,3808,1484,10,1494,499,3,497,13304,2401,15706
30403,..,5098,5098,5719,1190,6918,2920,497,3417,3011,199,3210,1050,84,1136,313,30,346,13010,7105,20114
30404,..,4077,4077,5830,431,6266,3222,97,3317,3872,32,3902,1376,8,1383,416,4,418,14717,4647,19370
30501,..,15707,15707,12028,3318,15343,3716,885,4598,2240,299,2537,643,94,740,214,36,249,18839,20340,39182
30502,..,4447,4447,5188,819,6013,2633,305,2939,2612,105,2719,870,28,903,230,20,250,11540,5722,17266
30503,..,14716,14716,12845,2777,15622,4925,705,5628,4485,198,4677,1625,73,1694,453,22,475,24322,18488,42816
30504,..,6279,6279,6519,1299,7817,3135,586,3726,3390,264,3659,1362,81,1443,342,17,362,14753,8531,23286
30601,..,4743,4743,7180,675,7853,3406,111,3514,3344,37,3383,1147,7,1158,525,6,528,15597,5566,21166
30602,..,11197,11197,11258,1435,12695,5497,271,5764,4671,69,4742,1990,25,2012,1360,13,1380,24776,13012,37788
30603,..,3640,3640,4515,353,4873,1610,50,1656,1370,19,1391,656,14,667,586,3,585,8735,4075,12813
30604,..,1332,1332,1697,180,1885,513,29,543,464,9,472,202,5,205,94,0,94,2973,1556,4533
30605,..,4513,4513,5879,439,6312,1986,67,2050,1670,33,1697,835,15,848,575,3,587,10944,5060,16007
30701,..,4560,4560,5129,385,5521,1996,84,2081,1949,20,1964,1048,4,1046,577,4,574,10692,5053,15743
30702,..,3919,3919,5485,340,5827,2027,50,2077,1872,8,1885,1006,5,1015,629,4,634,11022,4327,15344
30703,..,4582,4582,6046,313,6360,1938,37,1974,1639,12,1652,879,7,885,498,9,504,10990,4960,15952
30801,..,2451,2451,2880,227,3101,1310,43,1354,1434,8,1443,786,3,788,421,0,421,6828,2730,9557
30803,..,11492,11492,14371,1113,15481,6188,180,6368,6119,44,6167,2697,10,2704,1474,5,1480,30846,12844,43693
30804,..,1342,1342,1667,113,1786,644,12,659,691,0,690,358,0,353,170,0,172,3528,1469,4995
30805,..,5923,5923,7628,626,8252,3335,83,3418,3365,16,3386,1444,5,1447,760,0,760,16535,6650,23181
30901,..,7433,7433,8840,1443,10280,3496,381,3879,3283,138,3425,1063,27,1089,337,23,357,17023,9442,26463
30902,..,6133,6133,7125,940,8067,3213,224,3436,3090,66,3161,1072,16,1092,439,5,441,14944,7384,22328
30903,..,9049,9049,10383,1107,11494,3874,191,4068,2889,60,2949,978,16,997,439,7,437,18566,10432,28995
30904,..,1328,1328,2538,159,2693,1069,29,1098,1043,0,1044,479,0,479,311,0,311,5436,1517,6954
30905,..,1487,1487,3203,228,3432,2107,61,2165,2578,20,2595,1081,3,1084,577,0,578,9544,1799,11348
30906,..,4646,4646,7209,705,7911,4348,133,4486,4384,36,4425,1738,13,1750,985,0,987,18667,5532,24204
30907,..,7000,7000,15471,1280,16746,9586,290,9882,10300,91,10387,4410,18,4426,2487,5,2492,42258,8676,50934
30908,..,4391,4391,6338,689,7027,3514,232,3747,3173,69,3238,1021,18,1043,410,10,422,14455,5408,19866
30909,..,7266,7266,7483,1414,8893,3576,427,4006,2815,164,2975,1036,45,1083,540,37,573,15442,9353,24799
30910,..,6212,6212,6408,954,7361,2054,237,2291,1673,98,1773,552,25,579,226,17,242,10907,7553,18462
31001,..,5503,5503,6689,735,7431,4423,189,4616,4194,49,4245,1946,7,1957,1516,5,1518,18769,6499,25266
31002,..,5138,5138,8327,625,8951,3361,76,3437,3215,29,3235,1569,13,1587,1067,3,1073,17540,5878,23419
31003,..,10567,10567,12795,1146,13942,6817,171,6990,6296,34,6330,2817,12,2832,1579,0,1579,30311,11932,42244
31004,..,5906,5906,8543,841,9382,6226,176,6400,6487,44,6530,2948,8,2954,2291,0,2297,26502,6968,33469
31101,..,1444,1444,1893,116,2010,751,20,769,641,0,639,312,0,312,219,0,219,3818,1581,5404
31102,..,4414,4414,5091,538,5630,2634,78,2713,2224,20,2247,1056,3,1056,721,0,721,11726,5060,16783
31103,..,5313,5313,7944,830,8783,5210,143,5359,4954,47,5004,2533,14,2544,2294,3,2300,22941,6360,29298
31104,..,2102,2102,5120,329,5449,3411,51,3464,3870,6,3879,2016,4,2017,1457,0,1458,15875,2495,18371
31105,..,4653,4653,6465,553,7021,3711,101,3803,3488,32,3522,1553,8,1561,1199,6,1208,16414,5352,21762
31106,..,6226,6226,7220,731,7950,4409,176,4579,3951,47,3994,1993,19,2006,1676,7,1679,19239,7199,26435
31201,..,3082,3082,3506,284,3790,1469,59,1532,1554,11,1562,823,9,831,378,6,390,7731,3461,11187
31202,..,10278,10278,14225,1080,15299,6396,197,6594,6372,42,6413,2970,11,2981,1391,0,1388,31358,11611,42964
31203,..,2008,2008,2646,283,2931,1037,66,1103,1060,19,1081,423,3,430,164,5,168,5338,2386,7722
31301,..,4680,4680,7374,409,7787,1600,28,1628,1212,7,1223,547,4,550,303,0,300,11036,5136,16169
31302,..,5918,5918,8201,831,9038,4410,132,4546,4054,39,4096,2061,34,2096,1424,31,1456,20153,6990,27147
31303,..,998,998,1714,99,1811,674,19,698,638,15,652,317,11,319,207,0,213,3551,1139,4689
31304,..,4657,4657,7288,497,7784,4014,84,4099,3984,25,4005,1853,5,1856,1202,6,1208,18332,5273,23604
31305,..,8530,8530,8947,694,9636,3494,93,3583,2786,27,2812,1152,0,1154,603,0,608,16981,9347,26329
31401,..,4168,4168,9695,407,10104,5365,92,5454,6692,25,6712,2586,10,2592,1102,0,1104,25443,4698,30140
31402,..,5820,5820,8781,789,9570,5657,119,5778,5814,29,5842,2291,3,2296,1184,5,1186,23733,6759,30492
31403,..,3404,3404,4426,414,4842,2509,73,2585,2235,13,2253,953,4,955,521,0,527,10641,3915,14556
31501,..,2325,2325,2345,195,2538,1241,39,1280,1172,5,1185,749,5,759,930,0,930,6443,2572,9013
31502,..,2830,2830,2715,287,3006,1305,51,1357,1303,12,1313,718,4,719,586,4,585,6629,3185,9817
31503,..,2259,2259,2163,157,2328,744,26,768,656,0,656,348,0,350,198,0,197,4110,2446,6550
