SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED30035,..,3809,3809,6347,472,6822,2878,67,2944,2807,16,2824,1217,0,1215,629,0,629,13877,4362,18246
SED30036,..,4500,4500,5367,578,5941,3638,152,3792,3373,42,3414,1633,7,1637,1337,5,1349,15357,5283,20636
SED30037,..,5207,5207,5597,566,6163,2919,74,2994,2686,18,2706,1175,3,1180,632,0,632,13010,5872,18881
SED30038,..,4435,4435,5819,467,6288,3070,62,3126,2840,3,2841,1331,9,1341,780,0,780,13841,4970,18813
SED30039,..,2666,2666,5588,378,5971,4318,82,4396,5003,16,5025,2195,3,2197,1204,3,1206,18312,3151,21461
SED30040,..,4652,4652,6768,550,7315,2812,164,2974,3006,70,3077,1119,7,1131,463,0,465,14165,5447,19614
SED30041,..,4477,4477,6861,425,7288,2699,69,2766,2801,17,2823,1216,0,1222,642,0,638,14217,4986,19204
SED30042,..,3408,3408,5761,412,6177,3523,77,3603,3615,23,3642,1615,4,1621,890,3,889,15413,3926,19342
SED30043,..,3804,3804,6033,500,6537,2745,120,2867,2629,71,2704,1275,40,1313,930,27,957,13615,4564,18184
SED30044,..,3546,3546,6065,509,6579,3702,86,3785,3614,19,3632,1833,13,1843,1469,0,1470,16680,4171,20849
SED30045,..,5033,5033,6357,486,6844,3474,87,3559,3410,27,3431,1147,4,1153,483,4,487,14874,5634,20504
SED30046,..,5132,5132,6402,627,7028,3487,101,3588,3142,28,3175,1460,4,1471,993,0,993,15482,5890,21375
SED30047,..,6286,6286,6742,606,7348,2937,128,3063,2572,25,2597,1173,10,1184,595,0,599,14022,7056,21073
SED30048,..,6366,6366,6852,1765,8615,3190,718,3909,3150,278,3434,1088,121,1208,276,36,309,14558,9285,23841
SED30049,..,3874,3874,5368,605,5973,3449,226,3668,3943,71,4010,1526,17,1543,712,12,726,14995,4811,19808
SED30050,..,6333,6333,7714,928,8646,2504,235,2739,2048,75,2126,750,13,765,268,10,273,13282,7597,20879
SED30051,..,5305,5305,8150,600,8749,2508,74,2586,2140,9,2151,984,0,984,621,4,621,14402,5994,20401
SED30052,..,13641,13641,9937,2930,12868,2756,712,3469,1449,223,1669,358,77,428,112,28,137,14611,17608,32221
SED30053,..,5196,5196,6501,1054,7558,3023,325,3340,2999,109,3103,970,18,993,357,19,371,13848,6715,20567
SED30054,..,4918,4918,5444,746,6191,2824,342,3168,3148,113,3265,1143,41,1184,365,14,380,12931,6177,19107
SED30055,..,3421,3421,5862,347,6204,2539,48,2581,2549,14,2563,1277,0,1277,625,0,624,12849,3822,16668
SED30056,..,2324,2324,5159,202,5354,3063,52,3116,3908,31,3937,1539,8,1536,541,3,551,14207,2623,16830
SED30057,..,4923,4923,6198,663,6859,3289,112,3399,2900,33,2934,1418,26,1448,1010,27,1038,14819,5791,20604
SED30058,..,3500,3500,5742,424,6160,3209,81,3293,3540,29,3569,1272,0,1273,570,4,572,14330,4040,18364
SED30059,..,3453,3453,6082,509,6589,3646,136,3779,3747,35,3779,1507,9,1518,761,0,766,15745,4146,19886
SED30060,..,3850,3850,5767,518,6280,2985,81,3065,2909,14,2921,1345,8,1345,1014,0,1014,14014,4458,18477
SED30061,..,4691,4691,5471,663,6128,2597,223,2818,2322,93,2414,1018,30,1045,535,10,551,11936,5709,17644
SED30062,..,5247,5247,7202,677,7880,4301,103,4403,4270,21,4292,1688,0,1691,945,5,946,18412,6051,24461
SED30063,..,5767,5767,7476,573,8048,2356,70,2427,1909,27,1937,1071,15,1083,720,8,728,13537,6458,19989
SED30064,..,4412,4412,6263,488,6757,2717,71,2785,2549,13,2563,1170,10,1173,638,0,640,13338,4997,18325
SED30065,..,3774,3774,7027,489,7521,3076,107,3180,3491,20,3514,1421,4,1425,612,5,618,15629,4405,20034
SED30066,..,4688,4688,7564,574,8138,2528,111,2639,2375,32,2405,879,9,890,361,4,356,13707,5419,19122
SED30067,..,6677,6677,6604,924,7528,3430,200,3635,3115,73,3186,1052,18,1064,401,9,406,14601,7903,22496
SED30068,..,3989,3989,5893,245,6143,2570,41,2611,2694,14,2697,1044,0,1040,422,0,424,12611,4291,16903
SED30069,..,3215,3215,5946,358,6299,3265,75,3337,3670,18,3683,1533,0,1533,817,0,816,15238,3655,18895
SED30070,..,5547,5547,8904,540,9440,2437,53,2484,2053,14,2067,980,11,990,614,4,618,14980,6160,21139
SED30071,..,7454,7454,7637,605,8244,2902,74,2980,2275,17,2292,897,0,904,452,0,453,14160,8159,22323
SED30072,..,4568,4568,7111,511,7622,3121,46,3169,3003,11,3019,1232,0,1232,603,0,605,15075,5134,20211
SED30073,..,5978,5978,5894,596,6490,2858,107,2959,2693,35,2721,1157,10,1159,651,3,658,13252,6721,19971
SED30074,..,5026,5026,6107,467,6578,3396,88,3487,3423,22,3445,1227,3,1237,572,3,574,14728,5619,20345
SED30075,..,3936,3936,6907,381,7285,2804,50,2858,2766,6,2770,1343,0,1343,872,5,875,14687,4382,19070
SED30076,..,9807,9807,8480,2415,10897,2918,728,3642,2026,285,2308,685,89,772,247,45,285,14348,13367,27710
SED30077,..,5523,5523,6991,394,7377,2304,59,2360,2018,21,2037,1055,4,1059,599,6,608,12967,6007,18971
SED30078,..,6499,6499,6731,1096,7831,3218,356,3574,2585,131,2719,942,32,978,442,28,466,13925,8142,22063
SED30079,..,3128,3128,5623,313,5936,3348,63,3406,3574,18,3589,1406,3,1415,710,3,717,14662,3529,18192
SED30080,..,6752,6752,6624,970,7592,3277,299,3574,3208,74,3289,1128,28,1157,350,3,360,14587,8133,22719
SED30081,..,2690,2690,4791,445,5235,3678,184,3858,3798,89,3892,1734,47,1782,1213,11,1225,15214,3470,18684
SED30082,..,7639,7639,8069,1206,9277,2504,293,2794,2066,127,2197,628,48,676,278,26,304,13553,9339,22889
SED30083,..,2920,2920,5544,447,5994,3658,98,3755,4090,32,4115,1675,8,1682,940,0,940,15900,3512,19406
SED30084,..,4079,4079,5953,488,6438,3087,113,3197,2590,22,2609,1225,0,1228,819,0,820,13663,4701,18367
SED30085,..,4533,4533,5406,782,6194,3262,404,3658,3141,197,3343,1290,108,1398,885,66,949,13989,6091,20076
SED30086,..,6612,6612,7049,549,7595,2654,119,2772,2394,25,2416,1130,4,1133,710,0,713,13933,7305,21238
SED30087,..,6806,6806,7126,615,7739,3003,147,3151,2591,41,2631,1175,13,1188,701,9,709,14600,7623,22230
SED30088,..,7334,7334,6284,832,7114,2547,156,2704,2070,36,2104,783,9,786,429,0,429,12110,8369,20478
SED30089,..,4191,4191,4227,385,4613,1863,77,1934,1767,12,1780,977,4,984,728,4,725,9553,4672,14232
SED30090,..,4557,4557,5079,383,5461,1988,85,2074,1938,6,1942,999,4,998,583,0,586,10579,5037,15615
SED30091,..,4979,4979,5706,621,6320,3379,111,3491,2880,35,2919,1482,11,1492,1255,7,1260,14695,5763,20458
SED30092,..,3789,3789,6092,514,6611,2652,99,2754,2969,29,2993,1287,8,1294,528,5,534,13528,4436,17965
SED30093,..,4577,4577,5137,716,5849,3609,156,3762,3277,44,3323,1913,9,1926,2126,6,2137,16062,5506,21568
SED39494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED39797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED40001,..,7301,7301,5681,1222,6905,1908,406,2318,1549,114,1657,529,16,540,137,21,157,9806,9078,18881
SED40002,..,5508,5508,4784,643,5430,2404,304,2708,2158,104,2256,679,23,700,261,12,274,10283,6593,16877
SED40003,..,2675,2675,4642,221,4862,2338,41,2376,2384,11,2393,727,9,738,258,0,259,10354,2953,13308
SED40004,..,3753,3753,4515,192,4707,1991,54,2046,2653,37,2691,919,6,925,281,0,286,10358,4052,14404
SED40005,..,4674,4674,5419,310,5727,1734,41,1766,1487,17,1504,740,5,751,296,10,306,9679,5053,14731
SED40006,..,4878,4878,4347,511,4860,2393,115,2511,2145,42,2181,750,10,765,384,7,394,10021,5563,15584
SED40007,..,4084,4084,4772,261,5036,2077,58,2137,2400,17,2419,787,4,793,216,3,216,10251,4427,14676
SED40008,..,4915,4915,4277,654,4931,2472,297,2759,2118,109,2228,811,37,847,572,28,607,10252,6046,16300
SED40009,..,2676,2676,4657,209,4871,2266,49,2319,2352,17,2375,803,18,819,285,8,288,10357,2990,13349
SED40010,..,5641,5641,4901,515,5415,2061,193,2248,2099,61,2165,638,21,662,165,6,180,9864,6440,16304
SED40011,..,4748,4748,4444,444,4891,2263,213,2470,2395,49,2445,809,19,827,273,11,284,10188,5479,15671
SED40012,..,3983,3983,4110,397,4506,2350,64,2416,1980,23,2003,929,4,937,706,0,710,10081,4465,14547
SED40013,..,4249,4249,4243,499,4740,2577,233,2812,2608,111,2721,922,31,953,525,31,559,10879,5162,16033
SED40014,..,4721,4721,6395,271,6669,1492,26,1511,1185,11,1195,494,0,494,209,5,214,9780,5033,14810
SED40015,..,4158,4158,4938,276,5215,1605,45,1647,1600,3,1602,768,0,767,335,0,335,9233,4494,13729
SED40016,..,3967,3967,4351,400,4756,2297,124,2422,2088,40,2130,821,17,842,501,12,515,10069,4568,14633
SED40017,..,3879,3879,5089,320,5408,1849,35,1883,1817,12,1832,920,0,924,460,0,461,10136,4252,14387
SED40018,..,5192,5192,5102,438,5540,2155,155,2306,1895,55,1945,692,13,703,218,3,227,10052,5854,15912
SED40019,..,4978,4978,4360,324,4689,1765,38,1803,1511,12,1527,703,0,703,406,0,411,8750,5361,14111
SED40020,..,4299,4299,5179,291,5467,1823,38,1868,1654,13,1663,729,3,735,419,6,419,9802,4649,14455
SED40021,..,4695,4695,4712,423,5133,2367,142,2509,2345,53,2398,791,22,813,255,15,270,10467,5360,15827
SED40022,..,2308,2308,4515,160,4672,1946,28,1970,2381,10,2384,857,0,861,316,4,318,10005,2504,12514
SED40023,..,3609,3609,4434,255,4691,2190,38,2232,1921,12,1929,750,0,752,321,0,321,9614,3917,13538
SED40024,..,4420,4420,5051,396,5453,2446,50,2496,2189,8,2199,837,0,844,318,0,317,10839,4876,15726
SED40025,..,3270,3270,4806,248,5055,2246,49,2299,2288,11,2296,928,4,927,361,0,363,10626,3583,14209
SED40026,..,2951,2951,4358,166,4522,2252,24,2273,2378,9,2390,910,0,910,398,0,398,10297,3146,13438
SED40027,..,4390,4390,4709,300,5011,2039,65,2103,1682,17,1702,557,5,566,210,4,212,9203,4779,13982
SED40028,..,3775,3775,4457,310,4768,2213,26,2243,1939,10,1948,827,3,830,394,0,394,9825,4123,13949
SED40029,..,4654,4654,5582,294,5879,1742,56,1800,1634,15,1655,835,15,844,325,9,332,10118,5048,15161
SED40030,..,3934,3934,5332,276,5612,1964,34,1987,1871,3,1872,783,0,783,316,0,316,10261,4249,14502
SED40031,..,3031,3031,4460,210,4673,2378,64,2440,2525,12,2535,860,8,863,318,3,321,10539,3324,13863
SED40032,..,5418,5418,4870,436,5301,1881,135,2017,1690,36,1726,523,10,537,135,0,135,9100,6031,15136
SED40033,..,4249,4249,4671,259,4928,1763,39,1800,1702,6,1708,702,0,708,328,0,328,9170,4548,13722
SED40034,..,4496,4496,5633,275,5906,1288,19,1308,1100,3,1099,544,0,544,278,0,284,8840,4797,13636
SED40035,..,3860,3860,4800,250,5047,2155,52,2209,2059,13,2075,716,4,723,302,7,307,10036,4186,14219
SED40036,..,3060,3060,3660,320,3979,2470,91,2562,2400,42,2442,1108,16,1121,827,4,831,10463,3536,13995
SED40037,..,4902,4902,4923,410,5328,2157,61,2220,1793,18,1808,624,0,624,240,4,242,9733,5386,15120
SED40038,..,4425,4425,4041,408,4450,2393,79,2471,2008,22,2031,1082,9,1089,888,8,896,10414,4946,15360
SED40039,..,4530,4530,4767,382,5151,2215,61,2281,1804,11,1812,616,4,617,258,3,259,9656,5000,14649
SED40040,..,3210,3210,5181,201,5388,1979,19,2001,2150,6,2149,884,0,884,373,0,370,10563,3432,13997
SED40041,..,4853,4853,4714,309,5023,1669,24,1696,1336,10,1351,676,0,679,328,9,331,8726,5213,13933
SED40042,..,3775,3775,4019,451,4471,2342,57,2406,2089,12,2100,1028,3,1035,807,4,809,10287,4304,14595
SED40043,..,4451,4451,4804,457,5259,2687,151,2842,2537,64,2601,854,25,875,407,18,418,11282,5165,16448
SED40044,..,4243,4243,4760,378,5135,2004,150,2149,2303,42,2339,809,8,815,170,3,173,10038,4828,14859
SED40045,..,2809,2809,4566,192,4754,2129,50,2183,2699,26,2725,877,12,888,257,8,260,10525,3098,13622
SED40046,..,4511,4511,4319,573,4886,2166,299,2467,2085,107,2191,609,33,644,223,21,239,9403,5538,14940
SED40047,..,3159,3159,4542,212,4756,2301,28,2330,2253,10,2260,816,0,817,353,0,353,10268,3403,13671
SED49494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED49797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,..,4318,4318,5217,281,5502,1880,57,1936,1774,13,1779,783,4,791,402,0,402,10060,4673,14733
SED50202,..,5079,5079,5405,522,5928,2971,69,3039,2508,13,2526,1182,7,1188,827,10,831,12892,5696,18585
SED50304,..,6629,6629,5767,600,6366,2737,137,2871,2294,49,2339,715,8,724,286,6,294,11795,7423,19217
SED50405,..,3430,3430,5277,400,5681,3476,87,3561,3828,20,3848,1751,6,1754,832,0,833,15167,3945,19110
SED50502,..,4079,4079,4678,402,5079,2679,115,2787,2425,31,2453,941,22,963,583,8,592,11305,4648,15952
SED50605,..,3442,3442,5255,248,5497,2587,127,2714,2936,46,2988,1123,20,1147,390,14,401,12299,3890,16187
SED50702,..,6183,6183,5858,765,6624,2754,247,2997,2197,87,2284,834,37,869,438,5,448,12085,7322,19404
SED50805,..,4529,4529,4635,313,4953,2139,82,2216,2493,22,2513,852,4,866,205,0,205,10334,4951,15279
SED50906,..,5160,5160,5559,454,6011,2304,83,2385,2238,19,2255,895,5,899,382,9,392,11380,5728,17111
SED51004,..,2659,2659,4865,261,5127,3024,51,3079,3152,7,3160,1222,0,1225,478,3,478,12736,2988,15728
SED51104,..,4022,4022,5731,319,6046,3477,47,3526,3602,11,3610,1605,4,1608,727,0,727,15135,4398,19534
SED51205,..,4828,4828,5234,655,5887,3220,296,3515,2845,113,2956,1206,35,1238,746,18,765,13253,5933,19183
SED51304,..,2624,2624,4987,185,5171,2251,46,2297,3349,17,3363,1156,3,1164,285,4,291,12033,2878,14907
SED51401,..,4273,4273,5066,271,5339,1575,29,1600,1444,9,1447,764,0,766,378,0,378,9223,4578,13803
SED51504,..,4017,4017,4668,350,5021,2366,117,2483,3247,45,3289,1177,6,1182,283,0,287,11738,4542,16280
SED51605,..,3423,3423,4895,311,5205,2994,85,3084,3486,24,3505,1268,5,1275,494,4,494,13135,3853,16987
SED51706,..,3820,3820,5840,293,6136,2323,29,2352,2412,6,2422,1043,3,1043,447,5,451,12062,4162,16223
SED51804,..,4771,4771,5226,352,5578,2171,121,2292,2534,67,2598,1098,16,1114,272,4,277,11303,5326,16627
SED51902,..,2446,2446,5046,244,5292,2628,35,2661,3003,5,3008,1426,7,1427,804,0,804,12909,2731,15639
SED52006,..,4086,4086,6742,286,7030,2176,36,2210,2068,9,2072,862,11,873,341,0,341,12189,4431,16613
SED52102,..,3588,3588,4652,356,5014,2522,65,2584,2467,20,2486,1091,3,1098,537,4,545,11273,4039,15311
SED52205,..,5979,5979,5808,679,6493,2489,210,2706,2069,74,2140,608,8,620,215,10,225,11192,6968,18157
SED52301,..,3962,3962,4704,335,5035,2023,50,2072,1842,4,1846,817,0,817,420,0,422,9810,4349,14158
SED52404,..,2951,2951,5240,266,5505,2620,65,2684,2978,17,2992,995,3,1001,278,0,280,12110,3301,15406
SED52505,..,2182,2182,4882,215,5098,3645,61,3706,4622,23,4647,1666,5,1673,714,3,713,15522,2486,18011
SED52604,..,2871,2871,5013,319,5337,2478,67,2553,2675,34,2706,997,7,1009,338,11,348,11501,3315,14822
SED52702,..,2693,2693,5094,155,5245,2187,21,2211,2416,6,2421,1101,0,1105,400,0,406,11202,2876,14078
SED52803,..,3404,3404,3437,328,3762,1767,65,1833,1695,12,1712,794,9,798,426,3,426,8117,3818,11942
SED52903,..,2613,2613,2634,277,2916,1415,83,1496,1437,29,1463,798,9,802,792,6,794,7075,3013,10089
SED53004,..,3102,3102,5190,208,5400,2585,30,2613,2890,16,2900,1005,3,1009,314,3,321,11987,3355,15344
SED53105,..,3692,3692,4611,423,5034,2977,74,3047,3171,19,3186,1275,9,1280,662,3,663,12689,4220,16908
SED53204,..,2312,2312,4145,187,4337,2992,33,3026,3869,13,3881,1444,3,1449,707,4,711,13163,2544,15710
SED53306,..,5692,5692,5937,395,6336,2432,64,2498,2230,8,2245,943,3,944,474,0,479,12018,6172,18190
SED53402,..,6207,6207,5501,696,6195,2598,188,2780,2314,51,2361,614,20,633,199,10,208,11228,7157,18385
SED53502,..,5217,5217,5480,474,5958,2764,89,2850,2475,16,2497,947,3,954,504,0,502,12170,5803,17976
SED53602,..,4504,4504,4403,483,4888,2712,144,2853,2391,46,2436,1173,25,1195,972,3,977,11652,5196,16851
SED53701,..,3751,3751,5400,253,5655,1608,22,1630,1531,9,1543,818,3,821,390,0,393,9749,4044,13791
SED53802,..,4782,4782,5524,481,6001,2823,149,2971,2450,47,2498,949,12,969,465,13,475,12207,5491,17698
SED53902,..,6174,6174,5383,560,5944,2353,167,2524,2152,71,2222,674,18,694,227,8,235,10799,6997,17793
SED54006,..,3600,3600,5798,273,6073,2166,35,2201,2237,10,2244,1040,3,1047,545,7,550,11784,3932,15716
SED54104,..,5884,5884,5578,601,6181,2206,212,2418,2462,96,2560,964,21,985,214,9,221,11430,6824,18247
SED54203,..,1937,1937,2019,152,2172,776,37,818,842,20,859,393,15,405,254,5,259,4282,2167,6449
SED54304,..,8760,8760,7445,1358,8808,2478,479,2956,2004,120,2123,510,21,530,111,10,128,12544,10755,23301
SED54403,..,3047,3047,3329,321,3648,1987,74,2065,2293,16,2310,1116,0,1120,577,8,578,9305,3469,12771
SED54505,..,2771,2771,4250,173,4419,2670,54,2717,3607,19,3631,1403,11,1406,526,0,529,12448,3029,15478
SED54605,..,5639,5639,5622,393,6017,2192,50,2241,1754,5,1761,714,3,716,323,0,324,10605,6096,16698
SED54701,..,4219,4219,4765,298,5062,1596,42,1645,1656,7,1669,809,7,820,390,7,398,9228,4584,13811
SED54804,..,5744,5744,5765,740,6502,2584,269,2853,2582,64,2650,690,9,702,153,9,159,11771,6827,18603
SED54905,..,5624,5624,5725,632,6352,2276,243,2516,2162,57,2219,698,19,721,189,9,204,11052,6585,17632
SED55005,..,2696,2696,4106,257,4361,3002,56,3064,3760,26,3788,1580,17,1599,886,0,890,13334,3059,16389
SED55102,..,2604,2604,4811,254,5068,2741,32,2772,3112,6,3121,1390,0,1396,778,0,784,12839,2905,15736
SED55202,..,4557,4557,4961,457,5416,2718,102,2818,2538,38,2580,1219,9,1230,828,6,838,12257,5174,17430
SED55306,..,3968,3968,5887,330,6222,2185,72,2257,2391,24,2415,961,4,966,350,3,351,11779,4397,16174
SED55405,..,6525,6525,5421,950,6376,2576,504,3075,2186,253,2438,669,113,781,311,65,378,11159,8406,19568
SED55504,..,3219,3219,4812,275,5084,3120,66,3186,3406,13,3415,1372,6,1374,683,4,686,13390,3574,16967
SED55605,..,2830,2830,4875,296,5164,3025,41,3067,3258,8,3270,1439,7,1443,680,0,680,13271,3184,16452
SED55706,..,4634,4634,6142,345,6484,2008,66,2077,1877,35,1911,845,4,853,337,6,347,11211,5094,16300
SED55802,..,3096,3096,4912,344,5255,3407,67,3473,3473,19,3489,1441,10,1452,832,0,836,14065,3538,17602
SED55905,..,4341,4341,4980,405,5393,2473,122,2596,2231,49,2277,747,21,767,287,3,295,10720,4950,15669
SED59494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SED60105,..,3237,3237,3173,280,3451,1317,83,1399,1188,25,1211,463,4,467,160,5,167,6303,3632,9933
SED60106,..,1038,1038,1232,76,1310,326,7,327,294,0,301,138,0,138,74,0,72,2064,1122,3181
SED60113,..,4211,4211,5293,329,5620,2074,61,2134,1913,32,1946,749,4,755,312,0,318,10344,4636,14980
SED60115,..,4703,4703,4944,465,5413,2200,121,2324,1747,60,1806,761,23,781,473,5,482,10126,5377,15497
SED60207,..,4748,4748,5615,355,5962,2143,49,2187,1721,14,1735,692,3,692,330,7,335,10493,5171,15664
SED60208,..,3926,3926,4807,221,5025,1772,26,1794,1540,10,1543,606,6,608,289,4,289,9010,4181,13192
SED60209,..,5113,5113,5465,325,5786,1839,40,1880,1691,8,1701,718,13,727,364,0,364,10076,5497,15567
SED60301,..,1966,1966,1891,137,2027,1046,43,1088,823,14,836,348,6,355,182,0,182,4288,2167,6457
SED60302,..,4652,4652,4198,423,4627,2136,154,2288,1712,76,1785,761,35,793,487,17,508,9301,5358,14652
SED60303,..,4512,4512,4358,570,4928,1853,376,2228,1736,170,1912,581,46,630,218,26,243,8750,5699,14448
SED60304,..,19,19,50,4,56,19,0,19,23,0,23,3,0,3,5,0,5,108,20,124
SED60310,..,2061,2061,2603,235,2841,1044,120,1160,1071,97,1167,422,54,476,190,19,205,5333,2579,7911
SED60404,..,3204,3204,4985,231,5221,1957,35,1986,1865,0,1862,826,0,826,424,3,427,10056,3472,13526
SED60410,..,1736,1736,1984,158,2137,930,64,995,888,24,911,330,10,338,133,6,138,4264,1991,6255
SED60411,..,3784,3784,4364,264,4627,1874,85,1963,1668,40,1706,607,11,620,220,5,229,8740,4197,12936
SED60414,..,2251,2251,3305,183,3485,1667,44,1709,1544,6,1553,657,3,660,294,0,294,7474,2492,9957
SED60501,..,2244,2244,2600,164,2762,1285,20,1305,1068,10,1080,470,3,472,320,0,320,5743,2442,8181
SED60505,..,1087,1087,1462,67,1528,659,10,667,565,0,569,187,0,187,88,0,88,2962,1169,4129
SED60506,..,3770,3770,4732,245,4973,1583,26,1612,1253,7,1263,587,4,592,281,0,284,8443,4050,12495
SED60508,..,486,486,759,41,802,251,0,259,223,0,223,103,0,103,45,0,45,1386,532,1917
SED60512,..,3770,3770,5024,272,5297,1937,16,1956,1614,5,1626,605,0,604,309,5,306,9491,4075,13563
SED60514,..,845,845,1398,65,1468,641,15,659,557,5,558,211,0,211,83,0,83,2898,931,3826
SED69494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED69797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED70001,..,333,333,329,24,353,218,3,221,212,0,212,176,0,178,514,0,514,1443,366,1807
SED70002,..,840,840,890,131,1024,578,54,632,511,18,526,233,3,239,150,0,150,2361,1044,3403
SED70003,..,258,258,326,17,339,218,4,221,272,0,271,208,0,206,489,3,495,1500,289,1792
SED70004,..,565,565,460,51,514,217,7,220,220,0,220,169,0,169,375,0,375,1444,619,2064
SED70005,..,617,617,747,86,834,517,20,538,485,10,494,228,0,235,122,0,122,2103,732,2840
SED70006,..,889,889,819,125,944,492,50,545,416,18,436,172,6,177,124,5,130,2023,1098,3119
SED70007,..,551,551,808,90,903,566,23,586,566,6,573,238,0,238,112,0,112,2289,674,2961
SED70008,..,557,557,769,74,849,496,37,531,554,19,576,235,7,241,141,4,146,2203,694,2896
SED70009,..,680,680,791,78,867,271,13,290,269,0,269,191,0,191,330,0,330,1856,770,2625
SED70010,..,828,828,763,106,868,508,18,528,405,3,407,191,0,198,120,0,120,1981,953,2938
SED70011,..,937,937,937,160,1095,458,45,507,372,23,393,138,9,141,67,4,69,1969,1175,3146
SED70012,..,800,800,907,204,1110,511,62,574,349,22,372,123,4,122,69,0,66,1963,1094,3056
SED70013,..,580,580,881,73,954,504,29,523,499,11,508,248,0,257,176,0,180,2312,685,2994
SED70014,..,568,568,294,36,330,142,3,143,153,0,160,138,0,138,455,0,455,1184,611,1794
SED70015,..,763,763,850,128,981,526,54,576,453,21,472,195,0,201,116,0,116,2135,961,3098
SED70016,..,619,619,682,85,766,499,26,523,411,5,412,220,4,228,171,3,175,1994,734,2720
SED70017,..,654,654,732,103,841,377,35,409,342,10,353,205,4,208,164,6,165,1818,809,2622
SED70018,..,293,293,306,31,341,212,8,213,279,0,282,162,0,162,487,0,487,1452,332,1779
SED70019,..,837,837,747,59,801,414,26,438,389,4,394,237,0,239,266,0,266,2055,932,2983
SED70020,..,465,465,818,61,877,399,14,412,500,3,504,234,0,234,136,0,136,2094,546,2634
SED70021,..,1088,1088,930,179,1114,544,56,600,409,23,432,140,12,151,85,0,83,2102,1362,3470
SED70022,..,1552,1552,1356,274,1641,505,130,635,397,27,426,105,19,121,41,4,48,2417,2005,4423
SED70023,..,496,496,776,96,878,530,22,550,455,3,463,200,0,200,114,0,114,2082,619,2700
SED70024,..,564,564,987,97,1085,730,37,767,764,10,771,332,0,332,166,0,166,2980,703,3683
SED70025,..,494,494,832,78,908,606,25,635,617,13,625,269,3,274,158,4,168,2484,620,3103
SED79494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED79797,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SED80001,..,6912,6912,9482,495,9980,5184,120,5307,5264,30,5299,2030,8,2040,925,5,933,22893,7576,30460
SED80002,..,9054,9054,10916,1064,11972,5495,484,5982,5493,154,5648,2002,40,2050,907,32,938,24809,10832,35649
SED80003,..,12241,12241,10709,1772,12488,3923,837,4761,3572,291,3867,1163,93,1252,365,28,394,19732,15273,35008
SED80004,..,8939,8939,10379,694,11074,5054,250,5303,5560,90,5650,2002,26,2022,740,8,745,23727,10001,33734
SED80005,..,6183,6183,8809,723,9536,6193,312,6499,7074,178,7247,2750,64,2818,1223,44,1266,26046,7501,33549
SED89494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED89797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99191,..,492,492,507,26,529,187,0,185,168,0,168,97,0,98,62,0,62,1008,525,1533
SED99494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED99797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
