SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED10011,8063,8102,2795,186,19148,6359,654,26163,143,38,83,3,273,427,21,724,103,54,73,3,233,293,7,536,247,92,160,7,509,725,30,1256,63,31,37,3,135,430,12,583,32,12,14,0,57,115,6,189,3,0,5,0,8,27,0,31,0,0,0,0,0,0,0,0,42,23,15,0,80,45,3,128,135,67,71,4,284,622,25,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,7,0,11,22,3,38,13,0,4,0,16,25,3,47,11,11,0,0,17,47,0,71,8469,8266,3031,201,19973,7770,717,28465
SED10012,3320,8245,3504,363,15432,2266,348,18045,69,144,116,10,338,187,7,531,381,872,692,65,2005,497,89,2596,447,1008,811,75,2349,683,100,3127,113,200,181,18,508,248,41,795,312,373,295,52,1034,499,113,1644,56,73,74,15,216,104,19,343,0,0,0,0,0,0,0,0,61,95,74,14,241,84,21,345,542,749,620,90,2001,936,194,3132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,13,18,3,35,4,9,0,0,15,17,3,37,8,17,3,4,35,24,6,59,4325,10028,4946,536,19827,3925,644,24396
SED10013,8762,19097,4442,316,32622,4381,599,37602,206,141,103,8,451,442,16,905,269,400,259,12,938,439,34,1409,473,540,356,20,1384,877,45,2308,44,13,22,3,82,154,5,239,6,0,0,0,6,19,0,25,5,0,6,0,9,23,0,35,0,0,0,0,0,0,0,0,24,42,20,0,92,45,0,134,87,57,45,4,192,240,4,439,4,0,0,0,5,17,0,18,25,4,10,0,35,80,0,122,0,0,0,0,0,0,0,5,5,0,3,0,7,8,0,13,36,9,12,0,53,106,3,163,31,42,16,0,87,36,0,117,9384,19737,4871,346,34337,5640,653,40631
SED10014,4941,8635,3803,310,17681,3522,556,21759,239,247,284,24,800,576,49,1426,407,337,464,29,1232,806,53,2090,653,587,749,50,2032,1376,95,3508,129,70,72,9,285,453,15,749,117,35,39,5,185,239,13,443,309,224,160,21,722,484,69,1279,50,29,8,5,98,81,3,180,34,40,20,0,95,88,5,189,640,399,295,49,1386,1342,106,2835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,3,0,0,7,23,4,32,6233,9623,4841,409,21105,6261,770,28142
SED10015,3548,6981,2129,232,12890,2521,470,15883,236,335,145,16,737,312,49,1096,542,954,374,31,1904,516,83,2505,777,1287,525,50,2639,833,138,3603,1067,1053,595,133,2847,1651,386,4886,748,755,407,83,1992,1008,265,3265,1052,877,392,80,2401,989,261,3644,300,174,74,27,574,190,77,844,37,66,14,0,125,40,9,170,3203,2923,1485,323,7939,3871,999,12804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,37,17,0,98,69,24,188,40,37,17,0,98,69,24,188,13,13,0,3,22,30,18,73,7578,11238,4158,609,23589,7322,1643,32550
SED10016,5847,15687,2220,151,23895,2035,252,26181,151,49,16,3,221,193,7,421,416,993,281,14,1701,366,29,2104,569,1039,296,20,1922,559,43,2527,93,99,35,5,230,184,7,426,191,216,98,9,504,181,18,704,421,335,135,20,907,387,40,1338,132,116,46,13,313,135,18,469,22,30,9,0,58,28,0,90,860,795,323,47,2016,920,91,3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,5,12,5,8,0,21,12,0,34,7281,17524,2850,208,27864,3527,385,31777
SED10017,7820,9615,4267,296,22000,5614,680,28291,286,152,297,16,756,863,47,1664,42,20,54,0,116,183,18,320,331,174,354,21,874,1050,65,1986,54,11,29,6,95,308,10,413,0,3,0,0,4,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,11,0,40,20,5,70,75,22,42,5,143,345,14,499,6,0,0,0,3,32,0,38,0,0,0,0,0,0,3,11,0,0,0,0,3,3,0,7,5,4,6,0,12,15,0,28,16,4,4,0,22,54,3,82,21,14,6,0,37,26,3,61,8256,9826,4669,323,23069,7081,766,30918
SED10018,6436,8626,2908,234,18210,4652,700,23563,415,126,250,25,818,1134,69,2023,440,219,246,26,932,633,95,1656,859,341,498,49,1749,1765,159,3674,135,49,63,9,263,428,48,736,34,0,3,0,42,70,3,112,84,15,17,0,115,120,14,244,72,18,17,0,113,97,24,227,14,7,7,0,26,11,5,46,341,85,108,13,552,730,91,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,9,3,20,4,0,0,0,8,9,3,20,0,5,0,0,4,17,0,24,7640,9057,3520,297,20517,7177,954,28647
SED10019,8726,6259,3214,288,18488,6183,800,25476,291,81,151,15,536,854,36,1432,166,85,118,9,382,318,31,730,457,162,271,27,920,1173,75,2167,158,47,112,9,326,696,37,1058,30,3,6,0,41,44,3,90,8,0,0,0,8,15,0,22,0,0,0,0,0,0,0,0,13,5,4,0,21,37,3,62,201,58,125,8,395,796,42,1239,54,13,4,6,72,132,4,206,96,3,17,0,123,209,5,337,5,3,3,0,9,11,4,25,56,44,11,5,116,55,7,183,211,64,40,12,323,413,19,751,27,15,16,0,55,67,9,126,9618,6558,3667,330,20179,8633,945,29755
SED10020,7275,6827,2941,188,17233,4604,707,22545,442,211,277,10,931,1013,85,2037,376,227,217,20,839,546,86,1472,818,438,494,30,1774,1561,174,3508,355,220,293,39,895,1224,111,2228,77,36,61,3,174,202,23,387,75,10,11,3,101,157,12,265,43,3,6,0,58,53,4,115,19,12,7,0,36,41,3,77,568,276,374,49,1258,1668,148,3078,49,9,8,3,68,78,15,163,83,12,12,0,109,213,9,330,0,0,0,0,0,5,0,5,5,6,0,0,13,8,0,23,140,26,22,6,192,299,23,521,36,17,14,0,64,59,4,127,8828,7590,3837,271,20524,8195,1050,29774
SED10021,1224,2921,466,42,4650,684,167,5501,550,1137,251,19,1949,542,130,2628,755,1517,319,39,2630,579,148,3359,1306,2647,568,55,4581,1125,281,5985,1096,744,318,51,2207,1482,468,4156,3251,1464,750,158,5623,3888,1393,10907,1145,553,211,37,1944,1387,316,3655,753,245,131,16,1153,926,168,2233,21,27,5,3,52,20,4,77,6268,3041,1413,267,10976,7699,2354,21033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,73,42,11,306,245,96,648,176,73,42,11,306,245,96,648,5,10,0,0,15,21,0,44,8975,8694,2481,375,20526,9776,2898,33207
SED10022,8367,6522,2818,282,17992,7249,564,25792,173,72,85,6,339,836,23,1200,14,4,8,0,25,55,5,92,190,78,89,9,367,894,29,1285,44,23,17,3,95,383,19,499,9,0,0,0,9,25,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,12,48,24,23,3,107,415,24,540,9,4,0,0,13,38,5,49,14,5,0,0,16,18,3,34,3,0,3,0,10,7,0,13,27,15,13,0,49,47,3,104,52,23,14,0,92,102,10,207,27,22,3,0,59,45,3,103,8688,6671,2954,291,18601,8710,628,27933
SED10023,4253,8387,1360,108,14104,1917,186,16206,230,139,71,5,445,385,13,839,885,964,357,17,2216,857,51,3121,1110,1099,431,25,2662,1237,68,3961,454,188,142,11,791,1096,99,1990,1095,489,384,30,2004,1468,219,3687,665,251,175,22,1114,717,100,1933,365,116,88,6,582,438,41,1066,23,15,4,0,43,10,0,51,2599,1074,795,72,4535,3733,457,8719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,8,8,0,39,23,11,80,25,8,8,0,47,25,16,84,10,6,0,0,20,15,0,38,7989,10578,2590,205,21371,6929,716,29011
SED10024,4871,11380,1748,122,18118,2007,187,20310,61,32,11,0,101,72,0,176,323,270,114,6,711,390,9,1108,381,297,128,3,811,466,9,1286,305,107,72,11,490,601,19,1108,139,131,59,10,337,252,31,621,849,951,363,31,2204,855,86,3147,49,38,16,0,101,44,0,142,26,23,6,0,52,20,5,74,1364,1248,520,59,3185,1769,141,5101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,8,3,0,12,4,5,0,0,8,3,0,12,6,9,0,0,13,10,0,28,6627,12938,2395,182,22138,4253,339,26732
SED10025,2924,5841,1146,140,10045,1796,217,12061,257,388,113,13,767,251,26,1050,578,702,242,21,1548,447,47,2041,840,1085,358,32,2313,694,76,3084,881,580,307,41,1812,1209,125,3152,862,494,247,45,1642,1054,133,2823,2210,1266,470,72,4014,1907,297,6222,1478,807,294,70,2641,1140,307,4091,21,26,5,4,54,26,4,83,5451,3161,1329,226,10161,5339,869,16369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,59,42,4,202,111,40,362,105,59,42,4,202,111,40,362,10,9,0,0,19,25,0,37,9314,10157,2863,405,22743,7961,1204,31912
SED10026,7440,7994,3270,305,19004,5807,767,25583,435,203,185,20,842,1157,79,2078,19,11,6,0,33,44,5,89,447,215,192,20,877,1209,87,2168,208,123,67,0,401,777,51,1234,4,0,0,0,3,21,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,15,3,3,20,219,127,70,0,421,797,54,1269,12,0,0,0,13,47,6,68,9,4,3,0,15,38,0,57,5,0,0,0,5,5,0,13,18,20,6,0,39,36,0,79,46,17,11,0,78,127,4,209,16,21,11,0,48,46,8,96,8165,8376,3549,327,20424,7984,926,29332
SED10027,4153,8249,2511,252,15159,2901,388,18451,296,413,185,20,909,473,31,1410,930,2346,762,70,4114,852,74,5047,1227,2760,950,91,5027,1327,111,6458,90,40,40,3,178,422,11,606,74,32,22,0,131,177,8,320,44,25,23,5,96,95,8,197,0,0,0,0,0,0,0,0,47,40,28,4,121,76,11,203,258,139,122,12,527,766,34,1334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,15,0,65,42,13,118,22,23,15,0,65,42,13,118,10,18,3,0,32,17,0,46,5664,11182,3602,352,20803,5050,547,26404
SED10028,4743,10374,1528,125,16767,1930,256,18956,178,212,58,0,448,352,13,802,532,1242,282,26,2075,509,36,2624,709,1454,335,25,2523,855,46,3423,134,38,24,3,206,462,11,676,274,457,149,24,904,467,89,1462,934,1329,372,44,2679,753,188,3627,260,315,83,21,683,219,51,957,35,41,9,8,88,31,3,123,1642,2176,645,98,4559,1931,351,6841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,3,0,12,0,9,0,0,5,3,0,12,12,10,0,0,25,20,5,48,7100,14021,2515,251,23882,4741,654,29274
SED10029,2996,7943,3183,344,14461,2484,427,17379,126,275,132,15,547,275,19,847,437,1595,729,59,2820,511,59,3399,570,1871,862,75,3371,788,79,4242,268,341,263,44,912,863,41,1815,207,252,191,26,677,426,38,1142,292,438,290,52,1073,511,32,1617,109,152,97,13,373,165,16,554,46,141,49,4,246,65,15,330,928,1314,889,137,3276,2033,149,5457,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,10,0,37,25,6,60,19,12,10,0,41,26,6,69,19,37,16,4,73,32,0,109,4528,11174,4956,565,21228,5365,666,27249
SED10030,5669,6572,2806,200,15251,4651,655,20556,826,324,342,37,1536,1757,114,3410,549,334,332,29,1242,918,71,2239,1376,658,680,69,2783,2679,189,5643,416,225,249,31,923,1373,75,2371,153,74,79,11,313,358,38,715,504,162,143,26,832,622,132,1592,130,53,46,7,235,185,28,449,28,17,26,0,77,45,4,130,1240,533,542,71,2384,2599,273,5251,0,0,0,0,3,6,0,14,47,23,36,3,112,211,17,336,0,0,0,0,0,0,0,0,13,3,6,0,19,24,0,50,54,28,46,3,132,244,22,399,20,13,8,0,40,84,3,138,8365,7802,4080,341,20586,10255,1142,31985
