SED_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
SED20207,28264,..,..,..,..,28264,..,180,0,183,0,183,..,705,69,781,3,784,..,0,0,0,0,0,..,639,171,815,13,820,..,2311,845,3158,37,3192,..,91,27,119,0,119,..,3040,1042,4086,49,4130,..,217,22,240,0,240,..,172,11,185,0,182,..,108,4,110,0,110,..,535,70,605,6,613,..,312,9,323,8,326,..,589,22,604,4,611,..,2298,71,2368,21,2385,..,178,13,189,7,195,..,1325,83,1405,20,1430,..,305,10,313,8,318,..,863,30,893,24,920,..,382,10,387,9,394,..,6238,248,6482,96,6579,..,457,31,487,4,489,..,85,11,92,4,96,..,77,13,93,0,93,..,214,64,281,4,283,..,416,55,470,7,474,..,294,8,305,3,304,..,220,24,245,6,248,..,122,9,130,0,134,..,176,17,186,4,189,..,129,15,150,0,150,..,204,17,220,0,223,..,255,45,300,0,297,..,340
SED20302,39616,..,..,..,..,39616,..,67,0,64,0,64,..,368,28,394,3,395,..,6,0,4,0,4,..,99,34,133,0,130,..,321,167,489,9,502,..,32,16,45,0,45,..,450,214,665,7,677,..,44,6,55,0,55,..,177,4,187,0,189,..,86,3,89,0,89,..,177,24,196,3,201,..,135,3,138,0,142,..,460,32,497,3,499,..,648,19,669,3,670,..,81,7,87,0,91,..,2804,248,3050,37,3087,..,1495,81,1576,21,1596,..,293,19,310,0,310,..,132,3,134,6,140,..,6046,416,6464,75,6535,..,259,22,287,5,293,..,36,0,36,0,36,..,87,23,108,0,108,..,48,22,65,3,65,..,24,6,29,0,29,..,605,40,642,4,648,..,74,15,91,0,92,..,49,5,49,0,51,..,46,6,58,0,58,..,42,8,49,3,54,..,125,11,140,0,144,..,60,9,65,3,72,..,263
SED20401,23737,..,..,..,..,23737,..,22,0,22,0,22,..,79,12,86,0,91,..,3,0,3,0,5,..,583,156,745,4,746,..,942,335,1273,19,1290,..,50,4,53,0,55,..,1577,495,2074,25,2095,..,28,10,33,0,33,..,53,6,53,0,53,..,204,14,219,0,217,..,145,12,159,0,160,..,35,0,35,0,35,..,174,11,189,0,187,..,249,6,259,3,261,..,60,9,71,0,71,..,206,21,224,3,231,..,295,14,311,6,317,..,55,4,63,0,63,..,54,4,56,0,56,..,1135,71,1204,22,1228,..,118,14,128,4,130,..,39,5,42,4,45,..,51,15,63,0,63,..,126,23,150,0,154,..,9,0,13,0,14,..,100,10,112,5,113,..,163,30,194,5,201,..,66,11,76,0,75,..,17,3,20,0,20,..,46,9,47,0,51,..,16,0,16,0,16,..,45,7,53,0,54,..,77
SED20508,31113,..,..,..,..,31113,..,22,0,22,0,22,..,13,0,12,0,12,..,0,0,0,0,0,..,13,0,21,0,20,..,63,25,86,7,90,..,0,4,5,0,5,..,75,36,114,6,115,..,51,6,59,0,59,..,47,4,49,0,49,..,65,0,65,0,71,..,160,30,191,4,195,..,8,0,8,0,8,..,9,0,13,0,13,..,38,0,38,0,39,..,12,0,10,0,14,..,47,5,48,0,49,..,7,0,7,0,9,..,12,0,11,0,11,..,5,0,5,0,5,..,126,7,133,5,138,..,177,16,193,4,193,..,18,0,18,0,18,..,0,0,0,0,0,..,3,0,3,0,3,..,22,0,27,0,27,..,20,0,18,0,18,..,6,0,9,0,9,..,25,0,29,0,29,..,17,0,18,0,18,..,7,0,7,0,7,..,3,0,3,0,3,..,11,3,16,0,16,..,20
SED20604,30719,..,..,..,..,30719,..,14,0,14,0,21,..,45,4,44,0,44,..,15,0,11,0,11,..,15,9,20,0,20,..,54,20,70,0,73,..,4,0,5,0,5,..,68,25,96,0,100,..,33,4,40,0,48,..,40,5,48,0,47,..,80,4,81,0,82,..,14,0,14,0,21,..,15,0,15,0,15,..,31,0,28,0,28,..,43,6,47,0,47,..,87,28,118,3,117,..,109,5,111,0,114,..,24,0,30,0,30,..,18,0,18,0,18,..,5,0,5,0,5,..,336,41,380,4,380,..,81,0,80,0,81,..,10,0,7,0,7,..,10,0,10,0,10,..,17,5,18,0,18,..,0,6,8,0,8,..,43,3,48,0,49,..,10,0,10,0,10,..,10,0,10,0,10,..,12,0,11,0,17,..,5,0,5,0,5,..,5,0,5,0,10,..,24,5,25,0,25,..,49
SED20704,30873,..,..,..,..,30873,..,36,0,36,0,36,..,79,4,83,0,89,..,20,0,20,0,20,..,34,3,45,5,47,..,139,42,177,0,177,..,0,0,0,0,0,..,178,49,222,5,224,..,6,0,8,0,8,..,28,3,28,0,28,..,27,0,29,0,31,..,39,3,49,0,48,..,31,0,31,0,31,..,17,0,20,0,20,..,77,0,77,0,79,..,33,0,32,0,32,..,126,4,139,6,137,..,73,4,79,0,76,..,47,3,51,0,51,..,12,0,12,0,12,..,412,17,429,5,436,..,54,0,52,0,59,..,16,0,16,0,16,..,0,0,0,0,0,..,8,4,16,0,16,..,0,0,0,0,0,..,132,12,151,0,153,..,14,0,11,0,11,..,8,0,8,0,8,..,15,0,13,0,13,..,4,0,4,0,4,..,0,0,5,0,5,..,0,0,0,0,0,..,51
SED20804,26808,..,..,..,..,26808,..,15,0,15,0,15,..,32,3,34,0,37,..,10,0,10,0,10,..,25,5,28,0,28,..,61,31,84,0,84,..,5,0,5,0,5,..,86,28,118,0,118,..,7,4,7,0,7,..,27,0,26,0,34,..,39,3,39,0,38,..,46,9,52,0,52,..,4,0,4,0,4,..,22,0,22,0,22,..,38,0,42,0,42,..,31,0,35,0,34,..,119,7,125,4,124,..,24,6,31,0,31,..,17,0,18,0,18,..,11,0,16,0,16,..,271,14,287,4,294,..,38,0,38,0,38,..,19,0,21,0,21,..,4,0,3,0,3,..,10,0,9,0,9,..,3,0,3,0,3,..,89,5,93,6,98,..,17,0,14,0,14,..,8,0,7,0,7,..,9,0,9,0,9,..,12,0,11,0,11,..,4,0,7,0,7,..,7,0,6,0,6,..,38
SED20906,21412,..,..,..,..,21412,..,48,0,48,0,46,..,143,15,163,0,160,..,4,0,5,0,5,..,334,80,407,0,407,..,1724,446,2165,21,2189,..,42,16,57,0,57,..,2090,533,2627,21,2653,..,56,10,66,0,70,..,146,3,149,3,151,..,92,5,96,0,96,..,1177,159,1328,8,1336,..,34,0,34,0,40,..,162,8,166,5,173,..,412,15,429,0,429,..,39,0,39,0,36,..,110,8,120,3,117,..,86,3,91,0,91,..,22,0,22,0,22,..,83,0,79,0,79,..,960,27,988,9,997,..,374,34,411,8,420,..,156,34,186,0,186,..,17,0,22,6,23,..,160,27,183,0,183,..,25,3,31,0,31,..,59,0,59,0,60,..,78,5,80,0,80,..,145,9,152,0,150,..,77,0,83,0,83,..,847,147,994,8,1000,..,0,5,4,0,4,..,110,12,122,4,123,..,31
SED21001,20331,..,..,..,..,20331,..,12,0,12,0,12,..,113,13,124,0,128,..,0,0,0,0,0,..,1371,459,1829,25,1853,..,4165,2072,6243,45,6287,..,190,65,255,3,256,..,5726,2594,8323,72,8396,..,16,4,21,0,21,..,85,3,85,0,85,..,85,0,88,0,88,..,476,58,533,4,538,..,67,0,68,0,68,..,179,7,188,6,194,..,400,4,406,0,406,..,102,4,107,0,104,..,218,8,233,0,231,..,206,11,211,0,212,..,130,0,130,3,130,..,74,4,78,0,78,..,1381,43,1423,14,1432,..,266,29,297,4,299,..,117,13,127,5,131,..,15,6,15,0,15,..,199,65,262,3,266,..,29,0,27,0,27,..,108,3,110,0,110,..,229,29,257,6,262,..,21,6,27,0,28,..,18,0,18,0,19,..,25,0,25,0,25,..,5,0,5,0,5,..,36,4,35,0,40,..,82
SED21106,23773,..,..,..,..,23773,..,31,0,30,0,30,..,85,6,88,0,87,..,0,0,0,0,0,..,109,9,123,5,125,..,650,162,810,6,817,..,16,10,29,0,29,..,781,181,961,11,965,..,53,5,52,0,52,..,178,9,188,6,188,..,159,11,163,3,169,..,537,37,572,0,577,..,7,0,7,0,7,..,13,0,13,0,13,..,109,0,113,0,113,..,14,0,16,0,16,..,27,0,27,0,26,..,33,0,33,0,28,..,14,0,14,0,14,..,6,0,3,0,3,..,217,4,218,5,221,..,326,16,339,4,342,..,77,19,92,0,92,..,5,0,0,0,0,..,30,6,32,0,32,..,33,0,33,0,33,..,6,0,6,0,6,..,42,3,50,0,52,..,100,9,110,0,106,..,76,0,76,0,76,..,344,41,383,4,389,..,5,0,5,0,6,..,49,0,49,0,49,..,11
SED21203,11322,..,..,..,..,11322,..,7,0,7,0,7,..,4805,1060,5870,54,5921,..,5,0,5,0,5,..,76,39,115,0,116,..,133,71,199,0,201,..,17,9,18,0,23,..,222,108,336,5,339,..,90,22,117,0,117,..,29,0,29,0,29,..,19,0,22,0,22,..,465,132,595,4,600,..,318,22,338,3,343,..,80,0,80,0,80,..,287,12,301,4,299,..,978,95,1074,17,1095,..,259,18,272,3,279,..,265,11,278,0,278,..,2447,132,2583,36,2619,..,77,0,74,0,78,..,4707,301,5004,70,5074,..,881,221,1101,8,1109,..,24,0,21,0,27,..,3,0,4,0,4,..,16,3,20,0,20,..,39,9,48,0,48,..,81,5,84,0,86,..,91,40,136,0,132,..,44,0,51,0,51,..,49,10,56,0,56,..,10,3,13,0,13,..,206,34,238,3,239,..,55,13,71,0,71,..,127
SED21303,25319,..,..,..,..,25319,..,13,0,17,0,17,..,770,119,890,4,892,..,0,0,0,0,0,..,212,54,274,0,271,..,498,105,608,7,613,..,28,6,29,0,29,..,742,165,911,8,919,..,63,8,69,0,69,..,175,7,181,5,186,..,207,0,205,4,205,..,1116,321,1437,8,1448,..,69,0,77,0,76,..,22,0,22,0,20,..,153,9,162,0,162,..,280,5,281,6,290,..,60,0,58,0,58,..,60,0,65,0,65,..,133,0,138,0,136,..,36,0,36,0,36,..,821,14,837,6,840,..,1361,232,1591,11,1600,..,98,11,111,0,110,..,12,0,11,0,11,..,48,10,55,0,55,..,43,0,45,0,47,..,36,0,32,0,35,..,93,5,103,0,103,..,41,6,50,0,50,..,95,3,107,0,105,..,48,3,48,0,52,..,0,0,0,0,0,..,43,7,49,0,49,..,35
SED21401,15457,..,..,..,..,15457,..,45,0,45,0,45,..,600,43,640,5,649,..,0,0,0,0,0,..,1948,479,2428,21,2444,..,3447,1131,4581,46,4633,..,187,35,229,0,229,..,5588,1649,7234,66,7296,..,97,14,106,3,109,..,44,0,44,0,44,..,73,0,72,0,74,..,1965,274,2242,4,2253,..,34,0,34,0,36,..,62,0,62,0,62,..,257,3,262,3,259,..,19,0,22,0,21,..,151,5,153,0,157,..,147,0,147,0,141,..,136,4,136,0,136,..,77,4,79,3,82,..,871,10,884,8,897,..,1066,118,1183,3,1188,..,54,8,61,0,61,..,7,0,11,0,11,..,224,60,280,7,290,..,152,18,166,4,163,..,61,0,61,0,61,..,886,116,998,7,1009,..,33,4,35,0,35,..,52,3,51,0,51,..,35,0,40,0,40,..,0,0,0,0,0,..,50,4,58,0,58,..,45
SED21503,19230,..,..,..,..,19230,..,24,0,24,0,26,..,518,63,588,6,593,..,4,0,3,0,3,..,374,108,480,0,483,..,1189,772,1961,22,1986,..,75,28,103,0,103,..,1635,902,2545,24,2571,..,123,20,149,0,149,..,47,5,52,0,53,..,59,0,59,4,63,..,715,115,831,12,843,..,62,0,62,0,61,..,62,0,62,0,62,..,336,4,339,0,339,..,59,4,63,0,63,..,170,10,178,0,177,..,299,6,302,4,308,..,121,5,131,6,130,..,71,0,72,0,72,..,1181,29,1216,12,1225,..,712,78,786,9,794,..,51,8,58,0,58,..,16,0,16,0,16,..,52,13,67,0,67,..,576,60,638,0,639,..,154,5,158,0,162,..,224,40,266,0,266,..,43,8,50,0,50,..,32,3,33,0,33,..,49,0,54,0,54,..,8,6,15,0,15,..,71,20,91,0,91,..,81
SED21608,29406,..,..,..,..,29406,..,20,0,20,0,20,..,42,6,47,0,47,..,0,0,0,0,0,..,19,0,17,0,17,..,90,23,117,4,124,..,3,0,7,0,7,..,117,32,140,4,141,..,29,4,36,0,36,..,23,0,23,0,23,..,57,0,57,0,57,..,34,0,36,0,36,..,14,3,18,0,18,..,23,0,30,0,30,..,98,7,103,0,104,..,47,0,48,0,48,..,281,22,297,0,299,..,42,0,38,0,37,..,63,5,66,0,66,..,4,0,4,0,4,..,571,36,606,7,609,..,77,4,86,3,84,..,29,0,31,0,31,..,4,0,8,0,8,..,6,0,7,0,7,..,13,0,16,0,16,..,28,0,28,0,30,..,12,5,17,0,17,..,19,0,19,0,19,..,6,0,6,0,6,..,23,0,18,0,18,..,13,0,15,0,15,..,22,3,26,0,26,..,40
SED21706,21315,..,..,..,..,21315,..,23,0,25,0,25,..,136,13,148,0,157,..,3,0,3,0,3,..,807,169,979,5,983,..,2667,877,3544,26,3567,..,110,44,151,4,151,..,3580,1092,4672,33,4708,..,37,6,42,0,45,..,138,3,135,0,138,..,100,3,101,0,103,..,772,122,889,5,897,..,61,5,64,0,64,..,141,7,146,0,147,..,435,6,438,0,437,..,51,0,51,0,51,..,124,3,125,0,128,..,476,11,489,0,489,..,106,0,106,3,105,..,99,0,92,0,92,..,1486,30,1517,5,1527,..,262,21,280,3,281,..,79,4,84,4,89,..,31,5,35,0,35,..,166,42,210,4,216,..,10,3,15,0,15,..,109,0,109,0,109,..,150,10,164,3,166,..,75,3,78,0,78,..,33,8,37,3,41,..,88,16,96,0,96,..,0,0,0,0,0,..,43,4,48,0,48,..,53
SED21805,28342,..,..,..,..,28342,..,89,0,89,0,89,..,144,14,156,3,155,..,5,0,5,0,5,..,77,25,99,0,101,..,250,90,341,0,348,..,18,5,23,0,24,..,341,120,465,8,472,..,85,6,90,0,90,..,104,7,110,6,115,..,101,4,104,5,107,..,336,27,360,3,366,..,14,0,14,0,14,..,39,3,43,0,43,..,162,6,172,0,176,..,17,6,24,0,24,..,152,12,162,6,173,..,94,7,101,0,101,..,30,0,30,0,30,..,32,0,35,0,35,..,551,30,585,5,587,..,196,8,202,4,203,..,34,0,34,0,34,..,36,10,46,0,48,..,13,11,25,0,25,..,25,7,24,0,24,..,89,9,93,0,95,..,38,9,48,0,45,..,84,8,92,0,92,..,45,4,50,0,50,..,186,23,210,0,210,..,37,0,36,0,36,..,70,4,77,0,77,..,114
SED21906,23044,..,..,..,..,23044,..,29,0,29,0,29,..,76,8,81,0,81,..,7,0,7,0,7,..,202,37,240,0,241,..,730,181,916,8,922,..,31,12,44,0,44,..,960,232,1193,11,1202,..,28,3,30,0,30,..,355,13,368,8,376,..,97,0,92,3,102,..,517,76,588,4,590,..,48,0,48,0,48,..,213,0,216,0,216,..,366,9,374,3,379,..,162,6,163,0,165,..,92,4,89,0,89,..,70,0,70,0,70,..,61,0,60,0,60,..,86,3,87,0,87,..,1087,25,1117,3,1120,..,251,11,261,0,261,..,165,37,197,3,205,..,6,0,3,0,3,..,49,11,66,0,66,..,22,0,22,0,21,..,48,5,51,0,58,..,44,0,49,0,49,..,127,3,134,0,136,..,76,4,81,0,81,..,720,128,851,9,857,..,0,0,0,0,0,..,54,0,55,0,55,..,72
SED22005,15166,..,..,..,..,15166,..,34,0,34,0,34,..,333,49,384,0,383,..,3,0,3,0,3,..,792,361,1152,4,1160,..,2015,949,2964,30,2990,..,219,125,346,4,347,..,3029,1434,4462,39,4501,..,93,13,106,0,106,..,143,3,152,5,151,..,70,0,70,7,74,..,2108,577,2678,28,2712,..,169,9,175,0,175,..,667,29,695,7,698,..,905,33,940,0,944,..,216,6,227,0,227,..,866,53,920,5,926,..,458,20,479,5,484,..,261,7,269,4,277,..,153,3,158,0,160,..,3701,161,3859,21,3885,..,494,108,599,9,604,..,157,17,177,6,180,..,544,264,809,3,812,..,209,99,308,3,311,..,32,9,39,0,39,..,284,11,295,6,296,..,63,9,69,0,66,..,86,23,108,0,105,..,57,8,64,0,64,..,403,70,476,0,482,..,14,4,18,0,18,..,79,11,92,0,92,..,166
SED22105,33461,..,..,..,..,33461,..,78,0,80,0,80,..,574,52,624,8,628,..,0,0,0,0,0,..,161,46,205,3,208,..,469,221,686,5,696,..,80,22,104,0,104,..,711,285,997,4,1005,..,66,9,77,0,84,..,256,8,259,0,267,..,64,4,64,3,65,..,320,30,351,4,353,..,166,7,176,3,178,..,713,70,782,13,797,..,1378,63,1443,14,1456,..,239,25,268,9,278,..,4545,446,4995,59,5057,..,1878,76,1947,18,1969,..,499,42,541,7,548,..,270,11,281,0,279,..,9692,737,10432,125,10554,..,218,13,239,0,239,..,45,8,53,5,55,..,412,150,557,9,564,..,54,16,75,0,73,..,35,7,44,0,44,..,1243,93,1338,22,1360,..,201,45,250,7,253,..,83,18,99,0,102,..,70,12,77,0,75,..,106,9,118,4,116,..,541,67,614,6,616,..,148,25,169,5,177,..,506
SED22201,23621,..,..,..,..,23621,..,60,0,54,0,54,..,112,7,118,0,118,..,0,0,0,0,0,..,257,63,325,3,326,..,753,246,1002,3,1000,..,41,6,44,0,44,..,1055,316,1366,6,1376,..,24,0,26,0,26,..,39,0,39,0,42,..,79,5,80,0,85,..,97,13,106,0,111,..,13,0,13,0,13,..,70,0,69,0,69,..,174,6,173,0,175,..,36,0,36,0,36,..,127,8,138,0,141,..,109,0,107,0,113,..,31,0,31,5,31,..,35,3,38,0,38,..,596,25,617,7,623,..,158,8,170,0,170,..,37,6,43,0,40,..,24,9,33,0,33,..,50,18,68,3,68,..,18,0,24,0,24,..,77,0,79,0,79,..,167,18,187,0,187,..,33,7,34,0,40,..,23,0,23,0,23,..,30,0,30,0,30,..,0,0,0,0,0,..,12,0,16,0,16,..,35
SED22305,12573,..,..,..,..,12573,..,18,0,18,0,18,..,915,135,1057,6,1061,..,7,0,7,0,7,..,233,91,322,0,321,..,596,335,929,9,939,..,70,27,96,0,96,..,901,450,1347,11,1357,..,171,50,216,4,223,..,168,5,174,0,175,..,39,3,38,0,41,..,615,120,737,3,741,..,169,7,173,4,174,..,173,6,178,9,185,..,616,25,639,0,635,..,56,0,59,0,60,..,1165,102,1260,8,1275,..,1168,59,1228,15,1240,..,522,39,564,6,571,..,92,3,96,0,96,..,3956,244,4205,40,4240,..,363,82,442,5,448,..,24,3,24,0,24,..,286,104,388,6,393,..,73,25,102,4,101,..,73,19,91,0,91,..,361,25,385,0,385,..,353,110,467,5,470,..,177,39,217,3,218,..,40,7,44,0,46,..,93,24,118,0,118,..,178,23,199,0,204,..,694,289,978,14,995,..,162
SED22404,27825,..,..,..,..,27825,..,22,0,22,0,22,..,12,0,15,0,15,..,5,0,5,0,5,..,19,0,20,0,20,..,62,21,84,0,83,..,7,0,0,0,0,..,88,24,107,0,111,..,20,3,29,0,29,..,43,0,41,0,41,..,117,3,120,0,120,..,55,4,57,0,59,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,23,0,31,0,31,..,12,0,12,0,12,..,10,0,10,0,10,..,0,0,0,0,0,..,60,4,65,0,65,..,102,8,113,5,116,..,26,3,30,0,30,..,4,0,7,0,7,..,0,0,0,0,0,..,12,0,16,0,18,..,14,4,16,0,18,..,9,0,9,0,9,..,26,8,35,0,34,..,7,0,7,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,11,0,12,0,12,..,12
SED22501,25103,..,..,..,..,25103,..,53,0,55,0,55,..,117,17,131,6,137,..,0,0,0,0,0,..,101,12,116,3,119,..,425,88,512,9,521,..,23,0,28,0,28,..,552,105,657,13,667,..,51,0,53,0,58,..,79,6,87,0,92,..,107,6,107,0,116,..,246,13,257,0,264,..,9,0,9,0,14,..,11,0,11,0,11,..,85,0,91,0,90,..,0,0,0,0,0,..,26,0,26,0,26,..,57,4,65,0,65,..,26,0,26,0,26,..,17,0,17,0,18,..,232,5,233,4,241,..,373,21,400,7,403,..,41,9,44,0,49,..,0,0,0,0,0,..,26,8,28,0,28,..,123,5,128,0,128,..,23,0,22,0,24,..,180,8,190,0,191,..,34,0,35,0,35,..,13,0,17,0,17,..,43,0,41,0,46,..,0,0,0,0,0,..,43,4,44,0,44,..,13
SED22607,24259,..,..,..,..,24259,..,15,0,16,0,16,..,403,44,448,4,452,..,6,0,6,0,6,..,315,111,426,9,432,..,424,102,525,20,540,..,48,15,62,0,62,..,789,226,1010,21,1035,..,100,9,113,0,112,..,84,3,87,0,89,..,84,6,89,6,96,..,627,87,715,6,719,..,51,4,56,0,55,..,60,0,59,0,59,..,275,5,282,0,287,..,331,10,343,0,344,..,86,0,85,0,89,..,112,0,117,0,120,..,88,0,88,0,88,..,56,0,63,0,63,..,1053,36,1083,5,1091,..,1038,119,1157,8,1165,..,94,11,97,0,103,..,0,0,0,0,0,..,59,5,69,0,74,..,75,0,76,0,75,..,62,3,65,0,65,..,100,7,109,0,109,..,66,0,66,0,66,..,56,0,57,0,62,..,28,8,38,3,40,..,8,0,8,0,8,..,61,4,62,0,67,..,59
