SED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED23007,16372,45846,2546,5283,5308,13684,7854,18962,2412,4413,1361,2413,2295,3782,1428,2307,37,84,7527,13001,0,3,8,15,0,4,89,217,99,229,44,69,31895,78105,4596,..,36485,78105
SED23101,17551,49647,2524,4974,1064,2873,3587,7855,390,612,122,200,329,563,0,0,14,45,859,1423,0,0,0,0,0,0,15,40,15,40,7,12,22018,58970,1638,..,23655,58970
SED23205,19379,49169,3185,4892,1012,2001,4194,6888,825,1218,68,115,116,177,24,31,15,18,1045,1557,7,8,27,31,0,0,20,50,49,93,30,46,24697,57754,1888,..,26588,57754
SED23308,21276,51812,3484,5353,1007,2059,4494,7413,1288,1940,152,228,300,453,134,229,4,7,1878,2856,11,14,167,233,0,0,48,109,228,356,57,98,27930,62532,2497,..,30424,62532
SED23402,25880,74753,1886,3375,674,1503,2558,4877,70,87,8,3,0,0,0,3,12,19,84,112,4,12,76,92,3,3,4,21,96,126,31,75,28642,79937,1505,..,30149,79937
SED23502,23410,54267,1226,1801,123,238,1354,2036,360,505,9,12,0,0,0,6,8,17,378,531,109,150,180,274,5,14,39,90,336,528,78,157,25541,57516,5493,..,31036,57516
SED23602,21790,51366,819,1224,123,190,938,1414,525,683,25,49,0,0,0,0,11,10,559,743,73,90,67,109,7,10,48,82,185,291,40,63,23521,53880,7790,..,31314,53880
SED23702,22062,60680,3262,5395,418,859,3677,6253,90,160,0,0,0,0,0,0,45,77,134,240,0,5,190,253,3,8,8,28,206,295,24,46,26102,67508,1307,..,27413,67508
SED23806,10508,31053,3223,7227,1630,4041,4850,11268,3271,5760,3524,5824,3055,4960,603,959,4,16,10462,17526,0,0,0,0,0,0,81,174,81,174,39,74,25939,60095,4080,..,30019,60095
SED23901,17328,47117,2656,4895,2527,6034,5181,10930,1733,3085,406,682,854,1398,299,464,11,30,3308,5656,0,0,0,0,0,0,31,63,31,63,32,57,25879,63832,2685,..,28568,63832
SED24006,14826,44243,2374,5033,2037,5246,4413,10281,1381,2465,1075,1872,933,1740,29,43,3,11,3418,6135,0,0,0,0,0,0,55,115,55,115,17,40,22728,60811,2716,..,25442,60811
SED24105,19691,62767,1764,3662,1397,3867,3164,7533,917,2113,71,114,97,189,0,0,21,51,1110,2477,46,51,14,19,0,0,7,20,66,90,17,23,24037,72897,1308,..,25348,72897
SED24207,27432,88941,991,2332,1062,2909,2051,5239,121,263,62,105,246,436,0,0,15,25,439,833,47,56,54,59,0,0,6,15,108,132,32,71,30068,95217,1573,..,31636,95217
SED24308,22895,58736,2220,3652,399,802,2612,4456,483,802,0,0,0,0,0,0,3,12,485,811,26,37,35,50,0,10,73,179,138,267,24,57,26159,64324,1757,..,27916,64324
SED24408,22366,51295,790,1091,24,42,819,1126,552,733,0,0,0,0,0,0,8,10,562,742,50,72,19,38,4,4,51,111,122,225,40,70,23904,53463,4162,..,28065,53463
SED24504,22193,57869,1067,1736,91,170,1157,1907,39,80,13,30,0,0,0,0,14,30,64,142,21,28,61,146,11,23,46,85,136,281,30,77,23588,60278,3657,..,27246,60278
SED24606,10002,29391,2469,5124,2297,5371,4763,10499,3809,6620,3394,5580,1719,2877,340,564,8,21,9264,15660,0,0,0,0,4,4,293,462,297,461,25,67,24364,56078,4398,..,28760,56078
SED24703,1642,4256,3964,8797,5741,13852,9704,22641,1778,3229,3454,5922,8102,13929,32187,56013,12,22,45539,79119,0,0,0,0,0,0,169,356,172,356,186,303,57238,106678,20190,..,77425,106678
SED24808,29441,86210,2322,4132,376,842,2704,4968,113,179,0,0,21,26,0,0,25,69,160,267,7,21,21,32,0,9,13,53,48,109,31,80,32380,91634,1946,..,34328,91634
SED24904,21451,54971,1643,2685,84,158,1730,2848,1145,1762,19,23,0,0,0,0,5,7,1169,1791,151,249,168,327,14,19,32,75,355,673,92,190,24804,60473,2890,..,27690,60473
SED25003,19934,59856,1827,4321,1301,3246,3130,7567,46,100,172,271,197,354,0,0,11,13,424,740,0,0,0,0,0,0,0,0,0,0,4,9,23494,68172,928,..,24421,68172
SED25102,19713,54412,347,615,90,163,431,781,164,243,11,13,0,0,0,0,18,28,195,281,4,0,3,4,0,0,17,50,20,58,18,36,20384,55572,1207,..,21594,55572
SED25205,14425,41540,3649,7050,2374,5903,6023,12947,4205,7616,357,551,58,96,0,0,8,25,4634,8291,0,0,0,0,0,0,69,104,67,106,17,29,25163,62915,1693,..,26855,62915
SED25302,20027,53985,1679,2695,820,1671,2494,4372,1266,1995,64,97,40,67,0,0,24,36,1400,2197,3,7,118,161,0,6,0,3,129,172,17,39,24064,60764,2632,..,26697,60764
SED25402,23705,58072,1118,1536,121,259,1244,1796,1456,2053,0,0,0,0,0,0,9,5,1464,2064,5,8,64,102,14,24,8,23,89,154,36,61,26536,62149,2524,..,29055,62149
SED25501,16412,47480,1195,2911,1080,3307,2273,6221,3172,7785,221,460,156,291,392,748,9,22,3950,9301,0,0,0,0,0,0,8,17,8,17,12,17,22657,63031,2341,..,24996,63031
SED25605,17731,50416,1491,3169,1118,3046,2607,6217,1388,2721,226,380,256,349,0,0,23,41,1888,3487,20,24,72,78,0,0,11,21,103,126,22,48,22348,60293,1481,..,23829,60293
SED25704,22527,54932,1750,2587,26,45,1781,2632,388,623,7,10,0,0,0,3,10,9,395,639,106,144,158,258,8,16,38,84,312,501,59,108,25072,58818,3039,..,28111,58818
SED25802,26177,67222,1405,2024,75,100,1476,2130,865,1223,0,0,0,0,0,8,10,19,873,1251,42,65,284,404,0,3,18,27,346,497,42,77,28921,71177,2648,..,31567,71177
SED25905,19475,58050,1277,3067,813,2320,2086,5389,258,501,21,31,0,0,0,0,17,41,292,576,0,0,89,114,0,0,0,3,94,118,11,28,21957,64160,855,..,22813,64160
SED26005,23948,79011,839,2314,542,1551,1382,3868,93,223,0,0,0,0,0,0,12,27,107,244,0,4,0,0,0,0,5,11,8,13,11,32,25455,83176,833,..,26289,83176
SED26102,23965,54897,1538,2371,670,1426,2207,3796,337,556,61,104,0,0,0,3,6,9,406,674,32,42,205,282,0,0,27,47,267,372,22,41,26867,59776,21176,..,48040,59776
SED26207,16927,45998,2142,4072,3013,7594,5161,11662,693,1292,38,63,53,72,0,0,16,19,800,1448,0,0,0,0,0,0,52,118,52,118,18,31,22961,59257,1703,..,24667,59257
SED26303,13767,37639,3002,6558,3722,7999,6717,14550,3537,5172,850,1303,2358,3807,289,383,15,35,7044,10705,0,0,0,0,0,0,170,362,173,361,23,45,27729,63296,2937,..,30661,63296
SED26406,13472,37617,4129,8631,2526,6760,6653,15392,4310,7475,864,1499,2498,4340,383,710,10,16,8068,14039,0,0,0,0,0,0,23,58,23,58,36,50,28257,67154,3680,..,31941,67154
SED26504,21208,50757,1922,2780,108,186,2026,2963,70,125,4,16,3,9,3,3,7,11,85,165,81,131,90,138,7,8,35,74,211,347,45,112,23578,54345,3772,..,27350,54345
SED26603,17896,48956,3508,6762,6324,15067,9828,21834,1242,2370,415,735,457,748,81,162,19,55,2217,4069,0,4,0,0,0,0,61,124,62,129,32,67,30042,75056,2833,..,32873,75056
SED26708,23170,57272,1008,1435,139,288,1143,1720,71,103,10,14,3,9,0,0,10,21,90,147,38,58,44,67,18,37,41,90,136,252,51,95,24594,59489,8475,..,33067,59489
SED26806,3688,9230,2884,6189,2399,5354,5285,11543,3633,6204,9331,14578,5564,8552,9630,15792,19,20,28165,45149,0,0,0,0,0,0,109,192,109,192,62,111,37314,66223,9452,..,46768,66223
SED26903,16535,43435,5358,10145,3625,8190,8983,18327,976,1664,409,710,506,854,78,134,17,51,1984,3414,0,0,0,0,0,0,161,320,166,322,20,33,27690,65529,2855,..,30545,65529
SED27003,4072,10332,6585,14671,5513,13046,12097,27715,2396,3941,3778,6136,6423,10461,5470,9992,24,48,18097,30569,0,0,0,0,0,0,299,602,299,602,42,63,34610,69292,6338,..,40943,69292
SED27101,19062,50771,3059,5950,1389,3429,4446,9378,216,404,390,644,819,1345,74,117,20,46,1522,2552,0,0,0,0,0,0,13,26,13,26,23,37,25065,62768,1867,..,26933,62768
SED27208,25082,58202,979,1412,63,117,1043,1531,341,474,6,7,0,0,0,0,0,3,354,491,164,255,78,110,14,13,102,211,354,600,67,125,26908,60950,3967,..,30874,60950
SED27305,17354,51410,808,1280,442,1045,1251,2330,17,34,51,78,28,42,0,0,22,43,124,205,0,0,0,0,0,0,4,16,4,16,7,14,18743,53960,748,..,19493,53960
SED27406,13802,38994,4104,7505,2738,6542,6843,14049,1626,2681,960,1588,1468,2319,427,694,13,25,4485,7311,0,0,0,0,0,0,175,334,178,335,18,42,25334,60726,2381,..,27718,60726
SED27504,24224,63029,2329,3765,104,204,2431,3974,54,75,13,16,4,3,0,0,7,17,76,109,205,278,86,118,10,23,233,342,530,761,46,107,27308,67980,2534,..,29842,67980
SED27608,29404,80441,2237,3762,600,1209,2833,4967,61,103,43,67,8,4,0,0,6,4,115,181,26,34,10,34,0,0,4,4,39,71,41,91,32436,85754,3659,..,36094,85754
SED27708,22656,55583,1776,2704,404,738,2186,3443,622,888,58,81,0,0,0,0,6,9,682,977,42,64,103,158,6,12,40,91,193,325,39,79,25757,60410,3549,..,29304,60410
SED27807,19299,55447,2108,5012,1808,4965,3914,9974,1794,3746,64,104,14,21,91,145,36,86,1991,4094,0,0,29,37,0,0,47,115,81,155,34,88,25327,69763,2129,..,27457,69763
SED27907,20893,56971,1837,3208,598,1288,2434,4494,1054,1683,33,33,0,0,0,0,11,15,1090,1738,3,5,0,0,0,0,0,10,6,9,11,35,24432,63242,1372,..,25800,63242
SED28007,20992,67926,2236,5298,1304,3508,3541,8805,246,403,74,120,0,0,0,0,4,6,326,534,0,0,0,0,0,0,7,13,7,13,12,34,24875,77319,904,..,25780,77319
SED28107,34464,115270,2738,7841,821,2160,3561,10000,789,1481,0,0,193,321,0,0,7,25,986,1820,6,8,38,54,0,0,0,11,50,76,34,97,39093,127265,2285,..,41377,127265
SED28203,23732,70829,1120,2457,1374,3401,2487,5849,933,2064,65,94,119,161,0,0,6,17,1127,2333,0,0,0,3,0,0,15,52,23,55,24,49,27393,79121,1833,..,29227,79121
SED28301,16819,50052,1339,2709,1575,4511,2916,7224,754,1612,272,539,545,1033,70,107,11,35,1654,3316,5,3,0,0,0,0,0,0,0,4,18,53,21403,60657,1562,..,22970,60657
SED28408,21159,51667,2748,4440,400,753,3148,5196,760,1061,76,117,3,5,0,0,4,7,839,1188,0,0,0,0,0,0,29,76,29,76,43,99,25225,58212,2132,..,27357,58212
SED28507,27032,78386,2310,4583,656,1507,2969,6090,296,569,23,41,201,308,0,0,15,22,532,936,33,46,3,3,0,0,3,18,39,60,16,30,30587,85495,2241,..,32827,85495
SED28607,18101,48806,2642,5202,4495,11334,7137,16532,1668,2678,637,1028,289,443,253,393,13,33,2859,4567,0,0,0,0,0,3,151,272,150,275,41,71,28288,70253,2965,..,31250,70253
SED28704,30876,93450,1275,2701,729,1665,2004,4362,103,180,59,102,0,0,0,0,13,33,177,315,0,0,0,0,0,0,3,5,6,9,22,54,33080,98186,1593,..,34671,98186
SED28803,35074,118555,1224,3259,1521,3849,2748,7109,197,486,0,4,16,39,0,0,15,21,230,558,0,0,0,0,0,6,6,14,12,21,35,90,38092,126328,2036,..,40131,126328
SED29494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED30001,16847,50915,409,892,2906,7291,3317,8182,190,327,11,24,0,5,0,0,25,66,225,419,22,33,11,11,0,0,6,19,45,62,32,99,20466,59680,988,..,21451,59680
SED30002,16108,45817,1230,1742,1842,4010,3073,5757,242,471,42,89,0,0,0,0,18,38,301,594,73,83,100,143,0,0,0,3,176,234,16,23,19670,52424,865,..,20531,52424
SED30003,17244,48927,653,1329,1881,4486,2539,5816,253,449,7,10,304,466,0,0,34,72,602,999,12,11,106,153,0,0,4,12,128,178,29,54,20549,55970,950,..,21492,55970
SED30004,16554,44212,895,1624,912,1505,1808,3132,1028,1845,802,1437,318,529,0,0,9,21,2159,3833,49,89,44,60,4,6,51,111,139,266,190,347,20849,51785,2290,..,23140,51785
SED30005,8660,24409,2667,5281,3543,7892,6206,13171,1159,1897,2809,4811,1787,3130,1720,3412,20,57,7490,13311,181,258,12,31,0,0,23,37,211,321,89,150,22662,51359,1860,..,24523,51359
SED30006,11528,29990,1958,3617,3141,6679,5096,10297,362,541,887,1633,1201,2255,324,586,8,27,2789,5048,62,90,129,196,0,0,0,0,193,287,114,224,19715,45840,2219,..,21925,45840
SED30007,14658,41662,2003,3157,1043,2276,3051,5438,1397,2504,248,474,666,1574,0,0,32,65,2346,4616,0,0,0,0,0,0,0,0,0,0,23,47,20080,51751,1137,..,21220,51751
SED30008,12713,36811,460,749,3980,8747,4440,9496,1594,2635,2203,3884,883,1555,86,145,15,19,4777,8235,112,142,12,13,0,0,4,9,131,170,27,52,22084,54768,1543,..,23624,54768
SED30009,15671,39977,1759,2706,419,723,2174,3429,1735,2618,0,0,0,0,0,0,4,5,1738,2622,235,380,40,56,4,8,26,43,299,491,37,70,19914,46589,1522,..,21444,46589
SED30010,20006,60343,1600,3005,1335,3013,2932,6013,261,410,17,37,0,0,0,0,22,43,299,489,0,0,0,0,0,0,5,14,5,14,17,30,23260,66892,1567,..,24827,66892
SED30011,16362,41893,1142,1815,623,1137,1763,2949,139,208,18,34,0,0,0,6,0,3,163,249,211,357,32,62,13,30,34,69,291,514,111,218,18689,45820,5301,..,23989,45820
SED30012,9873,27784,1555,3039,2923,6641,4475,9673,1043,1831,1974,3510,999,1863,1025,1906,23,46,5069,9152,33,55,0,9,0,6,8,25,49,95,38,65,19505,46772,2594,..,22107,46772
SED30013,17373,42695,419,656,86,162,508,820,424,716,59,108,149,254,0,0,4,12,641,1085,347,545,68,121,15,26,14,29,447,721,81,138,19054,45460,3454,..,22509,45460
SED30014,12036,32412,1667,2757,1684,3116,3348,5876,3247,5591,2267,4037,392,740,414,769,8,20,6324,11153,95,152,84,161,19,26,70,145,269,478,172,273,22155,50195,2931,..,25086,50195
SED30015,16670,41616,697,1223,105,217,799,1445,294,519,0,0,3,3,0,0,17,45,316,567,178,294,51,92,17,37,35,60,276,481,90,189,18155,44297,3897,..,22050,44297
SED30016,14987,40971,1299,2335,1117,2255,2416,4593,909,1482,604,1010,1442,2528,711,1274,48,74,3711,6370,191,281,61,99,15,29,20,49,291,458,55,92,21462,52485,3277,..,24737,52485
SED30017,15643,43619,1057,1609,1511,2931,2564,4540,367,564,42,73,85,150,0,0,41,90,533,875,110,152,3,0,0,0,0,0,114,156,20,43,18880,49230,763,..,19643,49230
SED30018,14312,42126,357,674,2786,5935,3142,6609,252,440,341,607,213,327,0,0,23,49,828,1428,0,3,0,0,0,5,0,0,7,9,22,47,18313,50218,766,..,19085,50218
SED30019,10124,28887,173,305,1702,3432,1872,3738,3182,5308,4349,7296,3331,5786,1757,2927,12,35,12630,21348,0,3,0,0,0,0,19,50,23,51,61,100,24716,54127,2746,..,27452,54127
SED30020,18045,49312,627,1109,54,107,674,1218,130,237,0,0,0,0,0,0,10,10,143,252,40,63,29,45,16,41,18,39,100,177,54,112,19015,51068,1578,..,20592,51068
SED30021,13607,38976,888,2028,645,1429,1537,3459,970,1842,25,44,4,0,0,4,15,31,1011,1929,259,479,65,97,138,242,57,117,516,930,222,470,16893,45763,3044,..,19940,45763
SED30022,22957,72286,1595,3759,1601,3928,3195,7684,179,474,0,0,0,0,0,0,36,65,213,539,8,16,56,93,4,5,5,15,71,126,59,155,26495,80795,1117,..,27608,80795
SED30023,14087,40867,57,92,1211,2570,1264,2660,1281,2122,1231,2099,582,984,759,1315,17,35,3855,6549,0,3,0,0,0,0,25,36,27,39,30,52,19259,50178,1346,..,20604,50178
SED30024,10373,30277,867,1617,2111,4770,2984,6388,1242,2087,1507,2718,904,1670,548,1034,45,98,4251,7604,21,44,38,65,5,3,18,31,80,146,44,67,17731,44487,2697,..,20429,44487
SED30025,15175,43902,489,836,2101,4197,2591,5031,734,1275,600,937,197,321,0,0,20,49,1552,2584,0,0,0,0,0,0,0,0,0,0,10,28,19332,51542,934,..,20264,51542
SED30026,15369,43745,403,563,1040,2053,1443,2622,851,1486,651,1031,231,399,0,0,18,37,1750,2950,0,5,0,0,0,0,4,4,4,5,17,29,18579,49359,932,..,19509,49359
SED30027,12689,36999,613,1098,2712,6433,3325,7524,1024,1835,354,562,144,257,0,0,32,60,1554,2717,279,362,132,171,0,0,0,0,409,524,13,23,17992,47798,786,..,18776,47798
SED30028,15504,41246,546,1009,687,1196,1228,2203,1077,1719,178,250,205,323,89,132,0,8,1548,2428,126,210,37,64,11,14,0,3,175,294,42,77,18495,46251,2698,..,21193,46251
SED30029,16193,43654,224,423,43,70,264,487,27,46,0,8,0,0,5,0,82,154,108,208,12,29,100,205,8,26,24,62,147,325,65,145,16777,44820,1522,..,18302,44820
SED30030,12105,34246,109,164,1783,3703,1893,3868,2310,3804,3465,6062,998,1657,691,1206,18,28,7483,12760,0,0,0,0,0,0,19,37,22,40,40,90,21542,51003,1571,..,23114,51003
SED30031,11782,30760,436,759,236,433,671,1196,622,998,3,7,0,0,0,0,3,8,629,1011,151,289,37,69,26,57,19,39,239,452,202,425,13522,33841,4115,..,17636,33841
SED30032,19134,46880,628,991,302,471,925,1466,350,507,15,11,0,0,0,0,8,12,368,538,140,220,83,122,113,231,22,41,361,614,120,200,20906,49700,2617,..,23519,49700
SED30033,17942,43477,1664,2619,1224,2054,2884,4668,233,385,143,223,293,505,3,13,9,21,684,1146,220,375,162,249,10,31,29,55,425,706,151,276,22093,50277,2374,..,24466,50277
SED30034,18778,45848,769,1298,224,409,992,1713,713,1196,19,47,22,35,0,0,3,16,755,1290,221,435,54,82,25,40,68,139,366,699,142,287,21029,49835,3330,..,24352,49835
SED30035,17196,45434,416,712,112,184,529,891,201,309,25,32,3,3,0,0,6,18,233,359,101,176,93,159,22,53,14,26,233,412,62,136,18246,47234,2507,..,20748,47234
SED30036,16248,49319,536,857,3331,7940,3866,8793,183,246,126,199,0,0,0,5,56,149,366,592,82,100,24,39,0,0,0,0,107,139,46,116,20636,58959,1087,..,21726,58959
SED30037,16295,42876,1129,1824,648,1204,1776,3030,623,854,70,93,12,13,45,61,16,23,761,1044,0,3,0,0,0,4,16,39,19,46,25,52,18881,47048,1376,..,20259,47048
SED30038,17029,46355,1157,1898,369,689,1521,2590,126,221,21,35,0,0,0,0,15,35,161,285,42,52,0,0,0,4,13,33,53,87,50,83,18813,49404,1267,..,20083,49404
SED30039,20290,63764,246,562,684,1724,927,2289,14,37,19,37,77,112,0,0,29,71,150,256,52,64,21,28,0,0,0,0,72,98,19,43,21461,66442,1265,..,22729,66442
SED30040,14555,39911,2207,3519,875,1814,3081,5327,236,478,331,596,1216,2133,86,133,19,25,1875,3376,33,46,43,71,0,0,9,10,84,124,19,41,19614,48776,1683,..,21299,48776
SED30041,16884,44275,880,1415,192,316,1073,1724,806,1324,87,151,104,184,8,14,5,14,1011,1687,104,176,49,74,15,23,10,19,176,298,57,110,19204,48100,2494,..,21697,48100
SED30042,17001,50083,1070,1944,888,1939,1962,3882,246,407,23,47,0,0,0,0,50,92,323,545,9,19,28,31,0,0,5,9,39,57,25,51,19342,54622,780,..,20127,54622
SED30043,17205,46789,524,998,117,329,639,1327,142,312,0,0,0,0,0,0,13,27,148,342,36,55,13,48,13,27,44,108,104,240,79,115,18184,48813,1520,..,19701,48813
SED30044,19238,58096,995,2025,293,738,1293,2757,22,49,13,15,7,17,0,0,70,163,121,244,7,8,133,148,12,34,0,4,143,187,53,115,20849,61406,1119,..,21964,61406
SED30045,15762,43213,960,1524,2120,4472,3085,5998,789,1055,403,625,286,480,15,24,19,39,1515,2227,0,0,115,165,0,0,8,13,121,179,20,35,20504,51653,1105,..,21605,51653
SED30046,17342,48997,988,1720,1840,3670,2833,5389,748,1226,170,245,93,186,0,0,39,85,1061,1730,36,51,63,94,5,8,4,9,111,161,25,41,21375,56321,1214,..,22591,56321
SED30047,16147,41602,2114,3396,1070,1863,3182,5259,1050,1731,36,57,120,217,185,343,11,27,1405,2379,62,104,176,255,0,0,10,25,245,384,100,152,21073,49769,2258,..,23334,49769
SED30048,9903,29271,71,136,1336,3019,1404,3157,2157,4125,5037,9683,3056,6128,2138,3992,16,28,12407,23959,0,0,0,0,3,10,7,14,10,23,119,228,23841,56637,2387,..,26225,56637
SED30049,15056,45371,311,506,1898,4613,2207,5118,649,1212,694,1250,927,1728,194,397,18,48,2486,4637,3,0,28,48,0,0,3,3,35,60,24,46,19808,55231,1147,..,20955,55231
SED30050,9771,25436,1193,2027,2910,5863,4101,7882,2122,3704,1446,2564,2030,3582,1128,2004,26,58,6750,11916,96,167,57,86,0,0,7,19,159,273,103,182,20879,45704,3574,..,24454,45704
SED30051,18805,45889,611,832,124,195,735,1029,458,662,8,5,4,11,0,0,15,42,486,723,209,311,63,92,23,61,13,21,307,481,69,143,20401,48266,2316,..,22715,48266
SED30052,3151,8577,37,64,1006,2192,1038,2256,1939,3159,3778,6619,8417,14926,13192,22770,489,825,27809,48299,0,4,3,5,0,8,18,38,26,51,195,304,32221,59486,5836,..,38054,59486
SED30053,9724,28176,1451,2790,3903,8882,5356,11677,1112,2085,2251,4133,1042,2031,923,1566,8,11,5341,9830,108,146,0,0,0,0,5,12,104,153,43,66,20567,49903,2544,..,23113,49903
SED30054,12511,36023,100,150,2219,4565,2323,4719,1900,3154,1524,2640,611,1018,188,358,19,24,4240,7201,0,0,5,6,0,0,9,17,17,26,20,33,19107,47996,1213,..,20325,47996
SED30055,15651,41424,602,1239,52,97,651,1328,68,107,0,0,0,5,0,4,0,0,68,111,143,284,40,54,21,30,10,24,209,396,91,186,16668,43443,2486,..,19158,43443
SED30056,15959,47187,278,421,396,873,670,1298,123,259,19,32,0,0,0,0,28,69,176,357,0,0,0,0,0,0,12,28,14,30,12,30,16830,48904,723,..,17549,48904
SED30057,16669,47292,2379,4217,1128,2448,3508,6665,140,267,87,100,34,48,0,0,77,140,342,564,0,0,56,86,0,3,0,3,58,93,25,49,20604,54664,1359,..,21961,54664
SED30058,15609,44494,279,489,1371,2966,1647,3451,423,678,242,386,402,679,0,0,15,37,1080,1782,0,0,0,0,0,0,4,7,4,7,25,44,18364,49773,957,..,19327,49773
SED30059,13357,40722,922,2080,4310,10154,5239,12232,86,100,325,563,295,523,407,735,68,162,1185,2090,41,53,19,31,6,4,9,18,74,105,26,75,19886,55226,965,..,20846,55226
SED30060,16299,46686,553,1040,324,586,878,1631,794,1545,151,313,155,346,0,0,3,12,1101,2215,46,70,53,86,59,161,7,12,162,325,33,56,18477,50917,1212,..,19689,50917
SED30061,14647,38983,1286,2021,547,996,1833,3021,433,621,529,846,52,98,7,3,11,14,1032,1593,61,104,11,16,4,4,4,4,80,129,57,76,17644,43807,1637,..,19281,43807
SED30062,17543,51772,2383,4029,3950,8857,6337,12879,224,435,63,128,0,0,0,0,11,26,302,590,94,119,165,207,0,0,0,0,256,322,26,55,24461,65617,1210,..,25670,65617
SED30063,18726,45076,343,552,18,38,358,588,571,867,0,0,0,0,0,3,3,6,574,875,147,241,59,106,18,51,22,54,254,450,75,152,19989,47139,3309,..,23298,47139
SED30064,15405,41399,950,1639,710,1299,1662,2937,835,1236,56,86,0,0,0,0,69,133,960,1456,126,208,116,175,7,16,7,3,255,399,46,98,18325,46289,1090,..,19419,46289
SED30065,16792,46758,1064,2009,1109,2325,2164,4330,206,398,286,516,192,369,30,46,126,259,833,1589,147,247,15,16,10,15,6,12,175,296,67,160,20034,53134,1537,..,21574,53134
SED30066,14878,37777,939,1399,1645,3041,2582,4440,876,1475,420,774,168,347,0,0,37,78,1508,2671,34,57,14,25,9,27,3,12,59,116,92,178,19122,45187,4610,..,23737,45187
SED30067,13823,37439,436,783,2366,4917,2805,5701,2306,3920,1976,3459,1042,1802,489,757,18,39,5832,9973,0,0,0,0,3,11,16,28,15,38,25,47,22496,53191,1486,..,23983,53191
SED30068,12826,35663,1191,1826,1151,2105,2339,3932,923,1477,263,446,488,860,0,0,14,39,1690,2818,5,18,15,26,0,0,8,13,32,59,18,32,16903,42505,1758,..,18660,42505
SED30069,16413,48346,745,1196,1373,3025,2117,4221,202,326,21,58,12,19,0,0,72,159,309,566,13,22,0,0,0,4,4,9,15,35,31,81,18895,53251,804,..,19693,53251
SED30070,17064,42513,1514,2573,1032,1614,2548,4185,539,826,195,289,143,258,0,0,75,151,953,1518,300,422,214,298,3,6,18,31,538,751,43,76,21139,49039,2130,..,23270,49039
SED30071,15087,37934,859,1215,1131,1986,1989,3206,2094,2903,818,1233,1167,1895,890,1627,31,60,4998,7725,91,128,87,137,4,39,14,31,203,340,42,68,22323,49274,2119,..,24442,49274
SED30072,18059,47304,1200,1956,571,1250,1768,3206,233,385,39,62,42,60,0,0,15,38,327,537,7,22,9,15,0,11,0,5,28,49,24,53,20211,51150,1848,..,22059,51150
SED30073,17232,43831,1034,1728,491,791,1524,2523,925,1463,20,37,22,31,101,177,26,49,1089,1746,38,66,11,14,8,3,10,18,69,105,53,114,19971,48328,2464,..,22439,48328
SED30074,16328,44612,1070,1705,1716,3745,2786,5449,777,1262,182,268,80,115,0,0,18,45,1068,1685,3,4,113,128,3,3,22,31,140,165,27,48,20345,51961,1011,..,21358,51961
SED30075,17731,48015,699,1106,243,441,943,1552,28,54,9,13,0,0,0,3,21,34,64,108,145,234,83,135,28,64,26,62,278,494,52,110,19070,50284,2075,..,21148,50284
SED30076,6156,17685,76,157,786,1930,866,2084,2514,4165,3165,5635,5855,11081,8980,16338,19,40,20534,37260,0,0,28,46,0,0,17,34,43,77,121,199,27710,57304,4555,..,32269,57304
SED30077,17307,42005,1062,1548,87,172,1150,1727,225,341,0,0,0,0,0,0,0,7,228,344,92,167,43,68,29,63,27,63,184,366,101,220,18971,44655,3000,..,21971,44655
