SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED70017,36,9,43,1097,439,97,1633,3921,1151,6707
SED70018,6,0,15,1398,1570,600,3572,2631,870,7067
SED70019,69,20,91,1452,664,118,2228,4561,1374,8163
SED70020,42,8,50,1354,456,71,1879,4737,1744,8364
SED70021,47,9,55,1402,431,52,1884,4829,532,7245
SED70022,27,6,35,1203,373,27,1606,7057,1284,9945
SED70023,43,8,54,1340,471,59,1870,4018,544,6436
SED70024,13,4,21,2438,468,109,3006,4772,589,8375
SED70025,43,8,53,1858,433,77,2374,4584,598,7562
SED79494,4,0,7,288,57,11,354,1487,1208,3052
SED79797,0,0,0,3,4,0,11,60,26,94
SED80001,1008,181,1202,14297,5972,630,20903,43742,2361,67000
SED80002,1375,111,1511,16028,5224,699,21949,52773,3126,77845
SED80003,1433,235,1696,11146,3769,454,15359,56615,5678,77651
SED80004,2024,178,2236,15672,4864,645,21177,47897,3019,72089
SED80005,496,24,535,20567,4433,621,25618,47871,2919,76406
SED89494,0,0,4,63,32,0,97,335,130,560
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,58,4,62,589,237,40,872,2275,810,3953
SED99494,0,0,0,4,0,0,4,6,3,11
SED99797,0,0,0,0,0,0,0,0,0,0
