SED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SED21503,73,1645,93,1810,137,2144,207,2492,291,4175,313,4784,429,3501,182,4112,633,3207,123,3963,578,2558,132,3265,350,2164,113,2628,219,1351,80,1650,72,455,51,576,2780,21207,1294,25281,99,1484,80,1663,146,1876,134,2156,372,3784,209,4361,648,3337,149,4136,1042,2952,143,4134,973,2466,111,3555,552,2368,106,3025,224,1656,89,1973,57,773,74,903,4102,20697,1101,25905,170,3128,172,3468,280,4021,344,4644,665,7956,523,9138,1078,6842,332,8248,1678,6158,271,8100,1553,5026,243,6821,902,4535,222,5654,440,3016,167,3621,125,1228,126,1477,6885,41904,2398,51188
SED21608,108,1799,158,2056,115,1808,138,2064,289,3654,288,4228,514,3387,241,4138,645,3362,246,4253,663,3219,224,4104,488,2819,234,3543,206,1331,159,1693,36,371,88,491,3059,21739,1775,26580,103,1700,157,1958,148,1622,131,1896,494,3603,270,4370,866,3289,222,4377,1070,3212,264,4544,1152,3012,195,4357,717,2815,212,3736,231,1454,177,1858,33,611,128,777,4810,21318,1749,27879,205,3500,310,4019,270,3424,271,3969,783,7254,557,8598,1382,6675,464,8516,1712,6578,511,8797,1808,6236,415,8458,1204,5635,445,7281,436,2781,343,3554,75,983,210,1266,7870,43058,3521,54457
SED21706,92,2053,67,2213,152,2658,182,2994,270,4271,358,4898,419,3681,198,4302,732,3536,144,4412,743,2905,107,3755,408,2226,104,2738,204,1244,84,1531,84,587,74,742,3116,23150,1316,27583,100,2194,73,2359,148,2464,126,2736,297,3903,262,4463,610,3806,173,4586,1218,3703,141,5069,1123,2879,134,4140,634,2375,126,3140,264,1677,124,2065,58,1144,142,1346,4453,24150,1304,29906,189,4243,142,4577,300,5115,306,5726,573,8169,615,9361,1029,7490,374,8892,1952,7239,282,9474,1864,5790,247,7897,1045,4605,229,5877,468,2920,212,3599,142,1730,219,2091,7565,47301,2621,57485
SED21805,91,1776,100,1963,94,1657,87,1844,293,4061,239,4599,524,4285,273,5079,700,3974,239,4913,605,3467,174,4252,401,2526,145,3063,160,1303,137,1601,40,367,66,478,2906,23417,1475,27801,84,1586,86,1754,136,1614,82,1830,502,4186,253,4940,880,4239,256,5375,1114,3801,202,5120,1076,3276,190,4541,602,2813,162,3582,194,1529,180,1896,33,721,127,881,4618,23758,1538,29915,175,3358,189,3720,227,3274,175,3667,798,8247,494,9544,1408,8524,525,10452,1817,7772,443,10031,1683,6742,368,8795,1000,5337,306,6645,347,2832,317,3498,80,1087,196,1360,7529,47168,3010,57707
SED21906,82,1489,61,1633,157,1899,171,2221,337,5297,434,6068,464,4163,259,4892,619,3197,179,3988,706,2473,114,3303,463,2472,146,3082,184,1178,95,1448,76,485,50,613,3087,22647,1507,27248,106,1514,74,1697,177,2026,127,2331,451,5443,364,6250,656,4137,235,5031,1025,3133,148,4308,1017,2406,123,3550,719,2521,170,3416,205,1440,119,1763,45,963,128,1141,4395,23578,1503,29478,185,2999,134,3323,330,3927,294,4551,789,10737,799,12322,1121,8301,500,9926,1636,6329,325,8297,1723,4884,244,6851,1179,4997,321,6493,387,2610,215,3213,121,1454,179,1750,7481,46229,3011,56728
SED22005,75,1668,83,1823,161,2959,243,3359,368,6749,633,7750,506,4612,298,5418,637,3536,196,4376,564,2999,166,3737,349,2463,180,2991,232,1568,157,1958,80,724,100,905,2989,27280,2059,32321,76,1542,99,1726,161,2373,175,2709,435,5500,432,6368,689,4286,253,5224,940,3418,182,4545,895,3005,168,4070,606,2744,182,3529,300,1979,173,2450,46,1198,178,1419,4144,26061,1838,32045,156,3207,184,3549,325,5335,412,6074,804,12254,1067,14124,1198,8901,544,10642,1578,6954,383,8922,1460,6002,337,7805,952,5213,363,6521,534,3548,331,4410,122,1917,278,2321,7132,53338,3897,64367
SED22105,179,3410,216,3802,201,3670,272,4143,630,8658,717,10004,1027,9839,634,11499,804,6166,344,7308,598,4150,260,5010,379,2535,157,3068,171,1210,106,1483,46,336,51,428,4037,39968,2748,46754,175,3385,203,3768,294,3517,215,4025,1153,9323,718,11194,1548,9132,542,11224,1244,5606,350,7204,963,3860,253,5070,570,2799,182,3555,199,1461,114,1774,23,638,83,748,6179,39720,2669,48561,357,6794,420,7571,493,7190,486,8169,1788,17982,1431,21200,2585,18968,1173,22726,2052,11771,692,14512,1561,8009,511,10081,948,5334,342,6619,370,2667,223,3257,71,974,134,1176,10212,79688,5418,95316
SED22201,85,1567,55,1702,99,1602,69,1769,250,3582,187,4023,467,3659,149,4272,583,2945,129,3656,634,2643,124,3405,380,2259,86,2727,233,1364,85,1681,65,445,66,578,2792,20063,955,23812,67,1448,57,1573,131,1515,61,1705,492,3727,181,4400,735,3628,155,4516,954,3024,130,4106,1032,2698,133,3862,650,2632,119,3403,253,1824,151,2231,47,814,148,1018,4353,21317,1142,26807,147,3011,117,3277,226,3114,132,3473,742,7311,367,8420,1200,7286,302,8789,1530,5971,258,7762,1668,5344,255,7265,1029,4888,209,6132,488,3184,237,3914,111,1259,220,1585,7146,41376,2094,50618
SED22305,93,1817,177,2088,155,2275,284,2716,477,6193,865,7528,558,4956,595,6110,518,3669,411,4599,453,3126,332,3916,337,2468,192,2997,202,1393,156,1742,60,464,54,577,2854,26356,3062,32277,104,1708,188,1999,221,2033,190,2446,673,5026,562,6260,784,4036,441,5259,724,2937,331,3996,754,2922,256,3938,508,2490,249,3248,202,1593,158,1953,53,791,97,930,4030,23537,2466,30033,198,3525,367,4094,378,4308,474,5158,1146,11219,1420,13787,1340,8991,1037,11366,1245,6605,743,8594,1207,6049,590,7847,852,4960,438,6252,406,2981,309,3696,116,1251,147,1513,6886,49895,5530,62313
SED22404,75,1615,193,1877,83,1282,150,1508,223,2601,239,3066,365,2663,284,3314,589,3307,375,4268,753,3755,368,4879,542,3419,316,4281,218,1729,210,2160,49,456,48,551,2897,20827,2176,25903,85,1429,178,1698,105,1119,115,1345,319,2561,233,3116,625,2653,265,3540,987,3024,334,4349,1223,3466,336,5022,740,3224,326,4279,265,1586,189,2047,46,633,85,761,4395,19704,2056,26158,157,3041,373,3577,195,2398,262,2853,546,5163,473,6184,990,5321,547,6857,1570,6336,709,8612,1973,7216,704,9900,1279,6644,640,8564,482,3323,399,4203,92,1093,134,1315,7283,40534,4238,52053
SED22501,77,1833,56,1966,103,1440,44,1590,203,2346,74,2620,392,3277,113,3784,654,3452,117,4228,798,2971,95,3862,487,2703,105,3299,197,1308,82,1590,35,321,48,406,2961,19654,734,23346,84,1679,31,1797,131,1309,42,1480,261,2385,79,2726,641,3455,103,4197,1159,3302,102,4568,1326,2928,103,4361,721,2813,116,3652,232,1422,98,1751,42,505,86,632,4597,19789,764,25149,164,3515,86,3765,236,2746,91,3073,467,4727,152,5349,1030,6726,219,7976,1820,6754,222,8792,2124,5897,201,8222,1211,5511,222,6946,423,2732,179,3341,75,825,134,1039,7558,39447,1496,48500
SED22607,69,1706,71,1844,124,2116,117,2362,337,5367,316,6017,465,4359,250,5079,723,3696,225,4642,814,2885,194,3899,469,2225,120,2809,179,1037,84,1302,54,419,46,523,3231,23806,1420,28459,77,1565,62,1711,184,2219,123,2529,475,5567,382,6425,694,4450,249,5393,1214,3556,200,4979,1245,2783,161,4195,618,2290,119,3021,210,1291,101,1600,35,822,74,935,4762,24540,1482,30791,149,3270,132,3554,315,4332,236,4887,808,10927,702,12442,1156,8807,501,10475,1941,7250,427,9619,2060,5677,357,8087,1085,4512,236,5834,384,2330,189,2896,92,1237,123,1454,7989,48348,2907,59245
SED22704,98,1644,247,1986,104,1551,157,1813,270,2867,400,3537,380,2668,383,3431,610,3301,421,4326,752,3982,485,5220,621,3994,432,5046,265,2151,267,2684,62,610,93,763,3159,22766,2887,28810,131,1344,187,1665,131,1198,117,1447,405,2788,296,3485,688,2634,327,3650,1067,3115,369,4550,1232,3701,417,5346,860,3565,346,4766,325,2049,287,2662,45,953,181,1180,4876,21349,2533,28760,234,2983,435,3649,235,2753,277,3265,673,5658,701,7028,1066,5300,712,7076,1675,6417,792,8883,1982,7680,900,10570,1482,7559,777,9819,592,4198,557,5343,106,1562,278,1940,8037,44116,5419,57571
SED22802,83,1811,70,1958,111,1716,68,1892,284,3608,166,4052,453,3377,147,3981,570,3112,162,3847,644,2801,123,3568,410,2244,90,2750,215,1312,81,1609,42,316,24,386,2812,20297,931,24043,80,1700,72,1844,158,1564,53,1773,477,3473,139,4085,746,3213,132,4083,1025,3045,130,4204,1088,2606,118,3813,624,2435,92,3157,220,1433,78,1735,30,497,43,573,4451,19976,844,25271,156,3508,137,3810,270,3283,114,3664,760,7078,297,8136,1202,6589,276,8064,1594,6158,293,8045,1732,5408,242,7379,1035,4684,181,5906,435,2748,160,3341,73,818,74,964,7260,40273,1783,49311
SED22901,80,1660,60,1799,92,1622,61,1781,251,3295,159,3706,403,3590,155,4155,515,3050,139,3698,542,2825,100,3461,451,2615,94,3154,206,1296,100,1599,60,451,68,579,2594,20402,940,23938,86,1505,49,1647,124,1443,69,1642,347,3192,143,3678,640,3642,147,4421,848,2975,114,3929,1017,2898,98,4009,649,2798,126,3575,235,1624,152,2004,29,834,163,1027,3973,20908,1055,25931,163,3170,109,3441,219,3067,133,3420,599,6488,298,7388,1041,7235,303,8577,1358,6021,252,7628,1559,5713,197,7470,1097,5411,217,6731,435,2918,253,3606,90,1283,232,1608,6568,41307,1995,49873
SED23007,78,1596,126,1800,152,2665,257,3077,506,8516,883,9904,686,5944,514,7147,672,3978,364,5018,582,3210,282,4067,312,2302,210,2825,158,1224,140,1520,49,434,67,547,3193,29870,2853,35918,98,1589,132,1818,183,2499,211,2893,780,7645,675,9097,922,5370,418,6712,1006,3709,298,5015,848,3004,236,4087,480,2449,197,3133,182,1443,178,1796,42,687,173,908,4536,28395,2522,35453,174,3187,262,3624,331,5166,472,5968,1287,16156,1554,19000,1608,11318,934,13860,1674,7691,661,10025,1424,6218,520,8154,799,4753,407,5960,335,2658,321,3323,95,1121,247,1455,7735,58265,5376,71367
SED23101,62,1796,69,1925,108,1866,97,2074,191,2965,188,3349,387,3398,142,3928,613,3234,136,3986,576,2706,77,3358,419,2344,112,2877,296,1779,120,2201,101,703,100,906,2756,20804,1036,24599,65,1638,23,1733,116,1570,55,1750,268,2876,117,3264,585,3492,146,4225,947,3305,118,4366,881,2695,98,3680,678,2748,155,3573,343,2265,183,2790,55,1092,210,1355,3939,21684,1104,26726,128,3437,89,3657,226,3440,160,3819,457,5847,309,6610,973,6889,287,8147,1559,6542,256,8352,1461,5404,172,7037,1087,5096,261,6446,640,4051,302,4991,161,1797,307,2256,6697,42487,2140,51325
SED23205,76,1625,139,1841,107,1540,131,1778,290,3616,378,4284,466,3300,291,4055,533,3199,321,4055,649,2798,284,3728,409,2394,184,2983,189,1414,159,1755,64,476,119,652,2768,20363,1993,25125,86,1419,147,1648,149,1466,122,1735,505,3512,341,4356,784,3291,293,4365,986,3018,263,4269,933,2769,200,3903,612,2566,191,3369,232,1718,216,2169,55,820,248,1126,4332,20581,2026,26936,161,3048,280,3489,253,3014,253,3514,792,7127,723,8640,1243,6592,580,8418,1518,6219,587,8325,1582,5563,477,7627,1016,4957,373,6352,417,3133,372,3922,113,1299,367,1776,7097,40945,4021,52067
SED23308,71,1584,98,1760,116,2035,153,2306,288,4663,306,5259,437,3537,242,4215,639,3120,210,3961,660,2958,188,3806,406,2529,167,3097,244,1252,109,1603,62,460,93,612,2918,22135,1569,26627,93,1466,64,1618,159,2018,121,2300,462,4672,255,5396,705,3569,220,4499,1118,3061,184,4364,1182,2943,184,4309,686,2777,185,3650,258,1772,195,2223,44,862,169,1068,4715,23137,1586,29434,171,3050,161,3381,278,4050,277,4608,749,9338,564,10653,1141,7106,465,8718,1755,6180,390,8322,1838,5905,372,8118,1087,5304,355,6745,500,3023,307,3832,107,1328,255,1688,7631,45272,3150,56060
SED23402,102,2458,165,2731,136,2379,137,2655,357,5145,337,5845,567,5034,323,5922,723,4271,242,5245,673,3549,192,4412,389,2574,144,3111,195,1410,109,1712,57,398,56,512,3202,27226,1705,32139,137,2232,146,2513,158,2220,121,2505,638,5387,322,6352,1027,4874,312,6214,1260,4145,262,5659,1134,3314,211,4660,621,2727,179,3523,216,1598,170,1986,38,654,107,790,5221,27149,1830,34204,242,4690,313,5244,295,4599,261,5153,993,10537,658,12192,1590,9907,635,12138,1981,8423,507,10902,1813,6865,400,9074,1010,5301,325,6636,406,3008,283,3701,93,1056,156,1303,8420,54380,3535,66337
SED23502,105,1361,204,1665,74,1119,118,1316,243,2422,257,2921,352,2310,272,2934,542,2613,304,3451,747,3687,377,4805,643,4479,426,5544,323,2341,282,2944,82,564,118,766,3102,20895,2346,26344,130,1225,176,1532,111,994,107,1211,381,2485,273,3139,590,2379,269,3243,932,2652,302,3887,1239,3584,343,5163,867,4039,392,5297,357,2300,279,2938,53,812,191,1055,4654,20472,2341,27463,238,2585,377,3198,187,2117,222,2521,624,4910,523,6056,944,4693,543,6177,1466,5257,604,7336,1982,7266,722,9968,1507,8520,809,10844,676,4649,558,5880,136,1378,311,1826,7757,41367,4684,53811
SED23602,101,1433,144,1679,84,1153,152,1391,224,2344,570,3133,354,2395,535,3280,533,2802,339,3673,717,3422,347,4487,585,3574,320,4484,269,1749,209,2221,51,491,100,645,2913,19361,2714,24988,109,1329,150,1595,100,976,93,1167,362,2329,216,2903,574,2410,271,3249,926,2828,237,3996,1189,3241,255,4682,780,3364,312,4459,297,1769,247,2306,40,770,122,931,4374,19017,1899,25288,212,2761,293,3271,181,2133,249,2555,583,4672,784,6031,927,4806,801,6534,1459,5630,574,7669,1907,6661,602,9169,1369,6946,634,8946,560,3515,454,4528,90,1258,222,1574,7286,38373,4615,50279
SED23702,90,2204,113,2412,105,2104,104,2313,316,3988,233,4543,495,3620,271,4387,642,3617,236,4501,701,3598,231,4533,515,2925,190,3627,231,1497,136,1867,60,438,57,555,3155,23991,1584,28731,128,1837,136,2106,146,1689,102,1937,541,3914,199,4651,840,3540,231,4607,1225,3509,232,4963,1318,3426,194,4942,715,2991,200,3906,245,1740,194,2174,49,593,101,744,5203,23247,1586,30030,222,4040,250,4515,247,3793,206,4245,864,7898,435,9194,1337,7166,503,8995,1863,7126,472,9468,2016,7028,430,9472,1228,5919,389,7533,470,3238,329,4036,104,1033,158,1298,8354,47240,3167,58759
SED23806,89,1889,70,2049,120,2353,94,2567,276,4726,242,5246,358,3485,167,4011,601,3145,146,3891,721,2542,111,3373,411,2149,89,2663,205,1291,73,1567,51,487,38,576,2835,22078,1033,25940,83,1835,73,1994,154,2401,106,2661,363,4921,232,5514,577,3733,169,4473,1112,3212,129,4449,1084,2570,123,3775,693,2359,121,3176,274,1619,88,1983,58,838,64,962,4404,23483,1098,28990,170,3724,143,4036,278,4747,202,5227,635,9646,477,10758,935,7216,328,8485,1714,6355,278,8343,1807,5112,230,7146,1109,4515,214,5835,472,2910,165,3547,114,1327,102,1543,7241,45555,2131,54928
SED23901,84,1767,74,1922,103,1816,112,2027,280,4109,231,4621,497,4047,227,4771,721,3406,180,4309,795,2900,156,3849,456,2370,124,2953,219,1390,81,1688,91,605,64,762,3245,22411,1250,26906,90,1603,63,1752,151,1758,78,1988,447,4139,206,4792,713,4081,191,4990,1122,3333,154,4603,1241,2833,129,4207,719,2485,155,3358,293,1752,103,2141,61,1125,78,1264,4838,23106,1160,29097,173,3361,137,3677,246,3578,194,4017,727,8248,436,9412,1212,8126,417,9754,1843,6737,330,8915,2033,5737,286,8053,1173,4864,280,6312,511,3138,185,3835,152,1727,145,2023,8083,45512,2408,56001
SED24006,126,2395,74,2591,151,2142,71,2362,228,3023,148,3400,338,2820,104,3267,765,3391,155,4316,854,3125,134,4116,480,2339,93,2910,217,1457,82,1763,100,608,52,759,3267,21304,923,25488,142,2173,68,2384,163,1911,68,2150,294,2920,125,3337,555,3318,125,3997,1231,3694,162,5084,1377,2916,116,4406,727,2437,117,3284,322,1688,112,2126,59,1073,127,1263,4868,22140,1026,28030,266,4571,144,4975,314,4049,137,4509,523,5940,279,6737,892,6139,230,7266,1996,7083,315,9401,2228,6040,252,8524,1210,4780,205,6196,544,3152,198,3884,153,1685,179,2027,8134,43437,1944,53517
SED24105,71,2217,92,2388,144,2512,154,2810,344,5018,386,5747,533,4493,288,5306,582,3921,191,4690,482,3571,188,4240,364,2715,166,3242,200,1518,125,1842,54,479,46,581,2780,26442,1633,30850,110,2062,99,2273,175,2217,120,2515,473,4664,313,5447,745,4597,293,5634,843,3977,185,5006,785,3252,169,4209,573,2823,167,3566,201,1667,144,2009,35,784,81,903,3936,26041,1574,31547,185,4281,189,4657,317,4728,275,5326,818,9683,704,11199,1272,9088,579,10941,1426,7899,374,9696,1271,6825,352,8444,942,5535,335,6809,395,3185,271,3846,89,1260,124,1479,6717,52482,3205,62404
SED24207,130,2839,256,3226,150,2862,501,3510,475,6423,1319,8214,842,6959,1115,8916,760,5119,593,6471,515,3714,328,4561,378,2675,211,3269,163,1113,128,1403,18,236,44,297,3434,31936,4492,39860,147,2786,182,3117,235,2516,247,2992,775,6430,751,7956,1288,6715,586,8586,1252,4828,391,6472,873,3497,257,4624,577,2800,187,3561,149,1157,106,1402,22,361,52,436,5307,31085,2756,39148,275,5625,441,6337,385,5374,747,6501,1243,12857,2073,16173,2134,13669,1697,17500,2011,9941,987,12948,1386,7211,585,9186,955,5476,397,6827,309,2267,233,2812,42,594,98,735,8739,63022,7251,79009
SED24308,101,1946,164,2208,147,1950,235,2335,376,4454,799,5634,482,3325,633,4435,625,3374,444,4446,651,3121,304,4073,422,2628,204,3254,201,1418,152,1769,55,521,72,645,3056,22731,3010,28794,135,1801,152,2092,171,1850,144,2169,603,4192,360,5153,857,3309,313,4480,1044,3189,269,4507,1017,2932,191,4138,620,2827,231,3673,228,1713,182,2118,31,858,105,992,4696,22673,1945,29316,236,3746,315,4298,323,3799,384,4503,977,8644,1161,10785,1338,6636,939,8915,1670,6566,719,8954,1664,6053,493,8210,1033,5457,435,6927,424,3124,338,3887,83,1376,175,1635,7751,45406,4959,58107
SED24408,90,1464,148,1701,82,1233,94,1411,240,2703,221,3159,332,2348,195,2869,500,2681,207,3388,755,3353,276,4379,516,3162,296,3970,234,1739,234,2197,76,610,106,793,2819,19284,1767,23874,110,1237,141,1485,105,1099,96,1295,343,2578,181,3105,554,2352,184,3087,823,2603,226,3652,1149,3022,236,4407,690,2941,268,3894,280,1955,272,2507,52,1051,179,1281,4096,18829,1782,24707,195,2700,291,3190,185,2329,190,2706,584,5286,395,6260,885,4697,371,5959,1320,5279,438,7038,1898,6372,514,8784,1206,6102,559,7869,514,3694,501,4705,127,1659,285,2075,6918,38117,3552,48584
SED24504,121,1766,155,2045,100,1163,90,1353,197,2312,178,2688,431,3194,212,3840,661,3850,277,4792,706,3661,292,4660,519,3286,245,4048,211,1651,172,2038,44,365,67,481,2998,21248,1694,25942,104,1612,136,1850,119,996,86,1198,316,2329,164,2816,721,3351,232,4310,1132,3767,277,5180,1240,3339,264,4843,750,3180,266,4195,247,1522,185,1947,19,570,125,715,4647,20656,1744,27045,227,3375,288,3892,221,2158,173,2551,513,4639,346,5500,1157,6552,443,8155,1794,7611,556,9964,1945,7000,560,9502,1267,6464,508,8241,453,3171,358,3984,63,935,198,1202,7643,41903,3438,52988
SED24606,68,1544,60,1675,142,1886,84,2116,250,3966,246,4454,333,3123,172,3629,637,2977,134,3749,666,2423,120,3209,373,2193,118,2682,216,1507,100,1825,73,561,83,712,2760,20180,1115,24055,93,1644,63,1796,151,2030,84,2269,327,4187,200,4711,466,3313,159,3943,1109,3091,140,4341,1086,2486,120,3689,661,2506,129,3297,312,1776,132,2223,72,953,150,1177,4273,21990,1183,27447,157,3186,126,3468,295,3915,169,4380,575,8152,443,9166,803,6436,330,7567,1742,6076,272,8091,1756,4908,237,6899,1029,4702,243,5983,530,3281,237,4053,142,1518,229,1891,7034,42176,2296,51505
SED24703,95,2257,198,2551,254,9378,856,10487,733,18909,1913,21557,615,8111,929,9656,566,3794,481,4842,516,2887,332,3736,288,2128,186,2604,124,987,109,1219,32,285,30,352,3215,48743,5035,57000,107,2824,236,3173,366,10690,905,11961,841,18834,1787,21468,746,7228,711,8682,783,3650,383,4818,795,2761,283,3841,465,2071,227,2763,153,1021,94,1272,30,455,50,535,4291,49531,4685,58507,201,5082,435,5722,616,20068,1764,22444,1576,37747,3698,43021,1357,15338,1642,18338,1354,7438,868,9660,1309,5653,618,7578,754,4195,417,5368,280,2004,207,2489,60,742,84,890,7509,98276,9723,115506
SED24808,138,2514,226,2881,185,2500,239,2927,528,6129,615,7269,838,6049,543,7426,700,4455,374,5536,578,3471,273,4320,453,2969,211,3627,206,1262,126,1591,29,291,35,360,3660,29639,2629,35934,202,2405,240,2844,235,2373,222,2832,950,6477,619,8042,1340,5659,540,7537,1244,4054,360,5657,995,3449,258,4702,702,3113,218,4033,189,1395,144,1735,24,573,57,661,5883,29494,2668,38042,341,4924,468,5727,420,4874,458,5756,1478,12603,1233,15318,2174,11710,1084,14965,1943,8508,736,11193,1574,6920,523,9022,1154,6081,426,7657,393,2655,271,3321,61,868,89,1020,9544,59141,5299,73975
SED24904,90,1643,226,1951,104,1618,170,1890,302,3688,455,4441,378,3092,410,3876,504,3122,397,4029,636,3408,394,4437,443,2920,351,3719,205,1544,228,1974,58,518,104,675,2719,21545,2727,26999,111,1516,178,1803,151,1400,155,1705,498,3522,421,4446,705,2925,386,4023,935,2938,312,4183,1055,3073,340,4471,606,2758,317,3680,255,1633,246,2139,52,933,166,1151,4375,20700,2523,27601,200,3154,405,3753,258,3017,324,3592,803,7208,878,8886,1077,6020,794,7895,1445,6061,709,8212,1687,6483,737,8908,1051,5678,675,7397,465,3173,473,4111,110,1453,270,1833,7098,42243,5257,54597
SED25003,88,2157,133,2371,141,2236,131,2509,371,4550,303,5226,538,4386,272,5186,663,3710,192,4563,698,3275,174,4144,370,2188,141,2703,129,905,148,1178,30,260,99,387,3023,23670,1587,28277,107,1925,97,2128,175,1991,97,2260,518,4461,260,5235,850,4169,248,5264,1220,3625,183,5030,1107,3268,164,4546,495,2207,170,2865,126,1048,215,1383,14,478,246,739,4606,23176,1667,29450,190,4079,228,4497,312,4229,227,4770,887,9010,561,10462,1386,8558,517,10458,1880,7337,373,9600,1808,6544,334,8690,866,4395,305,5574,254,1956,357,2568,43,740,349,1128,7632,46849,3260,57732
SED25102,83,1756,55,1895,96,1447,58,1607,210,2745,140,3094,412,3207,135,3751,610,3481,166,4257,727,3013,132,3870,460,2515,98,3075,169,1146,76,1392,44,271,38,352,2817,19588,897,23300,88,1589,63,1737,134,1324,42,1499,331,2678,128,3140,664,3306,133,4099,1112,3150,121,4389,1154,2782,134,4074,688,2382,105,3176,172,1188,69,1431,23,492,34,554,4372,18884,822,24085,171,3350,119,3634,229,2771,100,3103,537,5424,271,6231,1077,6507,264,7852,1720,6634,288,8643,1884,5794,264,7942,1154,4898,204,6255,343,2335,145,2821,71,768,68,900,7184,38476,1718,47384
SED25205,90,1818,67,1977,79,1524,45,1659,216,3025,162,3406,452,3946,158,4560,773,3892,164,4826,757,3037,131,3921,405,2232,97,2737,184,1295,95,1576,72,513,48,634,3040,21290,973,25300,93,1807,64,1963,124,1461,39,1635,323,3231,161,3714,695,4144,166,5003,1302,3850,163,5317,1172,2964,115,4255,619,2453,133,3197,247,1706,122,2080,61,967,79,1104,4632,22590,1042,28262,185,3632,125,3939,204,2990,89,3288,538,6261,320,7118,1143,8090,322,9567,2073,7740,326,10143,1931,5998,254,8183,1022,4679,233,5936,435,3003,218,3655,129,1472,127,1736,7670,43876,2017,53566
