SED_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SED10080,303,870,1174,67,168,231,60,340,404,63,677,737,143,1042,1182,166,1023,1187,343,993,1342,405,1370,1779,606,1773,2385,787,1664,2447,664,1622,2283,762,1610,2367,1946,3729,5677,1578,422,1996,1610,1390,3000,1222,290,1513,7989,3654,11642,919,685,1611,157,347,500,19788,23667,43451
SED10081,225,267,493,97,115,210,98,353,454,122,683,799,428,1760,2191,440,1045,1487,1521,704,2225,1260,900,2155,1550,868,2417,1759,577,2336,1205,429,1637,1369,349,1723,2800,503,3302,1935,79,2010,1481,108,1595,829,22,855,1906,181,2086,1344,114,1461,337,471,807,20715,9539,30249
SED10082,204,270,479,74,98,174,64,190,255,73,408,479,266,1320,1579,281,1109,1389,1169,608,1779,1011,640,1649,1279,579,1860,1488,418,1907,977,306,1286,1126,284,1408,2332,397,2725,1973,55,2031,1842,127,1970,1287,24,1310,4258,222,4485,1202,70,1273,217,299,512,21134,7429,28567
SED10083,193,285,478,74,103,179,81,287,366,99,633,736,308,1753,2058,387,1049,1440,1294,634,1930,1168,742,1909,1414,704,2113,1612,492,2103,1198,364,1565,1257,291,1554,2715,409,3126,2142,49,2191,1660,87,1749,1025,15,1037,2225,125,2348,1140,78,1213,193,369,560,20194,8470,28659
SED10084,211,343,556,109,130,242,92,323,416,101,673,772,392,1967,2356,416,1624,2044,1749,823,2570,1485,919,2401,1727,835,2561,1981,513,2500,1269,403,1673,1277,278,1555,2621,400,3025,1882,64,1940,1465,97,1561,842,24,866,1994,147,2148,1429,169,1592,335,509,842,21378,10237,31615
SED10085,251,291,544,105,91,195,120,281,404,116,599,715,420,1531,1952,459,873,1329,1388,518,1909,1090,676,1761,1323,771,2102,1571,473,2048,1078,399,1487,1167,321,1491,2494,606,3096,1855,48,1899,1622,154,1776,1044,17,1057,2533,213,2741,1634,84,1724,298,382,684,20583,8326,28908
SED10086,227,403,630,45,102,156,58,207,265,47,297,348,135,599,730,131,545,677,328,465,791,320,644,969,523,739,1252,603,777,1381,532,777,1307,666,799,1461,1582,1736,3314,1259,256,1508,1433,761,2194,1136,227,1365,9474,2159,11630,1222,425,1644,253,269,519,19972,12176,32150
SED10087,154,229,384,78,102,184,95,301,393,108,596,699,391,1561,1948,443,936,1380,1168,718,1886,1064,935,1994,1392,928,2323,1687,677,2361,1184,553,1735,1430,426,1854,2856,613,3468,2123,113,2239,1675,121,1795,998,31,1029,2154,178,2328,1514,134,1643,305,391,695,20816,9542,30350
SED10088,153,255,410,65,110,176,65,188,254,60,396,456,191,948,1135,202,658,862,636,479,1111,583,590,1176,817,618,1436,1085,502,1581,890,480,1374,1010,384,1396,2365,672,3035,2007,105,2108,1881,201,2085,1485,49,1532,7177,318,7493,1086,96,1186,174,230,409,21927,7285,29211
SED10089,188,317,512,64,121,188,68,306,375,92,662,751,289,1869,2156,396,1028,1422,1315,640,1958,1239,888,2129,1366,886,2250,1571,687,2260,1286,557,1848,1283,468,1752,3014,683,3704,2338,193,2525,1910,167,2085,1272,63,1332,2710,193,2898,1274,302,1573,193,310,500,21881,10331,32217
SED10090,353,376,730,108,126,236,106,214,318,87,357,438,227,709,936,242,582,828,501,505,1003,533,628,1162,737,796,1536,958,693,1656,765,687,1453,896,626,1522,2112,1392,3500,1595,141,1732,1695,448,2145,1271,97,1365,9773,971,10747,1107,181,1286,162,146,313,23220,9683,32909
SED10091,221,249,467,92,99,186,66,183,251,86,375,458,303,1119,1425,262,663,934,1072,476,1551,956,594,1548,1229,640,1870,1539,431,1973,1079,351,1435,1272,282,1553,2805,422,3229,2324,40,2360,2082,99,2179,1277,13,1291,3882,183,4063,1364,56,1420,265,246,513,22179,6529,28707
SED10092,259,405,666,79,171,251,108,490,595,156,962,1117,435,2176,2611,495,1261,1759,1468,814,2286,1322,934,2263,1450,1040,2490,1679,828,2506,1195,662,1850,1278,574,1851,2623,967,3590,2061,201,2259,1655,224,1878,1070,84,1160,2633,324,2955,1027,395,1420,254,389,643,21252,12904,34152
SED10093,217,308,524,72,96,164,68,245,309,109,625,730,383,1772,2158,484,987,1471,1518,606,2126,1323,766,2085,1512,730,2244,1745,481,2232,1308,390,1701,1411,278,1684,2931,302,3231,2193,59,2250,1591,83,1673,954,30,983,1991,98,2091,1299,94,1391,300,406,703,21412,8355,29764
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,276,749,1024,91,170,265,81,425,504,97,780,876,183,1111,1298,219,935,1154,468,892,1361,514,1187,1707,739,1701,2438,943,1631,2571,747,1650,2395,898,1426,2325,2223,3111,5332,1723,307,2036,1731,952,2682,1300,166,1464,6318,1710,8028,981,374,1351,127,315,444,19655,19594,39252
SED20207,381,328,707,104,76,182,133,209,338,143,418,555,365,913,1287,426,601,1031,1123,442,1565,1065,607,1670,1423,703,2131,1744,653,2395,1453,573,2029,1552,447,2006,3967,763,4732,3072,90,3162,2876,195,3069,1832,46,1879,5158,221,5380,1488,138,1625,289,224,521,28602,7652,36253
SED20302,306,344,649,126,141,271,137,268,400,165,672,838,515,1870,2384,560,1243,1802,1853,779,2631,1691,969,2657,2183,966,3146,2474,723,3199,1949,557,2512,2232,422,2653,4608,503,5111,3412,68,3476,2324,118,2444,1286,39,1320,2383,175,2560,1710,120,1826,429,427,852,30340,10386,40725
SED20401,156,228,385,67,82,141,67,186,257,90,392,486,254,1051,1298,261,671,929,884,516,1393,854,635,1489,1106,712,1816,1318,580,1897,1076,460,1536,1066,377,1446,2450,535,2978,2006,85,2091,1633,101,1736,1028,26,1054,2084,107,2190,842,71,919,178,226,401,17409,7044,24446
SED20508,254,262,511,115,90,204,77,203,279,85,445,538,370,1275,1641,393,1006,1400,1347,656,2000,1223,654,1879,1500,679,2175,1644,439,2084,1084,433,1514,1114,285,1400,2493,448,2940,1933,46,1981,1584,94,1677,959,16,979,2455,179,2637,1213,61,1271,261,262,523,20116,7532,27642
SED20604,112,233,350,77,97,170,61,257,315,91,561,652,328,1468,1796,368,909,1280,1259,639,1893,1084,804,1886,1345,802,2149,1637,563,2203,1146,434,1582,1248,318,1570,2815,370,3185,1902,53,1952,1308,91,1397,853,18,867,1551,94,1641,1185,59,1248,264,329,588,18636,8092,26732
SED20704,136,230,370,63,100,165,63,225,295,82,496,577,302,1356,1659,378,926,1303,1167,607,1779,1161,736,1903,1340,811,2153,1589,515,2106,1184,463,1646,1248,370,1616,2700,470,3166,1956,80,2039,1531,90,1622,931,29,955,1868,131,1999,1055,142,1193,212,255,466,18967,8044,27006
SED20804,110,225,338,83,109,191,76,291,368,99,670,773,327,1750,2075,397,1086,1486,1303,726,2028,1151,876,2026,1299,776,2076,1512,546,2061,1061,432,1496,1037,326,1360,2220,438,2658,1553,67,1625,1170,77,1250,637,15,649,1239,133,1371,994,109,1104,251,346,595,16515,9023,25534
SED20906,258,273,533,100,92,191,101,186,287,78,372,452,223,886,1108,255,563,816,636,423,1059,666,528,1192,813,506,1319,998,464,1461,762,395,1158,805,322,1126,1871,608,2484,1634,67,1706,1609,165,1772,1247,29,1278,5107,268,5371,863,82,945,158,189,345,18181,6422,24604
SED21001,457,511,969,138,174,312,173,300,474,116,479,601,309,971,1281,321,803,1125,750,614,1364,793,712,1501,1027,838,1868,1207,675,1887,869,541,1412,946,441,1383,2016,817,2833,1592,117,1713,1462,226,1689,1100,53,1154,4679,310,4990,1003,169,1171,138,201,336,19097,8964,28061
SED21106,194,272,469,64,121,187,69,199,272,53,334,393,141,695,835,160,568,726,353,473,834,364,605,972,530,720,1254,686,628,1314,553,603,1153,589,563,1151,1328,1051,2381,1152,88,1241,1196,322,1516,842,43,887,6862,702,7565,1000,114,1109,159,205,366,16290,8305,24592
SED21203,377,319,696,97,81,177,175,289,459,188,534,719,493,1179,1673,593,471,1064,1514,336,1851,1393,486,1880,1503,414,1909,1622,336,1956,1097,280,1372,1036,202,1242,1931,317,2246,1332,86,1416,898,75,967,565,33,597,986,130,1120,968,102,1074,331,259,595,17080,5939,23021
SED21303,166,383,546,52,123,173,68,339,404,77,676,753,198,1212,1403,197,789,988,642,703,1342,568,919,1487,709,1190,1903,881,1227,2111,764,1249,2016,777,1119,1894,2091,1975,4063,1743,399,2141,1804,571,2376,1358,229,1589,4587,846,5432,730,639,1371,126,197,322,17534,14772,32306
SED21401,422,314,739,156,116,268,130,197,320,117,344,465,382,875,1258,348,543,889,1034,410,1445,912,508,1422,1099,519,1613,1235,403,1643,911,364,1272,1000,302,1308,2077,463,2543,1580,58,1639,1425,146,1568,990,26,1014,3768,191,3963,1003,81,1079,225,193,420,18813,6058,24872
SED21503,204,290,493,73,68,140,88,198,283,82,361,444,289,946,1237,292,570,864,844,458,1299,824,516,1337,990,527,1515,1148,433,1584,891,425,1314,916,336,1252,1927,495,2416,1705,95,1801,1454,126,1576,977,41,1012,2370,133,2496,792,148,943,188,181,372,16054,6342,22395
SED21608,146,231,377,74,70,139,56,231,288,93,511,604,291,1371,1665,443,843,1285,1179,564,1743,1058,714,1768,1270,702,1966,1501,525,2024,1097,402,1505,1165,292,1466,2427,414,2845,1788,70,1853,1343,81,1421,779,20,800,1660,123,1782,1061,109,1168,244,271,510,17676,7534,25214
SED21706,253,370,624,91,108,203,112,250,365,105,455,559,240,890,1133,256,620,879,602,443,1042,650,538,1185,774,532,1307,908,467,1379,767,442,1207,725,357,1078,1660,611,2267,1384,140,1529,1352,208,1556,1041,73,1115,5580,331,5909,905,177,1075,135,187,326,17546,7193,24735
SED21805,181,298,481,54,100,156,82,195,279,64,467,536,248,1331,1583,313,896,1202,913,550,1461,878,686,1566,1153,813,1969,1308,683,1987,1140,596,1738,1201,415,1616,2786,610,3396,2314,59,2373,1782,132,1911,1087,20,1106,2331,142,2468,1016,90,1106,250,317,563,19109,8399,27508
SED21906,204,421,626,66,120,188,69,252,326,59,442,501,181,848,1028,170,715,884,455,585,1042,463,789,1251,686,974,1664,814,886,1697,643,831,1470,718,716,1439,1806,1300,3105,1462,197,1659,1440,355,1800,1044,84,1129,5513,577,6091,911,226,1139,235,237,467,16945,10555,27499
SED22005,358,388,751,113,121,239,125,264,383,124,501,631,366,1263,1627,339,638,978,1159,465,1619,989,578,1567,1204,601,1809,1352,484,1829,1087,402,1489,1107,346,1450,2396,569,2964,1841,188,2025,1517,194,1705,1050,94,1146,2597,259,2859,982,218,1204,200,212,411,18906,7783,26692
SED22105,262,262,526,72,67,137,116,121,236,108,354,462,366,936,1303,475,596,1073,1316,406,1716,1503,678,2174,1897,811,2709,2568,632,3200,2293,542,2836,2405,347,2757,5530,445,5980,4031,93,4123,2784,94,2880,1569,40,1611,2693,105,2801,1749,114,1862,338,239,574,32089,6880,38971
SED22201,177,221,401,62,69,133,54,170,226,68,364,438,237,1074,1313,286,756,1046,806,551,1359,846,584,1427,1034,575,1608,1204,492,1696,921,419,1339,968,287,1261,2294,478,2767,1961,54,2012,1517,104,1613,1023,20,1044,2468,114,2580,857,79,931,179,232,412,16951,6649,23606
SED22305,321,376,696,91,89,178,126,271,399,163,561,718,444,1370,1811,481,681,1157,1311,461,1774,1295,674,1974,1524,650,2175,1699,484,2183,1219,395,1609,1207,251,1457,2339,376,2724,1561,128,1692,1050,117,1163,612,106,722,983,265,1245,1020,164,1184,284,280,561,17733,7688,25423
SED22404,188,254,442,90,108,195,76,230,304,100,482,585,322,1312,1631,305,727,1033,1070,503,1573,953,582,1535,1199,672,1871,1364,375,1743,986,322,1309,1092,234,1328,2224,281,2514,1514,32,1548,1126,69,1193,650,9,662,1634,120,1752,1235,85,1318,285,293,583,16424,6695,23120
SED22501,162,150,311,59,64,119,55,109,163,45,196,245,166,589,752,177,416,593,575,347,922,601,356,958,786,386,1173,1008,302,1305,767,247,1012,822,226,1043,1956,356,2307,1698,28,1724,1663,83,1746,1242,11,1254,4251,107,4360,861,33,893,153,118,268,17039,4118,21158
SED22607,174,319,490,68,113,181,107,324,430,80,588,672,238,1023,1266,225,647,871,580,568,1145,583,840,1420,794,1012,1805,867,940,1805,697,878,1573,779,764,1543,1785,1277,3064,1614,182,1803,1543,338,1886,1180,77,1256,5385,464,5852,814,206,1021,188,217,409,17699,10784,28479
SED22704,202,274,474,88,121,206,93,312,405,102,639,745,405,1807,2213,396,992,1385,1491,694,2185,1258,716,1971,1421,754,2175,1535,510,2045,1105,380,1487,1113,265,1382,2282,371,2657,1571,47,1616,1137,78,1213,685,9,694,1387,120,1511,1325,73,1400,385,483,871,18001,8645,26647
SED22802,149,182,333,66,64,131,65,132,192,58,225,280,222,818,1047,233,475,709,795,336,1129,758,421,1171,967,425,1397,1140,320,1461,903,284,1184,994,213,1215,2491,349,2837,2067,40,2108,1648,66,1713,1046,5,1049,2126,64,2199,977,44,1024,193,136,332,16906,4609,21514
SED22901,211,206,413,94,67,170,79,148,228,87,324,409,242,937,1180,278,519,804,860,373,1234,781,449,1232,1061,480,1542,1184,331,1515,948,298,1247,974,236,1205,2176,371,2552,1805,46,1848,1499,73,1574,955,17,976,2297,95,2397,881,50,928,141,179,316,16568,5215,21784
SED23007,271,411,681,105,104,215,134,333,469,154,752,908,382,1261,1640,400,732,1137,1068,611,1676,1028,857,1880,1141,1006,2145,1444,953,2399,1121,860,1980,1158,739,1893,2546,1205,3752,2054,272,2324,1798,345,2146,1206,112,1316,3108,415,3521,991,304,1291,243,277,517,20362,11536,31895
SED23101,302,278,578,104,101,202,118,197,309,98,328,427,295,935,1227,286,599,883,809,435,1244,832,432,1265,971,408,1381,1129,287,1416,805,262,1063,886,222,1109,1962,353,2313,1582,68,1652,1403,90,1493,967,22,984,3051,140,3193,841,86,928,139,201,336,16567,5447,22018
SED23205,150,277,433,64,107,167,80,258,334,86,573,656,290,1468,1761,345,997,1336,938,651,1598,963,822,1785,1118,752,1873,1273,602,1879,939,456,1401,1017,349,1367,2184,486,2672,1658,66,1724,1267,93,1356,855,28,880,1791,131,1925,900,117,1021,227,301,529,16168,8532,24697
SED23308,117,279,397,74,118,197,67,314,384,76,667,748,265,1646,1909,344,1237,1585,959,795,1747,907,967,1867,1106,971,2078,1290,793,2083,896,696,1595,960,494,1453,2076,824,2898,1679,129,1812,1470,186,1657,934,64,1001,2642,259,2906,885,192,1073,198,348,546,16944,10980,27930
SED23402,202,213,415,79,58,137,73,159,236,74,285,362,247,828,1073,299,605,906,932,391,1323,924,573,1496,1299,649,1945,1650,493,2142,1241,447,1682,1491,320,1814,3332,435,3774,2757,57,2822,2020,98,2118,1297,16,1314,3200,109,3309,1252,71,1322,273,195,467,22647,6002,28642
SED23502,224,280,503,100,119,217,107,319,426,115,664,775,394,1870,2266,465,1090,1556,1756,682,2436,1408,793,2208,1511,652,2168,1674,453,2123,1010,322,1331,1164,214,1385,2025,274,2295,1306,30,1340,839,52,886,461,8,475,972,110,1082,1204,92,1297,352,421,778,17104,8443,25541
SED23602,214,300,513,114,108,225,102,269,369,105,578,684,390,1649,2030,365,949,1318,1327,565,1896,1163,729,1887,1296,616,1916,1397,413,1809,910,339,1250,1002,240,1244,1912,326,2240,1208,30,1240,984,81,1063,543,9,555,1291,127,1424,1095,58,1153,310,399,706,15732,7792,23521
SED23702,204,245,446,65,55,125,71,180,253,65,388,457,284,1144,1428,318,900,1216,1088,498,1587,977,635,1605,1256,673,1926,1379,464,1846,1104,420,1525,1231,275,1502,2803,378,3177,2235,45,2283,1645,81,1725,1050,11,1061,2131,86,2216,1139,64,1206,289,239,535,19328,6775,26102
SED23806,211,317,527,79,115,194,71,216,289,71,346,420,138,561,700,156,629,785,332,559,897,330,670,996,532,853,1390,728,856,1584,535,807,1336,659,715,1369,1545,1320,2862,1265,166,1431,1265,330,1593,926,106,1029,6473,673,7141,915,199,1115,131,148,277,16351,9590,25939
SED23901,196,283,478,78,88,169,79,248,329,89,461,548,244,1001,1241,236,710,946,652,561,1211,631,594,1226,866,684,1547,932,578,1505,796,614,1409,890,447,1332,1982,814,2799,1671,106,1780,1643,181,1825,1206,50,1255,4627,267,4894,896,114,1002,185,199,381,17899,7982,25879
SED24006,356,247,603,123,79,199,116,155,276,91,192,280,202,497,700,202,408,616,483,349,837,463,427,883,660,486,1145,754,450,1206,613,409,1020,659,320,979,1597,660,2258,1251,84,1337,1258,215,1472,924,49,976,5968,471,6435,1093,119,1210,150,144,292,16969,5759,22728
SED24105,316,284,594,89,61,148,127,172,297,130,354,479,353,915,1269,326,461,783,1113,309,1422,1019,463,1481,1252,403,1653,1478,281,1763,1214,247,1459,1211,189,1396,2549,282,2835,1932,84,2007,1463,73,1541,1027,31,1059,2260,121,2380,1025,99,1121,206,150,354,19070,4974,24037
SED24207,414,258,674,91,58,148,156,178,336,172,324,497,424,767,1196,485,351,831,1351,310,1659,1242,453,1696,1463,500,1960,1834,393,2223,1588,368,1956,1639,278,1916,3524,405,3930,2685,61,2746,2015,92,2101,1331,31,1365,2755,116,2869,1400,82,1484,302,174,480,24853,5214,30068
SED24308,191,261,455,66,95,156,92,289,380,117,613,732,384,1603,1990,464,946,1415,1341,517,1859,1146,713,1858,1352,732,2083,1455,531,1979,1140,447,1584,1031,337,1370,2395,501,2893,1600,78,1683,1270,105,1372,776,37,812,1609,137,1750,1048,108,1158,277,358,638,17750,8415,26159
SED24408,136,237,370,96,138,229,89,306,391,97,636,733,339,1769,2103,358,976,1338,1227,635,1866,1037,814,1851,1236,775,2012,1455,495,1946,957,396,1352,1044,243,1287,2020,329,2346,1392,42,1439,896,79,976,508,4,519,1177,148,1326,1002,71,1078,287,455,743,15347,8553,23904
SED24504,171,223,394,97,86,186,70,208,272,56,323,384,254,1037,1291,255,581,837,829,440,1264,770,489,1258,1033,476,1509,1222,360,1583,950,355,1301,1046,226,1274,2056,409,2470,1698,29,1722,1590,82,1670,1052,13,1063,3250,193,3448,1194,58,1250,216,205,416,17802,5788,23588
SED24606,183,376,553,60,124,182,62,175,234,60,322,384,147,656,804,138,573,714,326,461,791,367,595,968,458,769,1230,591,742,1332,467,715,1178,588,623,1210,1353,1110,2462,1163,146,1312,1155,368,1523,809,76,889,6424,778,7201,874,156,1027,144,224,371,15371,8984,24364
SED24703,654,2846,3499,173,522,697,247,1003,1248,194,1472,1666,377,1642,2022,455,1776,2238,750,1759,2507,886,2268,3156,1277,3063,4341,1616,2757,4368,1242,2424,3663,1394,2003,3400,3023,3898,6921,2250,661,2913,1959,1095,3050,1447,286,1728,5448,1819,7264,1001,1024,2025,139,397,533,24522,32716,57238
SED24808,307,308,615,95,71,162,120,215,332,149,513,666,449,1231,1683,581,786,1364,1535,509,2044,1487,754,2244,1747,826,2573,2151,618,2768,1708,501,2205,1738,335,2075,3662,439,4102,2519,60,2580,1693,86,1775,1031,12,1043,2015,91,2105,1344,78,1424,341,286,630,24670,7709,32380
SED24904,186,258,448,62,101,165,91,279,371,119,620,739,376,1541,1916,384,894,1279,1332,558,1893,1094,779,1869,1374,711,2083,1453,454,1905,1050,384,1431,1147,274,1421,2205,362,2564,1499,76,1579,1026,75,1101,576,25,604,1175,120,1292,1178,89,1274,379,490,870,16697,8101,24804
SED25003,249,196,443,73,51,127,72,111,182,103,277,378,245,687,934,328,337,666,1051,286,1327,907,432,1344,1160,470,1629,1415,439,1855,1235,333,1566,1268,230,1491,2738,314,3055,2167,55,2222,1636,77,1710,1085,14,1099,1988,74,2066,954,58,1010,232,152,382,18908,4587,23494
SED25102,125,147,272,61,54,114,52,132,185,44,224,271,164,720,883,211,435,651,602,314,915,699,405,1112,843,389,1232,1034,291,1326,792,235,1031,848,193,1038,2123,290,2409,1894,36,1933,1645,91,1730,1124,14,1138,2789,91,2880,927,54,981,149,137,280,16128,4253,20384
SED25205,173,246,420,56,90,146,64,211,275,62,394,462,194,1134,1328,241,714,959,670,506,1179,687,607,1301,887,666,1558,1011,507,1517,814,471,1280,859,392,1253,2103,586,2690,1938,54,1990,1762,161,1928,1306,18,1325,4070,184,4260,842,61,903,175,225,399,17917,7243,25163
SED25302,163,197,357,92,95,190,66,205,270,66,346,414,255,1102,1366,238,797,1032,840,552,1387,832,490,1328,1111,512,1625,1183,343,1522,788,288,1074,872,240,1117,1934,404,2338,1682,33,1716,1542,96,1637,1119,12,1128,3809,172,3979,1059,30,1087,232,268,501,17881,6183,24064
SED25402,208,322,525,76,93,175,108,330,435,120,715,839,405,1763,2165,461,969,1433,1386,589,1974,1316,769,2086,1307,709,2013,1479,499,1982,1017,411,1434,1110,323,1433,2181,414,2597,1616,54,1667,1197,117,1317,638,19,657,1674,155,1827,1167,77,1244,300,431,729,17757,8772,26536
SED25501,384,258,647,140,103,241,132,186,318,131,263,395,293,719,1009,304,450,758,753,353,1099,765,385,1143,965,410,1380,1116,318,1431,846,283,1132,851,225,1079,1914,428,2341,1557,79,1633,1494,125,1617,1019,46,1061,3760,215,3977,1006,104,1118,163,112,279,17585,5067,22657
SED25605,309,295,609,112,92,203,107,204,307,91,379,469,335,1038,1375,274,490,766,1048,373,1418,953,494,1447,1099,451,1552,1299,329,1629,932,257,1184,1029,214,1243,2099,341,2439,1539,71,1610,1289,92,1381,794,33,819,2344,148,2497,925,92,1019,195,185,382,16766,5587,22348
SED25704,207,242,453,101,112,210,65,289,355,128,630,755,422,1707,2134,417,933,1349,1455,612,2071,1221,791,2013,1315,702,2017,1569,435,2002,1088,339,1422,1144,215,1354,2260,292,2551,1499,49,1550,957,56,1016,527,17,549,1104,115,1218,1128,69,1201,362,503,864,16959,8107,25072
SED25802,216,270,487,106,117,226,98,312,409,113,641,757,422,1608,2033,459,1070,1528,1467,633,2096,1330,758,2089,1468,728,2199,1638,505,2142,1216,397,1614,1359,289,1652,2725,381,3110,1935,47,1982,1452,82,1530,792,13,798,1958,149,2101,1301,68,1362,377,408,783,20427,8487,28921
SED25905,233,180,408,77,66,144,85,120,205,114,267,379,292,723,1018,315,372,689,970,289,1257,887,394,1282,1098,482,1580,1406,361,1764,1084,286,1367,1199,183,1384,2530,297,2827,1899,60,1958,1377,56,1437,902,21,923,1823,82,1903,1015,46,1067,211,148,363,17517,4442,21957
SED26005,228,179,405,62,29,87,85,99,185,99,202,306,245,477,721,330,263,591,939,240,1177,989,365,1351,1288,390,1681,1680,359,2046,1371,250,1621,1479,191,1670,3262,274,3536,2483,48,2527,1973,73,2046,1230,23,1256,2551,78,2624,1230,71,1299,218,108,329,21739,3717,25455
SED26102,221,346,566,117,124,241,90,260,350,88,529,621,398,1577,1974,321,1123,1450,1344,686,2025,1203,766,1964,1442,737,2179,1585,541,2126,978,409,1389,1069,295,1371,2118,411,2532,1560,36,1599,1205,112,1322,672,13,686,2208,295,2505,1168,62,1237,312,432,739,18110,8759,26867
SED26207,255,281,532,90,96,189,79,228,312,82,399,480,275,1034,1307,244,507,752,1008,380,1384,787,387,1168,966,438,1407,1050,372,1419,795,348,1143,776,285,1056,1893,528,2417,1649,57,1704,1482,95,1575,1145,33,1183,3465,169,3630,797,60,858,250,178,428,17079,5879,22961
SED26303,128,299,426,48,119,168,53,275,320,69,600,667,225,1155,1376,194,680,875,581,584,1165,511,713,1224,613,926,1541,735,907,1640,646,873,1520,752,754,1506,1718,1333,3053,1525,237,1765,1571,389,1958,1226,146,1369,5173,577,5752,778,355,1135,97,174,274,16636,11091,27729
SED26406,272,586,853,101,163,256,86,293,376,75,508,587,262,1101,1364,267,804,1074,743,562,1308,688,753,1444,893,944,1840,1088,822,1910,884,773,1662,907,593,1495,2217,1007,3214,1759,200,1952,1599,286,1889,1113,84,1199,4056,355,4412,803,265,1067,149,194,340,17962,10295,28257
SED26504,190,233,422,63,86,146,79,234,318,95,565,668,356,1571,1931,368,953,1315,1398,607,2002,1166,765,1933,1227,641,1872,1429,418,1849,951,334,1286,1047,186,1230,2085,338,2418,1418,39,1460,1009,64,1073,530,14,544,1135,135,1267,1075,73,1150,288,405,689,15913,7665,23578
SED26603,252,350,597,76,124,201,77,281,354,90,553,648,305,1337,1642,310,665,977,987,496,1481,820,641,1464,1070,728,1795,1208,674,1884,1058,729,1787,1133,592,1731,2539,1052,3589,2199,174,2375,2089,268,2354,1445,90,1532,3678,299,3979,902,240,1143,248,266,512,20479,9562,30042
SED26708,190,242,426,84,115,201,73,260,336,77,528,605,339,1383,1718,337,793,1127,1120,582,1699,1090,740,1829,1233,717,1951,1408,464,1875,1049,319,1367,1138,270,1409,2248,351,2598,1605,35,1647,1205,86,1295,683,9,694,1726,159,1877,1194,77,1270,319,334,657,17131,7463,24594
SED26806,187,549,735,58,172,231,60,408,472,62,795,859,172,1141,1308,196,941,1144,371,895,1266,397,1193,1590,596,1829,2424,735,1835,2568,597,1926,2529,672,1559,2231,1855,3329,5185,1649,429,2081,1523,948,2472,1153,220,1374,5215,1903,7123,800,465,1263,137,318,458,16452,20864,37314
SED26903,243,400,642,103,129,229,104,356,457,127,711,840,278,1540,1815,323,830,1154,1021,588,1608,910,702,1612,987,809,1792,1229,824,2056,991,726,1720,1015,547,1559,2209,928,3138,1844,177,2026,1577,233,1810,1100,69,1168,2271,211,2482,822,245,1066,204,302,511,17372,10318,27690
SED27003,132,376,512,54,136,189,102,365,470,112,741,858,261,1133,1389,216,717,931,506,634,1145,535,816,1353,520,1203,1721,667,1220,1888,526,1248,1776,636,1214,1856,1686,2685,4368,1604,455,2066,1637,910,2544,1322,292,1612,6133,2021,8158,727,733,1456,117,214,328,17500,17105,34610
SED27101,244,254,497,83,93,178,90,202,292,68,429,501,221,987,1208,232,775,1006,690,518,1209,774,652,1426,966,708,1673,1199,611,1811,860,507,1372,901,413,1314,2146,697,2842,1794,102,1893,1695,142,1842,1213,50,1265,3311,159,3469,830,103,935,151,181,328,17479,7588,25065
