SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED60303,4900,4672,7263,4835,4636,4242,3553,1759,725,36586
SED60304,59,30,42,43,63,52,39,16,0,353
SED60310,3006,2800,3414,2410,2546,2498,2528,1367,604,21175
SED60404,6624,3522,3563,4510,4865,5450,4833,2239,612,36230
SED60410,2637,1775,2616,2126,1802,1653,1718,1131,400,15850
SED60411,4945,3133,4490,3951,3730,3985,3972,2727,1331,32261
SED60414,5345,3083,3980,3715,3407,3551,2809,1294,311,27495
SED60501,4551,2774,2718,2682,2751,2938,2417,1058,265,22148
SED60505,1747,1094,1141,1153,1437,1490,1245,773,261,10342
SED60506,4873,2870,3191,3154,3842,4999,4739,2423,682,30772
SED60508,769,485,505,544,760,981,750,324,89,5204
SED60512,5598,3369,4181,3847,4346,5522,4875,2233,622,34597
SED60514,1799,979,1305,1329,1246,1352,1212,603,172,9995
SED69494,129,215,228,198,203,199,163,31,3,1377
SED69797,0,0,4,4,7,0,0,0,0,19
SED70001,2052,1521,1645,1280,1105,707,261,55,9,8629
SED70002,2123,1076,1989,1646,1281,1055,552,198,48,9965
SED70003,2214,1675,1858,1425,1023,671,288,59,8,9227
SED70004,1990,1320,1480,1107,997,879,494,151,21,8447
SED70005,2175,1157,1625,1321,1121,716,411,137,32,8687
SED70006,1783,898,1776,1327,1047,1085,637,185,41,8785
SED70007,2246,1147,1548,1470,1176,734,378,141,65,8902
SED70008,2002,1141,1751,1505,1161,874,717,371,138,9653
SED70009,2034,1266,1346,1231,1287,1283,955,270,30,9699
SED70010,2021,1094,1389,1272,1138,915,557,167,44,8590
SED70011,1334,787,1628,1220,1027,924,710,343,111,8081
SED70012,1260,951,1878,1325,1102,891,456,173,36,8071
SED70013,1824,1028,1084,1293,1545,1426,936,275,42,9457
SED70014,1943,1442,1545,1089,879,697,299,75,23,7984
SED70015,1726,967,1476,1408,1135,886,693,338,56,8685
SED70016,1906,1145,1156,1198,1086,1052,654,220,45,8459
SED70017,1917,1055,1548,1181,1096,996,573,220,43,8626
SED70018,2409,1607,1589,1548,1141,782,310,80,15,9478
SED70019,2145,1301,1731,1591,1399,1160,634,257,91,10306
SED70020,1618,1484,1571,1481,1593,1211,698,269,50,9981
SED70021,1499,801,2053,1438,1051,907,691,252,55,8747
SED70022,1146,1357,3449,1926,1261,1101,629,188,35,11087
SED70023,1784,924,1068,1221,1214,953,708,295,54,8221
SED70024,3051,1451,2396,2106,1219,728,341,110,21,11418
SED70025,2260,1099,1642,1615,1276,998,612,267,53,9825
SED79494,446,276,661,573,591,579,318,49,7,3500
SED79797,0,15,23,22,19,17,0,0,0,99
SED80001,15956,9758,11390,11267,10882,11043,8015,3441,1202,82954
SED80002,17180,12641,16932,14313,11271,8826,7836,4511,1511,95023
SED80003,10816,16576,18602,12288,10194,8607,6288,3397,1696,88467
SED80004,16632,9578,12923,13270,11359,9139,7958,5631,2236,88725
SED80005,22313,11906,17784,18143,12426,7717,5541,2358,535,98716
SED89494,50,148,108,104,77,78,34,10,4,605
SED89797,0,0,0,0,0,0,0,0,0,0
SED99191,825,407,577,638,665,765,587,257,62,4778
SED99494,0,0,4,0,0,3,0,0,0,11
SED99797,0,0,0,0,0,0,0,0,0,0
