SED_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SED30037,8,0,849,24,75,0,0,78,0,105,0,0,0,0,4,0,5,0,0,0,0,0,0,0,28,76,5,0,84,0,107,0,0,0,0,0,0,0,866,86,5,0,90,0,958,231,3,0,0,3,3,239,8,20,0,0,20,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,0,0,23,0,31,0,0,0,0,0,0,0,238,28,0,0,29,3,262,91,0,0,0,0,0,88,3,7,0,0,7,0,13,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,15,0,0,14,0,16,0,0,0,0,0,0,0,90,12,0,0,17,0,110,6840,167,0,0,166,8,7013,201,703,13,4,717,0,923,8,42,14,0,63,0,66,0,0,0,0,0,0,0,216,749,31,4,779,0,993,8,3,0,0,3,6,14,7061,917,34,4,950,7,8017
SED30038,17,0,1040,31,41,0,0,44,0,73,0,4,0,0,4,0,6,0,0,0,0,0,0,0,32,44,5,0,48,0,78,0,0,0,0,0,0,0,1053,56,5,0,62,0,1124,320,5,0,0,5,0,330,0,13,0,0,12,0,17,0,4,0,0,4,0,3,0,0,0,0,0,0,0,5,15,0,0,19,0,17,0,0,0,0,0,0,0,322,23,0,0,22,0,346,88,0,0,0,0,0,88,3,9,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,9,0,8,0,0,0,0,0,0,0,89,9,0,0,9,0,99,7932,146,0,0,146,6,8084,220,383,19,0,404,0,622,5,24,10,0,33,0,37,0,0,0,0,0,0,0,225,406,31,0,441,0,662,6,0,0,0,0,3,6,8158,547,31,0,583,10,8757
SED30039,39,0,1491,51,391,19,0,411,0,455,0,24,14,0,43,0,40,0,0,0,0,0,0,0,47,414,31,0,450,0,499,0,0,0,0,0,0,0,1499,460,31,0,487,0,1986,395,12,0,0,12,0,411,19,180,3,0,184,0,206,0,28,7,0,38,0,40,0,0,0,0,0,0,0,20,205,19,0,224,0,248,0,0,0,0,0,0,0,420,222,19,0,239,0,660,151,4,0,0,4,0,156,5,73,0,0,73,0,83,0,20,3,0,29,0,29,0,0,0,0,0,0,0,5,96,3,0,99,0,114,0,0,0,0,0,0,0,164,101,3,0,107,0,271,11135,395,0,0,402,19,11557,610,3903,111,0,4006,4,4624,9,274,64,0,339,0,347,0,3,0,0,3,0,3,616,4178,172,0,4351,4,4975,17,11,0,0,9,11,42,11772,4581,176,0,4762,39,16571
SED30040,17,0,1196,13,48,0,0,51,0,60,0,7,0,0,7,0,9,0,0,0,0,0,0,0,16,49,0,0,51,0,64,0,0,0,0,0,0,0,1192,69,5,0,70,0,1262,290,3,0,0,3,0,291,6,17,0,0,12,0,20,3,0,0,0,0,0,5,0,0,0,0,0,0,0,8,13,0,0,12,0,26,0,0,0,0,0,0,0,302,16,0,0,17,0,319,101,0,0,0,0,0,101,0,3,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,8,0,0,0,0,0,0,0,100,3,0,0,5,0,106,7411,116,11,0,122,8,7543,244,450,19,0,470,0,712,14,20,3,0,30,0,39,0,0,0,0,0,0,0,260,474,19,0,491,0,751,6,0,0,0,0,3,6,7671,593,25,0,618,10,8300
SED30041,7,0,900,8,58,3,0,61,0,75,3,7,18,0,21,0,22,0,0,0,0,0,0,0,13,62,21,0,85,0,97,0,0,0,0,0,0,5,911,72,21,0,92,5,1001,155,0,0,0,0,0,155,9,24,0,0,24,0,28,0,4,5,0,3,0,3,0,0,0,0,0,0,0,9,25,5,0,27,0,35,0,0,0,0,0,0,0,161,25,5,0,27,0,187,65,0,0,0,0,0,65,5,7,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,7,0,8,0,0,0,0,0,0,0,70,7,0,0,7,0,78,6917,86,0,0,89,5,7012,157,569,34,0,598,4,761,15,31,65,0,92,0,108,0,0,0,0,0,0,0,172,599,97,0,700,6,875,9,8,0,0,8,9,19,7097,697,97,0,793,18,7905
SED30042,18,0,1407,46,76,7,0,77,0,124,0,5,3,0,15,0,15,0,0,0,0,0,0,0,44,80,11,0,90,0,139,0,0,0,0,0,0,0,1429,102,11,0,109,0,1541,387,3,0,0,3,0,397,18,43,0,0,45,0,59,0,6,5,0,8,0,13,0,0,0,0,0,0,0,18,49,7,0,51,0,70,0,0,0,0,0,0,0,406,51,7,0,58,0,469,141,0,0,0,0,0,142,4,15,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,19,0,25,0,0,0,0,0,0,0,146,15,0,0,20,0,166,9898,178,6,0,183,11,10078,360,734,25,0,753,0,1122,3,33,21,0,62,0,65,6,0,0,0,0,0,6,368,762,48,0,812,0,1184,3,3,0,0,3,6,12,10266,946,52,0,998,11,11277
SED30043,10,0,1098,29,24,0,0,24,0,50,0,3,12,0,15,0,15,0,0,0,0,0,0,0,29,26,12,0,41,0,66,0,0,0,0,0,0,0,1117,34,15,0,51,0,1167,193,0,0,0,0,0,195,0,6,0,0,6,0,12,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,11,3,0,15,0,13,0,0,0,0,0,0,0,196,13,3,0,18,0,210,53,0,0,0,0,0,53,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,53,3,0,0,3,0,56,7745,70,9,0,76,12,7834,174,332,33,0,365,0,543,0,53,72,0,127,0,133,0,0,0,0,0,0,0,179,385,109,0,494,0,674,11,5,8,0,10,4,24,7933,463,118,0,580,11,8527
SED30044,39,0,1204,50,166,14,0,184,0,231,4,25,26,0,50,0,50,0,0,0,4,4,0,4,48,195,39,4,232,0,284,0,0,0,0,0,0,0,1220,229,41,4,272,0,1488,271,11,0,0,11,0,283,15,69,6,0,78,0,86,0,12,13,0,25,0,25,0,0,0,0,0,0,0,15,81,20,0,100,0,113,0,0,0,0,0,0,0,287,94,20,0,111,0,399,89,0,0,0,0,0,93,8,47,7,0,54,0,59,0,9,5,0,11,0,11,0,0,0,0,0,0,0,8,46,16,0,63,0,70,0,0,0,0,0,0,0,92,49,16,0,69,0,158,9093,331,6,0,336,26,9450,401,1838,126,0,1966,0,2365,12,190,96,0,284,0,293,0,0,0,4,4,0,4,413,2028,219,8,2255,0,2666,24,0,0,0,3,14,42,9526,2363,223,10,2590,40,12154
SED30045,16,0,1146,44,84,4,0,88,0,133,0,6,10,0,12,0,11,0,0,0,0,0,0,0,49,87,13,0,99,0,143,0,0,0,0,0,0,0,1175,103,13,0,115,0,1290,422,3,0,0,3,0,426,17,67,4,0,77,0,86,0,0,3,0,3,0,3,0,0,0,0,0,0,0,17,67,7,0,75,0,86,0,0,0,0,0,0,0,438,72,7,0,77,0,515,170,10,0,0,10,0,173,11,29,3,0,28,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,4,0,35,0,44,0,0,0,0,0,0,0,177,33,4,0,38,0,219,8097,223,0,0,220,0,8320,467,883,29,0,917,0,1380,12,35,23,0,62,0,69,0,4,0,0,4,0,4,480,919,52,0,971,0,1451,3,3,0,0,3,4,12,8578,1141,56,0,1200,11,9786
SED30046,27,0,969,47,109,10,0,120,0,166,3,21,14,0,38,0,42,0,0,0,0,0,0,0,46,133,23,0,161,0,209,0,0,0,0,0,0,0,986,165,23,0,188,0,1181,214,4,0,0,10,0,225,12,49,3,0,56,0,67,0,10,6,0,18,0,18,0,0,0,0,0,0,0,12,57,13,0,76,0,83,0,0,0,0,0,0,0,230,64,14,0,81,0,308,98,5,0,0,5,0,102,3,19,0,0,19,0,31,0,5,4,0,7,0,7,0,0,0,0,0,0,0,3,27,4,0,33,0,38,0,0,0,0,0,0,0,100,29,4,0,34,0,137,7456,265,3,3,273,11,7745,402,1261,70,0,1335,6,1735,17,175,93,4,270,0,289,0,0,0,0,0,0,0,414,1435,164,5,1603,6,2023,20,7,0,4,8,20,51,7896,1706,170,9,1886,39,9818
SED30047,12,0,850,32,90,0,0,95,0,130,3,11,0,0,10,0,13,0,0,0,0,0,0,0,40,105,5,0,105,0,144,0,0,0,0,0,0,0,875,116,6,0,117,0,991,132,0,0,0,0,0,134,0,26,0,0,26,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,27,0,0,27,0,29,0,0,0,0,0,0,0,136,24,0,0,25,0,161,32,0,0,0,0,0,32,3,15,0,0,15,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,15,0,15,0,0,0,0,0,0,0,38,15,0,0,15,0,47,6099,116,0,0,117,0,6217,277,808,12,0,819,0,1100,7,68,16,0,83,0,93,0,0,0,0,0,0,0,290,877,29,0,909,0,1189,0,3,0,0,3,3,5,6391,997,29,0,1022,10,7418
SED30048,26,0,1019,63,184,6,0,196,0,251,3,18,7,0,25,0,29,0,0,0,0,0,0,0,59,205,16,0,217,0,281,0,0,0,0,0,0,0,1054,233,16,0,247,0,1296,566,8,0,0,8,0,573,16,104,3,0,112,0,126,0,14,6,0,21,0,21,0,0,0,0,0,0,0,16,118,13,0,129,0,147,0,0,0,0,0,0,0,581,125,13,0,141,0,722,235,0,0,0,0,0,239,10,46,0,0,46,0,54,0,7,7,0,12,0,12,0,0,0,0,0,0,0,10,46,7,0,54,0,63,0,0,0,0,0,0,0,243,53,7,0,57,0,302,6097,205,4,0,206,0,6300,519,2637,69,0,2705,0,3231,6,191,73,0,263,0,272,0,0,0,0,0,0,0,534,2827,146,0,2975,0,3499,0,0,0,0,0,3,3,6623,3029,149,3,3181,3,9801
SED30049,47,3,1016,50,523,38,0,558,0,608,0,71,40,0,116,0,114,0,0,0,0,0,0,0,53,595,80,0,671,0,724,0,0,0,0,0,0,0,1017,641,80,0,719,3,1742,437,15,0,0,15,0,450,28,248,17,0,269,0,291,0,23,20,0,47,0,47,0,0,0,0,0,0,0,28,273,40,0,315,0,343,0,0,0,0,0,0,0,459,283,40,0,323,0,790,153,11,0,0,11,0,158,17,106,9,0,112,0,130,0,6,14,0,21,0,24,0,0,0,0,0,0,0,16,114,22,0,132,0,152,0,0,0,0,0,0,0,170,121,22,0,148,0,316,5886,307,0,0,307,3,6197,599,4387,218,3,4607,4,5211,5,458,251,0,709,0,714,0,0,0,0,3,0,3,607,4849,469,7,5317,4,5930,3,8,0,0,8,6,16,6492,5160,469,7,5633,9,12138
SED30050,11,0,666,22,36,0,0,36,0,57,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,34,0,0,34,0,62,0,0,0,0,0,0,0,687,45,0,0,45,0,733,217,0,0,0,0,0,216,5,11,0,0,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,10,0,13,3,0,0,0,0,0,3,216,9,0,0,16,0,233,77,0,0,0,0,0,82,3,4,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,10,0,0,0,0,0,0,0,84,3,0,0,3,0,86,4764,85,10,0,91,0,4863,211,487,15,0,501,0,717,4,23,3,0,30,0,34,0,4,0,0,4,0,4,221,516,18,0,535,0,751,14,0,0,0,0,3,14,4996,596,30,0,629,7,5628
SED30051,10,0,897,14,23,0,0,25,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,0,0,25,0,36,0,0,0,0,0,0,0,898,32,0,0,33,4,936,101,0,0,0,0,0,103,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,104,0,0,0,0,0,111,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,5756,41,0,0,43,5,5802,148,237,8,0,248,0,396,9,3,4,0,8,0,16,4,0,0,0,0,0,4,156,245,11,0,254,0,413,7,0,0,0,0,17,28,5919,288,11,0,300,25,6240
SED30052,6,0,313,29,104,4,0,103,0,134,0,13,3,0,18,0,16,0,0,0,0,0,0,0,30,115,11,0,121,0,155,0,0,0,0,0,0,0,336,115,12,0,128,0,466,164,5,0,0,5,0,166,11,41,5,0,49,0,57,0,3,5,0,8,0,9,0,0,0,0,0,0,0,10,49,11,0,53,0,66,0,0,0,0,0,0,0,176,49,11,0,55,0,233,76,0,0,0,0,0,72,3,23,3,0,28,0,26,0,0,0,0,4,0,4,0,0,0,0,0,0,0,3,21,5,0,29,0,30,0,0,0,0,0,0,0,74,21,5,0,33,0,105,2301,100,0,0,103,0,2395,322,1424,61,0,1484,0,1803,10,131,35,0,167,0,175,0,0,0,0,0,0,0,331,1554,96,0,1650,0,1977,4,0,0,0,0,10,10,2630,1653,97,0,1751,10,4386
SED30053,23,0,828,55,98,14,0,110,0,158,0,14,9,0,18,0,23,0,0,0,0,0,0,0,52,111,16,0,130,0,183,0,0,0,0,0,0,0,860,132,20,0,154,0,1013,357,9,0,0,9,0,364,18,48,7,0,51,0,68,0,7,8,0,13,0,14,0,0,0,0,0,0,0,18,54,11,0,66,0,86,0,0,0,0,0,0,0,372,62,11,0,75,0,444,119,3,0,0,3,0,117,14,23,4,0,28,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,7,0,30,0,46,0,0,0,0,0,0,0,129,26,7,0,32,0,157,6218,194,9,0,200,9,6420,436,953,67,0,1019,0,1454,7,75,38,0,112,0,123,0,4,0,0,4,0,6,444,1031,98,3,1137,0,1576,7,0,0,0,0,4,12,6663,1227,105,3,1336,10,8011
SED30054,19,0,1154,40,128,7,0,136,0,174,0,13,5,0,21,0,21,0,0,0,0,0,0,0,42,141,10,0,156,0,196,0,0,0,0,0,0,0,1179,166,10,0,180,0,1357,637,17,0,0,17,0,655,25,60,0,0,62,0,92,0,7,5,0,10,0,13,0,0,0,0,0,0,0,27,68,6,0,75,0,102,0,0,0,0,0,0,0,664,83,6,0,89,0,755,224,6,0,0,6,0,229,7,32,0,0,32,0,39,0,3,7,0,10,0,10,0,0,0,0,0,0,0,7,34,7,0,41,0,47,0,0,0,0,0,0,0,229,35,7,0,46,0,277,7722,252,0,0,258,0,7986,536,1296,35,0,1327,0,1871,14,102,34,0,135,0,147,0,0,0,0,0,0,0,553,1401,65,0,1464,0,2014,3,6,0,0,6,0,8,8283,1656,68,0,1724,5,10011
SED30055,7,0,960,13,30,0,0,30,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,30,0,0,30,0,50,0,0,0,0,0,0,0,971,38,0,0,38,0,1005,117,0,0,0,0,0,117,5,8,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,8,0,13,0,0,0,0,0,0,0,121,8,0,0,8,0,131,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,48,7257,54,0,0,54,5,7317,118,291,4,0,292,0,412,0,3,4,0,9,0,11,0,0,0,0,0,0,0,119,292,7,0,302,0,422,0,0,0,0,0,11,14,7384,346,7,0,352,13,7749
SED30056,28,0,1549,70,210,9,0,214,0,276,0,8,4,0,16,0,16,0,0,0,0,0,0,0,70,218,7,0,226,0,291,0,0,0,0,0,0,0,1590,244,7,0,252,0,1844,782,8,0,0,12,0,794,42,152,11,0,162,0,197,0,3,4,0,5,0,5,0,0,0,0,0,0,0,42,157,10,0,169,0,208,0,0,0,0,0,0,0,819,172,9,0,182,0,1003,298,5,0,0,5,0,300,20,72,0,0,72,0,91,0,3,0,0,5,0,5,0,0,0,0,0,0,0,20,74,0,0,71,0,94,0,0,0,0,0,0,0,324,77,0,0,73,0,399,9194,317,8,4,326,10,9530,591,1965,42,3,2012,0,2604,5,70,19,0,91,0,97,0,0,0,0,0,0,0,599,2036,65,3,2104,0,2703,13,6,0,0,6,8,23,9802,2359,70,4,2437,18,12257
SED30057,12,0,934,41,75,8,0,90,0,126,6,10,3,0,13,0,16,0,0,0,0,0,0,0,43,87,11,0,101,0,142,0,0,0,0,0,0,0,963,103,11,0,113,0,1073,226,0,0,0,0,0,226,9,30,0,0,32,0,38,0,5,6,0,6,0,8,0,0,0,0,0,0,0,10,35,5,0,34,0,48,0,0,0,0,0,0,0,232,35,5,0,38,0,272,90,0,0,0,0,0,90,3,17,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,0,17,0,20,0,0,0,0,0,0,0,89,17,0,0,17,0,108,7373,150,0,0,155,11,7539,293,605,39,0,650,0,943,8,67,43,0,107,0,114,0,0,0,0,0,0,3,307,672,79,0,755,0,1065,10,7,0,0,8,12,28,7698,829,87,0,916,21,8638
SED30058,21,0,1006,47,299,15,0,316,0,357,0,37,21,0,56,0,63,0,0,0,0,0,0,0,49,335,37,0,370,0,420,0,0,0,0,0,0,0,1025,359,33,0,395,3,1423,443,15,0,0,15,0,457,23,204,13,0,219,0,240,3,20,24,0,44,0,43,0,0,0,0,0,0,0,22,228,38,0,264,0,290,0,0,0,0,0,0,0,469,240,38,0,275,0,744,181,11,0,0,11,0,192,9,113,8,0,116,0,128,0,16,10,0,28,0,28,0,0,0,0,0,0,0,9,126,17,0,148,0,158,0,0,0,0,0,0,0,195,136,17,0,153,0,345,7172,256,4,0,263,0,7436,557,2279,88,0,2373,0,2929,15,239,159,0,395,0,408,4,0,0,0,0,0,4,569,2519,245,0,2765,0,3334,3,3,0,0,4,0,8,7746,2779,244,3,3030,6,10784
SED30059,35,0,1368,60,141,8,0,147,0,207,0,9,7,0,16,0,20,0,0,0,0,0,0,0,67,150,16,0,162,0,223,0,0,0,0,0,0,0,1400,183,16,0,198,0,1601,442,18,0,0,18,0,459,19,58,6,0,64,0,87,0,5,5,0,17,0,17,0,0,0,0,0,0,0,19,65,12,0,80,0,97,0,0,0,0,0,0,0,463,78,12,0,93,0,557,167,0,0,0,0,0,178,11,42,5,0,42,0,52,0,8,0,0,5,0,5,0,0,0,0,0,0,0,11,51,3,0,53,0,57,0,0,0,0,0,0,0,176,50,3,0,55,0,234,9196,265,3,0,267,3,9470,518,1051,50,4,1106,0,1623,6,84,46,0,124,0,138,0,0,0,0,0,0,0,525,1132,98,4,1231,0,1761,9,0,0,0,0,7,16,9734,1397,101,4,1501,16,11249
SED30060,23,0,918,62,176,10,0,187,0,246,0,19,22,0,42,0,40,0,0,0,0,0,0,0,63,194,35,0,224,0,284,0,0,0,0,0,5,5,954,211,32,0,249,4,1204,131,8,0,0,8,0,137,11,26,3,0,33,0,39,0,9,0,0,10,0,11,0,0,0,0,0,0,0,11,33,4,0,39,0,47,0,0,0,0,0,0,0,141,43,4,0,48,0,191,56,3,0,0,3,0,57,3,14,3,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,0,18,0,24,0,0,0,0,0,0,0,58,22,3,0,20,0,80,6601,277,0,0,273,10,6886,503,1395,73,0,1469,0,1971,13,165,122,3,291,0,302,11,0,0,16,20,0,25,521,1563,195,25,1785,0,2307,3,0,0,0,0,13,17,7129,1835,196,25,2057,25,9206
SED30061,16,0,841,18,131,4,0,133,0,154,0,18,26,0,46,0,46,0,0,0,0,0,0,0,18,153,29,0,181,0,194,0,0,0,0,0,0,0,841,163,29,0,193,0,1040,232,6,0,0,6,0,236,12,60,4,0,64,0,76,0,8,8,0,19,0,18,0,0,0,0,0,0,0,11,70,9,0,78,0,88,0,0,0,0,0,0,0,247,74,9,0,84,0,327,82,0,0,0,0,0,83,7,23,3,0,25,0,31,0,7,3,0,6,0,6,0,0,0,0,0,0,0,7,31,8,0,35,0,42,0,0,0,0,0,0,0,91,28,8,0,34,0,130,5426,107,0,0,113,0,5542,186,1039,31,0,1072,0,1253,4,134,166,0,295,0,299,0,0,0,0,0,0,3,192,1169,195,0,1366,0,1561,4,0,0,4,4,5,12,5624,1281,195,4,1480,10,7112
SED30062,22,0,1158,33,223,9,0,227,0,259,0,3,3,0,11,0,11,0,0,0,0,0,0,0,33,225,7,0,238,0,276,0,0,0,0,0,0,0,1170,247,11,0,261,0,1433,313,6,0,0,6,0,321,12,117,5,0,122,0,132,0,9,0,0,10,0,7,0,0,0,0,0,0,0,11,127,5,0,133,0,142,0,0,0,0,0,0,0,328,133,5,0,137,0,468,97,3,0,0,3,0,99,5,38,0,0,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0,0,42,0,43,0,0,0,0,0,0,0,101,43,0,0,43,0,146,9343,306,10,0,322,14,9677,470,2782,88,0,2868,0,3342,7,107,31,0,143,0,154,3,3,3,0,8,0,5,491,2889,119,0,3014,0,3500,5,10,0,0,10,16,25,9834,3208,132,0,3344,28,13206
