SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED10020,833,795,1627,2127,1992,4121,683,720,1400,445,412,864,3261,3137,6394,1509,1549,3058,478,469,946,460,470,930,2448,2493,4939,114,138,249,121,200,321,339,238,575,430,676,1103,3,4,12,1005,1252,2257,192,387,577,124,236,362,56,110,166,245,535,779,0,0,0,617,1263,1882,1628,2520,4145,62,69,133,95,191,291,9,4,13,165,271,435,2397,2536,4937,10734,11747,22480
SED10021,852,804,1657,1636,1548,3182,559,517,1080,709,684,1393,2907,2748,5660,454,427,877,656,688,1348,1042,1062,2096,2151,2184,4334,75,102,177,135,248,384,152,98,254,471,689,1158,3,0,9,833,1146,1980,1024,1209,2232,455,674,1128,119,172,297,553,908,1463,6,3,13,2160,2963,5123,3005,4113,7115,79,95,174,263,439,699,5,3,6,344,538,884,2250,2443,4692,11506,12830,24337
SED10022,753,724,1478,2072,1979,4053,769,717,1488,82,96,185,2926,2797,5723,1509,1428,2938,532,604,1131,151,190,344,2190,2224,4414,56,70,132,38,95,134,294,237,526,217,491,708,4,3,8,614,892,1507,100,209,304,43,99,142,38,81,120,97,348,446,3,4,6,282,734,1017,896,1630,2526,49,52,100,59,104,160,4,0,3,110,161,263,3589,2698,6287,10467,10238,20704
SED10023,940,890,1830,2540,2315,4857,640,602,1241,126,119,244,3315,3032,6347,1882,1679,3562,680,665,1349,313,364,682,2876,2723,5599,79,129,203,84,103,188,592,179,767,329,444,768,4,0,5,1086,859,1941,768,1085,1851,146,223,360,130,188,316,311,543,858,4,0,6,1356,2037,3388,2439,2897,5336,41,39,78,110,197,306,0,0,0,154,229,386,1268,1334,2601,10993,11110,22100
SED10024,948,893,1838,3034,2736,5768,416,365,779,953,925,1879,4403,4019,8423,1748,1439,3180,624,663,1289,1622,1647,3270,3990,3749,7744,83,71,154,60,119,182,239,80,312,228,467,694,4,0,9,609,739,1349,1608,1696,3300,224,297,520,169,170,333,324,551,878,0,5,5,2321,2720,5037,2927,3465,6394,70,77,149,148,224,379,0,0,0,216,303,523,863,1012,1870,13342,13448,26790
SED10025,852,753,1603,1532,1539,3067,978,938,1914,351,401,751,2864,2876,5743,771,729,1499,1005,1008,2015,581,648,1235,2364,2389,4751,75,112,190,145,236,379,206,100,307,320,529,849,3,3,5,748,981,1730,1064,1240,2308,395,494,885,168,174,337,438,653,1094,5,8,14,2074,2571,4642,2827,3557,6385,106,120,220,241,341,576,0,0,3,345,458,798,1545,1790,3339,10797,11823,22623
SED10026,1007,966,1975,2330,2169,4501,1012,1033,2048,391,353,740,3738,3563,7300,1522,1480,3010,680,685,1365,332,349,679,2545,2513,5058,90,117,206,69,130,198,386,275,662,347,657,1004,12,0,7,909,1179,2088,118,259,379,90,203,297,40,98,135,207,543,747,3,0,8,455,1100,1550,1361,2280,3644,82,76,159,131,189,318,3,4,10,214,268,482,4336,3558,7896,13204,13149,26356
SED10027,944,834,1778,2305,2139,4447,950,959,1912,491,474,958,3751,3584,7331,1859,1686,3544,825,871,1697,416,457,880,3111,3020,6130,166,150,317,123,236,356,349,130,477,295,411,706,4,4,11,935,923,1864,1055,1367,2421,279,298,577,159,188,347,242,372,612,3,0,9,1739,2228,3965,2677,3157,5835,111,131,245,161,223,385,4,4,7,279,358,637,2167,2282,4447,12921,13232,26152
SED10028,885,793,1682,3713,3516,7232,273,280,547,299,295,597,4283,4101,8385,2758,2599,5359,386,434,823,604,543,1142,3751,3578,7330,95,99,197,139,232,375,172,96,267,354,662,1023,0,0,5,771,1101,1870,1834,1881,3711,452,495,946,212,181,393,426,598,1031,10,8,15,2937,3159,6092,3703,4264,7969,124,127,252,225,287,511,0,0,6,353,416,765,1228,1514,2744,14208,14664,28875
SED10029,692,632,1323,2745,2572,5322,816,821,1636,246,272,513,3824,3685,7507,2732,2537,5267,706,778,1488,222,287,510,3667,3610,7274,260,245,503,258,472,727,258,112,371,369,572,942,5,9,17,1152,1406,2560,1239,1526,2762,275,311,591,142,164,305,159,246,409,9,9,19,1832,2245,4079,3003,3674,6671,253,307,562,315,506,819,16,16,30,589,826,1409,3500,3530,7032,15271,15942,31217
SED10030,868,781,1646,2219,2011,4238,442,391,836,333,265,596,3008,2679,5683,1558,1534,3098,281,299,578,315,289,600,2158,2130,4290,101,117,219,110,198,305,324,227,545,355,634,988,3,6,13,896,1178,2076,430,602,1028,190,290,481,80,142,222,281,554,828,3,3,8,983,1587,2570,1878,2767,4649,64,68,131,124,216,337,5,0,6,192,285,473,2173,2289,4461,10283,10921,21207
SED10031,800,795,1595,2414,2158,4575,769,723,1489,266,275,545,3456,3152,6614,1611,1537,3147,598,629,1228,323,354,678,2533,2518,5054,87,104,192,63,92,155,441,292,732,362,617,978,11,7,17,963,1112,2074,252,414,665,119,215,331,63,120,176,237,572,808,7,0,6,671,1315,1991,1641,2426,4072,91,77,170,109,213,323,0,7,6,200,301,505,3153,2546,5699,11785,11750,23532
SED10032,1088,954,2041,2883,2705,5590,1117,1074,2190,388,378,765,4404,4164,8569,1845,1694,3539,986,1081,2068,310,304,618,3153,3089,6240,358,282,644,406,546,954,293,179,476,477,732,1207,3,7,7,1533,1750,3288,1569,1662,3230,691,739,1426,208,218,429,323,446,765,19,7,25,2799,3070,5876,4354,4840,9193,524,363,886,372,416,787,12,6,24,911,786,1699,4571,3904,8475,18476,17738,36217
SED10033,925,851,1784,2476,2261,4738,496,533,1030,493,437,932,3476,3241,6716,1286,1231,2517,767,705,1472,665,680,1348,2723,2623,5343,110,154,264,64,149,209,668,278,947,269,536,803,5,3,13,1120,1113,2233,445,792,1241,118,287,407,121,157,276,182,418,598,0,6,6,870,1648,2517,1992,2766,4762,78,82,158,86,175,258,0,3,5,172,260,428,1785,1661,3441,11069,11404,22470
SED10034,1088,999,2081,2545,2311,4857,867,818,1680,176,165,340,3596,3293,6889,1753,1706,3458,810,824,1631,222,233,463,2784,2772,5556,109,144,257,69,106,178,623,255,884,302,544,850,3,5,9,1114,1057,2175,663,959,1614,151,230,380,124,173,288,320,581,900,5,4,4,1254,1939,3193,2374,2999,5374,55,63,116,122,176,302,4,0,5,180,244,424,1071,1290,2360,11091,11592,22684
SED10035,918,805,1720,1582,1490,3067,678,682,1358,293,293,580,2551,2465,5019,873,821,1692,541,505,1044,352,383,735,1759,1718,3481,213,230,448,489,618,1107,252,203,450,908,1060,1966,3,4,5,1866,2109,3975,3545,3552,7096,1800,1560,3365,247,275,523,980,1157,2141,11,15,28,6585,6557,13142,8461,8684,17138,505,493,993,651,744,1391,8,8,8,1164,1240,2401,3380,3006,6389,18235,17909,36146
SED10036,1042,958,2006,2790,2693,5482,1004,1009,2016,660,697,1357,4468,4411,8877,1966,1855,3822,916,912,1825,782,700,1481,3677,3474,7152,159,184,345,141,247,391,426,139,569,266,485,754,4,13,12,1006,1067,2069,1140,1472,2610,249,336,583,178,221,395,305,473,779,11,5,14,1882,2505,4383,2893,3584,6479,127,164,293,180,295,475,0,5,7,315,455,773,2588,2522,5116,14988,15405,30392
SED10037,974,918,1894,3220,2876,6098,492,482,966,413,346,752,4120,3711,7828,2005,1891,3902,637,751,1391,656,605,1258,3309,3252,6560,138,158,297,143,189,330,394,167,560,345,667,1012,0,0,0,1025,1186,2206,1200,1339,2534,305,415,717,198,204,398,436,671,1107,5,4,10,2137,2627,4760,3161,3814,6975,110,115,220,170,250,417,5,3,10,283,363,648,1043,1013,2056,12892,13068,25960
SED10038,1037,974,2006,2724,2508,5225,707,666,1374,223,228,445,3651,3406,7054,1717,1741,3458,892,880,1781,274,278,554,2887,2908,5795,115,139,248,105,155,265,494,216,710,345,521,866,5,3,10,1064,1034,2093,1334,1637,2977,464,432,899,186,204,386,367,732,1095,4,9,8,2356,3006,5363,3417,4052,7468,73,75,146,109,178,284,0,0,0,188,251,436,1577,1745,3326,12754,13329,26081
SED10039,1026,869,1898,2514,2415,4933,414,399,813,284,270,551,3211,3090,6304,1456,1474,2940,501,530,1027,407,387,791,2365,2399,4762,109,122,226,55,107,168,459,241,704,314,588,904,5,8,16,953,1067,2019,315,550,869,132,225,350,58,136,189,235,508,745,0,0,3,743,1420,2162,1698,2486,4181,73,56,129,107,186,303,9,3,9,183,255,442,2648,1924,4572,11126,11029,22158
SED10040,838,755,1587,2212,1963,4176,696,707,1402,290,313,605,3203,2988,6193,1705,1377,3084,549,684,1229,308,352,656,2573,2418,4987,384,219,610,389,470,864,307,143,454,497,725,1220,11,4,19,1592,1567,3156,1882,1852,3733,847,858,1706,221,237,456,322,482,802,8,8,11,3277,3432,6710,4892,5010,9905,491,415,908,372,423,790,12,11,17,875,850,1719,2296,2320,4613,14666,14338,29008
SED10041,1020,908,1923,2808,2649,5453,377,414,791,970,975,1942,4163,4036,8199,1423,1101,2525,499,679,1179,1839,1791,3623,3764,3572,7337,77,79,159,112,171,283,144,101,240,287,602,892,0,0,0,621,948,1571,1725,1743,3469,312,401,713,204,189,395,472,678,1145,5,8,8,2717,3022,5741,3347,3972,7315,86,98,182,199,273,473,0,4,3,282,375,655,1110,1237,2345,13688,14098,27786
SED10042,869,829,1694,2195,1969,4157,388,386,771,571,591,1161,3158,2947,6106,1492,1438,2935,330,392,726,480,487,969,2306,2330,4635,105,120,230,66,147,217,438,241,673,294,527,822,6,5,17,914,1045,1956,418,650,1070,188,239,428,91,138,226,253,543,800,0,0,0,959,1565,2529,1878,2614,4492,56,65,123,116,182,294,3,0,4,172,243,417,1782,1780,3567,10168,10744,20906
SED10043,1014,914,1919,2720,2458,5180,756,713,1473,1099,1126,2229,4584,4305,8889,2034,1918,3952,707,676,1379,711,775,1485,3459,3376,6833,258,189,446,505,425,926,295,129,413,372,539,914,8,7,20,1439,1282,2720,1534,1608,3139,781,532,1318,173,179,355,328,348,681,12,3,15,2826,2683,5505,4277,3968,8248,476,265,740,295,302,596,14,4,19,787,569,1358,3987,3550,7537,18108,16686,34790
SED10044,1036,931,1968,2491,2342,4837,903,812,1716,392,347,738,3786,3513,7305,907,1006,1912,1313,967,2283,919,862,1784,3139,2834,5982,76,82,159,120,218,331,204,85,289,376,622,1000,0,3,9,775,1010,1788,1483,1408,2894,376,482,862,200,215,412,543,815,1354,4,8,10,2607,2931,5539,3389,3935,7322,102,122,229,253,330,579,4,3,3,358,451,811,1609,1933,3547,13325,13604,26926
SED10045,697,598,1296,1752,1701,3462,648,702,1349,436,421,855,2845,2827,5666,1356,1304,2667,708,719,1427,292,245,535,2362,2272,4633,109,137,245,92,191,283,296,204,503,299,544,847,0,5,13,801,1086,1886,205,350,556,163,254,419,78,108,189,279,608,887,7,5,9,729,1331,2055,1529,2413,3949,63,76,137,108,177,282,3,4,9,167,256,424,3287,3346,6642,10898,11720,22616
SED10046,858,773,1635,3076,2797,5873,866,819,1686,578,578,1159,4537,4209,8754,2434,2264,4696,885,896,1785,453,507,961,3780,3679,7458,238,257,499,264,500,766,328,143,471,365,612,978,7,5,13,1214,1520,2730,1140,1617,2760,325,425,743,160,231,384,222,354,580,6,14,12,1845,2633,4486,3076,4182,7259,232,249,477,236,329,567,11,13,19,478,588,1067,3487,3534,7026,16226,16973,33193
SED10047,1587,1470,3054,4753,4501,9250,1064,1149,2219,530,530,1059,6364,6184,12547,2266,2318,4584,1272,1167,2443,474,413,884,4021,3903,7925,187,230,416,168,346,519,446,282,728,465,836,1299,8,8,16,1279,1702,2972,720,1054,1771,284,433,718,138,193,333,356,603,957,3,11,16,1509,2290,3794,2788,3999,6785,182,189,372,229,359,594,4,8,13,416,560,975,4862,4514,9378,20036,20624,40662
SED10048,1391,1195,2581,3897,3740,7633,890,940,1834,926,869,1794,5728,5565,11291,2567,2404,4973,812,821,1628,566,638,1208,3951,3869,7820,155,182,336,240,361,601,358,180,541,442,725,1168,9,8,17,1200,1461,2659,1164,1508,2673,444,623,1059,187,213,405,408,593,997,11,12,17,2212,2940,5149,3427,4413,7840,210,249,459,241,359,593,6,0,5,457,606,1060,2891,3126,6023,17846,18772,36621
SED10049,1201,1178,2374,2782,2659,5441,1171,1091,2257,436,420,853,4387,4167,8559,1824,1716,3535,841,965,1801,434,402,834,3095,3084,6180,166,212,382,110,174,287,489,327,820,397,742,1136,6,9,16,1167,1474,2641,435,709,1141,195,346,534,106,176,288,390,726,1115,0,0,0,1129,1953,3079,2289,3429,5720,102,98,203,155,256,406,12,3,14,266,353,622,1822,1809,3631,13055,14019,27078
SED10050,1040,967,2011,2558,2522,5075,592,522,1114,447,376,824,3607,3416,7022,1273,1200,2468,857,773,1625,896,1039,1938,3024,3016,6037,81,81,162,103,177,275,258,141,394,409,582,997,0,0,3,853,979,1832,1074,1155,2229,242,359,604,153,172,326,413,686,1099,0,7,9,1881,2381,4261,2743,3357,6103,59,78,133,201,301,503,0,0,0,257,382,643,1363,1317,2677,12036,12454,24492
SED10051,934,832,1761,1687,1655,3342,1040,1048,2087,542,502,1040,3268,3211,6484,920,897,1818,1248,1169,2416,627,544,1176,2801,2613,5408,133,134,267,152,247,405,325,164,488,456,692,1143,0,5,5,1066,1242,2308,1176,1391,2562,409,459,864,142,174,319,390,599,988,7,0,13,2123,2624,4747,3190,3870,7061,130,146,275,290,371,662,6,5,9,426,521,946,3348,2434,5787,13965,13490,27455
SED10052,973,898,1871,2462,2142,4606,748,797,1540,239,235,478,3463,3178,6643,1696,1688,3386,675,701,1372,334,346,681,2701,2733,5444,98,122,225,80,146,228,435,168,599,306,469,774,3,0,5,931,907,1834,785,1080,1865,182,239,421,133,137,270,333,515,847,3,0,3,1431,1976,3405,2360,2881,5244,64,70,132,153,243,400,4,5,4,224,313,535,1493,1592,3092,11216,11605,22821
