SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED21401,0,28,36,165,28,13,12,5,7,289,0,6,0,4,11,5,4,0,3,26,0,27,26,144,70,53,44,7,6,375,0,0,0,18,8,14,37,19,15,106,0,0,0,0,0,0,0,0,0,0,0,4,0,15,13,18,28,38,27,140,3,33,55,164,67,65,64,30,4,479,5,24,60,134,96,84,67,37,4,526,0,20,38,178,86,93,76,41,13,543,3,18,16,227,57,63,77,11,0,468,3,6,13,93,22,11,3,5,3,159,0,0,3,22,35,48,17,10,6,147,5,43,44,64,36,29,14,9,5,246,0,7,39,148,167,195,125,32,11,723,0,0,0,10,7,12,8,5,0,44,0,0,3,24,15,15,8,3,0,68,16,85,130,508,274,308,281,288,158,2051,91,152,169,536,248,221,233,233,156,2046,3047,7023,7563,16646,8605,8350,7052,6010,2811,67111
SED21503,0,14,27,121,7,12,4,0,0,186,0,0,4,9,9,5,0,0,0,27,0,17,39,211,78,86,81,18,3,533,0,3,0,29,26,14,41,11,8,129,0,0,0,0,10,8,4,0,0,28,0,0,0,14,16,35,46,48,6,172,0,10,23,76,21,25,16,4,0,179,0,11,30,78,41,22,19,7,0,205,0,25,110,356,145,183,106,49,12,999,0,6,9,61,11,12,5,0,0,107,4,14,19,58,35,23,3,3,0,164,0,0,0,21,18,10,10,4,0,73,3,18,19,61,32,12,15,0,0,167,5,37,112,297,142,139,81,15,3,824,0,0,0,6,7,0,9,8,4,39,0,0,13,21,9,5,3,0,0,50,19,108,159,664,291,257,238,140,74,1941,99,167,387,648,230,226,203,187,89,2224,3249,6495,8117,17388,8100,6821,5654,3621,1477,60935
SED21608,0,14,5,53,7,0,0,0,0,88,0,0,0,12,11,0,0,0,0,22,5,21,31,145,44,25,17,0,0,287,0,0,0,17,3,6,5,3,0,44,0,0,0,6,0,0,0,0,0,11,0,6,0,29,30,58,85,59,10,287,0,5,3,12,19,6,3,0,0,54,0,10,16,40,37,24,12,3,0,142,0,6,5,63,12,12,8,0,0,110,0,0,0,15,6,0,0,0,0,21,0,8,16,20,19,6,5,0,0,76,0,0,0,5,4,0,0,0,0,4,0,18,15,44,29,22,32,13,0,175,0,0,10,30,9,11,0,0,0,64,0,0,0,5,9,18,14,8,3,52,0,0,7,17,8,4,5,0,0,42,6,28,39,214,113,121,124,84,32,770,179,410,452,923,508,470,474,317,139,3865,3897,9075,7983,17118,8797,8458,7281,3554,1266,67425
SED21706,0,5,42,73,11,5,5,0,0,143,0,0,0,0,14,9,4,0,0,26,4,21,37,261,63,53,34,8,0,468,0,0,4,34,17,31,56,24,21,187,0,0,0,5,0,6,6,0,0,10,0,7,14,30,36,49,33,39,17,226,4,38,55,138,56,57,48,10,0,401,0,30,35,136,75,54,54,23,16,417,4,25,202,548,150,141,116,77,29,1297,0,15,18,127,42,19,25,4,0,240,0,11,24,98,46,9,12,6,0,208,4,3,0,36,18,12,9,3,5,82,14,64,45,71,53,38,33,9,0,324,0,32,97,249,210,141,148,43,22,934,0,0,3,9,10,8,4,5,4,45,0,0,17,33,8,6,7,0,0,65,11,87,167,596,266,264,204,174,98,1867,85,194,363,794,256,220,226,160,129,2418,3187,8188,10300,18251,9474,7897,5877,3599,2091,68864
SED21805,0,0,8,29,8,6,0,0,0,62,0,0,0,3,20,7,5,0,0,33,3,46,77,288,170,128,93,16,4,829,0,0,3,44,41,35,58,20,5,208,0,4,10,14,14,16,9,4,0,58,3,3,22,102,67,121,122,75,32,549,3,12,3,22,14,17,6,0,0,84,0,48,64,201,164,102,69,20,7,676,0,3,6,125,83,98,72,33,14,441,0,0,0,30,5,8,3,0,0,53,9,23,19,131,50,14,4,0,0,245,0,4,3,31,29,33,11,7,0,129,0,14,23,73,40,40,33,4,0,234,0,4,8,94,62,32,16,3,0,221,0,4,0,24,12,27,24,21,0,119,0,0,3,25,23,6,4,0,0,67,3,61,116,617,402,335,269,164,57,2029,160,312,253,816,392,340,270,248,125,2923,4627,8502,7389,19998,10031,8795,6645,3498,1360,70841
SED21906,0,5,9,53,0,9,0,0,0,78,0,0,0,9,9,5,4,0,0,25,4,18,24,270,50,31,21,9,0,429,0,6,5,59,18,59,242,121,232,734,0,0,0,0,0,0,0,0,0,0,0,8,7,98,41,26,46,31,7,268,5,20,13,87,16,13,20,16,3,198,8,51,132,659,441,402,297,152,61,2205,0,4,15,135,30,32,35,20,16,291,0,7,8,90,10,8,6,0,0,126,0,6,22,104,11,13,3,0,0,170,0,0,0,38,13,7,3,0,0,61,30,111,75,306,116,94,61,18,4,817,0,8,49,142,33,37,31,6,0,300,0,0,0,22,4,6,5,0,0,47,0,0,4,35,18,20,15,13,0,99,32,199,212,1576,739,730,1102,607,353,5550,102,199,310,991,275,211,308,189,125,2710,3615,7439,7877,22242,8297,6851,6493,3213,1750,67787
SED22005,3,23,52,189,32,14,16,3,0,335,0,0,0,4,5,8,0,0,0,18,7,48,89,506,194,164,143,25,12,1192,0,0,9,39,34,43,72,33,15,249,0,0,4,8,8,8,6,0,0,32,0,4,4,25,26,23,38,17,16,165,3,22,50,115,37,15,13,5,0,267,10,19,36,110,105,62,47,16,9,409,6,31,135,632,120,173,245,94,43,1476,0,4,12,201,10,4,7,0,0,239,8,68,93,266,91,46,18,4,0,585,0,4,5,33,31,47,35,34,9,191,12,34,26,75,17,14,6,7,0,192,14,97,342,1269,908,975,722,234,103,4652,0,0,3,8,0,0,3,4,0,20,0,0,12,24,6,0,4,0,0,55,27,197,225,1162,583,563,549,392,153,3854,146,241,399,1087,295,277,262,233,160,3096,4063,7537,9626,24762,8922,7805,6521,4410,2321,75965
SED22105,17,245,304,675,113,63,26,8,0,1451,0,0,0,4,5,8,0,0,0,22,5,214,463,1339,680,322,122,35,4,3183,0,0,15,49,45,45,49,19,4,227,8,31,109,210,165,144,47,8,5,735,0,3,22,57,57,131,100,75,23,469,0,35,38,79,45,36,19,3,0,255,0,27,72,223,138,79,57,32,10,640,12,209,443,2086,829,437,285,79,23,4403,0,0,6,64,9,7,0,0,0,86,7,30,36,236,67,21,6,9,0,404,5,3,13,85,69,48,23,11,0,252,7,44,52,78,32,20,12,0,0,242,3,20,30,252,115,61,31,0,4,527,0,0,0,21,11,15,15,9,7,89,4,15,54,173,61,17,10,0,0,333,25,230,554,1685,801,593,378,205,59,4530,447,943,674,1876,566,447,325,170,99,5551,11490,21080,15738,43923,14512,10081,6619,3257,1176,127892
SED22201,0,0,3,29,3,7,5,0,0,56,0,0,0,7,11,17,5,0,0,38,3,7,15,128,66,61,30,12,5,321,0,0,0,17,12,16,26,10,0,82,0,0,0,4,0,0,0,0,0,6,0,5,10,27,44,78,91,75,33,365,0,15,11,44,22,26,20,4,5,152,8,19,36,121,96,83,65,29,13,469,0,11,9,154,40,35,38,16,10,313,0,3,0,38,18,6,0,0,0,76,0,21,32,90,30,15,3,0,0,189,0,0,0,3,4,6,0,0,0,20,7,9,30,62,30,20,30,4,0,198,0,3,12,74,42,30,28,3,0,192,0,0,0,8,9,14,22,9,5,69,0,0,0,20,8,13,0,0,0,43,3,41,74,308,179,155,174,152,59,1141,79,188,177,516,211,207,177,173,105,1829,3797,7414,6754,17206,7762,7265,6132,3914,1585,61836
SED22305,47,382,375,1022,141,65,29,4,0,2063,0,0,6,11,0,0,0,0,0,12,11,76,115,521,209,184,101,32,8,1250,0,0,8,66,37,111,129,61,41,456,0,11,29,53,44,62,23,12,3,237,0,0,0,4,14,37,50,63,28,201,0,18,23,47,18,14,24,0,0,155,0,9,14,60,39,29,46,39,16,246,26,143,340,2021,551,469,367,195,67,4183,0,0,0,52,8,8,3,3,0,73,0,18,55,140,34,10,5,0,0,265,4,5,9,56,74,77,61,30,3,316,3,5,12,34,8,15,4,4,0,82,4,36,94,644,359,365,187,48,30,1772,0,0,0,7,4,9,5,8,3,28,0,3,6,24,8,3,6,0,0,43,22,164,367,1538,758,815,682,418,152,4922,364,579,596,1928,617,530,386,237,102,5352,5089,8933,9248,25153,8594,7847,6252,3696,1513,76335
SED22404,0,3,0,13,0,0,0,0,0,22,0,0,0,6,14,13,0,0,0,35,0,8,11,70,15,19,13,0,0,130,0,0,4,15,9,10,17,15,3,72,0,0,0,0,0,0,0,0,0,0,0,3,11,32,27,75,90,46,19,295,0,3,0,10,9,13,3,0,0,41,0,5,17,41,44,37,44,11,0,205,0,0,3,14,6,9,12,6,0,59,5,0,0,24,0,0,0,0,0,30,0,4,16,32,20,10,3,0,0,84,0,0,0,3,0,4,0,0,0,9,0,8,15,41,32,41,33,15,0,186,0,0,7,20,6,4,0,0,0,38,0,0,0,3,8,11,18,13,5,57,0,0,0,4,7,17,5,0,0,26,0,11,16,137,101,152,132,114,40,709,144,485,488,990,769,817,683,365,112,4857,2933,7373,6425,13037,8612,9900,8564,4203,1315,62365
SED22501,0,0,0,14,10,4,0,5,0,29,0,0,0,5,12,12,4,0,0,34,0,5,3,60,19,11,29,3,0,134,0,0,0,23,13,13,15,9,0,74,0,0,0,0,0,0,0,0,0,0,0,9,17,46,53,68,84,43,8,329,0,26,15,26,27,16,21,3,0,139,0,16,32,98,100,57,23,15,0,348,0,3,4,80,31,32,37,19,6,205,0,6,0,21,5,0,0,0,0,33,5,12,15,44,19,13,0,0,0,101,0,4,0,30,12,22,7,6,0,72,6,40,38,60,64,40,37,14,0,296,0,4,3,43,19,19,7,0,0,99,0,0,5,10,16,13,10,9,4,57,0,0,0,9,10,0,9,3,0,35,10,58,54,288,215,206,203,119,43,1195,60,133,110,270,177,175,180,148,121,1389,3262,8061,6840,13324,8792,8222,6946,3341,1039,59815
SED22607,0,4,14,77,6,12,3,0,0,117,0,0,0,11,10,9,0,3,0,28,0,26,37,295,60,27,28,7,0,478,0,0,0,50,8,28,27,9,12,139,0,0,0,8,4,0,0,0,0,20,0,4,0,52,38,50,39,23,5,217,10,19,16,93,32,17,6,0,3,193,0,14,11,90,33,6,11,5,4,177,0,15,21,178,44,37,36,20,6,355,0,0,3,58,5,3,6,0,0,79,0,10,20,123,23,7,6,0,0,193,0,4,10,114,88,72,39,18,7,336,20,37,23,157,45,26,26,6,6,340,7,28,74,335,257,231,156,64,30,1191,0,0,0,13,4,3,12,0,0,34,0,0,7,32,8,0,0,0,0,49,14,130,252,1536,473,334,229,144,68,3178,137,236,309,1037,377,320,213,154,100,2871,3401,7371,8435,22917,9619,8087,5834,2896,1454,70008
SED22704,0,0,7,21,0,0,0,0,0,30,0,0,0,12,16,8,3,5,0,37,0,32,25,140,59,53,33,0,0,338,0,0,0,9,0,6,9,7,7,34,0,0,0,8,0,4,0,0,0,9,0,0,0,23,18,63,67,52,19,240,0,0,0,6,10,0,8,0,0,22,0,3,7,46,20,19,16,7,5,128,0,6,3,29,8,13,5,4,0,73,0,0,0,14,0,5,0,0,0,20,3,6,12,73,33,7,3,0,0,136,0,0,0,9,7,6,0,4,0,25,0,3,9,25,25,14,30,7,0,116,0,3,5,26,11,5,4,0,0,58,0,0,6,0,3,14,10,9,8,48,0,0,3,7,9,3,3,6,0,26,6,25,30,133,90,122,139,104,42,679,208,618,528,1243,790,999,838,563,251,6046,3300,7509,6912,14106,8883,10570,9819,5343,1940,68383
SED22802,0,4,0,29,3,0,3,0,0,43,0,0,0,9,13,8,0,0,0,38,4,18,26,114,64,41,27,5,0,305,0,0,0,26,18,30,32,10,3,118,0,0,0,7,0,0,4,0,0,4,0,0,6,36,41,82,82,61,14,324,0,4,11,18,16,16,11,3,0,84,0,12,33,123,86,60,42,16,0,374,0,6,10,97,37,31,24,13,3,221,0,0,0,16,6,4,0,0,0,29,0,13,38,74,12,7,4,0,0,145,0,0,0,7,11,0,0,6,0,18,3,15,14,55,28,14,21,11,0,163,0,5,10,31,13,4,0,0,0,71,0,0,0,8,8,23,6,9,6,54,0,0,6,12,13,16,3,0,0,49,8,23,57,195,155,140,137,113,35,855,87,193,166,442,245,230,199,162,56,1784,3903,7636,7472,16204,8045,7379,5906,3341,964,60851
SED22901,0,4,19,76,9,14,7,0,0,137,0,0,0,5,13,8,0,0,0,29,0,21,45,204,116,73,75,28,3,557,0,5,3,26,11,32,46,6,13,134,0,0,0,0,4,0,5,0,0,12,0,0,3,20,23,46,82,47,21,241,0,40,114,133,89,68,64,15,7,524,0,11,35,103,88,58,73,35,15,419,0,54,112,466,240,247,217,79,18,1442,5,13,4,81,18,15,20,3,0,160,4,7,9,71,27,20,3,3,0,143,0,0,0,4,4,9,10,3,3,36,0,23,24,67,19,33,9,3,7,179,0,11,20,109,122,136,93,18,8,527,0,0,0,0,3,13,13,5,12,44,0,0,7,20,12,7,4,0,0,46,8,47,97,355,180,227,249,203,136,1497,84,167,172,447,193,188,197,198,108,1749,3182,7048,6865,15963,7628,7470,6731,3606,1608,60096
SED23007,9,39,64,384,28,6,0,0,0,529,0,0,7,22,18,9,0,0,0,59,4,57,126,797,217,209,163,58,18,1647,0,0,3,73,41,52,73,38,25,310,0,0,12,29,26,20,7,3,0,96,0,0,7,57,21,36,26,24,9,185,3,9,12,165,33,15,18,3,0,255,5,4,6,102,25,6,7,0,0,161,0,19,45,245,40,33,18,6,11,425,4,5,10,106,11,8,3,5,0,141,6,10,29,207,51,20,7,0,0,332,0,0,4,94,68,93,38,18,3,324,8,12,26,142,35,10,7,3,0,244,30,167,658,2906,2175,2239,1322,389,164,10053,0,0,3,16,9,5,0,0,0,29,0,3,7,61,4,4,0,0,0,75,15,165,390,2275,739,530,452,302,108,4974,192,384,539,1925,551,430,359,271,160,4802,4600,7815,9590,32857,10025,8154,5960,3323,1455,83789
SED23101,0,26,23,165,15,21,9,0,0,258,0,0,0,7,9,8,0,3,0,20,0,29,34,179,73,88,45,13,3,461,0,0,0,18,21,31,48,18,12,151,0,0,0,0,0,0,0,0,0,0,0,0,3,21,17,34,39,67,25,202,4,76,104,112,95,69,58,16,5,540,3,10,35,81,61,61,23,29,8,306,0,58,177,585,215,189,215,92,41,1580,0,12,20,157,42,22,34,8,0,301,5,5,21,100,33,12,9,5,0,196,0,3,0,12,6,10,11,8,0,54,11,44,40,49,29,18,11,5,0,208,0,21,40,196,274,272,193,59,20,1082,0,0,0,0,4,5,3,11,0,32,0,3,7,21,12,8,0,0,0,52,11,81,121,287,231,216,259,226,114,1536,59,131,158,382,190,137,212,184,126,1585,2707,7370,7481,14759,8352,7037,6446,4991,2256,61409
SED23205,0,0,0,21,3,8,0,5,0,32,0,0,3,24,13,12,3,4,0,54,0,36,42,202,81,72,29,11,3,476,0,0,4,29,26,49,46,23,4,178,0,0,0,12,5,6,5,0,0,29,0,10,25,63,64,127,113,104,51,570,0,5,9,29,6,14,4,0,0,59,0,6,41,102,88,45,27,11,3,330,0,0,16,60,18,21,33,34,4,187,0,0,4,24,5,6,3,0,0,47,0,16,23,78,32,11,0,0,0,161,0,0,0,10,7,9,10,0,0,45,4,25,19,82,32,30,35,12,0,242,0,7,17,41,21,13,0,5,0,105,0,5,7,18,24,27,21,20,8,131,0,3,3,22,19,10,10,3,0,68,5,77,118,459,282,255,268,206,82,1754,189,422,434,1145,554,466,334,251,106,3905,3513,7412,7003,17058,8325,7627,6352,3922,1776,62994
SED23308,4,14,25,124,11,4,0,0,0,182,0,0,0,7,17,7,0,0,0,38,4,12,31,180,47,25,38,10,0,358,0,0,0,10,4,11,22,9,7,62,0,0,0,4,0,0,0,0,0,5,0,8,3,39,48,76,86,59,18,344,0,9,9,24,9,5,14,0,0,75,0,5,11,75,30,21,24,13,5,185,5,9,18,130,18,7,18,10,0,222,0,0,4,29,0,0,0,0,0,37,0,10,11,58,21,10,6,0,0,109,0,0,0,10,10,0,0,4,0,24,4,12,20,93,37,27,25,10,0,227,0,10,19,78,17,10,7,4,0,143,0,0,9,16,9,13,18,11,4,82,0,0,3,19,8,3,7,0,0,39,9,52,73,373,128,136,160,123,55,1112,108,295,344,877,385,372,318,251,126,3080,3719,7281,7989,19366,8322,8118,6745,3832,1688,67063
SED23402,9,52,34,260,32,26,13,0,0,426,0,0,0,11,12,9,0,0,0,39,4,37,90,309,148,79,31,7,0,712,0,0,0,38,40,30,35,7,7,163,0,5,9,29,16,4,4,3,0,75,0,9,14,67,79,136,131,84,33,555,0,24,27,52,33,18,8,3,0,159,5,31,70,167,157,92,38,29,10,598,9,112,125,932,297,189,105,45,7,1821,0,11,0,33,6,0,0,0,0,48,8,5,13,78,24,17,0,0,0,141,0,5,0,4,15,10,5,0,0,49,0,29,29,66,47,26,17,10,0,238,0,7,12,67,18,13,8,0,0,131,0,0,0,21,15,25,13,10,0,94,0,0,10,61,37,19,7,3,0,131,7,98,188,701,372,366,263,182,65,2244,205,499,444,1025,471,368,316,247,125,3701,6051,11920,10394,24323,10902,9074,6636,3701,1303,84305
SED23502,0,3,4,9,7,3,0,0,0,30,0,0,3,6,13,3,3,3,0,30,8,34,30,174,65,49,33,8,0,399,0,0,0,0,5,4,16,6,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,29,14,62,92,71,13,294,0,6,4,3,3,0,10,0,0,26,3,3,9,44,34,29,35,18,0,177,0,0,0,31,6,5,4,7,0,52,0,0,0,24,0,0,0,0,0,30,3,4,13,55,22,7,4,0,0,109,0,0,0,0,3,5,0,0,0,13,0,5,3,15,15,24,43,17,5,132,0,5,3,63,31,19,5,0,0,124,0,0,0,0,7,11,19,12,5,55,0,0,0,5,6,3,9,0,0,29,0,19,16,136,77,96,137,92,32,609,180,518,436,1036,647,807,916,578,253,5370,2991,7099,5720,12236,7336,9968,10844,5880,1826,63901
SED23602,0,6,0,21,3,0,0,0,0,26,0,0,0,0,9,12,0,0,0,27,5,15,24,122,54,54,24,8,4,313,0,0,0,5,5,11,12,13,3,56,0,0,0,0,0,0,0,0,0,0,0,3,3,20,27,60,74,66,12,271,0,3,7,11,8,4,4,0,0,27,0,17,19,41,38,25,29,10,0,175,0,0,4,43,13,12,15,11,0,109,0,0,0,21,0,3,3,0,0,33,0,9,11,28,13,3,5,0,0,73,0,0,0,0,3,0,0,0,0,6,4,10,14,42,21,16,46,18,3,168,0,3,13,86,29,29,0,0,0,157,0,0,0,5,5,15,16,0,0,46,0,0,4,5,8,16,4,0,0,38,0,19,22,134,76,125,135,90,22,634,202,432,344,963,555,698,691,437,199,4514,2964,6978,5824,12568,7669,9169,8946,4528,1574,60218
SED23702,0,0,0,14,0,0,8,0,0,15,0,0,0,7,17,11,0,0,0,38,6,17,32,171,62,39,17,0,0,356,0,0,0,22,7,18,19,14,8,92,0,0,0,3,5,5,0,0,0,13,0,7,22,61,93,157,148,123,33,643,0,0,0,12,10,7,7,0,0,37,0,18,22,75,58,37,38,22,9,266,0,0,5,22,15,25,11,9,5,89,0,3,0,6,0,3,0,0,0,12,0,11,19,77,33,14,3,0,0,152,0,0,0,3,8,3,0,0,0,22,4,7,12,52,20,19,20,9,5,146,0,0,0,26,9,13,0,0,0,57,0,0,7,20,25,32,21,13,3,121,0,0,6,13,3,4,3,0,0,32,0,19,46,190,158,188,187,115,35,945,119,375,331,766,403,406,376,269,97,3133,4323,9059,8765,18188,9468,9472,7533,4036,1298,72135
SED23806,0,3,18,78,3,3,4,0,0,118,0,0,3,10,10,8,3,0,0,30,0,9,23,130,35,15,21,3,0,228,0,0,0,23,12,9,29,15,15,108,0,0,0,3,0,0,0,0,0,3,0,4,13,55,39,38,54,38,22,263,10,44,50,137,56,35,40,10,3,387,0,15,40,136,89,60,41,25,6,408,0,5,69,245,70,61,50,29,7,538,9,6,10,135,40,9,23,4,0,224,4,9,26,143,27,16,7,0,0,232,0,4,0,36,14,3,0,0,4,62,26,95,79,159,76,52,34,18,3,553,0,19,119,257,117,67,53,15,8,657,0,0,3,10,4,6,13,9,3,48,0,0,4,27,9,9,3,3,0,55,12,81,108,709,220,176,136,110,68,1623,64,169,257,688,248,200,199,159,88,2071,2631,6859,9268,19246,8343,7146,5835,3547,1543,64418
SED23901,0,11,9,74,12,12,4,0,0,118,0,0,0,7,16,5,0,0,0,36,3,15,29,228,62,44,38,7,7,433,0,0,3,38,18,34,23,20,13,144,0,0,0,0,3,3,3,0,0,18,0,9,18,70,37,46,56,40,17,288,5,19,26,81,36,21,20,9,4,219,0,8,17,132,64,44,15,16,0,299,0,19,38,207,81,57,66,47,17,538,3,6,3,91,19,16,5,0,0,141,0,13,18,85,40,25,7,0,5,192,0,0,0,13,11,15,13,6,0,58,12,39,33,123,42,29,23,17,3,329,4,24,39,165,129,62,52,20,3,510,0,0,3,14,9,11,5,4,5,49,0,0,6,19,9,3,0,4,0,44,12,106,168,851,368,336,239,184,101,2353,79,248,250,691,283,239,257,168,97,2330,3590,8049,7691,19167,8915,8053,6312,3835,2023,67639
SED24006,0,13,17,64,12,14,8,0,0,134,0,0,0,7,25,9,5,0,0,49,0,12,19,79,39,23,20,9,5,208,0,0,0,21,6,21,26,28,22,137,0,0,0,4,0,0,0,0,0,0,0,3,6,18,22,30,36,26,8,154,3,83,75,116,70,57,54,22,0,478,6,20,23,94,79,62,42,26,6,350,0,26,29,151,124,105,57,25,17,535,5,25,12,186,57,56,57,12,0,411,3,6,19,68,21,21,3,0,0,139,0,4,4,9,23,19,6,11,3,80,21,58,65,98,50,43,32,18,3,389,0,28,96,217,258,263,112,31,11,1012,0,0,5,4,5,5,0,9,3,33,0,0,0,18,3,5,3,0,0,29,9,80,88,409,247,197,198,155,99,1478,54,177,199,383,269,217,177,174,123,1764,2368,8145,9487,14003,9401,8524,6196,3884,2027,64029
SED24105,4,31,65,207,39,22,17,8,0,389,0,0,0,6,5,0,0,0,0,17,7,53,135,479,198,162,76,25,8,1144,0,0,0,22,16,45,83,25,17,227,0,7,8,32,23,17,11,3,0,101,0,9,12,16,28,32,43,44,17,196,0,9,21,54,24,26,18,5,3,165,0,11,47,67,89,42,36,23,8,334,6,46,126,666,291,314,330,194,66,2046,0,3,3,75,5,8,6,0,0,98,10,44,88,431,68,19,16,0,0,678,0,8,19,108,143,128,72,47,6,529,0,27,25,44,8,3,4,3,0,118,27,173,463,2459,1863,1870,908,260,133,8170,0,0,0,8,3,0,9,4,0,24,0,3,5,27,8,8,0,0,0,48,19,105,190,814,485,492,369,263,124,2851,162,285,290,814,265,270,240,183,75,2588,4293,9247,9984,22136,9696,8444,6809,3846,1479,75941
SED24207,19,157,95,849,96,36,35,9,3,1298,0,0,3,4,0,3,0,0,0,18,3,156,499,1685,1026,803,460,114,27,4771,0,0,4,66,64,84,90,38,13,346,0,24,56,126,102,63,36,6,0,408,0,6,4,18,21,26,32,26,6,148,8,34,29,55,29,28,12,3,0,192,0,3,28,50,38,16,5,0,0,146,0,29,97,449,225,119,71,23,6,1023,0,3,4,47,16,7,8,0,0,87,4,8,20,139,61,26,12,6,0,272,0,9,13,92,99,81,45,25,0,356,11,47,40,58,23,9,3,0,0,185,32,183,455,3403,2195,1594,689,214,92,8868,0,0,0,5,0,0,4,3,0,12,0,0,17,52,24,6,3,0,0,105,38,226,578,2366,1303,1057,798,383,74,6823,310,691,601,1635,577,416,320,159,36,4751,7252,15518,12842,33672,12948,9186,6827,2812,735,101777
