SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED52702,408,112,1017,6800,9943,4950,3587,5707,1465,32447
SED52803,134,36,230,5158,6885,2663,2162,7723,4629,29218
SED52903,71,37,139,5903,6677,2417,1627,5716,4745,27084
SED53004,523,67,994,7523,10434,4472,3035,7317,1137,33920
SED53105,300,42,516,7323,9759,3988,3461,10347,3301,38180
SED53204,259,33,478,8476,10060,4086,3073,10498,1417,37611
SED53306,698,295,1567,6626,9270,4320,3774,10628,3011,37639
SED53402,465,107,910,8442,11218,3944,2473,8449,1998,36534
SED53502,435,262,1049,7858,10136,4043,3268,10432,2755,38492
SED53602,375,167,751,7074,8000,3284,2844,14496,2973,38672
SED53701,274,105,694,5389,7992,3985,3780,6924,3876,31942
SED53802,430,74,994,7792,9654,3998,3053,11327,2022,37844
SED53902,833,169,1649,8670,10393,4014,2526,8743,1869,36209
SED54006,314,129,825,6163,9226,4679,4279,8197,2684,35229
SED54104,510,120,1157,10036,12221,4767,2800,7649,1957,39432
SED54203,50,29,139,3263,4292,1841,1340,4115,3644,18488
SED54304,411,68,733,11683,13827,3818,2351,11730,4084,47500
SED54403,23,11,55,6342,8545,3008,2570,8546,7373,36385
SED54505,514,92,1084,8122,10219,4993,3710,8478,1197,36719
SED54605,553,284,1311,6351,8675,3889,3205,9447,3023,34583
SED54701,317,137,778,6038,7772,3695,3086,6379,3400,30370
SED54804,624,227,1256,9392,11549,4066,2541,8266,2463,38276
SED54905,565,244,1228,8966,11142,4093,2554,8202,2114,37069
SED55005,345,85,598,7932,9882,4346,3599,11870,1914,39552
SED55102,136,23,321,7627,10004,4406,3747,8680,4061,38522
SED55202,473,193,1027,7178,8971,3860,3430,12775,2649,38857
SED55306,500,109,1085,7123,10285,5058,3759,7100,2531,35843
SED55405,496,347,1221,9548,11333,3716,2359,11404,3423,41774
SED55504,305,100,643,8107,10593,4371,3240,10187,1863,38364
SED55605,234,60,478,7670,10261,4445,3670,9564,2200,37802
SED55706,374,135,924,6470,9910,5266,4256,6614,3360,35874
SED55802,337,39,591,8412,10675,4131,3521,12223,2183,41149
SED55905,455,292,1222,7313,9386,3849,2828,8471,2211,34066
SED59494,10,23,30,870,963,339,278,1476,3362,7285
SED59797,0,0,0,33,21,10,15,214,222,516
SED60105,498,115,917,4152,5948,2519,1598,5214,991,20420
SED60106,88,74,238,1187,1641,911,717,1507,557,6516
SED60113,316,122,815,6283,9408,4288,2977,6847,1578,31373
SED60115,458,65,799,5792,8187,3827,2999,10040,2390,33231
SED60207,544,143,1057,5820,8374,4122,3034,8971,1854,32167
SED60208,434,70,801,4891,7442,3697,2878,6638,1634,27186
SED60209,491,110,925,5516,8199,4221,3387,8062,2352,31744
SED60301,198,40,410,2614,3603,1507,1079,3903,712,13418
SED60302,541,87,947,6130,8436,3232,2284,9707,1670,31461
SED60303,327,83,725,7755,10462,3790,1774,6218,1679,31689
SED60304,0,0,0,69,106,39,39,28,13,293
SED60310,282,29,604,4301,5626,2437,1221,3804,776,18169
SED60404,263,99,612,5764,9103,4710,3126,5146,1751,29602
SED60410,191,25,400,2960,3982,1773,1015,3036,451,13215
SED60411,672,145,1331,5674,8358,3628,2071,6362,1221,27314
SED60414,144,29,311,4472,6659,2876,1881,4739,1520,22147
SED60501,136,37,265,2917,4098,1992,1794,5301,1496,17596
SED60505,147,14,261,1679,2491,1143,720,2222,342,8601
SED60506,340,72,682,4548,6803,3573,2991,6253,1731,25902
SED60508,42,10,89,766,1176,664,510,950,384,4438
SED60512,319,72,622,5222,8091,3930,3029,6654,2075,29000
SED60514,89,16,172,1731,2452,1171,721,1792,332,8195
SED69494,0,0,3,216,217,80,47,353,324,1248
SED69797,0,0,0,0,0,0,0,13,8,19
SED70001,0,0,9,1881,1997,622,297,1212,566,6577
SED70002,20,3,48,1689,2126,794,536,2101,597,7843
SED70003,7,0,8,1586,1664,1024,723,1224,787,7016
SED70004,9,0,21,1277,1428,918,451,1403,978,6452
SED70005,15,4,32,1286,1854,661,430,1514,773,6518
SED70006,24,0,41,1587,2107,721,438,1641,511,7009
SED70007,52,3,65,1391,2007,686,457,1628,492,6654
