SED_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SED10011,512,15,8,0,0,535,199,5,4,0,0,210,152,4,5,0,0,154,299,11,5,0,0,319,374,4,5,0,0,386,1110,18,21,0,0,1153,1496,31,10,0,0,1541,2674,34,8,3,0,2717,1642,15,4,0,0,1664,1256,14,9,0,0,1272,580,8,3,0,3,589,481,11,6,0,0,501,10770,170,86,4,6,11040
SED10012,406,54,39,0,0,499,110,14,20,0,0,139,99,8,16,0,0,124,165,26,23,0,0,215,217,29,29,0,0,276,611,100,106,0,4,825,681,122,109,0,0,910,1176,166,73,0,0,1410,718,58,16,0,0,799,716,32,21,0,0,772,344,22,9,0,0,369,488,48,40,0,0,582,5736,671,492,0,9,6913
SED10013,504,12,5,0,0,527,170,7,0,0,0,180,132,11,0,0,0,146,207,13,0,0,0,222,368,11,0,0,0,376,1118,52,13,0,0,1187,1570,85,9,0,4,1671,4268,187,16,0,15,4477,4802,164,9,0,17,4996,4045,76,10,0,7,4138,1766,24,9,0,3,1802,1175,42,8,0,0,1225,20131,680,89,3,48,20949
SED10014,352,32,19,0,0,401,117,3,7,0,0,131,91,19,8,0,0,121,194,20,16,0,0,231,292,23,17,0,0,328,946,106,91,0,0,1146,1268,160,133,0,0,1563,2358,163,131,0,0,2652,1408,36,40,0,0,1484,894,29,25,0,0,948,417,14,15,0,0,450,588,20,47,0,0,648,8926,630,543,0,0,10106
SED10015,285,63,97,5,0,455,79,12,44,0,0,138,89,10,32,0,0,131,104,21,54,0,0,182,137,25,88,0,0,257,346,78,280,0,0,708,350,87,473,7,0,916,705,197,928,5,0,1835,560,150,475,0,0,1186,945,226,279,0,0,1451,1197,160,121,5,0,1483,441,70,184,5,0,701,5249,1109,3056,31,8,9448
SED10016,527,41,30,0,0,595,123,12,7,0,0,144,92,6,9,0,0,108,132,18,8,0,0,155,214,9,17,0,0,240,616,52,42,0,0,709,753,67,59,0,0,883,1562,147,188,0,0,1901,1769,150,129,0,8,2055,3432,205,100,0,4,3733,3767,138,49,0,4,3953,972,52,29,0,6,1060,13959,902,659,0,16,15535
SED10017,407,15,3,0,3,422,208,10,4,0,0,221,186,0,0,0,0,182,345,13,3,0,0,366,560,22,0,0,4,588,1976,72,13,0,0,2062,2590,45,3,0,4,2649,3005,27,3,0,0,3036,1236,5,0,0,5,1243,780,0,4,0,5,784,385,0,0,0,0,385,694,13,0,4,0,704,12370,218,35,8,16,12646
SED10018,407,24,4,0,0,437,159,15,0,0,0,177,121,10,9,0,0,135,231,16,8,0,0,260,305,17,7,0,0,325,928,109,36,0,0,1071,1281,145,52,0,0,1477,2380,153,55,0,0,2587,1438,60,13,0,0,1512,1073,27,14,0,0,1114,616,13,3,0,0,633,464,39,6,0,0,507,9405,631,210,0,0,10248
SED10019,405,13,3,3,0,422,231,3,7,0,0,244,229,9,6,0,0,248,461,8,5,10,0,482,666,25,4,0,0,695,1863,51,21,19,4,1961,1538,51,7,13,0,1610,1303,30,6,13,4,1355,411,4,3,0,0,419,251,3,6,3,0,258,177,5,3,3,0,186,440,26,3,11,0,480,7969,228,68,81,14,8360
SED10020,377,28,18,0,0,426,164,16,6,0,0,190,132,27,9,0,0,164,286,22,16,3,0,321,359,46,36,3,0,447,1074,115,97,3,0,1291,1446,130,52,3,0,1635,1980,101,45,6,3,2131,836,19,0,0,0,862,516,16,15,0,0,552,258,18,5,4,0,276,468,25,22,3,0,520,7890,568,323,29,12,8819
SED10021,155,127,178,12,0,467,8,20,30,0,0,66,14,11,31,0,0,62,20,24,39,0,0,86,32,35,78,5,0,146,59,76,203,0,0,346,56,92,235,3,0,389,106,158,490,7,0,754,79,133,443,6,0,666,207,278,735,9,0,1234,1093,1191,710,14,4,3006,200,150,223,4,0,573,2029,2302,3391,65,8,7789
SED10022,481,12,0,0,0,502,293,7,0,0,0,305,328,4,0,5,0,327,653,11,3,5,0,676,940,8,5,4,0,957,1745,27,0,9,3,1781,1169,8,3,0,0,1189,804,5,3,0,4,814,246,0,0,0,0,245,200,0,0,4,0,208,171,6,0,0,0,180,451,3,0,0,6,463,7475,101,18,34,16,7646
SED10023,331,54,68,0,0,458,90,15,23,0,0,130,60,11,24,0,0,99,89,14,31,0,0,132,127,29,55,0,0,211,348,72,168,0,0,588,386,67,222,3,0,682,807,165,460,0,3,1439,714,155,332,0,3,1203,1330,264,284,0,3,1882,2498,271,164,0,0,2931,493,78,109,3,0,685,7274,1195,1947,13,15,10434
SED10024,548,24,54,0,0,628,93,3,9,0,0,101,68,5,11,0,0,86,103,4,14,0,0,122,110,4,11,0,0,129,344,12,63,0,0,422,339,24,69,0,5,431,694,29,213,0,0,938,576,26,240,0,0,845,1286,42,230,3,0,1566,4028,106,186,0,0,4310,602,19,65,0,0,682,8791,294,1163,3,4,10256
SED10025,250,59,192,5,0,499,47,6,36,0,0,99,33,11,27,0,0,76,60,19,67,0,0,140,78,26,59,0,0,158,173,50,242,0,0,467,214,58,286,4,0,560,381,109,670,12,0,1176,263,112,670,16,0,1061,610,190,839,14,0,1642,1771,340,667,16,3,2795,343,61,251,0,0,654,4222,1033,3995,69,5,9321
SED10026,369,11,0,3,6,389,187,11,0,3,0,202,190,3,3,0,0,197,401,9,3,0,0,422,661,12,10,0,0,685,1837,46,11,3,0,1891,1984,32,4,6,6,2018,1909,12,0,0,0,1927,717,4,0,0,0,727,473,4,0,0,0,481,326,7,0,0,0,333,565,11,0,0,5,583,9617,173,32,14,20,9862
SED10027,351,108,4,0,0,461,78,35,0,0,0,116,72,13,4,0,0,100,109,39,10,0,0,157,153,78,8,0,0,235,480,175,6,0,0,661,501,251,22,0,0,777,1021,528,34,13,4,1587,932,466,25,0,0,1427,1474,530,21,0,3,2022,967,261,14,0,0,1244,499,200,11,0,0,709,6632,2673,156,16,13,9486
SED10028,573,57,62,0,0,694,104,13,10,0,0,129,86,19,6,0,0,107,111,13,26,0,0,152,132,23,24,0,0,177,389,71,78,0,0,534,413,79,112,0,0,603,845,145,371,0,0,1365,696,140,313,0,3,1156,1271,248,250,0,3,1768,2607,215,106,0,0,2931,545,68,91,0,3,707,7766,1108,1448,6,14,10327
SED10029,337,48,52,0,0,441,88,27,19,0,0,127,83,14,13,0,0,110,114,26,31,0,0,170,157,33,38,0,0,236,566,115,188,0,0,870,557,152,156,3,0,868,971,316,130,4,5,1429,716,173,41,0,0,929,716,121,28,0,0,867,332,52,22,0,0,411,423,91,52,0,3,559,5066,1163,762,8,13,7019
SED10030,342,48,29,0,0,421,140,14,19,0,0,181,123,26,10,0,0,157,177,28,23,0,0,230,243,43,48,0,0,338,728,129,137,4,4,1002,1025,214,196,10,3,1445,1703,247,203,11,3,2162,1191,91,68,3,0,1353,944,34,42,5,0,1024,485,22,26,4,0,535,423,55,40,0,6,524,7526,963,843,28,11,9377
SED10031,456,14,9,0,6,477,177,9,0,0,0,190,170,5,5,0,0,177,316,7,0,3,4,331,441,18,4,0,0,468,1407,51,7,3,4,1465,1667,37,5,7,4,1721,2151,25,4,3,3,2186,1153,7,5,0,8,1171,1013,3,3,0,0,1029,743,6,4,0,0,753,513,13,3,0,0,525,10216,189,45,18,23,10489
SED10032,282,69,89,0,0,440,62,19,23,0,0,93,56,13,19,0,0,87,101,25,38,0,0,163,117,32,75,0,0,222,343,120,315,0,0,781,433,177,572,0,0,1185,784,381,1018,3,0,2186,636,294,297,0,0,1230,790,206,132,7,0,1130,511,101,96,0,0,708,437,127,185,0,0,747,4544,1554,2854,19,16,8977
SED10033,469,23,0,0,0,495,106,6,4,0,0,112,111,13,3,0,0,122,206,12,0,0,0,219,226,24,12,3,0,261,780,68,16,0,0,868,1031,109,21,4,0,1168,1935,138,9,0,5,2088,1555,48,5,0,4,1608,1702,22,6,0,0,1737,1387,9,10,0,5,1404,668,26,5,0,4,705,10178,501,87,10,11,10791
SED10034,339,42,56,0,0,432,93,10,14,0,0,120,96,14,24,0,0,128,144,17,29,0,0,185,204,15,39,0,0,255,579,58,101,0,0,745,723,89,229,0,0,1045,1481,206,531,0,0,2226,1439,194,293,0,5,1927,2294,229,153,0,0,2681,1440,68,64,0,0,1577,487,43,77,0,0,607,9323,979,1611,4,5,11924
SED10035,142,92,288,0,0,514,27,16,58,0,0,103,15,11,33,0,0,65,40,24,83,0,0,145,46,28,126,0,0,202,140,102,536,0,0,771,137,103,593,5,0,844,228,223,1595,6,0,2052,222,198,1481,0,0,1905,406,388,1621,4,3,2421,823,613,909,11,6,2356,180,102,382,0,3,675,2407,1903,7708,23,12,12054
SED10036,434,62,0,0,0,501,125,19,0,0,0,149,104,18,3,0,0,129,168,26,0,0,0,195,237,32,3,0,0,276,708,106,34,0,0,853,946,186,76,0,0,1207,1976,380,93,0,0,2448,1557,232,36,0,4,1828,1756,123,25,0,0,1904,905,40,11,0,0,956,667,78,19,0,0,764,9588,1294,306,0,3,11196
SED10037,473,38,49,0,0,563,120,11,9,0,0,142,85,4,13,0,0,103,141,6,29,0,0,178,200,5,35,0,0,245,557,42,133,0,4,742,659,53,201,0,0,911,1307,102,578,0,0,1987,1116,116,330,5,0,1565,1921,155,175,0,0,2249,2199,71,93,0,0,2368,570,21,82,0,0,679,9354,630,1724,9,5,11731
SED10038,357,47,19,3,0,426,106,12,4,0,0,126,110,27,14,0,0,148,152,31,14,4,0,206,204,47,32,0,0,278,644,111,78,4,0,835,763,164,117,3,0,1047,1563,259,138,0,0,1964,1395,162,68,0,4,1632,1547,117,34,0,0,1698,1106,57,18,0,0,1183,494,46,37,5,0,579,8443,1080,589,18,4,10139
SED10039,431,32,8,0,0,474,153,22,5,0,0,179,120,12,0,0,0,131,227,18,3,0,0,247,312,24,0,0,0,338,984,73,16,0,0,1072,1211,137,11,3,0,1361,2283,193,29,0,4,2507,1417,86,7,3,0,1514,1127,52,14,0,0,1190,617,22,4,0,0,646,521,43,10,3,0,577,9404,700,108,18,3,10227
SED10040,282,76,210,0,0,563,61,27,50,0,0,133,51,19,35,0,0,110,79,25,72,0,0,181,113,46,106,0,0,267,273,86,302,0,0,661,273,99,501,0,0,873,517,198,1026,7,0,1748,435,170,586,4,0,1197,768,222,340,4,3,1340,1055,140,168,0,0,1366,395,78,212,0,0,683,4312,1181,3600,25,7,9120
SED10041,432,19,133,0,0,596,68,0,14,0,0,92,59,6,28,0,0,99,74,0,44,0,0,116,99,6,52,0,0,159,356,21,199,4,0,576,327,21,253,0,0,603,656,58,702,15,0,1432,546,38,554,7,0,1139,1133,79,500,11,0,1728,3465,97,310,5,0,3874,480,22,166,0,0,665,7705,374,2958,47,0,11082
SED10042,480,32,5,0,0,522,188,4,0,0,0,194,157,16,0,0,0,175,279,21,0,8,0,310,399,11,4,0,0,416,1213,56,13,0,0,1291,1729,79,11,0,0,1816,2616,58,16,0,0,2691,1276,17,3,0,0,1295,847,9,0,0,0,857,462,3,0,0,0,464,589,11,3,0,0,609,10232,325,58,14,7,10637
SED10043,255,75,73,0,0,403,70,15,27,0,0,117,71,16,19,0,0,103,95,29,64,0,0,185,137,41,83,0,0,253,354,135,277,6,0,769,407,174,336,0,0,924,773,329,414,0,0,1520,542,241,117,5,5,907,824,217,73,3,0,1114,556,92,48,0,0,696,465,124,113,0,0,703,4537,1486,1641,18,7,7690
SED10044,394,47,137,0,0,575,48,9,42,0,0,93,46,5,24,0,0,80,65,6,38,0,0,111,68,15,74,0,0,159,226,52,249,0,0,527,189,44,383,0,0,615,467,106,962,0,0,1534,376,77,868,0,0,1324,766,167,761,0,0,1695,2778,311,428,3,0,3522,428,55,203,0,0,696,5850,893,4172,4,3,10927
SED10045,460,8,7,0,0,478,235,9,4,0,0,254,247,13,11,0,0,269,422,29,20,0,0,466,559,26,12,0,0,600,1547,67,23,0,0,1635,1632,37,20,0,3,1692,1649,27,8,5,0,1688,545,0,5,3,0,557,419,4,0,4,0,424,225,3,0,0,0,226,506,10,7,3,0,522,8445,237,108,22,10,8823
SED10046,345,29,62,0,0,438,105,3,28,0,0,131,90,16,24,0,0,131,165,12,59,0,0,232,224,24,72,0,0,321,671,68,267,0,0,1013,851,112,320,0,0,1289,1614,206,322,0,0,2145,1171,85,74,0,0,1332,959,50,51,0,0,1057,495,21,39,0,0,557,544,45,97,0,0,699,7234,678,1418,0,3,9341
SED10047,397,35,10,0,0,441,115,12,0,0,0,131,112,11,4,0,0,130,204,25,8,0,0,242,295,31,14,0,0,341,970,178,47,0,0,1190,1422,302,107,0,0,1832,3008,572,93,0,0,3671,2880,172,35,0,0,3089,2411,92,23,0,0,2526,949,35,7,0,0,999,857,84,13,0,0,958,13619,1547,364,3,11,15551
SED10048,501,62,12,0,0,575,127,20,3,0,0,149,137,22,3,0,0,166,234,59,6,0,0,297,287,66,10,0,0,369,1018,270,36,0,0,1326,1370,377,61,0,0,1811,3075,536,85,0,14,3702,2658,220,33,0,0,2916,2106,96,17,0,9,2230,1030,59,10,0,0,1111,918,115,19,0,3,1053,13484,1910,291,0,31,15713
SED10049,431,13,0,0,0,435,169,11,0,0,0,185,159,11,0,0,0,167,272,15,5,0,0,294,421,26,4,0,0,454,1626,97,11,3,0,1735,2456,99,13,0,0,2568,3399,57,3,4,4,3465,1410,15,0,0,0,1427,908,0,0,0,0,916,448,3,0,0,0,452,626,21,0,0,0,650,12325,366,41,8,7,12750
SED10050,291,55,143,0,0,487,47,8,42,0,0,99,43,6,30,0,0,74,65,15,47,0,0,127,63,11,60,0,0,136,209,28,209,3,0,446,173,37,249,0,3,461,391,83,591,3,0,1067,321,81,521,0,0,928,714,136,643,3,0,1508,2839,369,667,4,0,3879,369,54,194,0,0,615,5531,882,3391,22,3,9831
SED10051,240,105,116,0,0,459,31,20,30,0,0,82,28,27,20,0,0,71,50,32,46,0,0,132,65,36,64,0,0,171,187,98,181,0,0,472,205,132,272,0,0,612,362,238,631,4,0,1237,299,219,579,3,0,1097,594,435,527,0,4,1562,1526,730,342,0,0,2599,321,140,188,0,0,649,3905,2230,3001,16,3,9158
SED10052,329,61,61,0,0,457,74,18,14,0,0,107,70,14,14,0,0,102,104,40,32,0,0,178,142,35,59,0,0,229,419,98,145,0,0,659,424,134,251,0,0,814,890,280,546,0,0,1721,864,263,410,3,0,1539,1632,389,222,0,0,2245,1886,257,106,0,0,2249,460,87,98,0,0,647,7299,1664,1965,12,3,10940
SED10053,397,35,17,0,0,452,155,19,17,0,0,193,150,23,14,0,0,192,304,32,42,3,0,370,414,44,88,0,0,554,1129,179,187,0,0,1501,1254,377,103,0,0,1734,2285,288,48,0,4,2624,1657,63,25,3,0,1741,1603,47,12,0,0,1663,861,26,10,0,3,903,539,56,19,0,3,619,10744,1195,583,18,12,12546
SED10054,407,31,14,0,0,452,107,14,4,0,0,122,95,6,3,0,0,104,194,20,5,0,0,221,271,36,15,0,0,322,924,115,71,0,0,1114,1216,229,66,0,0,1512,2293,421,57,0,0,2773,1547,149,10,0,0,1702,1204,67,12,0,0,1283,540,48,6,0,0,591,652,75,18,0,0,747,9435,1212,285,4,7,10945
SED10055,491,12,3,0,0,502,144,0,0,0,0,146,123,7,0,0,0,133,182,4,0,0,0,190,319,6,6,0,0,335,902,34,3,0,0,937,1254,58,14,0,3,1332,2576,122,17,0,0,2711,2250,70,0,0,7,2330,2062,44,9,0,0,2112,1171,23,9,0,0,1198,803,25,0,0,0,831,12267,400,69,3,14,12760
SED10056,507,13,4,0,6,535,274,3,3,3,0,285,288,10,0,0,0,299,630,15,10,0,0,658,839,19,11,0,3,877,1932,34,22,8,3,1995,1480,14,9,0,7,1509,1259,11,6,6,0,1274,375,0,4,0,3,382,293,0,0,0,0,298,238,0,0,0,0,246,557,4,0,0,0,560,8682,120,75,22,31,8931
SED10057,331,25,20,0,0,383,185,19,14,0,0,216,204,9,9,3,0,220,377,24,18,0,0,416,511,29,14,5,0,556,1349,79,36,5,3,1471,1343,46,31,0,0,1422,1283,27,11,0,0,1325,532,6,8,0,0,551,293,3,8,0,0,306,186,9,6,0,0,202,409,23,13,3,0,449,7003,311,179,18,12,7524
SED10058,342,58,47,0,0,449,121,26,14,0,0,162,90,20,20,0,0,133,187,32,27,0,0,243,222,41,41,0,0,306,698,112,140,0,0,956,920,168,193,0,0,1283,1605,246,279,0,0,2137,991,147,96,0,0,1235,841,128,81,0,0,1055,717,115,90,3,0,925,369,67,71,0,0,500,7104,1168,1103,11,6,9395
SED10059,63,212,137,5,0,417,12,58,26,0,0,99,6,35,27,0,0,64,12,47,56,0,0,111,20,85,77,0,0,173,57,177,193,3,0,422,44,212,292,3,0,557,81,380,574,4,0,1039,79,390,456,3,0,930,159,771,489,6,5,1415,394,1511,338,6,3,2254,44,177,147,6,0,372,970,4037,2802,33,10,7850
SED10060,170,67,247,0,0,489,11,13,42,0,0,69,12,12,45,0,0,62,10,14,58,0,0,79,26,15,80,0,0,121,80,33,270,3,0,380,55,41,313,0,0,407,97,93,686,3,0,888,65,66,581,0,4,715,134,140,810,0,0,1080,1165,528,1005,4,3,2699,159,74,240,0,0,472,1979,1082,4384,16,9,7465
SED10061,521,14,0,0,5,531,226,5,0,3,0,240,267,3,0,0,0,272,542,9,4,0,0,552,703,23,7,3,3,730,1746,32,3,4,4,1790,1260,23,0,5,0,1281,969,20,3,8,0,1003,362,3,0,0,0,370,266,5,0,0,0,277,246,0,0,0,0,246,449,7,0,0,0,456,7552,149,15,28,10,7756
SED10062,373,76,66,0,0,516,80,22,13,0,0,111,65,17,14,0,0,99,92,15,40,0,0,149,117,28,49,0,0,189,353,99,151,0,0,603,389,92,236,0,0,721,840,214,432,5,0,1486,587,195,254,0,0,1035,1234,306,146,0,0,1689,1737,199,58,3,0,1990,491,79,60,0,0,637,6372,1338,1513,7,3,9237
SED10063,374,15,4,8,0,402,185,5,3,0,0,190,214,5,5,0,0,221,480,12,5,0,0,503,653,16,3,4,0,677,1859,46,17,14,0,1941,1862,31,5,13,3,1913,1800,17,0,15,5,1831,690,3,0,8,0,705,529,3,4,4,0,534,399,3,0,3,0,409,514,7,4,4,3,533,9556,168,54,69,16,9865
SED10064,388,15,6,4,0,406,254,5,9,0,0,270,213,9,3,0,0,234,410,6,5,5,3,423,568,8,6,0,0,586,1620,36,22,0,0,1676,1421,45,18,4,0,1483,1401,22,6,4,0,1429,463,12,3,0,3,479,337,5,7,0,0,341,172,3,4,0,0,181,462,12,3,0,0,480,7696,165,88,25,14,7980
SED10065,271,100,149,0,0,518,46,19,32,0,0,96,45,24,36,0,0,106,59,43,68,0,0,175,128,56,94,0,0,278,280,155,362,7,0,803,293,189,612,4,0,1105,602,461,1204,11,5,2280,467,406,678,4,0,1553,933,468,324,5,0,1726,1099,265,145,0,4,1510,329,142,236,3,0,713,4551,2342,3936,30,7,10865
SED10066,363,41,22,0,0,423,110,14,8,0,0,139,93,13,9,0,0,111,202,25,17,0,0,244,231,39,31,0,0,301,753,119,167,0,0,1039,1113,206,298,0,4,1625,2120,306,200,0,0,2636,1592,99,68,0,0,1763,1153,47,24,0,0,1225,588,16,13,0,0,621,514,44,33,0,0,595,8841,977,893,0,4,10718
