GCCSA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
4RSAU,0,0,0,6,31,6003,69,31,3,9,3,17,4,0,309,6450,1536,10,6,0,0,0,3,0,0,139,1694,339,0,0,0,0,0,0,0,0,28,367,117,0,0,0,0,0,0,0,0,15,140,0,0,0,0,0,0,0,0,0,4,7,458,0,0,0,0,0,0,0,0,49,517,16,0,0,0,0,0,0,0,0,10,32,2013,16,4,7,0,0,3,0,0,202,2241,25467,2154,1466,253,229,254,287,133,54,1341,31643,3183,1900,2189,546,732,739,931,407,122,281,11032,492,249,360,103,110,108,234,131,64,131,1989,33,8,5,0,0,0,11,10,5,25,88,3703,2162,2555,650,846,842,1179,549,185,435,13108,60,6,5,6,0,0,3,3,7,303,396,29232,4318,4021,910,1075,1102,1471,684,253,2077,45144
49499,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,179,32,16,11,3,7,13,8,17,8,301,36,16,28,5,15,19,37,10,18,7,190,12,0,0,0,0,0,4,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,44,16,28,5,13,21,40,12,19,7,209,0,0,0,0,0,0,0,0,0,12,15,228,53,47,11,14,25,56,22,34,36,530
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
5GPER,0,0,0,142,258,44852,1579,947,165,116,138,353,198,31,1622,50004,10281,267,115,14,15,18,31,20,3,793,11562,3436,47,35,7,0,5,7,6,0,295,3834,2196,84,57,13,12,10,25,14,0,177,2571,31,0,5,0,0,0,0,0,0,48,82,5659,124,93,16,11,15,36,17,0,517,6489,72,3,0,0,0,0,0,0,0,162,242,16017,402,204,28,29,35,62,42,3,1474,18290,254931,70420,54060,5983,5239,5422,6228,3491,1520,7931,415222,93338,74101,67414,12729,11557,13248,15793,6511,1357,4444,300495,15612,7287,6858,1637,1603,1810,3521,1839,491,1396,42058,260,142,118,27,23,33,71,38,27,173,909,109209,81532,74390,14393,13182,15096,19383,8392,1875,6017,343462,382,120,108,28,18,21,29,25,5,1618,2362,364521,152073,128557,20401,18439,20537,25645,11910,3403,15564,761054
5RWAU,0,0,0,40,73,6932,154,96,4,17,11,21,20,0,380,7636,1599,33,15,0,0,4,3,5,0,160,1819,291,0,3,0,0,0,0,0,0,23,317,71,0,3,0,0,0,0,0,0,14,96,0,0,0,0,0,0,0,0,0,0,3,366,0,3,0,0,0,4,0,0,39,413,24,0,0,0,0,0,0,0,0,37,61,1987,34,18,0,3,4,5,6,0,235,2290,43561,9070,6647,801,731,832,1086,511,257,2258,65761,5321,6361,6520,1216,1184,1393,1963,810,433,578,25780,474,358,393,111,107,222,350,159,100,153,2424,43,17,20,5,3,8,14,10,14,23,152,5832,6737,6938,1332,1289,1619,2330,981,550,750,28359,146,27,13,0,3,0,23,8,3,680,895,49537,15832,13589,2134,2024,2452,3437,1496,810,3691,95015
59499,0,0,0,11,13,37,0,5,0,0,0,0,0,0,14,49,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,485,82,71,18,11,27,60,35,39,39,855,51,47,31,10,17,27,94,42,33,9,364,10,0,4,0,0,3,6,4,12,6,40,0,0,0,0,0,0,0,0,0,0,3,60,45,38,8,17,26,103,42,47,9,405,0,0,0,0,0,0,0,0,4,164,174,543,130,110,28,22,56,166,79,92,210,1431
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,14,0,0,5,4,0,0,0,84,18,8,5,0,0,3,3,6,0,19,59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,13,5,0,0,3,3,6,0,19,59,0,0,0,0,0,0,0,0,0,0,3,48,36,20,0,5,6,8,3,0,16,148
6GHOB,0,0,0,10,26,3265,45,30,13,3,4,6,3,5,137,3510,934,14,5,0,0,0,0,0,0,79,1035,242,0,0,0,0,0,0,0,0,14,257,77,4,3,0,0,0,0,0,0,6,94,5,0,0,0,0,0,0,0,0,6,12,324,4,3,0,0,0,0,0,0,27,357,12,0,0,0,0,0,0,0,0,9,12,1263,20,14,0,0,0,0,0,0,112,1404,14484,1874,1552,385,318,382,354,172,77,568,20167,3601,3065,7204,2601,2499,2241,1861,615,89,392,24168,410,212,513,180,190,183,286,104,23,42,2137,17,6,9,3,5,6,11,0,0,14,85,4029,3279,7723,2783,2697,2431,2157,727,111,443,26384,38,4,6,6,5,0,6,3,0,85,144,18550,5159,9282,3178,3016,2817,2516,899,193,1102,46696
6RTAS,0,0,0,10,18,4302,48,46,6,0,4,13,0,3,219,4641,1053,12,5,7,0,0,6,0,0,71,1147,136,0,0,0,0,0,0,0,0,17,158,32,0,8,0,4,0,0,0,0,7,47,5,0,0,0,0,0,0,0,0,0,5,171,0,7,0,4,0,0,0,0,23,205,7,0,0,0,0,0,0,0,0,0,7,1225,12,12,3,6,0,6,0,0,101,1356,19504,1858,1252,251,246,267,304,152,42,932,24801,2475,1573,2949,1163,1232,1161,1110,404,115,243,12426,142,142,351,138,113,126,212,118,33,46,1415,13,3,0,5,0,9,20,4,4,16,76,2631,1724,3299,1302,1351,1290,1342,525,146,305,13922,37,3,0,3,4,0,0,0,0,32,78,22173,3585,4548,1557,1600,1562,1651,679,186,1274,38805
69499,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6,4,4,0,0,0,0,0,4,92,10,5,4,0,5,7,11,0,0,0,49,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,5,11,0,9,8,10,0,0,4,57,0,0,0,0,0,0,0,0,0,13,14,87,15,11,5,9,8,9,0,0,18,161
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
