GCCSA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
39499,..,0,11,3,4,0,3,5,22,4,54,..,0,4,8,0,0,9,0,20,0,29,..,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,0,4,8,0,0,9,0,18,3,32,..,0,0,0,0,0,0,0,0,0,0,..,3,15,13,4,0,4,5,39,6,93,8,25,16,0,0,11,30,12,5,15,115,3,16,10,4,6,5,32,33,4,6,117,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,16,10,4,9,5,36,35,4,9,124,0,0,0,0,0,0,3,0,0,10,12,17,40,29,6,9,14,65,48,7,26,249,36,24,43,11,8,26,64,46,10,13,286,15,19,37,16,17,67,171,83,16,19,458,3,0,0,0,7,7,31,4,0,0,60,0,0,0,0,0,0,0,0,0,0,3,17,20
39799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,..,897,2339,504,560,687,647,399,170,234,6445,..,1028,3960,1445,1383,1674,1806,734,157,350,12541,..,8,68,48,82,166,385,232,139,88,1217,..,0,4,3,8,10,16,23,12,7,91,..,1037,4035,1494,1469,1850,2206,987,308,446,13843,..,3,3,6,0,6,7,4,0,17,45,..,1938,6383,2010,2028,2534,2860,1397,479,704,20330,1931,4670,1872,263,279,341,388,251,61,185,10239,1201,5400,5340,1878,2193,2807,3716,1809,112,341,24799,28,33,130,94,132,208,313,140,63,34,1181,5,3,6,0,0,5,5,0,0,6,36,1236,5441,5471,1978,2322,3018,4033,1949,180,384,26013,0,7,7,0,0,0,4,8,0,63,99,3164,10121,7356,2245,2603,3358,4422,2206,245,636,36347,4604,2671,2138,530,526,645,722,395,127,260,12621,3368,7909,11638,3832,4312,5027,5612,1860,270,517,44345,61,361,1054,354,386,437,516,160,61,55,3450,9,4,17,0,5,4,7,0,0,9,58,3439,8282
4RSAU,..,93,289,53,56,82,56,28,12,42,708,..,53,231,63,102,114,119,49,15,22,770,..,0,3,5,7,8,37,15,11,4,97,..,0,0,0,0,0,4,0,0,0,8,..,56,235,69,115,128,164,69,27,24,868,..,0,0,0,0,0,0,0,0,3,6,..,150,522,124,167,208,218,95,41,68,1589,143,393,164,25,21,17,37,14,4,31,854,35,226,254,60,111,103,144,63,17,22,1043,0,0,10,4,7,13,22,11,13,13,96,0,0,0,0,0,0,0,3,0,0,11,32,233,267,65,116,111,167,81,25,42,1151,0,0,0,0,0,0,0,0,0,23,27,180,626,431,90,139,133,202,96,35,97,2022,421,252,293,64,62,69,78,39,9,59,1352,87,298,649,244,285,323,431,154,38,52,2558,3,23,72,33,29,39,65,37,29,31,366,0,3,0,0,0,0,0,0,0,3,10,91,320
49499,..,0,0,0,0,0,0,0,5,0,13,..,0,0,0,3,0,0,0,0,0,10,..,0,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,4,0,12,..,0,0,0,0,0,0,0,0,0,0,..,0,8,0,3,5,0,0,10,0,23,0,9,0,0,0,0,0,3,0,0,20,0,7,9,3,0,0,11,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,0,0,11,0,3,0,39,0,0,0,0,0,0,0,0,0,0,0,5,16,9,7,0,4,9,5,3,0,60,8,9,3,0,0,3,9,3,0,0,36,6,9,8,0,4,13,28,12,9,0,78,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,9
49799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,..,2965,9282,1538,1367,1366,1354,955,464,719,20001,..,2003,7844,1898,1731,1758,2101,900,282,622,19138,..,24,91,61,89,171,379,274,226,145,1454,..,0,13,12,3,14,34,31,27,20,151,..,2029,7947,1965,1824,1938,2514,1205,531,792,20741,..,9,12,4,6,9,3,7,6,40,89,..,4992,17244,3505,3196,3313,3871,2168,997,1545,40834,6013,15545,7401,654,588,675,885,496,183,638,33073,2064,10381,9033,2005,2060,2675,3444,1529,185,482,33870,48,87,126,83,117,167,243,139,53,48,1111,6,28,17,0,4,3,6,0,0,12,71,2112,10493,9174,2091,2186,2842,3693,1672,242,551,35058,12,27,20,0,8,3,3,6,0,114,187,8136,26060,16596,2739,2777,3527,4584,2167,425,1304,68320,15847,10629,11870,1644,1551,1717,2097,968,383,902,47614,7094,13972,18699,4904,4528,5678,6740,2253,426,905,65207,152,572,1267,402,442,505,683,234,77,131,4467,6,25,26,6,8,14,12,0,0,19,109,7258,14569
5RWAU,..,390,984,173,179,173,176,122,63,151,2406,..,148,627,193,199,179,255,119,56,70,1839,..,0,4,17,3,15,23,23,40,14,133,..,0,3,0,0,0,3,5,6,4,20,..,148,634,211,202,188,281,145,95,81,1996,..,0,0,0,0,0,8,0,0,12,22,..,536,1619,378,384,364,465,271,154,247,4421,486,1379,710,53,80,91,160,64,51,100,3184,60,681,668,139,125,150,234,111,55,52,2281,3,9,10,6,8,16,35,15,14,9,120,0,4,0,0,0,0,0,0,0,4,13,60,686,677,151,132,162,277,126,79,69,2413,0,4,0,0,0,0,3,0,0,52,63,545,2072,1392,208,210,261,434,191,130,219,5655,1743,1333,1602,292,224,335,452,135,69,181,6364,264,908,1724,465,448,684,1013,361,183,130,6185,16,29,98,28,38,105,169,61,25,33,608,0,0,3,0,0,5,4,9,7,8,39,285,943
59499,..,0,0,0,0,4,6,0,23,4,32,..,0,0,0,0,0,0,0,8,0,12,..,0,0,0,0,0,0,0,7,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,13,0,18,..,0,0,0,0,0,0,0,0,0,3,..,0,5,0,0,4,5,0,31,7,54,9,12,6,0,0,3,18,15,0,0,66,3,14,0,0,0,4,9,9,4,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,4,0,0,4,9,9,4,0,53,0,0,0,0,0,0,0,0,0,6,7,13,25,7,0,0,8,30,22,6,13,124,35,20,26,5,7,19,35,16,5,8,167,5,6,16,7,11,22,79,24,15,6,180,0,0,0,0,0,0,9,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,3,6
59799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,7,3,7,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
6GHOB,..,131,281,76,56,88,89,51,33,27,831,..,58,290,161,186,207,202,82,20,33,1246,..,0,3,5,10,15,44,23,14,8,124,..,0,0,0,0,0,4,4,0,3,12,..,60,295,169,199,229,249,107,34,44,1381,..,0,0,5,0,0,0,0,0,3,11,..,190,575,251,257,320,338,163,71,73,2221,245,370,144,34,34,47,41,24,10,22,964,87,268,537,337,359,301,388,139,5,50,2464,0,0,14,11,17,14,25,8,0,0,99,0,0,0,0,0,0,0,0,0,0,4,89,271,548,347,372,316,415,149,5,50,2569,0,0,0,3,0,0,0,0,0,7,14,331,642,692,381,412,361,452,172,13,73,3540,513,292,464,171,140,151,132,56,19,42,1984,230,950,4624,1700,1592,1369,957,270,32,204,11919,6,30,136,63,64,73,72,16,4,10,473,4,0,6,3,0,8,4,0,0,4,28,240,985
6RTAS,..,92,250,52,64,62,55,27,11,41,657,..,35,223,95,76,118,129,40,8,21,754,..,0,3,5,6,8,39,17,15,8,97,..,0,0,0,0,4,4,0,0,6,14,..,38,225,100,87,132,173,52,25,34,868,..,0,0,0,0,0,0,0,0,0,0,..,124,476,157,153,198,228,86,35,71,1530,163,327,116,17,31,28,33,13,9,33,764,44,173,317,164,157,147,183,75,22,22,1300,3,3,6,4,11,8,18,11,5,3,67,0,0,0,0,0,5,9,0,0,0,12,52,182,321,168,168,156,205,81,29,26,1381,0,0,0,0,0,0,0,0,0,4,5,206,512,440,182,202,181,237,96,36,59,2149,417,204,279,82,64,91,108,64,9,49,1362,123,345,1511,694,807,716,574,217,51,87,5124,0,12,70,37,38,52,64,46,11,7,341,0,0,0,0,0,5,3,0,0,0,17,129,357
69499,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,7,0,0,0,26,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,..,119,363,89,83,84,108,36,20,39,941,..,111,510,169,207,176,244,70,12,41,1535,..,0,13,3,12,18,38,33,12,6,126,..,0,0,0,0,0,4,9,0,3,18,..,111,517,170,217,197,291,107,27,48,1686,..,0,0,0,0,0,0,0,0,0,9,..,234,888,262,300,280,392,148,46,92,2630,165,330,211,41,33,39,67,40,11,26,959,68,521,619,224,256,326,347,114,3,50,2535,4,7,4,3,3,11,14,7,0,4,55,0,0,0,0,0,0,0,0,0,0,5,72,525,625,232,255,337,365,122,4,61,2590,0,3,6,0,0,0,0,0,0,6,17,238,857,840,267,289,375,429,159,16,97,3570,508,359,619,133,112,124,160,64,21,59,2161,286,772,2347,959,932,822,662,224,36,118,7151,4,18,71,28,16,32,42,13,3,15,236,0,0,0,0,0,0,0,0,0,0,4,293,789
7RNTE,..,21,128,44,20,48,55,39,34,16,397,..,10,83,37,47,45,46,25,20,14,314,..,0,0,0,0,0,4,5,3,5,23,..,0,0,0,0,0,0,0,0,0,6,..,10,83,35,47,43,52,29,30,14,341,..,0,0,0,0,0,0,0,0,0,3,..,26,210,75,65,88,111,63,62,34,735,41,77,77,13,15,14,34,16,10,22,309,17,96,99,33,30,54,49,24,11,14,423,0,0,0,4,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,6,17,92,99,38,31,54,48,27,11,11,442,0,0,0,0,0,0,0,0,0,5,7,55,173,173,51,47,73,82,45,18,34,756,205,114,205,62,61,96,93,76,45,35,985,120,218,528,241,203,237,296,102,17,39,1997,0,5,12,4,8,11,27,7,3,5,82,5,0,0,0,0,0,3,0,0,0,9,121,222
79499,..,0,3,0,0,0,3,0,3,0,8,..,0,0,0,0,0,0,0,3,0,6,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,6,3,7,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,3,0,8,3,15,0,6,0,0,0,0,5,5,0,0,17,0,0,0,0,0,0,6,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,6,0,5,33,4,0,11,3,3,3,19,16,4,0,64,4,0,0,0,3,10,36,16,0,0,82,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0
79799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,..,371,1026,214,225,233,216,186,90,89,2650,..,375,1504,405,464,469,462,216,69,156,4134,..,0,20,8,18,37,92,62,44,34,308,..,0,3,0,6,0,9,7,5,4,41,..,378,1527,414,484,505,571,283,121,195,4482,..,0,0,0,0,0,0,0,0,9,13,..,751,2550,631,717,740,788,469,209,297,7146,1171,1325,709,91,123,94,145,82,41,76,3861,712,1718,1621,665,981,1046,926,422,61,127,8278,9,10,20,10,34,47,74,28,9,18,258,0,0,0,0,5,0,0,0,0,0,4,717,1728,1649,671,1017,1098,996,452,72,146,8547,0,4,0,0,0,0,0,0,0,26,40,1891,3052,2355,770,1137,1188,1143,544,110,248,12444,2332,829,1009,271,226,274,262,130,64,132,5529,1770,2904,6590,2241,2818,2620,1835,613,106,301,21799,25,100,264,81,142,158,148,47,13,51,1026,0,11,9,5,3,4,0,0,0,0,32,1795,3007
89499,..,0,0,0,0,0,0,0,5,0,4,..,0,0,0,0,0,5,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,5,0,5,0,5,5,6,3,0,0,0,0,0,0,0,12,0,5,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,0,3,0,0,0,23,5,0,0,0,0,4,0,0,0,0,13,0,0,9,0,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,4
89799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,..,0,3,3,6,0,0,3,0,7,22,..,6,8,7,5,0,0,0,0,5,28,..,0,3,0,0,3,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,0,..,6,13,7,4,3,0,0,0,5,35,..,0,0,0,0,0,0,0,0,0,3,..,10,11,12,9,4,0,3,0,9,58,3,0,3,0,0,0,3,0,0,0,14,6,0,11,0,0,0,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,7,29,0,0,0,0,0,0,0,0,0,20,23,7,4,11,0,0,0,3,3,0,24,58,12,8,7,0,0,0,5,3,0,8,35,14,9,20,8,0,4,5,4,0,11,61,0,0,3,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,8
99499,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
