GCCSA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
39499,41,19,18,73,204,87,19,20,519,0,0,0,0,0,0,0,0,0,17,22,57,42,79,29,26,102,271,132,26,53,827,90,40,22,15,0,0,6,0,12,9,196,23,14,28,5,4,5,4,10,10,5,103,0,5,4,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,5,24,19,32,5,4,4,3,10,18,8,123,0,0,0,0,0,0,0,0,0,25,30,114,57,54,18,6,14,10,11,29,39,350,147,34,16,0,4,5,10,3,4,7,231,18,9,11,3,0,0,0,0,6,0,42,3,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,9,7,3,0,0,0,3,3,3,56,0,0,0,0,0,0,0,0,0,21,24,167,42,26,0,4,4,16,9,12,37,310,331,32,9,0,0,0,4,4,3,13,400,30,6,0,0
39799,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,12701,4186,4706,5460,6139,2016,334,580,47856,7,7,10,9,6,8,10,3,0,84,139,8052,10960,14857,4732,5237,6102,6868,2417,461,929,60619,7969,3162,2419,391,366,407,477,257,88,309,15856,8230,14647,9758,2021,1926,2164,2089,829,192,361,42216,426,1132,1478,346,273,348,463,168,53,88,4770,18,31,9,6,3,0,0,3,0,0,74,8676,15803,11245,2365,2199,2508,2554,1000,243,459,47054,10,9,7,0,0,0,0,0,0,64,92,16651,18974,13669,2760,2567,2923,3034,1263,329,833,63004,15060,4303,2022,197,185,202,176,88,45,401,22673,9669,6421,3110,417,400,352,366,173,63,232,21211,1556,1389,1288,233,228,246,335,148,32,100,5554,25,16,10,0,5,0,5,0,0,8,58,11256,7828,4407,644,628,602,703,318,90,342,26825,7,4,0,0,0,5,0,0,0,56,76,26323,12138,6431,846,809,800,880,411,134,800,49577,29930,2291,532,59,50,37,62,43,17,620,33636,10839,1596,556,72
4RSAU,727,282,315,358,500,198,69,83,2938,0,6,0,0,0,0,0,3,4,72,80,509,577,1017,345,381,428,579,236,88,208,4368,836,416,306,56,39,42,38,20,12,57,1817,226,728,680,131,169,150,163,88,38,35,2406,14,66,121,33,33,27,36,27,7,12,372,0,3,7,0,0,0,3,0,0,0,14,239,797,803,167,201,175,202,109,45,51,2791,0,0,0,0,0,0,4,0,3,61,70,1072,1207,1107,218,240,216,245,137,61,177,4681,2602,496,212,34,31,21,35,11,10,122,3560,411,424,266,30,47,36,55,32,10,24,1335,32,103,80,10,17,14,32,13,0,13,314,0,0,0,0,0,0,0,0,0,0,6,445,522,347,39,72,48,85,44,15,46,1659,6,0,0,0,0,0,0,0,0,49,56,3053,1019,559,77,99,60,116,58,24,217,5279,6851,332,135,19,12,20,22,11,5,315,7708,607,134,70,7
49499,8,0,3,13,33,13,9,0,85,0,0,0,0,0,0,0,0,0,6,6,13,14,10,0,4,12,36,15,4,3,125,6,5,6,0,0,0,0,0,8,0,30,4,3,4,0,0,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,4,4,29,0,0,0,0,0,0,0,0,0,3,3,14,11,13,0,5,4,0,0,12,8,60,39,4,0,0,0,0,0,0,0,0,48,8,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,4,46,7,0,0,0,0,0,0,3,4,65,62,5,0,0,0,0,4,0,0,7,72,7,0,6,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,19990,5308,4983,6198,7439,2490,499,1044,69783,10,18,27,6,9,13,20,8,0,384,490,23116,25227,31886,6962,6535,7922,9551,3465,888,2333,117881,26527,14542,12704,1091,874,827,800,436,217,840,58852,17094,26895,21135,2758,2359,2341,2422,993,298,675,76970,648,2058,1915,390,377,369,425,179,62,152,6580,29,42,35,7,3,3,7,0,0,20,151,17764,28998,23085,3157,2742,2710,2858,1179,359,850,83701,25,34,22,7,3,0,3,3,0,315,418,44314,43573,35814,4263,3617,3540,3663,1615,575,1997,142972,42948,15093,7955,565,457,395,398,240,123,972,69143,18233,14814,8155,823,625,526,552,319,102,448,44603,2040,2333,1311,257,217,229,293,158,31,178,7041,33,27,13,4,0,0,6,4,0,13,113,20307,17178,9480,1083,847,753,851,483,132,646,51758,40,18,10,4,0,0,0,3,0,216,290,63293,32292,17443,1653,1301,1152,1251,724,251,1829,121189,64388,8335,3030,240,173,171,257,170,81,1035,77888,19092,4933,1776,176
5RWAU,1823,498,488,799,1182,422,218,170,6824,0,3,3,0,0,0,6,4,0,204,231,2030,2282,3432,788,716,1130,1650,563,282,557,13422,3402,2276,1635,138,117,98,119,83,25,217,8110,765,2221,2211,303,294,271,323,153,104,126,6772,30,96,105,23,26,42,33,23,9,27,417,0,5,6,3,0,3,3,0,5,3,34,795,2318,2325,329,320,313,364,175,121,155,7221,4,7,3,0,0,0,0,0,0,165,186,4204,4603,3964,465,439,416,487,258,146,535,15514,7123,1883,942,62,56,64,75,28,20,293,10551,1093,1678,977,86,99,80,86,38,27,60,4232,70,133,103,18,10,21,22,9,8,25,412,10,4,3,0,0,0,0,0,0,0,23,1173,1816,1089,101,109,98,107,45,35,85,4666,18,3,0,0,0,0,0,0,0,98,123,8318,3698,2030,171,166,165,184,74,48,481,15340,12189,1247,519,51,30,37,59,40,19,431,14626,1214,619,233,22
59499,16,8,11,19,84,28,15,4,202,0,0,0,0,0,0,0,0,0,22,26,41,26,40,11,18,38,123,47,25,40,399,41,20,22,3,0,0,0,3,7,5,103,14,13,15,0,4,0,3,0,9,0,55,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,10,14,0,4,0,3,0,12,0,62,0,0,0,0,0,0,0,0,0,35,35,54,37,38,9,4,3,4,5,14,46,202,79,13,6,0,0,3,0,0,3,3,114,15,12,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,33,33,96,23,9,0,0,8,0,0,3,38,178,150,9,3,3,0,0,3,4,0,5,183,12,3,3,0
59799,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,6,4,0,0,25,4,11,10,0,0,0,0,0,0,0,23,3,0,4,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,3,13,12,8,0,0,3,0,4,0,6,51,7,3,4,0,0,0,0,0,0,0,14,3,8,0,0,0,3,0,0,0,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,0,3,0,0,0,8,36,12,0,0,0,0,0,0,0,0,0,13,3,0,0,0
6GHOB,4770,1760,1654,1446,1030,289,34,213,12419,0,0,3,0,3,0,0,0,0,30,46,755,1276,5235,1935,1796,1598,1165,344,56,294,14447,1081,453,379,69,46,55,39,20,5,39,2193,542,1211,1496,344,316,305,252,94,25,38,4622,15,43,147,38,43,35,36,17,3,5,380,0,0,3,0,0,0,3,0,0,0,9,558,1258,1645,381,360,341,292,106,26,50,5011,0,0,0,0,0,0,0,0,0,17,20,1635,1708,2030,454,411,398,325,127,38,102,7225,2077,358,154,24,21,22,36,12,7,67,2775,617,421,188,44,44,45,41,22,3,20,1443,38,39,90,20,22,14,21,4,6,4,254,0,0,0,0,0,0,0,0,0,0,5,656,465,281,63,61,57,56,32,6,19,1700,0,0,0,0,0,0,0,0,0,7,9,2733,827,435,87,81,83,91,36,13,93,4479,3276,174,82,5,0,10,10,3,0,75,3637,676,124,45,5
6RTAS,1578,735,847,767,642,262,62,98,5484,0,0,0,4,4,0,0,0,0,5,15,547,558,1857,818,912,862,750,325,71,151,6859,1038,415,281,41,45,38,46,18,3,48,1984,255,568,680,156,148,146,177,60,20,31,2243,0,40,108,37,19,29,32,18,0,4,276,0,3,0,0,0,0,5,0,0,5,11,255,608,781,191,162,177,212,74,26,39,2524,0,3,0,0,0,0,0,0,0,0,4,1293,1023,1058,236,212,215,256,92,29,84,4514,2381,402,159,21,18,24,13,14,3,100,3137,398,309,173,30,27,25,38,10,4,14,1043,19,36,75,28,22,17,22,14,0,4,245,5,0,0,0,0,0,0,0,0,0,6,427,344,242,62,54,46,61,18,9,27,1291,10,0,0,0,0,0,0,0,0,3,7,2814,750,403,83,73,68,76,30,14,133,4436,4728,263,90,18,10,8,15,5,6,164,5319,562,116,35,16
69499,3,0,0,6,7,0,0,6,26,0,0,0,0,0,0,0,0,0,3,6,3,0,3,0,0,6,7,0,0,12,35,4,3,4,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,5,7,3,0,0,0,0,0,0,3,20,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,32,4,0,0,0,0,0,0,0,0,34,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,2416,985,951,856,704,237,35,126,7394,3,0,4,7,0,7,4,0,0,26,47,801,1148,3048,1120,1059,993,868,301,57,215,9594,868,554,471,62,54,51,53,25,14,44,2200,682,1680,1638,358,341,256,282,76,15,64,5393,33,121,116,21,17,21,32,12,0,9,384,3,6,6,0,0,0,0,0,0,3,13,716,1798,1755,385,361,277,315,90,21,77,5793,0,0,0,0,0,0,0,0,0,23,30,1588,2359,2223,450,416,330,367,109,33,143,8017,1570,305,213,30,28,20,27,7,6,64,2272,1049,853,552,80,66,47,69,12,6,43,2790,130,118,59,13,13,6,28,16,0,7,391,0,8,0,0,0,0,0,0,0,0,13,1184,978,617,86,79,59,100,30,6,54,3187,0,0,3,0,0,0,0,0,0,13,16,2750,1282,833,119,104,82,125,34,13,124,5474,2049,181,75,13,16,9,26,12,0,57,2428,1145,270,81,17
7RNTE,539,242,213,251,327,105,18,45,2095,0,0,0,0,0,0,3,0,0,8,15,328,336,740,308,272,347,426,190,65,87,3093,283,199,184,30,27,26,50,28,29,23,879,155,491,386,103,72,81,72,36,14,29,1434,3,13,16,0,5,3,0,3,3,9,56,3,0,0,0,0,0,0,0,0,0,7,160,508,404,106,76,84,76,38,20,35,1500,0,0,0,0,0,0,0,0,0,3,3,442,709,584,134,102,114,122,69,48,64,2380,536,110,85,12,16,30,33,12,10,37,882,233,240,125,38,6,14,17,5,8,21,706,11,24,14,3,5,0,3,3,0,0,66,0,0,0,0,0,0,0,0,0,0,6,241,264,139,39,11,10,25,15,8,23,775,0,0,0,0,0,0,0,0,0,0,0,777,369,230,52,31,44,52,28,17,58,1649,786,70,72,10,11,11,23,16,12,29,1040,234,95,35,7
79499,0,0,3,10,36,21,0,0,90,0,0,0,0,0,0,0,0,0,0,0,7,0,12,3,8,16,60,37,5,6,154,19,11,5,0,0,0,3,0,5,0,42,12,7,3,0,3,0,0,4,10,0,38,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,3,0,4,7,10,0,45,0,0,0,0,0,0,0,0,0,0,0,24,20,13,0,5,3,3,7,9,4,90,25,12,6,0,0,0,0,0,0,3,45,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,27,18,6,0,0,0,0,0,0,3,59,43,8,4,0,0,0,0,0,0,3,60,8,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0
8ACTE,6871,2323,2963,2780,1985,662,123,353,22862,0,3,0,7,3,8,5,0,0,48,80,4127,3840,7881,2607,3188,3065,2252,788,184,538,28470,3616,1126,870,136,106,113,126,80,47,117,6328,4669,6197,4869,769,758,671,515,257,84,137,18918,121,291,342,76,103,91,89,33,5,35,1183,5,8,10,0,0,0,0,0,0,0,23,4791,6500,5212,845,863,759,604,283,94,173,20127,0,0,4,3,4,0,0,0,0,26,44,8407,7627,6085,983,973,875,729,360,139,319,26496,5369,691,533,52,49,60,53,38,21,127,6985,5283,2212,1266,166,132,113,123,83,32,82,9495,254,283,204,36,93,63,92,42,0,27,1102,5,5,3,0,0,0,0,0,0,3,18,5544,2501,1471,202,232,173,215,122,36,113,10608,5,0,0,0,6,0,0,0,0,15,24,10920,3190,2002,253,286,233,268,164,54,254,17628,6925,301,173,19,22,22,20,25,8,96,7615,5110,566,245,27
89499,9,4,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,4,10,4,0,4,5,3,0,5,32,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,3,0,3,4,17,5,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,13,4,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,16,8,5,8,5,4,0,11,75,0,0,0,0,0,0,0,0,0,103,103,22,15,28,9,5,6,3,7,0,117,209,15,11,9,8,0,0,0,6,0,0,44,44,30,17,9,0,0,0,0,0,6,115,5,6,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,52,36,20,7,0,0,3,0,0,15,130,0,0,0,0,0,0,0,0,0,56,56,68,44,30,14,0,0,3,3,0,67,227,55,12,5,0,0,0,0,0,0,0,73,77,13,16,4,0,0,0,0,0,9,122,17,4,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,91,14,19,4,0,0,0,0,0,13,141,0,0,0,0,0,0,0,0,0,24,24,143,23,23,3,0,0,0,0,0,37,241,98,5,11,0,0,0,0,0,0,9,128,46,4,5,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
