LGA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
LGA17350,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA17400,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,10,0,0,0,0,0,0,0,4,5,6,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,13,0,0,0,7,0,20,20,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10
LGA17420,0,0,4,44,24,25,10,5,0,114,3,13,28,100,58,55,45,22,3,329,0,0,5,47,43,100,199,125,57,582,0,21,20,15,10,7,4,5,0,88,8,101,154,443,414,199,105,50,16,1490,0,0,15,75,112,124,91,54,11,480,3,50,63,265,141,143,175,83,14,939,0,0,0,10,15,32,79,66,22,233,0,0,5,23,21,21,21,10,0,97,0,0,4,34,27,16,24,6,0,107,0,5,24,172,49,11,14,0,0,271,4,3,8,16,13,33,44,37,21,181,10,97,175,297,239,224,114,49,8,1218,0,0,0,4,9,4,4,3,0,30,9,135,67,442,111,85,37,12,7,905,0,0,0,17,18,16,10,0,0,57,3,61,126,514,276,256,204,50,8,1491,0,4,0,41,33,52,68,10,6,215,0,0,0,10,6,3,0,0,0,25,0,11,16,38,49,52,68,39,12,281
LGA17550,0,0,0,0,0,0,0,0,0,3,0,4,4,35,19,11,12,19,10,107,0,0,0,27,6,7,35,28,12,117,0,9,0,24,15,4,7,0,0,63,0,0,3,3,5,0,0,0,0,17,0,0,0,0,0,0,4,0,0,7,0,0,3,6,10,17,14,5,0,50,0,0,0,0,0,5,12,12,3,35,0,0,0,0,0,5,4,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,32,0,0,0,9,8,13,56,46,16,148,3,29,60,305,248,233,238,135,39,1282,0,0,0,0,0,5,3,0,0,4,0,0,0,9,0,0,0,0,0,13,0,0,3,7,24,21,0,3,0,67,0,28,23,64,19,7,8,0,0,151,0,0,0,8,4,0,12,7,4,32,0,0,0,8,5,0,0,0,0,8,0,4,3,10,27,39,65,58,27,242
LGA17620,0,0,0,0,0,0,0,0,0,0,0,0,4,24,8,7,5,4,0,42,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,10,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,11,0,0,7,21,19,23,21,9,4,105,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,8,0,13,7,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,18
LGA17640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,5,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,13,0,0,0,10,9,12,14,5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18
LGA17650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,8,4,9,5,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11
LGA17750,10,101,101,114,45,13,8,3,0,393,0,11,3,9,11,3,0,8,0,46,0,5,0,8,4,3,14,4,3,42,0,0,3,3,4,0,0,0,0,6,0,3,0,12,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,7,3,28,0,12,9,13,5,0,0,74,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,4,0,7,8,78,21,6,0,0,0,117,0,0,16,78,3,0,0,0,0,98,0,0,4,3,3,5,12,11,3,50,6,17,13,86,43,50,30,14,4,254,0,0,0,0,0,0,0,0,0,0,0,9,6,40,8,3,0,0,0,68,0,0,4,5,7,4,0,0,0,22,0,31,25,98,36,4,0,0,0,204,0,0,0,4,0,0,0,4,0,7,0,0,3,30,0,0,0,0,0,41,0,0,5,12,10,10,11,4,5,58
LGA17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,3,5,5,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6
LGA17900,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,3,0,0,0,3,0,5,4,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,0,9,0,9,0,0,0,5,0,3,8,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA18050,0,0,0,4,4,4,0,11,0,26,0,5,6,427,76,29,13,4,8,573,0,0,11,299,37,22,24,31,27,462,0,6,5,25,22,8,10,0,0,79,0,9,8,29,6,6,3,0,0,54,0,0,0,11,12,13,6,7,0,49,0,6,0,15,17,11,7,8,4,67,0,0,0,0,0,0,13,5,8,28,0,0,0,13,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,17,4,0,0,0,0,23,0,8,4,65,12,7,9,5,5,102,11,17,25,355,197,118,55,24,8,801,0,0,0,9,0,4,3,0,0,16,0,0,0,12,0,0,5,0,0,16,0,0,0,7,13,0,0,0,0,16,0,5,18,98,30,13,3,3,0,176,0,0,5,48,12,8,36,3,10,123,0,0,0,0,0,0,0,0,0,4,0,0,5,102,45,32,20,11,0,219
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
LGA18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,3,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,7,3,6,6,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18250,0,0,0,3,4,5,0,0,3,15,0,3,0,49,46,27,14,4,3,151,0,0,3,52,16,22,36,62,40,227,13,61,56,170,133,63,29,12,0,538,4,41,55,313,119,68,39,21,4,666,0,0,5,12,19,28,19,24,3,107,3,12,39,210,107,55,66,35,15,536,0,0,0,0,0,0,0,4,0,10,0,0,0,10,3,0,4,0,0,22,0,0,0,5,5,0,0,0,0,15,0,3,79,151,11,0,0,0,0,245,0,8,5,9,19,4,9,18,3,78,3,25,61,179,166,137,76,31,9,679,0,0,0,0,5,7,3,5,3,22,0,3,6,31,13,10,3,4,0,74,0,3,0,7,26,27,15,17,9,102,5,31,26,205,75,29,18,0,0,387,0,0,0,26,9,10,15,4,9,70,0,0,0,0,0,0,0,0,0,0,0,7,6,27,26,33,17,18,9,137
LGA18350,0,0,0,3,0,4,6,0,0,5,0,3,0,20,16,16,15,20,0,91,0,0,7,14,13,20,40,26,13,120,0,0,0,0,0,3,6,0,0,13,0,0,0,12,3,0,0,0,0,24,0,0,0,4,7,4,0,4,0,16,0,6,0,9,3,12,5,3,0,35,0,0,0,0,0,4,12,8,0,31,0,0,0,0,0,4,6,0,5,17,0,0,0,0,0,3,0,0,0,4,0,5,16,192,3,0,0,0,0,217,0,0,0,6,6,10,33,23,8,87,0,10,10,57,73,85,89,54,7,380,0,0,0,3,8,4,5,0,0,21,0,0,0,17,0,3,0,0,0,25,0,0,0,0,8,0,0,0,0,16,0,12,12,54,9,3,0,0,0,97,0,0,0,4,0,5,15,5,0,35,0,0,0,0,0,0,0,0,0,0,0,4,5,10,24,35,59,44,9,185
LGA18400,0,0,4,10,8,5,4,0,0,20,0,0,0,21,17,24,19,12,0,95,0,0,0,3,5,25,43,28,14,121,0,0,0,4,0,0,0,0,0,4,0,0,0,5,5,0,3,0,0,8,0,0,0,14,22,13,11,7,0,73,0,0,0,6,4,6,0,0,0,16,0,0,0,4,6,16,49,28,3,97,0,0,0,3,0,5,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,8,0,0,0,6,4,12,19,16,4,64,0,10,12,66,63,53,34,13,4,251,0,0,0,7,0,7,4,0,0,24,0,0,0,3,4,0,0,0,0,11,0,0,0,5,4,0,6,0,0,11,0,0,6,16,0,6,4,0,0,38,0,0,0,6,7,5,7,3,0,25,0,0,0,8,0,0,0,0,0,8,0,0,4,9,22,26,28,17,10,117
LGA18450,0,35,36,63,26,23,6,7,0,202,0,18,18,58,61,29,33,23,15,262,0,5,11,53,48,143,327,278,208,1081,0,0,15,25,6,0,3,0,0,62,0,8,23,61,24,23,4,0,0,148,3,5,10,90,65,74,59,38,9,352,3,11,30,55,21,33,16,10,4,178,0,0,3,6,6,31,67,49,29,197,0,0,0,4,3,5,3,3,0,16,0,3,5,65,24,11,5,7,0,122,0,0,29,138,3,4,0,0,0,178,0,3,4,19,20,31,123,109,35,350,5,57,107,340,230,208,135,55,18,1146,3,0,12,83,183,350,442,265,80,1419,8,15,40,220,14,12,5,0,0,318,0,0,0,11,12,6,5,0,0,41,3,37,42,192,67,38,20,10,0,409,0,0,0,23,11,23,48,18,6,136,0,0,3,13,4,0,0,3,0,28,0,7,13,49,69,168,162,132,36,638
LGA18500,0,0,0,0,0,0,8,5,6,18,0,5,0,102,29,16,15,3,3,168,0,0,4,84,18,18,20,34,17,195,0,8,3,17,14,3,4,7,5,61,0,0,6,15,13,6,0,0,0,44,0,0,0,6,10,14,8,6,3,48,0,0,4,30,32,21,27,10,3,117,0,0,0,0,3,4,5,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,10,0,3,7,8,0,0,0,0,0,17,0,8,0,16,8,6,11,11,4,59,3,7,40,214,114,135,93,44,12,657,0,0,0,0,4,4,0,0,0,7,0,0,0,6,3,0,3,0,0,10,0,0,3,4,8,11,0,0,0,34,0,8,0,52,14,9,0,0,0,90,0,0,0,18,4,3,35,11,9,85,0,0,0,0,0,0,0,0,0,0,0,0,0,38,31,15,16,9,3,119
LGA18710,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,4,0,0,27,0,0,0,0,4,0,5,4,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,13,0,0,0,0,0,0,4,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,3,11,8,0,12,0,0,9,23,17,13,14,3,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,9,0,0,0,0,6,4,0,0,0,7,0,4,0,5,9,0,0,0,0,17,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,6,0,0,34
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19499,0,0,0,8,0,0,0,0,0,13,0,0,0,5,0,3,0,4,0,12,0,0,3,8,0,7,5,0,0,16,0,0,4,6,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,11,0,0,4,18,7,5,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,10,0,0,0,5,0,6,3,5,0,22,0,6,0,40,22,20,18,3,0,105,0,0,0,0,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,6,9,10,3,0,0,0,0,26,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,0,17
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,12,0,0,0,5,4,8,34,38,26,114,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,7,12,0,0,0,0,0,15,0,0,0,3,0,7,7,13,3,35,0,0,10,20,16,15,13,3,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,7,3,16,5,0,0,0,0,35,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,8,0,28
LGA20260,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,6,0,0,0,0,5,9,9,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,6,5,0,18,3,3,0,35,24,25,8,0,0,109,0,0,0,0,0,0,0,0,0,4,0,0,0,14,4,0,0,0,0,20,0,0,0,0,3,0,0,0,0,7,0,8,5,18,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,3,0,0,3,7,0,4,0,0,0,18,0,0,0,0,5,6,4,3,0,22
LGA20570,0,7,0,13,8,3,0,0,0,28,0,4,9,24,17,12,17,10,12,88,0,0,0,12,8,13,34,21,14,101,0,0,5,10,5,6,0,0,0,23,0,0,0,21,3,3,0,0,0,31,0,0,0,8,0,3,0,0,0,10,0,10,19,33,13,17,14,3,3,112,0,0,0,0,3,4,18,10,0,34,0,0,0,12,3,0,0,0,0,18,0,0,0,3,0,0,0,0,0,4,0,0,30,77,0,0,0,0,0,112,0,0,0,7,3,17,84,80,26,217,3,21,35,126,100,91,59,27,3,467,0,0,0,3,3,3,0,0,0,13,6,13,10,73,5,4,0,0,0,112,0,0,0,7,5,0,0,0,0,13,4,29,38,127,31,6,5,0,0,238,0,0,0,3,5,3,8,0,0,21,0,0,0,0,0,0,0,0,0,7,0,9,8,20,15,27,53,31,7,163
LGA20660,0,0,4,16,8,12,6,0,0,54,0,9,11,76,48,37,22,10,3,226,0,0,3,63,47,130,354,257,167,1020,0,4,10,22,16,6,7,0,0,63,0,3,9,48,20,8,0,3,0,97,0,0,5,26,31,52,43,25,6,176,0,25,41,196,65,76,67,32,3,513,0,0,0,0,3,17,35,27,3,98,0,0,3,23,6,21,10,6,0,64,0,0,6,8,3,3,0,0,0,18,0,0,31,58,5,0,0,0,0,99,0,7,3,20,16,10,33,19,10,122,3,23,63,265,150,133,60,28,8,742,0,0,0,28,33,47,60,26,6,197,0,9,16,62,17,8,4,0,0,112,0,0,0,4,16,4,0,0,0,27,0,17,20,128,46,20,19,3,0,249,0,0,0,28,14,19,29,7,10,108,0,0,0,0,7,0,4,0,0,6,0,3,3,62,33,46,63,54,9,279
