LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA15240,1832,658,3884,12794,21135,11961,9403,20551,6663,82510
LGA15270,313,85,598,3586,5491,2772,2281,4728,1732,20595
LGA15300,81,52,199,1496,2074,929,829,2567,2236,10132
LGA15350,409,71,916,5675,7825,3191,1909,4204,913,23719
LGA15520,176,91,401,1921,2737,1397,1130,2560,945,10681
LGA15560,45,16,76,536,682,345,263,660,303,2785
LGA15650,129,43,256,2296,3299,1513,1268,3314,1211,12894
LGA15700,365,72,713,2764,4487,2380,2052,4051,1461,17188
LGA15750,168,43,303,1718,2517,1203,966,2553,1208,10166
LGA15800,115,21,203,741,1076,572,432,1280,458,4551
LGA15850,52,55,173,865,1247,567,465,1150,723,5013
LGA15900,2160,813,4421,31230,42007,16862,9857,33511,8045,141514
LGA15950,468,183,1226,14889,21217,7035,3310,10899,2876,60221
LGA15990,3236,969,7243,48787,67550,29923,17480,42211,8867,214822
LGA16100,61,14,107,753,1176,562,496,984,659,4626
LGA16150,509,152,1049,6636,9585,4261,2811,8652,2189,34134
LGA16200,224,59,438,2062,2838,1412,1120,3039,955,11429
LGA16260,2030,391,4067,36598,52513,25016,18222,64879,12859,210087
LGA16350,1269,551,2713,31564,43885,20000,16533,47423,12149,171550
LGA16380,1622,523,3417,13634,20744,10246,7030,17064,4188,72905
LGA16400,857,299,1860,11083,17156,8583,6413,15314,3821,62387
LGA16490,349,83,777,11191,16402,6569,3996,9934,2849,50943
LGA16550,1391,735,3371,25978,33196,12599,7023,26864,7918,113579
LGA16610,348,140,765,3157,4751,2461,1936,4941,2007,19254
LGA16700,1399,459,3111,21158,29855,13311,8843,29658,5322,108154
LGA16900,749,397,1695,11287,16337,8054,6283,16374,3318,61655
LGA16950,1724,418,3504,15505,24741,12841,9593,21522,6983,91186
LGA17000,206,15,353,3464,5288,2648,2132,4578,1391,19501
LGA17040,255,52,483,3778,5209,2262,1557,3612,1696,18112
LGA17080,212,43,398,2077,2992,1573,1280,3071,1156,12150
LGA17100,464,54,826,6786,8613,3873,2955,14126,2474,38823
LGA17150,2722,1098,6435,39958,56386,26694,17170,39966,7502,187676
LGA17200,917,401,2037,45678,57744,15299,7248,54258,15377,195604
LGA17310,755,256,1579,9124,13196,6441,4575,13027,3994,50366
LGA17350,131,21,236,900,1261,636,544,1288,304,4939
LGA17400,108,30,211,840,1417,839,748,1377,635,5856
LGA17420,1382,389,2845,30868,43168,22092,15800,34421,4854,151213
LGA17550,1930,646,3844,15099,22152,10936,7229,19559,6331,81307
LGA17620,202,64,406,2073,3127,1415,1212,2871,890,11587
LGA17640,114,30,229,1363,1947,965,842,1345,648,7106
LGA17650,58,14,118,890,1365,763,549,989,356,4915
LGA17750,749,235,1567,11102,15125,6401,4265,13410,3550,53857
LGA17850,47,7,81,462,631,335,284,524,275,2508
LGA17900,34,23,83,568,811,367,294,1095,1145,4282
LGA17950,33,33,87,381,500,210,181,520,263,2056
LGA18020,165,75,345,1230,1736,908,792,1872,1138,7669
LGA18050,491,341,1381,14623,17453,5863,3259,12532,4053,57794
LGA18100,69,12,143,527,772,401,378,727,245,3050
LGA18200,80,17,136,1049,1427,818,602,1342,805,6027
LGA18250,949,184,1954,12928,18328,8299,5172,14203,2402,61331
LGA18350,705,314,1764,8205,12860,6934,4772,8602,2531,43908
LGA18400,277,194,766,8198,11703,6004,5064,8968,2288,42243
LGA18450,2716,874,5754,34902,49353,23330,16529,43607,9135,176857
LGA18500,616,420,1724,11608,14328,5134,2966,8835,2672,45542
LGA18710,185,39,338,2892,4497,2083,1357,2293,741,13862
LGA19399,11,4,20,172,224,123,93,150,74,840
LGA19499,23,19,49,1561,1512,614,402,2643,3376,10112
LGA19799,0,0,0,0,0,0,0,0,0,0
LGA20110,177,57,396,2000,3422,1712,1185,2020,873,11211
LGA20260,192,44,371,1654,2405,1131,1007,2435,1437,10072
LGA20570,1373,461,2877,18496,26437,11793,8272,22015,5416,92434
LGA20660,1759,267,3400,22249,31975,13958,8608,23004,4015,103806
LGA20740,574,224,1218,5842,9820,5212,3748,7273,2725,34626
LGA20830,692,168,1359,8985,13007,6406,5075,10219,2973,46666
LGA20910,1615,394,3422,19491,26172,11819,6407,16324,3409,83632
LGA21010,286,91,566,2096,3291,1736,1337,2840,1154,12460
LGA21110,2400,434,4961,33713,43951,18979,10709,28507,5101,140967
LGA21180,2049,448,3664,26826,31972,14319,12462,63331,11946,160852
LGA21270,115,66,286,875,1320,685,624,1183,555,5241
LGA21370,604,233,1273,5751,8299,4149,3278,8002,2629,32122
LGA21450,759,238,1494,18499,25062,11064,8599,22824,5380,91426
LGA21610,2428,448,4207,52978,67122,29489,23920,93017,15677,282197
LGA21670,286,66,501,1789,2668,1633,1264,3163,993,11511
LGA21750,328,82,651,3459,4870,2528,2018,4464,1348,18690
LGA21830,250,83,517,2580,3354,1869,1533,2994,1108,13433
LGA21890,1834,593,3949,27390,38735,14120,8528,30643,6795,126214
LGA22110,668,278,1516,6705,10832,6136,4907,9173,3666,41422
LGA22170,1482,541,3017,23213,32043,13398,9077,28744,6968,113444
LGA22250,210,57,409,1461,2273,1255,1015,2198,809,9007
LGA22310,2036,395,3979,28483,37879,14593,8128,28542,5215,122840
LGA22410,329,73,594,2938,4393,2378,1891,4165,1290,17065
LGA22490,151,27,258,3788,5551,2907,2326,3829,1072,19477
LGA22620,1490,477,3097,19370,27729,12908,9373,22946,6409,98733
LGA22670,2023,288,3400,21513,24200,10757,8940,56223,9170,130795
LGA22750,3401,919,6844,44387,63493,28883,19699,53382,13441,223284
LGA22830,847,211,1649,9832,13478,6211,5014,15804,4853,55188
LGA22910,197,105,467,2402,4230,2180,1591,2636,1216,14251
LGA22980,123,59,282,827,1182,640,604,1223,369,4851
LGA23110,1134,181,2115,14885,21564,8981,5866,19145,3943,74390
LGA23190,329,54,656,3271,4528,2177,1631,4068,1011,16691
LGA23270,1437,258,2473,31233,39337,17417,16349,72615,12199,189145
LGA23350,201,37,394,2508,4416,2259,1485,2561,1097,14324
LGA23430,2357,347,4401,28190,38416,15913,9585,33240,5572,130919
LGA23670,1859,428,3540,28159,37006,16240,11053,34364,5168,131987
LGA23810,1006,299,1947,10868,16199,7987,6514,16859,5206,63627
LGA23940,141,70,308,1074,1519,830,798,1558,824,6602
LGA24130,434,131,893,8123,12339,6662,4662,7028,2414,41232
LGA24210,2339,357,4558,21228,27464,13762,9624,28624,3855,104556
LGA24250,130,19,239,1591,2459,1192,877,1611,711,8430
LGA24330,682,210,1348,15069,21245,7466,4382,19238,4547,71946
LGA24410,1262,503,2883,20444,28238,12340,7603,21504,3909,94018
LGA24600,648,158,1188,31639,37972,9767,4795,43957,11382,139515
LGA24650,663,132,1154,23973,30588,13639,12349,44430,10394,135368
LGA24780,824,200,1526,8053,11251,5472,4326,13130,4197,46427
LGA24850,381,81,730,7296,10365,4731,3860,10179,2704,39135
LGA24900,561,149,1050,4540,6329,3224,2497,6776,2112,25470
LGA24970,3049,744,6204,32542,41442,18979,12543,47107,8202,160818
LGA25060,1796,237,3274,22378,29828,12117,7649,25614,4710,102281
LGA25150,360,67,628,5874,8339,3960,3055,7076,1738,30044
LGA25250,2392,498,4682,31707,43978,15521,9763,36352,7519,144853
LGA25340,2748,976,6029,27409,40190,20216,13365,31060,9188,141435
LGA25430,196,210,644,2896,5199,2854,2004,2500,1941,17402
LGA25490,165,56,381,2732,3735,2210,1666,2660,1074,14077
LGA25620,173,45,346,2232,3618,1862,1481,2564,1230,12993
LGA25710,464,79,880,11213,16174,8052,4914,9226,1638,51226
LGA25810,137,107,384,1672,2487,1343,1128,2480,1041,10147
LGA25900,593,307,1468,22653,29533,8534,4269,18709,6624,90312
LGA25990,96,30,195,1029,1600,839,766,1391,913,6546
LGA26080,49,17,175,542,928,567,284,405,227,2965
LGA26170,411,114,857,4623,6959,4027,3146,4794,1901,25444
LGA26260,314,61,585,2567,3778,1898,1536,3104,885,13766
LGA26350,1221,361,2749,24111,29278,9376,5134,19708,5077,92690
LGA26430,234,64,433,1674,2613,1343,1087,2164,955,9835
LGA26490,319,146,738,6081,9794,4646,2973,4903,1855,30258
LGA26610,282,90,597,3108,4015,1911,1580,5062,1717,17396
LGA26670,109,49,217,900,1391,783,624,1043,517,5258
LGA26700,455,136,952,4576,6917,3361,2483,5648,1611,24603
LGA26730,477,181,1065,5796,8311,3752,2480,7003,1878,29229
LGA26810,518,149,1038,6482,9752,5112,4189,8537,3812,37887
LGA26890,61,16,141,604,854,432,402,707,336,3333
LGA26980,2515,689,5471,29911,40021,17861,10832,37235,6542,142397
LGA27070,1798,521,3332,32588,41714,18569,15845,62076,9884,180685
LGA27170,438,88,846,6891,9623,4325,2961,8846,1906,34569
LGA27260,1070,249,1852,36955,51039,23554,19891,71037,15410,217884
LGA27350,652,111,1268,21995,28436,7576,3406,14611,4562,80584
LGA27450,1333,204,2677,26375,38548,18029,12320,26175,5584,127036
LGA27630,128,65,297,904,1331,748,678,1365,510,5538
LGA29399,0,0,3,139,167,57,29,232,248,869
LGA29499,12,17,29,1148,1118,391,326,1694,3270,7946
LGA29799,0,0,0,0,3,0,0,8,27,38
LGA30250,0,0,0,348,209,15,7,184,79,836
LGA30300,28,21,74,644,860,348,313,916,369,3455
LGA30370,105,55,266,2063,2754,1275,1201,2517,1643,11455
LGA30410,23,9,60,390,640,242,222,536,280,2299
LGA30450,0,0,0,46,70,19,21,69,39,266
LGA30760,25,23,56,309,400,146,170,419,147,1595
LGA30900,0,0,0,53,82,33,27,104,53,347
LGA31000,11288,2561,22497,233394,310954,121599,73202,234366,52703,1026217
LGA31750,0,0,0,67,67,22,13,90,21,278
LGA31820,1435,303,2720,14120,20712,10723,8796,22339,6283,82973
LGA31900,242,67,497,2360,3287,1654,1373,3788,1461,13927
LGA31950,0,0,3,50,53,22,22,116,84,354
LGA32080,1216,417,2457,26548,36624,14929,10150,33453,13391,135099
LGA32250,5,4,11,331,343,114,104,531,227,1643
LGA32260,378,96,738,4054,5839,2929,2517,6050,2678,24064
LGA32270,78,49,190,4032,5414,2279,2072,4721,2833,21345
LGA32310,143,45,258,1587,2098,1084,943,2379,1402,9488
LGA32330,3,0,5,146,172,95,92,231,30,775
LGA32450,13,4,25,542,666,258,216,725,523,2933
LGA32500,9,3,24,634,801,326,338,891,741,3730
LGA32600,0,0,0,34,59,16,8,68,33,219
LGA32750,0,0,0,45,42,12,8,67,60,235
LGA32770,0,0,4,325,305,31,6,228,59,952
LGA32810,82,25,184,1878,2781,1250,935,2287,1361,10488
LGA33100,0,0,7,92,125,58,77,154,92,600
LGA33200,21,7,31,197,268,112,110,354,181,1219
LGA33220,1654,475,3229,15486,23563,12563,10428,24642,7550,94237
LGA33360,327,113,679,9073,13653,6144,5181,11663,4153,49868
LGA33430,6162,2332,12805,107368,139984,59550,39646,132072,36544,515153
LGA33610,118,24,241,1537,2125,925,768,1956,839,8152
LGA33620,635,133,1204,7848,11314,6220,5323,10250,3473,44425
LGA33800,229,75,454,1497,2232,1164,1124,2371,892,9278
LGA33830,3,0,6,144,132,57,124,164,57,686
LGA33960,1192,414,2575,33535,47745,20502,15527,45876,12375,175559
LGA33980,49,21,100,2789,3900,1483,1324,3564,4297,17356
LGA34420,0,0,0,275,58,50,138,97,175,795
LGA34530,373,106,753,5709,8530,4293,3236,6852,3646,32261
LGA34570,6,0,6,135,83,68,32,88,58,467
LGA34580,310,117,660,5908,8358,4296,3574,8344,2792,33276
LGA34590,2347,555,4118,50168,67965,29983,23333,76233,19861,267553
LGA34710,50,12,88,589,801,268,237,658,407,2966
LGA34770,978,319,1979,18280,25523,10995,9013,23139,10237,97190
LGA34800,0,0,5,119,145,41,50,173,162,689
LGA34830,0,0,0,107,42,29,40,32,58,309
LGA34860,85,63,229,1949,2494,1103,895,2393,1282,10105
LGA34880,204,62,470,3033,4525,2270,1904,4035,3249,19025
LGA35010,4394,1139,8506,76600,108287,49391,35331,90426,21856,381884
LGA35250,0,0,0,137,69,36,35,418,90,778
LGA35300,51,26,114,2748,3664,1384,1080,3730,1739,14341
LGA35600,60,18,111,624,733,313,281,895,433,3275
LGA35670,0,0,0,87,169,18,19,127,207,631
LGA35740,686,292,1611,8867,13998,7343,4874,9641,3229,47949
LGA35760,149,38,291,1344,1941,986,980,2199,1022,8475
LGA35780,0,0,3,462,394,105,127,483,248,1814
LGA35790,0,0,0,451,208,101,48,519,120,1444
LGA35800,25,0,33,201,323,140,99,449,103,1321
LGA36070,0,0,0,49,87,102,116,41,81,471
LGA36150,7,0,13,130,148,50,58,136,40,559
LGA36250,1653,795,3799,27483,38760,18115,11631,28593,6263,130844
LGA36300,3,4,6,111,128,70,52,122,116,604
LGA36370,841,315,1776,12150,16903,7405,5657,17324,5894,65325
LGA36510,427,162,971,6201,9472,5153,4155,7503,2943,35432
LGA36580,169,57,351,3470,5022,2756,2582,5010,1629,20459
LGA36630,396,114,820,4403,6577,3473,3248,6852,2817,27370
LGA36660,490,116,1004,5281,7692,4182,3446,6843,2609,30056
LGA36720,4392,1251,9058,56396,82551,39197,26054,61606,17247,283049
LGA36820,327,154,715,3652,5518,2998,2649,4521,2456,21794
LGA36910,2245,542,4381,27450,38439,17272,13086,34209,8839,139300
LGA36950,10,0,10,547,550,168,173,837,250,2523
LGA36960,8,0,9,777,591,280,225,715,202,2801
LGA37010,1347,350,2647,30610,43021,17410,12138,38388,14230,155798
LGA37300,4,0,10,587,832,289,205,690,432,3047
LGA37310,295,104,625,4798,6440,3060,2809,6506,2989,26596
LGA37340,274,58,503,5653,7537,3270,2488,7819,4008,30777
LGA37400,11,0,19,175,233,73,65,222,170,936
LGA37550,0,0,0,313,102,24,11,164,49,663
LGA37570,0,0,0,70,15,0,0,107,9,199
LGA37600,0,0,5,1125,127,83,113,231,81,1757
LGA39499,24,11,44,2216,2411,933,689,3525,3463,13234
LGA39799,0,0,0,6,6,3,0,34,135,183
LGA40070,200,75,425,5442,6295,1839,902,7052,2053,23578
LGA40120,310,73,768,7137,11163,5593,3549,4568,1528,33530
LGA40150,38,11,98,1558,2144,1059,825,1831,576,7993
LGA40220,471,86,941,4494,7220,3930,2790,4844,1398,24672
LGA40250,8,3,17,437,536,256,94,245,213,1775
LGA40310,357,62,671,4192,6392,3174,2168,3787,964,20672
LGA40430,67,11,107,357,552,299,296,557,180,2248
LGA40520,191,42,358,1603,2373,1182,850,2247,576,8818
LGA40700,732,81,1609,8802,11939,5714,3160,7668,998,38283
LGA40910,959,175,1929,9565,13027,5843,3809,11991,1660,45893
LGA41010,29,7,53,499,784,395,241,614,255,2792
LGA41060,2073,231,3732,22045,29473,12424,7765,27295,4389,103394
LGA41140,147,29,260,1464,2229,1123,846,1465,532,7658
LGA41190,27,8,58,263,363,168,201,271,131,1402
LGA41330,4,14,29,194,284,114,94,389,298,1382
LGA41560,264,88,527,2127,3275,1793,1474,3214,1037,12925
LGA41750,8,0,20,140,211,136,91,157,70,810
LGA41830,32,3,52,203,373,184,153,344,147,1407
LGA41960,14,4,35,188,272,161,132,219,119,1091
LGA42030,384,117,831,4068,5944,2670,1857,5079,998,20619
LGA42110,53,10,107,601,944,471,420,712,274,3428
LGA42250,46,44,133,1256,1854,1005,689,1153,1216,7174
LGA42600,832,94,1548,7353,10326,4297,2231,7123,1275,32610
LGA42750,46,28,119,705,1228,660,471,656,398,4112
LGA43080,18,0,41,172,205,115,94,178,82,844
LGA43220,19,11,39,140,232,127,90,154,76,811
LGA43360,45,7,86,326,552,287,241,470,133,2001
LGA43650,112,18,211,2700,3663,1835,1326,2460,628,12616
LGA43710,47,4,83,848,1335,741,571,724,501,4727
LGA43790,207,46,392,1722,2620,1354,1001,2210,751,9656
LGA44000,0,0,0,23,13,4,0,9,32,79
LGA44060,1499,190,2729,17210,24020,9983,6126,19219,2890,79439
LGA44210,105,24,214,1264,1935,1170,910,1777,938,7988
LGA44340,1067,148,2220,12590,18461,8642,4555,10095,1623,55966
LGA44550,398,52,740,6880,10234,4604,3099,5346,1412,31567
LGA44620,378,125,802,4341,6178,2778,1976,5342,1373,21984
LGA44830,47,4,83,407,662,351,320,501,226,2471
LGA45040,305,65,615,3223,4530,2297,1684,4584,1669,17978
LGA45090,105,32,220,1407,1959,924,673,1557,540,7057
LGA45120,60,13,130,711,1051,537,486,712,256,3744
LGA45290,677,118,1377,7325,9993,4077,2186,7278,1294,32147
LGA45340,1973,450,3887,30248,43282,19458,12894,31637,6627,144158
LGA45400,23,9,49,124,206,90,92,151,62,726
LGA45540,19,13,49,188,312,161,147,416,211,1432
LGA45680,830,247,1574,14467,18902,8205,6831,23008,5101,76510
LGA45890,1723,204,2988,21603,29224,11967,8224,32958,6122,110095
LGA46090,121,27,250,1734,2610,1267,920,3232,1523,11285
LGA46300,225,43,432,2150,3265,1555,1041,2942,844,11810
LGA46450,270,44,521,2287,3602,1834,1552,4021,934,14237
LGA46510,240,39,474,4111,5859,2451,1243,4059,691,18413
LGA46670,138,25,275,1515,2106,1100,722,2154,598,8193
LGA46860,16,0,30,247,377,226,152,250,81,1330
LGA46970,5,0,3,541,817,305,243,664,384,2952
LGA47140,1376,334,2607,22512,28827,12491,9669,38037,5904,117440
LGA47290,41,6,69,337,426,197,161,380,142,1650
LGA47490,29,10,59,298,459,257,205,376,154,1749
LGA47630,85,11,172,1172,1553,709,518,1190,507,5648
LGA47700,1311,192,2482,17805,25165,11281,7199,19536,2729,83710
LGA47800,71,23,142,811,1170,629,521,943,504,4582
LGA47910,56,8,117,409,675,329,272,478,167,2337
LGA47980,935,117,1572,7563,10563,4561,2278,6727,956,32648
LGA48050,455,88,909,2439,3895,2351,1592,3197,671,14148
LGA48130,104,17,184,1018,1411,762,652,1300,350,5500
LGA48260,183,22,339,1565,2026,959,493,1511,269,6828
LGA48340,160,31,305,1699,2705,1494,1069,2210,789,9964
LGA48410,1224,139,2317,11564,15319,6046,3807,13986,2021,52740
LGA48540,242,58,451,2858,4483,2120,1656,5005,1322,17446
LGA48640,18,14,48,198,205,115,116,166,92,894
LGA48750,82,12,174,794,1483,869,632,964,308,5038
LGA48830,192,70,427,1591,2520,1588,1300,2204,839,10037
LGA49399,9,3,25,427,581,224,231,653,460,2580
LGA49499,4,0,11,491,536,178,137,868,763,2975
LGA49799,0,0,0,0,0,0,0,4,5,12
LGA50080,512,123,1164,6167,9131,4289,3292,6779,2303,31970
LGA50210,478,146,1006,14130,18991,8143,6972,19490,4369,72096
LGA50250,0,0,10,980,1243,523,393,1333,1204,5670
LGA50280,129,34,286,2652,3919,1917,1412,2300,1165,13368
LGA50350,179,35,360,2766,4013,1591,1041,2942,776,13129
LGA50420,813,197,1634,12588,16499,6306,4377,15352,3137,58257
LGA50490,434,144,902,7387,8886,3139,2418,10859,2847,35533
LGA50560,23,13,58,230,372,202,190,297,203,1491
LGA50630,5,3,20,235,359,162,167,278,132,1333
LGA50770,17,8,35,259,369,205,203,268,170,1469
LGA50840,43,10,104,702,1167,688,640,811,360,4367
LGA50910,29,0,41,129,178,97,87,200,72,770
LGA50980,35,17,75,2689,3428,1228,852,2646,2132,12969
LGA51080,7,0,13,170,188,105,102,151,102,816
LGA51120,12,9,26,142,174,92,78,182,138,798
LGA51190,455,156,968,5187,7214,3294,2422,6928,2493,27536
LGA51260,483,107,1045,6577,9461,4659,3426,6656,2239,33019
LGA51310,448,87,969,5838,7318,3270,1997,3927,867,23216
LGA51330,745,155,1591,16477,19864,8545,6638,22925,4012,78459
LGA51400,54,20,136,2885,4097,1843,1555,2951,812,14148
LGA51470,5,0,11,87,122,64,36,81,79,473
LGA51540,31,15,70,695,1068,413,297,1038,762,4280
LGA51610,6,0,9,219,327,161,144,209,160,1226
LGA51680,35,14,77,885,1300,679,583,947,432,4820
LGA51710,0,0,4,198,275,116,79,309,423,1406
LGA51750,218,67,529,2426,2864,1160,733,1813,516,9513
LGA51820,790,329,1811,20769,26814,10521,7994,24012,5017,95118
LGA51860,5,0,11,71,85,22,19,176,89,467
LGA51890,54,55,183,1149,1726,942,952,1814,663,7239
LGA51960,9,6,14,373,580,271,237,673,657,2789
LGA52030,6,12,23,146,229,119,100,186,137,922
LGA52100,23,6,42,172,246,119,93,149,58,833
LGA52170,74,42,219,1703,2062,916,577,1105,358,6722
LGA52240,3,3,15,184,201,122,122,157,95,882
LGA52310,4,0,12,153,202,109,74,139,72,756
LGA52380,0,0,0,21,42,13,12,81,36,209
LGA52450,12,4,27,214,231,119,138,240,99,1039
LGA52520,9,4,36,203,242,96,113,235,186,1081
LGA52590,16,10,65,502,736,378,320,627,326,2885
LGA52660,116,96,347,2219,3255,1484,1303,2620,817,11691
LGA52730,51,15,155,921,1535,862,613,797,494,5225
LGA52800,19,4,29,1538,1062,352,284,1125,1112,5466
LGA52870,63,9,127,865,1352,827,703,1022,367,5132
LGA52940,3,0,10,112,142,54,79,121,52,557
LGA53010,0,0,0,84,151,66,60,85,96,540
LGA53080,5,0,3,79,116,58,45,172,127,600
LGA53150,144,40,254,1530,2051,840,526,1177,309,6439
LGA53220,3,0,13,1152,1455,550,482,2292,2256,8186
LGA53290,120,26,284,2290,2946,1356,1059,2266,1246,11164
LGA53360,10,3,16,588,704,269,213,481,270,2523
LGA53430,423,112,849,6348,8612,3202,1943,5326,1921,27353
LGA53570,37,4,88,792,1151,597,631,1163,448,4781
LGA53640,5,0,8,206,229,123,144,173,82,952
LGA53710,11,6,24,141,182,97,93,165,109,792
LGA53780,940,296,1869,18898,23591,10152,8748,31561,7145,100107
LGA53800,371,151,839,5673,8338,3687,3042,7482,3408,31634
LGA53920,5,3,11,547,580,291,167,696,408,2685
LGA53990,162,38,400,4290,6414,2995,2557,5014,1339,22603
LGA54060,31,14,78,468,776,430,377,697,377,3126
LGA54130,0,4,12,182,262,131,125,128,86,911
LGA54170,1381,252,2782,29564,39113,17264,11295,27904,5025,130156
LGA54200,588,145,1292,9854,13520,6082,4655,10822,2469,47399
LGA54280,115,35,202,4332,5732,2169,1760,6048,2781,22815
LGA54310,4,4,12,3031,4329,1538,1295,3286,3076,16560
LGA54340,46,20,100,605,727,385,277,919,367,3271
LGA54410,26,5,46,170,198,92,104,288,139,992
LGA54480,0,0,0,66,97,42,35,75,49,370
LGA54550,29,7,54,313,407,190,165,317,138,1532
LGA54620,10,6,18,151,166,92,60,149,85,702
LGA54690,0,0,6,50,83,35,35,84,14,302
LGA54760,9,6,11,117,159,75,71,106,74,605
LGA54830,227,35,416,6575,8751,3582,3234,9983,3329,35457
LGA54900,6,6,13,217,280,128,114,192,90,1017
LGA54970,0,0,5,145,155,66,41,353,446,1197
