LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA25250,17327,34821,244,1479,1587,7421,206,969,11108,41765,13140,51639,921,3980,1510,5314,2877,9634,5314,18928,18455,70569,46,229,343,1112,100,330,1898,4598,2390,6272,301,1015,702,1631,2784,6223,3793,8868,6185,15142,1092,2290,43053,122819
LGA25340,21049,42114,268,1426,1841,8417,420,1859,9401,36821,11928,48520,1022,4304,1672,5739,3546,11298,6240,21335,18170,69854,84,345,524,1698,209,731,2348,6025,3166,8801,288,907,749,1681,2726,5874,3766,8459,6932,17260,473,974,46625,130203
LGA25430,2725,5435,15,99,180,812,42,188,985,3749,1223,4851,57,248,162,515,359,1125,573,1888,1798,6735,6,35,62,200,20,63,334,821,420,1118,31,80,97,198,308,649,438,925,864,2041,63,135,5449,14348
LGA25490,2189,4364,46,267,211,1009,59,274,1033,4200,1350,5743,88,361,162,534,348,1113,597,2003,1950,7749,10,49,40,124,24,84,219,585,285,842,18,55,45,87,228,499,293,640,579,1480,58,130,4775,13727
LGA25620,2131,4239,28,155,121,560,41,181,721,2822,916,3715,69,270,117,381,313,985,501,1636,1414,5353,11,34,46,179,11,53,155,420,225,681,16,48,50,112,247,520,309,683,536,1359,31,72,4120,11024
LGA25710,6103,12239,147,815,994,4531,144,632,4462,17540,5751,23524,772,3314,1048,3784,2148,7054,3970,14151,9717,37674,20,83,146,447,53,158,598,1491,816,2175,172,516,274,635,818,1823,1263,2985,2078,5160,133,273,18028,55350
LGA25810,1550,3061,17,94,101,474,30,117,534,2152,681,2829,43,178,65,199,259,800,364,1178,1042,4006,0,3,20,71,21,71,173,478,216,627,17,60,36,83,168,354,229,498,440,1121,56,121,3084,8317
LGA25900,12949,25665,43,251,631,2814,54,236,5034,18284,5759,21578,237,963,949,3205,796,2486,1983,6657,7752,28237,14,58,165,508,44,142,1178,2612,1401,3318,97,282,544,1151,966,2001,1607,3441,3005,6754,545,1123,24252,61774
LGA25990,1050,2101,15,77,81,374,16,73,327,1291,429,1808,24,103,48,156,140,428,208,689,641,2498,0,11,14,49,14,52,105,290,134,393,7,24,10,27,140,292,160,345,299,734,20,43,2004,5377
LGA26080,608,1198,0,10,24,105,0,19,113,441,141,574,10,48,35,113,63,189,103,344,249,917,0,6,8,21,0,0,24,50,29,78,0,0,19,34,38,75,54,113,84,192,9,15,944,2322
LGA26170,4125,8182,64,367,335,1578,83,400,1524,6188,2007,8532,146,594,241,797,635,1964,1012,3364,3026,11894,16,68,73,251,32,102,446,1177,568,1603,50,145,90,204,395,822,530,1175,1094,2776,80,171,8329,23026
LGA26260,2103,4172,25,145,172,815,39,171,875,3537,1109,4658,58,239,135,421,329,1019,521,1676,1631,6341,13,42,52,160,26,85,231,615,311,898,25,73,50,109,233,495,311,679,618,1574,62,117,4414,12205
LGA26350,12710,25299,51,282,948,4249,42,185,4972,18486,6017,23205,515,2162,1425,5062,1222,3914,3170,11132,9180,34341,15,65,199,625,24,90,925,2111,1163,2889,132,398,559,1271,1088,2285,1779,3960,2941,6845,668,1367,25493,67848
LGA26430,1655,3294,14,86,71,316,33,130,504,2003,617,2543,45,181,79,263,218,667,343,1117,958,3652,5,38,27,94,12,29,165,425,203,583,16,42,37,71,209,437,259,549,458,1135,43,96,3119,8179
LGA26490,4337,8622,49,269,522,2362,88,390,2770,10868,3439,13889,201,835,439,1476,627,1971,1264,4284,4700,18176,9,34,109,339,14,49,406,994,536,1419,47,155,127,279,355,766,535,1195,1070,2608,82,161,10195,29569
LGA26610,2346,4696,38,234,190,942,47,222,1210,4860,1493,6251,84,353,138,440,376,1195,594,1990,2086,8241,15,74,65,241,34,104,347,972,455,1392,16,40,53,123,273,593,341,758,796,2155,103,215,5326,15310
LGA26670,938,1851,7,53,58,272,14,72,309,1248,398,1649,16,76,42,138,111,323,172,538,567,2182,0,4,7,38,8,42,61,144,82,231,8,19,14,32,60,125,79,180,165,414,11,29,1679,4468
LGA26700,3660,7305,45,246,334,1561,73,340,1609,6376,2062,8523,149,623,232,761,552,1737,942,3122,3002,11641,19,102,96,336,57,211,508,1327,680,1964,25,74,122,264,458,1001,606,1337,1295,3305,99,190,8054,22442
LGA26730,3959,7917,72,413,344,1575,91,433,1963,7637,2470,10049,174,743,282,941,727,2319,1185,4000,3654,14046,14,78,117,398,55,194,670,1713,861,2391,71,207,129,267,594,1310,787,1779,1650,4167,161,329,9426,26461
LGA26810,5690,11335,85,456,409,1949,153,680,2357,9367,3001,12448,202,827,348,1129,814,2570,1365,4526,4370,16975,20,86,126,448,76,278,692,1859,911,2675,66,215,137,288,646,1365,844,1871,1756,4544,163,337,11979,33189
LGA26890,555,1101,4,18,32,128,3,20,220,892,258,1061,16,51,20,68,66,209,105,331,359,1389,0,3,9,24,10,29,38,121,55,184,6,16,5,9,49,104,55,129,112,309,13,26,1034,2822
LGA26980,16427,33123,180,993,2198,9739,209,895,11458,43370,14048,55005,1294,5504,2877,10328,3410,11029,7581,26859,21628,81867,36,167,458,1468,95,328,1711,4199,2314,6166,350,1124,1155,2645,2573,5577,4080,9345,6392,15515,897,1894,45342,132396
LGA27070,18149,36843,504,2941,3104,14693,669,3131,18591,72316,22867,93081,1840,8042,2214,7927,5965,19999,10017,35969,32887,129056,158,739,742,2616,327,1230,3303,8976,4521,13557,581,1954,996,2339,4241,9738,5815,14032,10340,27585,967,2075,62337,195556
LGA27170,4545,9078,81,468,432,2043,128,570,2725,10645,3374,13725,204,837,288,980,762,2432,1257,4252,4628,17977,37,181,170,604,83,286,985,2668,1268,3737,82,272,192,421,676,1432,947,2127,2219,5867,163,332,11551,33254
LGA27260,19726,40230,735,4563,3953,18945,737,3629,29746,114337,35166,141472,1639,7201,2780,9694,4696,15634,9114,32527,44282,174002,234,1299,877,3376,360,1434,4409,12407,5875,18514,560,1973,1055,2469,3417,7796,5027,12239,10902,30753,1231,2732,76145,247717
LGA27350,11558,23006,19,89,461,2032,51,219,4050,14742,4575,17081,229,939,722,2440,736,2320,1678,5698,6254,22778,18,77,167,530,40,158,950,2290,1173,3062,82,254,372,820,965,2073,1423,3144,2598,6206,621,1276,21026,53266
LGA27450,16483,33091,338,1896,1896,8827,501,2317,10653,41558,13394,54597,1308,5625,1520,5266,4362,14229,7190,25123,20583,79721,72,287,450,1514,200,687,2078,5285,2796,7781,383,1242,634,1424,2660,5865,3673,8531,6465,16309,446,940,43981,130055
LGA27630,906,1801,7,51,68,328,15,72,278,1125,369,1582,14,65,46,144,106,331,166,536,537,2116,5,19,26,99,11,30,84,251,121,394,6,17,24,47,98,218,125,279,246,675,22,46,1715,4635
LGA29399,39,80,0,0,0,12,0,0,15,54,16,66,4,12,5,3,4,10,11,26,24,92,0,0,0,0,0,0,9,15,9,15,0,0,5,3,7,9,5,14,13,27,0,0,79,198
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,52,122,0,4,3,23,11,71,53,208,72,308,0,3,0,0,23,91,23,100,92,408,0,9,0,0,13,67,52,149,65,225,0,3,0,5,25,79,30,86,91,313,18,45,262,889
LGA30300,463,910,7,46,43,158,17,76,237,935,306,1214,14,48,27,82,82,254,130,382,436,1599,0,4,12,40,14,53,95,278,121,379,0,5,7,10,49,97,59,121,178,498,21,45,1098,3047
LGA30370,1537,3021,30,152,155,661,49,218,939,3808,1178,4837,48,181,91,258,251,764,384,1201,1557,6037,10,26,37,120,17,48,195,534,248,726,9,35,18,46,145,300,171,377,421,1108,48,108,3569,10273
LGA30410,318,614,3,14,29,123,5,22,161,613,195,769,3,14,29,66,46,136,73,218,266,985,0,9,6,24,3,23,36,103,48,160,0,5,10,17,36,72,48,93,96,253,10,28,694,1885
LGA30450,31,64,4,5,0,5,0,6,16,65,22,81,0,0,0,0,0,0,0,0,28,80,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,17,7,19,6,22,0,6,66,172
LGA30760,277,532,0,4,14,61,6,19,103,397,122,479,10,28,12,24,34,110,52,160,179,638,0,6,0,3,5,10,26,80,31,98,0,0,4,6,25,49,26,55,57,153,3,4,519,1330
LGA30900,38,73,0,0,0,6,0,3,24,108,31,115,0,0,0,0,3,16,7,19,35,131,0,0,0,0,0,15,10,43,12,53,0,0,3,5,3,14,9,17,22,69,0,0,92,276
LGA31000,124995,250696,1750,10165,14778,67584,2185,10000,84683,322984,103394,410738,6750,28720,15215,53361,20508,65910,42478,147993,145869,558724,525,2566,3481,11491,1118,3993,17505,43850,22628,61900,2023,6463,6097,13647,16014,34932,24144,55050,46766,116948,7194,15078,324833,941446
LGA31750,33,63,0,0,9,20,0,10,21,88,29,117,0,0,0,10,0,9,3,13,35,130,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,0,0,0,7,7,0,0,71,208
LGA31820,13313,26573,171,965,900,4191,369,1732,4443,17380,5892,24270,314,1297,647,2132,1878,5868,2839,9299,8732,33571,74,369,323,1119,261,961,1974,5553,2629,8003,142,442,305,674,1684,3682,2127,4794,4756,12793,379,797,27173,73729
LGA31900,2120,4207,20,119,180,834,48,198,821,3215,1066,4360,77,286,104,329,364,1137,545,1746,1609,6107,11,53,40,151,37,148,236,643,326,1004,10,20,45,81,240,521,291,629,619,1635,64,125,4417,12068
LGA31950,41,75,0,0,0,0,0,9,19,70,20,89,0,0,0,5,5,22,4,26,26,110,0,0,0,0,0,5,0,5,0,10,0,0,0,0,4,12,4,12,6,27,0,6,74,214
LGA32080,16854,33506,304,1732,1700,7774,545,2605,9590,36647,12136,48757,605,2469,1302,4168,2458,7692,4362,14326,16499,63084,144,682,675,2301,343,1261,3773,10092,4937,14341,244,778,751,1616,2493,5477,3491,7873,8427,22216,700,1463,42472,120271
LGA32250,186,364,0,7,8,19,8,51,106,416,122,494,0,0,0,5,21,67,24,73,143,573,0,14,0,0,18,85,66,218,85,311,3,3,0,0,28,73,30,78,121,392,16,38,468,1365
LGA32260,3628,7204,49,306,231,1094,106,496,1424,5601,1814,7495,80,320,160,501,513,1635,751,2454,2562,9949,17,97,84,312,71,294,493,1444,672,2152,26,82,84,190,442,946,544,1221,1222,3372,126,269,7541,20793
LGA32270,2603,5053,44,225,349,1575,104,439,2007,8041,2505,10283,86,325,185,545,395,1188,665,2060,3171,12340,11,39,65,247,43,174,465,1277,585,1747,16,61,61,134,236,490,318,678,897,2428,87,185,6763,20008
LGA32310,1262,2451,24,126,108,481,51,212,493,1941,670,2763,28,127,65,188,180,511,277,826,945,3591,8,29,44,166,23,87,257,711,329,993,11,37,32,73,158,323,204,437,533,1429,58,119,2802,7588
LGA32330,29,61,0,7,6,31,9,49,45,200,61,288,0,3,0,0,15,52,19,55,73,343,0,18,5,21,19,78,94,350,117,462,0,7,8,12,28,77,36,95,156,555,11,39,269,1000
LGA32450,262,518,5,32,25,105,11,48,197,797,230,978,14,32,10,28,38,108,55,174,291,1156,0,4,10,57,13,56,49,137,79,254,3,17,3,3,30,74,43,97,116,351,18,45,689,2067
LGA32500,423,853,3,16,28,114,26,114,203,786,253,1033,9,42,10,35,55,156,73,237,332,1271,0,0,10,23,17,60,84,237,108,323,0,0,10,22,59,138,67,157,180,481,18,42,950,2648
LGA32600,17,41,0,0,3,8,0,8,16,58,23,72,0,0,0,3,0,10,3,14,21,83,0,0,0,0,0,5,6,21,6,27,0,0,0,0,4,5,0,11,15,34,3,5,53,160
LGA32750,28,59,0,0,0,0,0,0,11,34,11,34,0,0,0,0,3,7,6,10,13,38,0,0,0,0,0,3,5,11,6,9,0,0,0,0,3,8,0,4,8,19,3,3,51,119
LGA32770,53,115,3,25,5,32,26,183,91,435,128,675,3,14,0,5,18,73,23,90,150,768,0,6,4,17,14,53,46,158,65,237,0,3,0,6,14,60,21,66,83,301,11,34,305,1215
LGA32810,1594,3158,9,62,87,409,27,128,566,2179,699,2775,39,153,58,168,180,546,273,873,970,3652,3,31,32,104,24,88,185,489,248,716,7,26,27,68,142,308,181,396,427,1121,51,99,3042,8025
LGA33100,85,170,0,4,6,22,4,7,31,126,46,162,0,3,0,0,8,28,13,34,54,196,0,0,0,0,0,0,6,18,6,18,0,0,0,0,5,11,5,11,14,30,4,10,161,403
LGA33200,165,330,6,17,5,20,5,22,86,330,97,388,3,18,6,12,16,49,29,85,129,467,0,0,0,15,0,11,18,56,25,84,0,6,0,6,18,31,18,42,42,124,0,4,344,931
LGA33220,16218,32387,184,1030,929,4314,417,1932,4473,17499,5992,24771,340,1407,585,1866,2087,6511,3008,9788,9002,34566,91,438,369,1323,264,973,2247,6209,2972,8938,109,356,367,794,1998,4317,2481,5463,5449,14401,411,846,31087,82195
LGA33360,6829,13431,130,729,766,3489,238,1066,4113,16169,5242,21456,245,995,529,1630,997,3039,1773,5665,7021,27122,41,197,233,850,120,454,1385,3832,1782,5321,62,193,208,433,749,1573,1020,2201,2798,7524,202,412,16846,48482
LGA33430,67562,135607,997,5545,6704,30671,1949,8890,38210,146181,47857,191284,3107,13048,6032,20402,11970,38280,21111,71729,68969,263014,358,1659,1986,6640,972,3455,11236,28982,14552,40730,1112,3562,2990,6697,10216,22245,14325,32512,28880,73243,2515,5232,167929,477094
LGA33610,1149,2262,22,104,110,458,42,207,649,2553,821,3323,23,74,79,200,141,430,241,702,1061,4028,0,3,28,102,26,105,194,538,246,746,9,26,21,44,117,253,152,323,399,1073,37,78,2644,7441
LGA33620,7216,14364,112,675,477,2292,217,1017,2428,9637,3245,13619,166,678,332,1077,1087,3360,1590,5121,4834,18736,41,176,183,633,104,397,989,2730,1313,3930,58,187,183,393,950,2019,1188,2595,2504,6523,170,353,14713,39979
LGA33800,1608,3189,22,106,91,404,32,135,445,1812,587,2459,31,133,76,238,229,693,339,1066,929,3521,3,10,26,105,17,70,152,433,199,619,18,65,23,47,167,353,208,454,413,1072,30,66,2981,7848
LGA33830,43,94,5,23,0,7,16,75,62,249,79,347,0,3,0,0,7,24,6,29,83,377,0,18,3,17,5,28,39,143,52,201,0,9,0,5,32,78,37,86,89,288,18,34,227,795
LGA33960,19309,38805,654,4005,2559,12477,1005,4875,15890,62701,20111,84058,1050,4536,1675,5651,4209,13702,6932,23891,27037,107948,252,1298,985,3627,642,2507,5957,16819,7835,24256,414,1369,883,1969,3829,8594,5119,11932,12959,36189,983,2108,60293,185053
LGA33980,1674,3253,29,143,209,949,68,306,1522,6023,1828,7427,62,234,117,355,258,781,434,1365,2265,8790,11,42,38,133,29,103,323,852,400,1127,11,36,26,54,121,250,161,339,564,1466,52,102,4551,13616
LGA34420,52,110,0,12,0,14,20,115,46,189,67,329,0,5,0,0,13,60,15,64,81,389,0,10,3,7,18,91,44,140,69,246,3,6,4,3,26,72,36,88,100,332,20,42,245,881
LGA34530,4957,9686,87,451,432,1965,166,728,2181,8465,2864,11617,186,736,264,832,795,2400,1247,3969,4114,15576,29,137,104,358,59,214,600,1604,799,2314,53,174,115,250,497,1066,664,1485,1465,3799,113,236,10646,29295
LGA34570,27,55,0,6,4,14,11,65,30,118,41,206,0,5,0,0,4,7,0,11,48,222,0,0,0,6,7,38,27,81,36,125,5,4,0,5,14,41,16,52,50,176,8,16,134,480
LGA34580,4524,9055,100,601,470,2270,171,797,2307,9108,3052,12777,157,663,277,884,883,2759,1316,4309,4368,17085,38,167,147,570,91,343,735,2082,1012,3167,59,203,117,257,654,1443,826,1907,1836,5068,163,346,10887,31556
LGA34590,29599,60027,1122,7008,3926,19481,1562,7741,22176,88505,28786,122737,1833,7974,2582,8770,7466,24394,11878,41137,40668,163876,435,2220,1354,5011,905,3449,8069,22835,10760,33510,637,2156,1276,2873,6086,13712,8001,18740,18766,52256,1452,3083,90481,279234
LGA34710,394,763,3,22,22,92,6,35,199,777,233,932,11,50,23,51,62,181,95,284,323,1212,0,4,11,25,0,10,63,174,79,215,0,13,9,26,40,80,51,121,133,333,19,39,864,2340
LGA34770,13166,25673,251,1373,1327,5964,525,2352,7610,29449,9716,39140,563,2274,858,2701,2473,7588,3897,12563,13618,51702,59,263,371,1251,191,670,2235,6100,2869,8288,140,448,352,747,1538,3314,2026,4513,4896,12799,447,927,32126,91098
LGA34800,63,123,0,4,7,18,3,16,55,198,61,237,0,5,0,4,12,33,17,44,79,277,0,0,0,6,0,0,10,24,9,27,0,0,0,3,0,7,5,10,13,32,0,0,156,437
LGA34830,15,31,3,13,0,9,0,0,23,122,31,147,0,0,0,3,7,18,7,19,33,169,4,9,0,3,3,22,13,54,26,84,0,0,0,0,8,19,8,19,27,107,4,5,84,313
LGA34860,1328,2576,22,110,147,609,34,156,826,3266,1031,4145,54,188,72,210,205,607,332,1006,1362,5150,7,40,26,104,11,45,220,597,265,791,10,24,37,62,124,267,172,359,440,1151,36,84,3165,8957
LGA34880,2587,5112,43,245,206,959,70,315,1026,4052,1347,5567,81,330,136,447,405,1238,624,2012,1969,7585,20,105,63,225,45,200,391,1113,521,1632,11,38,59,114,368,814,437,962,957,2598,87,196,5600,15489
LGA35010,51337,103087,1094,6215,5652,26231,1828,8596,30243,117861,38817,158907,2627,11148,4195,14354,10115,32356,16944,57857,55759,216762,388,1816,1735,5939,976,3611,9951,27029,13043,38387,835,2656,2057,4555,7857,17283,10745,24489,23788,62880,1718,3605,132607,386337
LGA35250,46,105,3,28,3,15,11,95,48,190,67,323,4,16,0,0,12,51,18,62,85,384,3,16,5,10,13,53,32,95,48,170,0,5,0,0,21,65,28,68,71,243,10,22,209,752
LGA35300,1541,3036,45,233,172,829,79,368,1275,5036,1573,6470,78,311,106,338,221,681,403,1330,1974,7801,11,67,54,194,52,228,464,1384,584,1870,11,41,44,90,263,591,316,722,897,2592,86,183,4498,13616
LGA35600,456,882,12,49,32,123,9,37,197,764,248,975,8,22,30,85,56,158,90,270,341,1245,0,5,15,68,8,14,72,188,93,278,0,0,5,18,57,118,60,130,154,409,12,23,965,2561
LGA35670,27,55,7,39,6,43,11,58,41,175,64,319,3,26,0,0,13,33,18,58,79,381,0,13,7,16,5,25,24,75,41,133,0,4,0,0,21,53,23,56,58,187,19,43,180,668
LGA35740,8272,16457,78,400,612,2743,140,611,2840,10958,3677,14722,248,979,507,1641,1073,3331,1825,5947,5502,20662,20,87,178,560,69,230,725,1833,986,2712,78,235,253,533,882,1897,1213,2666,2196,5372,118,253,16091,42752
LGA35760,1344,2641,18,100,82,373,29,147,448,1755,575,2374,21,83,67,192,169,513,256,785,831,3158,5,31,28,100,16,53,152,423,199,609,3,15,22,50,122,253,151,316,349,926,45,95,2566,6823
LGA35780,103,201,18,101,24,138,24,136,163,747,224,1121,3,22,0,11,29,85,36,114,257,1240,16,79,8,37,17,81,127,400,168,592,3,10,8,15,39,91,47,119,217,713,19,44,602,2206
LGA35790,76,165,10,64,8,50,22,127,90,430,127,676,0,11,3,6,28,104,35,123,157,801,6,24,7,30,24,109,108,363,134,530,0,4,0,0,46,126,50,135,187,664,32,93,450,1714
LGA35800,188,376,8,28,22,85,9,28,87,345,117,479,3,4,3,0,16,44,19,56,138,534,0,0,4,6,4,16,52,164,56,186,0,0,6,10,27,57,31,62,91,250,14,21,425,1182
LGA36070,38,81,0,0,0,10,5,59,35,140,49,201,0,6,0,5,3,22,5,23,50,230,0,5,0,0,6,38,14,68,27,113,0,0,0,0,17,38,14,38,39,145,16,43,145,495
LGA36150,82,159,5,13,10,14,0,6,54,190,65,228,0,4,4,7,12,34,17,48,84,276,0,0,0,5,0,0,9,24,11,23,0,3,4,4,0,3,4,10,14,37,0,0,175,464
LGA36250,18714,37587,326,1817,1912,8749,534,2366,9878,38321,12650,51262,1077,4539,1782,6081,3939,12581,6798,23202,19452,74461,95,443,512,1705,249,938,2562,6783,3418,9869,303,942,714,1585,2634,5748,3652,8281,7072,18151,524,1101,45763,131299
LGA36300,84,162,0,3,0,0,0,0,50,202,53,210,6,9,3,5,13,43,24,59,74,271,0,0,0,0,0,0,16,44,16,44,0,0,0,0,4,9,4,9,18,55,0,4,179,489
LGA36370,7951,15713,141,814,816,3665,330,1527,4733,18279,6020,24288,318,1267,536,1665,1435,4455,2294,7396,8307,31675,73,324,308,1136,216,828,1958,5416,2555,7702,108,332,275,594,1429,3119,1808,4049,4360,11749,401,840,21022,59981
LGA36510,5546,11112,98,563,493,2292,173,822,2247,8941,3022,12626,207,880,383,1258,952,2970,1538,5105,4563,17729,33,136,131,455,74,256,698,1942,934,2788,51,160,133,290,686,1490,862,1941,1797,4725,127,274,12031,33842
LGA36580,3155,6294,64,355,278,1292,127,604,1282,5116,1744,7366,111,457,182,583,526,1663,814,2706,2568,10072,11,72,69,274,61,242,448,1281,596,1865,31,92,82,178,420,910,534,1183,1128,3048,85,179,6932,19599
LGA36630,4252,8441,60,341,280,1358,131,634,1368,5540,1838,7866,91,383,185,584,603,1874,884,2840,2721,10705,24,115,105,397,77,323,598,1716,806,2552,21,73,110,235,540,1153,675,1468,1478,4014,153,328,8604,23492
LGA36660,4861,9681,71,366,352,1710,114,537,1624,6537,2158,9147,131,540,208,653,717,2216,1051,3406,3213,12549,18,64,119,417,71,302,690,1902,888,2688,38,118,107,224,554,1190,697,1530,1590,4218,125,268,9792,26717
LGA36720,42757,85300,573,3144,3751,16871,1043,4695,20439,79021,25807,103738,1613,6643,3086,10235,6498,20416,11201,37297,37004,141032,144,650,1072,3563,482,1673,5777,14784,7485,20666,517,1591,1481,3254,5117,10998,7123,15839,14604,36509,1051,2154,95412,265006
LGA36820,3479,6879,52,318,244,1120,69,311,1139,4588,1510,6340,65,262,148,464,459,1410,673,2131,2177,8471,19,91,98,354,54,200,457,1272,627,1913,30,97,86,190,392,832,506,1121,1136,3034,102,205,6897,18594
LGA36910,19643,38994,430,2571,1945,9377,518,2411,10043,39868,12934,54232,697,2916,1326,4302,2893,9099,4919,16311,17849,70546,129,656,619,2190,343,1268,3297,9134,4384,13257,260,876,573,1237,2424,5215,3258,7329,7640,20582,716,1496,45859,131621
LGA36950,187,368,25,130,31,154,34,172,184,728,272,1191,12,40,10,27,48,155,62,225,332,1416,13,70,7,33,21,89,102,310,143,500,10,24,8,21,48,119,67,165,205,666,23,58,760,2515
LGA36960,153,321,16,75,21,104,80,442,226,978,334,1600,8,26,4,16,62,207,72,249,411,1847,3,26,8,35,29,141,220,659,270,862,3,10,12,15,92,219,104,241,371,1106,20,50,954,3326
LGA37010,19835,39081,350,2075,2019,9276,634,2920,11279,43207,14285,57482,747,3079,1590,5154,3148,9709,5481,17943,19767,75423,152,746,712,2520,418,1532,4149,11129,5440,15923,310,987,776,1682,2774,5999,3854,8663,9291,24593,888,1856,49777,140948
LGA37300,344,671,8,49,49,227,22,101,352,1373,433,1753,12,68,28,78,51,147,93,295,525,2049,0,8,9,36,4,18,53,143,65,202,3,5,6,20,23,48,34,73,101,275,7,14,977,3010
LGA37310,3538,6966,79,448,379,1671,126,577,1946,7865,2530,10567,100,371,207,619,521,1591,824,2578,3353,13142,27,133,80,310,83,337,671,2006,866,2784,26,84,73,157,453,961,551,1196,1416,3982,140,290,8446,24380
LGA37340,4091,8017,48,240,323,1485,129,559,1969,7563,2466,9843,101,397,197,592,518,1572,808,2557,3274,12403,13,58,99,325,58,191,608,1668,777,2241,30,89,108,223,388,804,521,1121,1296,3359,111,231,8768,24009
LGA37400,132,255,0,10,6,32,0,5,58,216,75,254,0,3,3,10,15,49,22,59,95,319,0,0,4,8,5,10,16,36,22,58,0,0,0,0,3,7,5,14,29,71,0,12,256,650
LGA37550,25,47,0,10,4,22,8,45,27,133,46,213,0,11,0,0,5,9,3,19,49,226,7,32,13,51,11,58,88,293,118,432,0,9,0,0,31,80,35,92,145,522,12,28,232,829
LGA37570,7,19,0,0,0,6,5,16,21,80,26,112,0,0,0,0,5,18,5,18,25,123,0,0,0,9,0,0,10,46,12,46,0,0,0,0,15,35,15,35,27,87,5,19,70,250
LGA37600,71,158,17,104,21,118,25,162,97,446,156,837,3,20,3,14,57,215,67,252,223,1091,11,76,10,60,37,193,123,419,182,746,3,20,7,17,59,172,71,213,255,962,20,51,567,2258
LGA39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
LGA40070,3114,6167,10,34,65,284,3,18,611,2146,690,2484,27,102,118,389,137,427,280,919,975,3400,4,12,33,93,0,14,223,500,256,624,7,23,122,245,154,322,280,590,548,1215,191,395,4821,11177
LGA40120,4936,9827,83,461,612,2788,81,355,2700,10549,3480,14156,336,1380,650,2269,1031,3267,2015,6925,5494,21078,15,53,95,306,24,72,417,1013,552,1456,60,191,149,316,445,922,656,1429,1214,2883,86,187,11729,33976
LGA40150,1050,2094,36,187,114,515,52,233,600,2344,794,3276,71,273,86,280,307,976,460,1534,1254,4812,7,37,33,106,15,42,122,344,175,535,12,40,21,50,141,300,174,389,351,926,35,76,2690,7901
LGA40220,4579,9083,45,259,288,1319,81,363,1268,5032,1687,6971,121,493,208,657,589,1829,917,2977,2608,9952,16,58,68,227,39,124,367,903,489,1315,44,123,85,196,400,865,527,1184,1015,2504,80,162,8277,21703
LGA40250,139,292,3,25,19,85,24,139,163,663,201,912,3,17,0,3,34,125,40,143,236,1050,3,23,3,7,21,91,85,276,115,403,3,12,3,10,42,116,48,133,162,537,33,110,577,1997
LGA40310,3331,6629,57,318,297,1362,81,373,1481,5817,1921,7870,139,583,238,779,606,1904,985,3266,2903,11132,14,53,81,257,33,95,351,924,474,1335,35,105,86,180,295,611,412,897,895,2233,49,106,7176,20099
