LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA18450,58,604,4811,25372,18372,4444,971,560,55191,28,436,1833,1396,146,18,0,73,3935,12,463,1868,3131,295,32,17,76,5888,42,896,3698,4527,442,50,16,152,9827,59,1135,3249,997,124,28,15,107,5711,18,371,2106,442,17,3,0,53,3016,24,467,2303,949,37,0,3,53,3827,12,242,1103,657,37,0,0,23,2075,0,66,105,60,40,13,6,4,296,122,2276,8868,3099,253,54,26,236,14928,16,141,252,96,30,14,4,11,565,10,33,37,42,7,5,9,16,152,250,3951,17667,33132,19100,4566,1026,970,80658
LGA18500,9,57,248,1145,1893,1157,340,45,4894,4,59,232,254,97,22,0,3,675,6,84,891,1969,826,99,15,25,3927,11,144,1126,2222,926,118,15,30,4602,35,251,924,556,69,22,12,19,1886,94,698,2526,1170,104,15,10,49,4663,203,773,1956,1033,68,5,0,53,4093,28,387,614,381,17,0,0,28,1455,0,3,32,26,12,4,0,0,72,353,2114,6047,3162,265,47,24,151,12170,7,58,71,46,0,5,0,3,192,7,14,14,12,0,0,0,4,50,388,2387,7513,6588,3097,1329,380,232,21907
LGA18710,20,83,444,1926,2227,656,192,51,5594,0,6,117,56,0,0,0,0,187,0,0,12,3,0,0,0,0,15,0,6,130,63,0,0,0,4,201,3,28,27,13,0,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,29,26,11,0,0,0,8,86,0,5,5,3,4,0,0,0,11,0,4,6,11,0,3,0,12,38,25,124,612,2009,2234,660,195,75,5932
LGA19399,5,15,36,107,71,20,25,3,280,0,0,0,0,0,0,0,0,5,0,8,0,3,4,0,0,0,22,0,9,0,5,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,11,0,5,5,0,0,0,0,0,11,0,0,0,3,0,0,0,0,7,0,3,5,7,10,0,0,0,28,5,34,45,123,84,25,25,5,353
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,18,118,656,2570,1215,172,40,87,4870,0,31,148,33,8,3,0,10,238,0,0,4,9,3,0,0,0,15,0,31,156,45,4,3,0,13,252,0,8,24,7,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,22,5,0,0,0,0,45,0,8,7,9,4,5,0,0,31,0,0,9,4,0,0,0,3,20,24,166,839,2641,1236,183,38,107,5222
LGA20260,8,55,548,2278,1028,161,29,78,4179,3,50,180,32,10,0,0,12,294,0,3,0,7,0,0,0,0,8,3,57,181,39,10,0,0,12,300,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,12,3,10,6,3,0,0,0,4,28,0,3,0,5,0,0,6,0,12,12,123,747,2324,1038,166,34,97,4541
LGA20570,29,283,3981,19238,12404,1419,206,413,37980,6,755,2236,1398,266,18,6,108,4802,8,39,182,224,67,5,0,9,544,18,799,2418,1622,340,27,10,124,5344,5,283,506,192,8,0,0,19,1021,0,16,48,18,8,0,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,5,3,0,0,0,0,14,12,300,555,211,12,3,0,28,1121,6,42,48,23,13,0,0,0,126,3,17,10,17,20,4,0,3,75,63,1443,7003,21115,12786,1457,227,564,44654
LGA20660,33,212,3683,18483,10919,2225,351,288,36197,15,477,2431,1161,103,8,4,52,4252,3,86,1127,1862,345,20,6,42,3493,19,563,3556,3021,449,27,8,98,7746,12,329,1139,366,29,0,3,25,1895,0,83,333,54,5,0,0,9,476,8,284,561,62,4,0,0,15,932,0,181,99,15,0,0,0,0,299,0,11,12,0,0,6,0,0,29,21,878,2146,498,34,4,7,47,3636,0,0,19,16,0,0,0,0,40,0,5,23,10,9,0,0,0,49,68,1675,9433,22025,11407,2258,367,439,47666
LGA20740,29,205,2055,7556,4360,624,131,268,15225,3,137,362,134,3,0,0,27,671,0,3,54,164,53,10,0,8,293,4,142,409,299,60,10,0,36,961,0,51,102,45,9,0,0,9,214,5,8,13,0,0,0,0,0,27,0,4,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,67,111,54,15,0,0,9,257,6,62,82,11,0,0,0,14,183,0,3,11,12,4,3,0,3,36,47,479,2674,7930,4436,644,133,320,16662
LGA20830,23,155,1677,8789,7556,975,177,259,19615,0,59,550,203,10,3,0,20,848,0,21,9,13,0,0,0,0,45,0,88,562,213,14,5,0,20,891,0,73,384,117,3,5,0,13,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,6,0,74,385,117,3,0,0,13,595,11,77,201,6,5,0,0,8,311,0,0,3,7,9,0,4,4,34,39,391,2828,9146,7587,982,178,308,21441
LGA20910,9,112,2138,9353,9058,2549,320,193,23722,6,260,2565,1435,159,16,3,46,4494,0,62,738,2308,898,64,6,34,4115,8,317,3309,3750,1056,82,9,77,8612,32,291,1295,441,37,7,0,32,2140,14,185,832,294,14,0,0,20,1362,23,487,900,127,5,0,0,17,1559,0,50,165,26,0,0,0,3,240,0,5,3,3,0,0,0,0,18,65,1020,3193,892,64,7,0,77,5317,0,34,160,45,4,0,0,6,253,0,5,8,14,4,0,0,0,36,80,1484,8811,14050,10187,2646,330,349,37936
LGA21010,14,89,665,2802,1477,172,43,130,5391,0,89,401,65,7,0,0,24,581,0,0,0,0,0,0,0,0,3,0,89,401,68,4,0,0,24,583,0,4,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,6,0,7,6,7,0,0,0,25,43,0,0,4,0,0,0,0,0,15,11,186,1080,2878,1489,174,45,178,6033
LGA21110,14,144,2595,11741,14065,5182,781,245,34771,15,277,3825,2969,514,75,7,56,7738,8,68,783,2728,1051,90,4,27,4763,23,340,4611,5696,1563,167,12,85,12501,67,978,3406,731,87,11,14,58,5346,87,1209,3078,419,36,5,0,53,4894,55,1281,2400,456,20,4,0,40,4271,10,268,309,35,4,0,0,12,636,0,3,3,0,0,4,0,0,18,221,3744,9199,1645,151,20,15,166,15162,5,43,87,66,10,3,5,9,218,0,17,13,21,5,3,5,9,74,265,4292,16503,19176,15797,5378,815,502,62715
LGA21180,67,329,2713,29729,15423,2568,412,883,52121,15,189,1752,2551,396,32,0,108,5046,0,59,874,2115,683,83,11,81,3908,15,246,2625,4664,1073,115,13,196,8955,13,550,1080,557,28,0,0,58,2295,0,34,94,4,0,0,0,4,141,0,50,90,0,0,0,0,6,145,0,35,59,0,0,0,0,0,91,0,21,15,9,0,0,0,8,54,9,697,1337,574,33,4,6,72,2731,7,31,15,23,13,0,0,3,87,0,12,16,23,11,0,3,4,61,100,1309,6700,35016,16550,2687,433,1155,63949
LGA21270,6,42,351,1294,559,68,10,62,2399,0,15,7,28,18,0,0,3,76,0,0,0,0,0,0,0,0,0,0,15,10,28,18,0,0,5,80,0,28,13,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,0,0,0,0,0,44,0,13,3,4,0,0,0,3,27,0,0,0,0,0,0,0,0,5,12,98,387,1332,582,70,10,67,2555
LGA21370,25,159,1487,7045,3919,581,110,263,13593,13,223,739,166,10,4,3,50,1205,0,0,0,11,0,0,0,0,21,13,223,738,183,10,4,3,50,1224,8,15,9,9,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,14,9,13,0,0,0,0,37,24,64,58,35,3,0,0,15,200,6,0,4,7,7,0,0,0,31,67,471,2296,7278,3939,585,109,334,15079
LGA21450,28,223,2031,14766,15813,2243,494,452,36059,8,54,1291,641,140,16,8,60,2213,0,4,197,528,67,3,3,10,821,8,59,1494,1171,209,20,6,71,3028,10,44,164,76,4,0,0,5,301,0,4,5,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,0,3,0,0,0,17,10,55,177,86,5,0,0,7,340,5,84,39,6,6,0,0,0,140,0,0,7,17,10,0,0,0,37,47,425,3750,16038,16044,2262,500,535,39607
LGA21610,93,368,4080,41289,46758,7151,1091,1319,102149,13,310,2651,2694,1155,100,17,160,7109,0,29,460,1640,575,129,20,39,2890,16,338,3107,4336,1735,225,37,197,9995,0,23,661,173,30,4,0,13,902,0,19,22,7,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,24,5,0,0,0,4,51,3,62,705,187,30,4,0,18,1007,5,53,47,10,0,0,0,0,122,5,7,16,34,17,5,0,8,91,121,823,7948,45854,48547,7388,1136,1551,113365
LGA21670,9,95,868,2922,1008,143,36,122,5207,5,88,221,32,8,3,0,17,369,0,0,8,9,0,0,0,0,17,5,88,223,40,6,3,0,17,386,0,24,21,6,0,0,0,7,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,6,0,0,0,7,62,9,34,15,16,6,0,0,5,97,0,8,6,0,0,0,0,0,21,29,252,1135,2983,1030,146,41,148,5774
LGA21750,27,118,967,4340,2092,306,82,141,8063,3,142,297,117,10,0,0,28,590,3,0,14,20,4,0,0,5,46,10,142,311,136,13,0,0,27,637,0,9,8,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,9,10,0,0,0,0,36,14,38,9,11,8,0,0,6,81,0,0,0,12,5,0,0,0,24,48,310,1299,4504,2111,312,80,172,8848
LGA21830,18,98,719,3200,1606,246,64,106,6053,0,65,120,28,0,0,3,9,226,0,0,4,5,0,0,0,0,9,0,71,127,31,0,0,3,9,239,0,4,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,12,0,12,0,7,3,0,0,3,23,0,0,4,5,0,0,0,0,15,15,180,846,3241,1618,248,65,120,6343
LGA21890,36,374,5985,17865,7348,1368,284,375,33636,14,1026,5013,2029,238,34,10,150,8518,13,714,3574,2852,399,29,6,71,7663,24,1745,8584,4882,634,64,16,224,16180,42,1867,2193,290,31,9,0,56,4488,59,515,744,105,10,0,0,25,1456,37,901,1777,119,4,0,3,23,2863,7,230,187,10,0,0,0,4,440,4,9,6,10,6,4,0,0,34,152,3517,4912,538,51,11,3,100,9283,8,69,162,77,20,8,3,4,341,5,10,13,3,3,0,0,10,44,222,5714,19657,23370,8052,1452,314,713,59488
LGA22110,64,362,2443,9267,4603,674,145,344,17897,4,192,746,221,20,0,4,37,1220,0,4,33,66,13,4,0,5,123,3,192,784,283,27,4,4,40,1340,0,41,91,18,4,0,0,0,155,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,43,102,19,4,0,0,0,168,24,112,95,23,7,0,4,27,297,5,7,17,18,5,0,3,12,68,97,722,3437,9614,4651,685,147,424,19771
LGA22170,86,312,2864,22867,13097,2166,393,499,42288,13,659,3858,2013,195,14,4,126,6872,14,71,758,1168,166,21,3,24,2219,26,723,4615,3176,357,32,9,148,9090,47,272,520,33,6,0,6,25,914,0,13,140,28,0,0,0,0,180,4,9,92,4,0,0,0,4,116,10,14,0,0,0,0,0,0,24,0,18,13,4,5,5,0,0,50,60,333,770,65,13,5,5,32,1284,23,156,81,17,15,0,0,14,307,6,16,12,15,3,0,0,3,50,206,1539,8338,26145,13484,2201,401,698,53019
LGA22250,8,52,482,2187,1084,148,29,88,4083,0,37,123,20,0,0,0,5,197,0,0,0,0,0,0,0,0,0,0,37,123,23,0,0,0,9,196,0,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,3,15,7,10,0,0,0,15,55,0,3,5,3,0,0,0,4,19,10,118,615,2226,1090,155,32,115,4359
LGA22310,19,131,2771,11929,9581,2410,448,236,27526,24,362,4277,3037,348,37,15,83,8187,9,60,1121,2837,1409,115,10,33,5591,31,422,5394,5871,1761,148,23,119,13778,51,3258,4712,1302,221,17,17,128,9716,9,505,2107,229,13,0,3,29,2902,29,813,2269,211,7,0,3,29,3360,0,169,200,13,0,0,0,5,385,0,3,10,10,11,0,0,0,38,91,4752,9288,1770,256,24,22,192,16397,6,44,100,40,7,4,0,4,208,0,10,17,19,4,0,0,0,56,153,5357,17588,19630,11606,2580,497,555,57971
LGA22410,17,116,928,4244,1826,264,55,120,7578,0,80,247,50,8,0,0,14,392,0,3,27,0,0,0,0,0,42,0,81,274,49,12,6,0,15,435,0,19,44,15,0,0,0,4,83,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,47,19,0,0,0,4,87,12,24,24,9,6,0,0,5,74,0,3,4,5,6,0,0,0,16,31,243,1277,4321,1841,264,62,147,8190
LGA22490,26,112,598,3249,3390,573,118,103,8169,0,4,48,27,10,0,0,0,89,0,0,0,0,0,0,0,0,0,0,4,48,27,10,0,0,0,95,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,3,0,0,0,0,0,7,0,4,0,4,0,0,0,3,14,0,0,0,0,0,0,0,0,4,26,129,650,3277,3411,575,115,105,8287
LGA22620,47,507,4992,21191,13359,1690,317,520,42612,15,432,1725,549,49,3,0,66,2835,0,42,158,215,36,0,0,6,455,13,475,1881,759,83,5,0,70,3291,9,88,220,68,5,0,0,9,405,0,0,3,9,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,15,9,94,228,76,11,3,0,19,436,19,48,45,26,15,0,0,6,162,3,20,19,17,25,3,0,3,95,94,1144,7165,22075,13487,1698,321,615,46599
LGA22670,46,281,3278,19947,9928,2348,485,598,36911,12,700,3471,1307,115,16,0,130,5758,5,38,1238,1591,437,22,7,69,3408,16,732,4713,2900,556,33,5,194,9162,22,773,2637,742,101,7,4,128,4412,8,67,331,30,0,0,0,10,450,4,130,270,18,0,0,0,6,433,0,0,0,0,0,0,0,0,0,0,12,3,8,0,5,3,0,35,30,982,3243,803,104,16,10,149,5323,29,124,34,18,4,0,0,9,215,3,15,18,19,8,0,5,8,61,126,2135,11279,23678,10596,2395,499,954,51670
LGA22750,69,709,9338,45359,28479,3711,681,1043,89397,38,1711,4759,1741,312,23,9,197,8789,7,150,702,953,208,20,9,21,2071,44,1861,5463,2695,522,41,11,218,10866,20,522,990,334,24,0,4,39,1928,5,52,97,9,0,0,0,5,170,5,80,184,26,0,0,0,4,302,0,20,68,44,6,0,4,0,134,0,8,10,4,0,0,0,0,22,25,686,1346,421,31,0,3,50,2558,36,179,208,82,34,3,3,13,556,3,25,33,41,20,3,3,3,132,184,3454,16386,48597,29085,3768,705,1328,103508
LGA22830,31,165,2103,11399,6803,844,156,407,21909,8,394,1385,220,57,6,3,67,2143,0,9,34,38,17,0,0,5,102,8,406,1422,256,69,6,3,72,2241,0,25,12,4,0,0,0,5,48,0,5,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,36,19,0,0,0,0,5,66,28,156,269,30,10,0,0,39,528,0,6,6,14,12,0,0,3,44,63,779,3823,11700,6892,848,160,523,24795
LGA22910,22,233,1248,3296,1318,226,57,65,6470,0,42,73,19,3,0,0,5,140,0,3,18,11,0,0,0,3,37,0,47,87,26,7,0,0,5,177,0,33,46,9,0,0,0,10,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,33,45,11,0,0,0,10,100,5,27,21,18,5,0,4,4,80,0,4,4,4,4,0,4,0,20,30,348,1403,3355,1333,227,68,82,6846
LGA22980,9,47,374,1238,468,59,16,35,2241,0,21,29,8,0,0,0,3,68,0,5,6,0,0,0,0,0,7,0,30,30,8,0,0,0,3,74,0,17,7,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,30,0,3,9,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,5,102,416,1253,475,62,13,37,2367
LGA23110,25,144,2936,14121,5509,849,108,274,23967,9,334,1725,1214,196,18,0,49,3558,5,70,1147,2520,822,69,12,45,4687,12,400,2869,3735,1018,87,13,94,8236,13,320,857,267,17,3,3,33,1508,4,111,136,17,0,0,0,10,273,0,94,287,20,0,0,0,0,401,4,66,55,20,0,0,0,8,150,0,8,0,0,0,0,0,0,15,19,590,1326,331,17,6,7,51,2350,0,17,25,21,6,3,0,0,69,0,7,12,13,3,0,0,4,43,58,1164,7174,18213,6557,945,130,425,34663
LGA23190,10,81,780,4035,2152,261,46,104,7469,0,78,207,46,3,0,5,9,343,0,0,0,8,0,0,0,0,6,0,78,210,47,9,0,5,11,351,0,83,237,29,4,0,5,12,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,237,29,4,0,5,12,371,0,9,5,0,0,0,0,0,21,0,0,0,6,0,0,0,0,8,7,247,1236,4121,2162,261,55,135,8216
LGA23270,53,310,2175,30503,27638,4149,612,1041,66487,7,226,1539,1766,307,15,3,87,3954,4,41,1116,1427,209,15,4,54,2873,12,271,2653,3199,518,37,8,140,6828,14,149,995,814,48,8,0,38,2070,0,0,0,0,0,0,0,0,0,17,21,70,17,0,0,0,3,128,0,0,0,0,0,0,0,0,0,0,12,12,8,4,0,0,0,45,26,189,1076,846,51,11,3,45,2242,7,95,12,3,5,0,0,7,123,0,12,7,24,14,8,0,6,67,99,871,5920,34575,28221,4198,623,1233,75740
LGA23350,14,103,752,2954,1982,283,61,104,6253,0,35,145,41,8,0,0,8,238,0,0,0,0,0,0,0,0,3,0,35,145,42,11,0,0,8,236,0,14,16,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,16,6,0,0,0,0,37,4,19,12,13,8,4,3,4,68,0,3,8,7,4,4,0,0,22,17,178,930,3015,2007,290,64,114,6615
LGA23430,30,173,2614,17694,12284,2365,359,331,35855,16,645,5251,3057,307,13,12,115,9412,0,80,1411,3572,934,90,16,63,6165,11,726,6663,6625,1244,105,24,177,15576,32,938,3873,1434,123,12,10,113,6531,4,165,715,59,13,0,0,11,967,6,340,854,70,0,0,0,20,1287,0,76,261,9,0,0,0,0,347,0,5,0,5,3,0,0,0,19,35,1523,5717,1579,140,18,10,136,9155,5,106,143,34,0,0,0,10,306,5,17,6,14,8,0,0,0,48,99,2544,15142,25941,13679,2492,389,656,60940
LGA23670,27,252,2944,22174,17530,3866,609,455,47854,9,372,2675,1468,356,38,8,99,5021,0,37,956,1530,335,46,9,15,2931,9,408,3634,2998,686,83,21,117,7959,12,147,321,170,0,0,6,17,671,0,89,258,23,0,0,0,7,385,0,61,169,15,0,0,0,3,243,0,79,85,3,0,0,0,0,170,0,16,21,6,8,6,0,0,56,15,388,859,219,6,6,4,34,1531,0,5,24,12,10,0,0,0,47,0,8,6,9,7,0,0,3,37,45,1060,7463,25413,18239,3960,638,603,57422
LGA23810,30,244,2588,15187,7274,986,177,459,26943,28,398,934,198,14,0,0,61,1649,0,23,69,46,3,3,5,8,150,32,422,1005,249,21,5,7,67,1802,19,402,1081,123,12,0,0,62,1696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,4,19,405,1082,123,12,0,0,65,1703,17,39,43,7,3,0,0,8,124,3,6,9,10,9,0,0,0,34,93,1117,4728,15576,7315,993,186,602,30610
LGA23940,15,107,499,1462,632,85,13,87,2907,0,25,26,22,3,0,0,0,71,0,0,0,0,0,0,0,0,0,0,25,23,22,3,0,0,0,70,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,22,8,8,0,3,0,3,56,6,3,0,0,0,0,0,0,12,31,154,538,1489,640,88,19,95,3049
LGA24130,18,173,1203,6960,6793,1290,264,176,16880,0,111,452,333,30,3,0,12,945,0,0,23,37,0,0,0,0,60,0,113,471,364,28,3,0,12,1000,0,9,8,16,0,0,0,0,35,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,7,0,0,0,9,0,6,11,32,6,0,0,0,56,0,29,20,35,15,4,5,0,102,0,0,0,5,7,0,0,4,17,27,327,1705,7391,6852,1302,266,194,18060
