LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA65610,151,808,579,207,84,1833,40,1875
LGA65810,287,2944,3699,1628,1077,9634,142,9781
LGA69499,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0
LGA70200,756,3213,3003,1128,582,8679,207,8891
LGA70420,522,610,277,70,58,1534,64,1599
LGA70540,33,8,0,0,0,39,6,46
LGA70620,208,300,101,30,28,672,41,715
LGA70700,40,164,138,43,32,415,19,433
LGA71000,1923,10445,10629,3316,1586,27892,562,28456
LGA71150,7,108,38,9,0,151,0,158
LGA71300,722,469,162,32,11,1398,50,1450
LGA72200,208,894,999,388,222,2709,150,2852
LGA72300,108,1315,2263,1261,1161,6100,149,6251
LGA72330,445,440,125,37,24,1072,56,1126
LGA72800,545,3855,5292,1710,666,12068,256,12318
LGA73600,481,396,189,42,38,1144,41,1188
LGA74050,373,169,42,10,0,591,15,604
LGA74550,183,228,92,43,23,561,24,585
LGA74560,7,72,66,26,4,170,3,175
LGA74660,544,394,152,50,26,1164,38,1199
LGA74680,312,118,37,13,3,481,13,498
LGA79399,222,779,737,200,104,2034,66,2099
LGA79499,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,3
LGA89399,9273,65446,64634,18290,9278,166921,1484,168400
LGA89499,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0
LGA99399,33,352,358,125,72,940,47,986
LGA99499,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0
