LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA35740,231,389,621,3425,4209,7636,0,0,3,214,239,461,3,5,4,3867,4610,8476,17,9,30,114,137,250,110,145,249,9,15,28,198,273,468,0,0,4,97,85,182,271,322,597,557,642,1202,21,35,56,66,75,140,728,990,1718,602,697,1301,20,25,48,10313,12516,22832,76,82,158,35,31,64,48,55,104,0,0,0,12,13,20,71,120,195,90,129,218,13926,13224,27146,95,71,166,85,165,245,14103,13454,27558,2446,2293,4740,27341,28958,56298
LGA35760,20,41,62,953,1014,1967,0,0,0,68,79,145,7,11,19,683,707,1386,0,3,9,6,5,10,22,25,45,5,10,15,41,70,116,0,0,0,32,34,66,41,49,94,156,200,357,4,3,3,19,18,37,267,307,572,146,159,304,39,47,87,2492,2733,5221,57,62,122,31,8,40,0,0,0,0,3,4,0,0,3,13,12,25,13,19,34,1789,1459,3250,11,12,26,9,4,9,1804,1474,3280,673,633,1303,5094,4967,10068
LGA35780,5,5,4,347,400,746,0,0,0,3,0,0,0,0,0,36,46,80,0,0,0,0,0,0,25,33,57,4,3,10,0,0,0,0,0,0,0,0,0,258,307,569,4,3,10,0,0,0,0,3,5,13,15,22,62,63,125,0,0,3,754,876,1629,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,4,4,7,3,8,270,237,505,0,0,0,6,9,16,274,246,522,312,296,612,1353,1429,2781
LGA35790,0,0,0,158,163,322,0,0,0,18,24,41,0,0,0,482,489,971,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,81,95,169,18,29,46,0,4,4,0,0,0,3,9,8,3,4,6,11,6,17,0,0,0,777,820,1599,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,3,0,5,154,182,338,6,3,8,0,0,0,157,186,347,71,83,152,1009,1092,2098
LGA35800,0,0,0,154,167,327,0,0,0,3,5,12,0,0,0,227,259,485,0,3,4,0,4,0,6,12,17,7,3,9,3,5,10,0,0,0,0,0,0,0,6,9,9,11,19,0,3,9,0,0,0,22,29,50,18,25,46,0,0,0,457,519,982,5,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,6,3,13,289,263,549,0,0,0,0,0,0,291,263,550,70,64,134,831,850,1679
LGA36070,0,3,3,197,219,421,0,0,0,3,0,3,0,0,0,16,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,224,239,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,42,76,0,0,0,0,0,0,38,42,77,50,26,71,312,304,611
LGA36150,0,0,0,78,70,150,0,0,0,3,0,3,0,0,0,112,91,200,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,3,9,5,0,9,0,0,0,7,18,22,10,9,20,0,0,0,221,200,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,111,219,0,0,0,0,0,0,106,116,223,32,26,57,356,345,698
LGA36250,505,881,1389,9678,11869,21552,3,3,3,1887,2059,3943,65,64,129,13738,15904,29636,84,110,194,582,617,1197,293,358,657,318,342,660,600,799,1394,18,11,24,320,343,663,833,1005,1842,1876,2134,4012,150,213,363,190,250,438,2943,3933,6874,2250,2703,4952,192,218,410,36030,42922,78951,491,485,970,290,297,593,60,49,113,3,3,7,260,261,521,178,327,503,439,592,1034,35079,31761,66842,249,204,451,139,228,369,35468,32192,67660,4433,4073,8505,77727,81498,159222
LGA36300,0,4,0,85,75,166,0,0,0,3,0,3,0,0,0,96,93,189,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,9,6,16,0,4,4,0,0,0,14,26,39,6,5,11,0,0,0,219,223,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,99,86,179,0,0,0,0,0,0,99,88,186,74,60,132,392,374,761
LGA36370,282,363,650,4699,5587,10285,0,0,0,754,894,1639,8,6,15,8346,9650,17992,25,30,50,51,59,110,148,216,361,78,88,167,222,249,466,8,4,10,112,142,254,502,628,1127,1091,1214,2303,147,223,375,79,98,182,1761,2359,4115,964,1109,2073,30,35,62,19001,22584,41588,477,378,857,259,163,423,7,10,17,4,9,9,94,92,181,110,177,284,204,271,475,15926,14416,30344,118,63,181,33,65,96,16077,14544,30619,4167,3164,7338,40486,41482,81968
LGA36510,95,160,259,2696,3207,5905,0,0,0,412,440,853,0,5,7,3223,3545,6765,123,158,286,39,59,95,141,185,323,52,52,95,397,414,806,4,6,9,59,59,116,234,246,482,453,467,924,76,104,168,93,102,193,1062,1215,2274,639,685,1325,33,38,75,9722,10981,20702,41,37,79,30,28,54,11,18,31,6,3,10,17,12,34,71,120,190,94,133,230,8997,8376,17379,54,45,102,46,59,105,9092,8486,17581,2177,1875,4051,21266,21719,42984
LGA36580,70,99,171,1735,1910,3646,0,0,0,236,247,483,0,0,5,1883,1938,3820,23,38,63,27,35,63,65,92,157,37,39,73,390,398,792,0,0,0,47,59,107,110,134,246,259,249,505,42,35,80,56,54,105,610,669,1282,290,366,647,102,121,224,5914,6385,12294,13,13,28,37,21,58,0,0,8,0,0,5,0,0,0,41,69,111,47,72,120,5329,4772,10105,31,18,48,6,29,35,5368,4818,10187,1202,993,2195,12650,12410,25057
LGA36630,88,93,180,1973,2212,4189,0,0,0,298,331,630,0,0,0,2206,2408,4612,63,72,130,25,17,42,125,172,292,48,59,109,617,627,1246,0,0,0,79,84,160,155,198,353,442,445,887,58,67,125,59,74,136,965,1132,2096,599,670,1266,37,58,93,7743,8621,16364,31,31,70,29,22,50,6,4,16,0,0,0,11,9,24,64,123,190,81,136,218,6541,5799,12338,26,22,50,29,43,72,6597,5865,12458,1922,1723,3646,16493,16495,32996
LGA36660,68,107,175,2852,3424,6276,0,0,0,260,290,550,97,87,180,3815,4081,7893,24,33,57,25,40,65,97,139,232,55,60,115,125,149,272,0,0,0,53,45,102,179,171,352,539,505,1046,42,43,87,102,109,211,934,1117,2058,525,551,1079,22,24,53,9756,10867,20622,58,50,106,25,28,51,11,3,17,4,0,4,18,15,38,46,90,135,75,110,178,5948,5448,11398,41,33,74,38,34,70,6028,5518,11544,1845,1749,3594,17856,18435,36290
LGA36720,1348,2038,3384,18321,23085,41405,0,0,3,3201,3599,6796,102,101,205,24626,29461,54087,216,284,495,485,523,1010,909,1132,2039,457,491,951,1433,1838,3274,48,46,98,527,626,1155,2306,2803,5107,3273,3868,7138,215,304,520,251,324,572,5332,7422,12751,5198,6358,11553,149,185,333,67055,82438,149497,1163,1114,2280,434,409,841,160,169,318,15,8,21,428,374,807,375,585,966,823,968,1796,80153,77731,157888,610,458,1072,335,656,996,81105,78854,159955,12580,11891,24469,164669,177877,342541
LGA36820,70,115,184,1425,1637,3060,0,0,0,217,262,477,8,3,6,2176,2505,4684,0,7,9,16,29,48,112,172,285,14,16,31,59,89,150,0,9,8,35,44,82,165,200,365,345,323,667,24,30,53,65,68,127,535,616,1148,398,446,842,6,10,19,5601,6466,12068,21,25,49,13,12,31,13,7,14,0,3,4,14,12,33,52,74,126,66,92,160,5433,4946,10380,46,40,87,31,43,74,5511,5020,10533,1647,1561,3208,12951,13289,26244
LGA36910,660,875,1527,11582,14147,25730,0,0,0,1104,1283,2386,163,136,299,16153,18480,34626,607,758,1361,170,182,354,384,529,918,154,165,322,2531,2916,5445,44,63,103,322,372,694,1181,1356,2539,2143,2407,4550,129,194,326,328,399,731,3260,4260,7516,3959,4674,8636,118,154,274,44339,52463,96803,1113,1045,2160,766,696,1463,30,33,69,13,15,23,321,278,602,1284,1454,2740,1622,1745,3367,28554,26351,54911,219,166,381,103,134,241,28879,26651,55534,6419,5864,12284,83825,89379,173204
LGA36950,11,6,14,476,525,1004,0,0,0,8,13,20,0,0,0,269,244,517,0,0,0,4,4,8,26,31,54,12,14,24,4,0,6,0,0,0,0,3,4,176,196,372,10,25,31,0,0,3,9,15,27,36,58,91,55,57,114,7,4,4,1087,1202,2287,4,5,10,6,5,14,0,0,0,0,0,0,3,6,5,13,11,27,19,19,35,408,347,749,4,6,0,0,0,5,408,347,757,171,134,302,1710,1715,3421
LGA36960,0,0,0,752,759,1514,0,0,0,0,3,3,0,0,0,160,186,343,0,0,0,0,0,0,3,12,13,11,12,20,0,0,0,0,0,0,20,14,35,403,462,871,0,6,5,0,0,0,24,18,46,17,19,41,143,157,301,0,0,0,1534,1651,3187,0,0,0,0,0,0,0,0,0,6,4,10,0,0,0,0,0,4,9,8,8,265,215,484,0,0,0,13,4,22,282,225,505,227,197,423,2044,2078,4124
LGA37010,628,917,1538,9887,11837,21722,3,0,4,1122,1306,2428,11,18,28,20423,23121,43544,37,59,95,543,566,1108,241,348,591,131,151,280,399,482,881,72,69,142,380,431,806,1141,1338,2477,2073,2209,4286,219,243,457,257,316,567,3006,3993,7001,2159,2589,4747,108,127,235,42208,49206,91411,726,630,1355,534,507,1044,49,47,94,24,32,51,195,191,383,329,435,769,540,662,1206,40461,36518,76979,309,252,562,95,156,253,40867,36923,77791,10660,7667,18331,96211,96560,192768
LGA37300,3,24,26,224,229,453,0,0,0,15,20,32,0,0,0,331,337,664,0,0,3,9,4,7,11,18,33,0,0,0,10,8,19,0,0,0,5,3,14,24,15,43,27,22,48,0,5,0,0,10,11,72,75,143,21,29,47,0,0,0,740,778,1514,14,11,28,3,8,7,0,0,0,0,0,0,0,0,0,0,3,5,3,3,6,1051,869,1917,3,5,8,0,0,0,1054,871,1922,344,252,591,2161,1938,4100
LGA37310,36,65,103,2589,2851,5438,0,0,0,327,310,639,5,0,3,3280,3283,6561,77,99,179,14,9,21,76,85,162,19,28,40,443,481,925,0,0,0,52,38,91,272,290,566,857,918,1771,33,33,72,48,55,102,701,790,1488,567,585,1153,19,8,31,9367,9877,19246,56,46,103,44,40,80,6,5,6,0,0,5,23,16,37,18,51,72,44,67,114,5447,4816,10264,23,28,53,16,34,50,5491,4876,10367,2113,1705,3818,17162,16679,33843
LGA37340,131,205,338,2140,2288,4424,0,0,0,180,185,367,0,0,0,3008,3373,6386,11,9,16,36,50,88,90,139,228,27,26,51,82,87,169,0,0,0,49,64,120,145,180,320,367,335,707,38,39,73,43,59,103,873,1049,1917,346,398,744,19,6,20,7460,8286,15746,53,57,104,63,44,109,8,11,22,3,4,9,29,32,58,37,44,84,72,81,151,8444,7196,15639,48,42,90,26,40,69,8520,7276,15795,2810,2076,4894,19124,18031,37152
LGA37400,0,0,0,88,102,186,0,0,0,0,3,9,0,0,0,141,136,278,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,16,15,28,0,0,0,0,0,0,27,38,58,19,12,29,0,0,0,295,315,612,0,0,3,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,156,312,0,0,0,0,0,3,151,163,317,92,94,185,547,580,1129
LGA37550,5,0,5,105,144,241,0,0,0,7,10,19,0,0,0,63,72,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,98,174,12,15,22,0,0,0,0,0,0,0,0,0,5,0,5,9,6,20,0,0,0,276,350,624,0,0,0,0,0,0,0,0,0,6,7,14,0,0,0,0,0,0,6,7,14,156,156,310,0,0,3,0,0,0,154,156,315,32,33,66,475,545,1019
LGA37570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,15,0,0,0,0,0,0,0,0,0,0,0,0,90,127,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,104,134,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,23,0,0,0,0,0,0,12,5,23,11,7,16,128,154,276
LGA37600,0,0,0,948,1027,1969,0,0,0,0,0,0,0,0,0,28,17,51,0,0,0,0,0,0,23,23,40,0,0,0,11,5,15,0,0,0,0,0,0,7,16,19,0,0,0,0,0,0,9,6,6,0,3,3,8,7,15,0,0,0,1031,1100,2130,0,0,0,0,0,0,0,0,0,8,6,16,0,0,0,0,0,0,8,6,16,128,124,253,0,0,0,6,3,10,136,130,261,47,51,99,1220,1286,2505
LGA39499,42,80,126,650,592,1245,0,0,0,59,64,125,0,3,7,757,748,1504,0,0,4,32,19,46,13,30,43,16,15,31,23,39,62,0,0,6,28,28,58,70,76,147,132,133,268,18,20,37,19,26,53,200,188,385,197,205,398,16,10,26,2238,2198,4435,28,16,46,39,38,76,8,9,14,0,0,0,5,8,18,27,48,75,36,57,91,3084,2724,5804,43,26,72,31,34,68,3161,2785,5943,2313,1617,3935,7861,6807,14670
LGA39799,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,0,0,0,0,0,0,11,4,17,110,28,135,149,28,183
LGA40070,420,614,1034,670,734,1407,0,0,0,92,99,187,0,0,0,1385,1621,3013,0,3,3,247,243,487,18,19,36,11,6,12,118,140,260,12,16,27,46,47,91,54,60,115,81,83,161,0,4,8,13,9,21,220,346,565,215,275,487,7,13,27,3195,3710,6903,392,313,708,352,293,642,14,26,40,0,0,3,33,36,64,68,69,135,102,105,203,6708,5997,12706,84,47,134,31,36,65,6825,6081,12903,1472,1120,2591,12770,12259,25026
LGA40120,146,184,325,1574,1877,3451,0,0,0,486,538,1022,0,0,0,2053,2296,4352,28,54,82,164,144,305,68,76,144,28,34,61,693,806,1501,3,5,9,56,38,87,123,135,262,109,114,222,23,27,47,41,38,77,948,1270,2221,580,618,1200,113,107,214,7092,8181,15271,48,40,87,38,36,76,27,22,50,0,0,0,9,14,24,69,102,170,74,115,194,11339,10624,21961,86,75,162,49,80,130,11473,10780,22252,1381,1243,2623,20276,20603,40879
LGA40150,47,57,107,380,430,809,0,0,0,34,48,82,0,0,0,650,635,1284,10,10,12,97,66,155,3,11,13,4,3,13,65,71,132,0,0,0,17,13,28,53,56,104,44,27,75,7,16,18,17,23,33,265,312,571,98,89,186,12,6,16,1744,1806,3550,10,0,12,4,11,15,0,4,4,0,0,0,7,3,12,5,19,26,12,25,39,2814,2437,5251,19,11,26,8,3,4,2835,2449,5286,476,342,819,5136,4702,9835
LGA40220,62,106,163,1246,1597,2847,0,0,0,176,203,377,0,0,0,1093,1336,2428,69,90,161,55,56,106,79,119,200,43,45,88,362,433,803,0,0,0,47,42,87,189,238,423,134,120,253,18,23,42,18,28,44,958,1239,2192,428,478,904,69,67,143,4986,6112,11098,14,10,28,13,11,19,8,5,15,0,0,0,8,7,11,40,96,135,50,99,148,7643,7210,14859,50,45,94,44,60,104,7740,7318,15059,1137,1051,2189,14024,14707,28730
LGA40250,0,0,0,9,12,13,0,0,0,11,8,15,6,3,5,22,21,43,0,0,4,0,0,0,0,0,0,3,0,5,55,69,123,0,0,0,11,13,20,0,3,4,3,5,10,0,0,0,0,0,0,185,259,439,154,153,300,0,0,0,443,544,986,0,0,0,3,0,3,0,0,0,82,82,165,0,0,0,4,0,4,88,89,173,306,364,673,0,0,3,5,5,9,311,371,682,226,265,485,1067,1264,2333
LGA40310,24,55,76,865,1035,1897,0,0,0,102,115,215,0,0,0,939,1098,2043,20,29,52,47,45,88,28,36,67,4,4,12,2033,2298,4331,3,0,3,22,22,47,106,114,224,85,66,152,15,20,28,8,9,19,638,799,1438,292,306,599,38,38,82,5243,6054,11297,11,9,24,6,7,14,3,3,6,0,0,0,3,0,3,21,48,67,26,46,67,6105,5667,11775,54,35,93,15,39,50,6175,5745,11921,864,793,1657,12354,12710,25066
LGA40430,6,9,14,98,122,223,0,0,0,16,6,27,0,0,0,124,157,282,3,3,3,0,0,4,0,0,0,0,0,0,23,36,58,0,0,0,7,4,14,0,3,9,10,15,23,4,0,4,7,9,18,261,290,551,25,25,48,0,0,0,583,679,1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,7,604,477,1080,9,0,7,0,0,0,610,480,1094,130,117,243,1328,1287,2619
LGA40520,18,31,49,323,410,734,0,0,0,21,20,38,0,0,0,567,647,1215,20,37,54,271,257,527,9,11,20,6,9,18,216,315,530,0,0,0,23,21,43,64,64,123,31,30,61,6,9,16,18,14,32,308,387,694,101,124,230,3,3,7,1997,2351,4347,25,23,51,14,5,24,0,0,0,3,0,6,107,99,207,8,28,37,118,133,248,2635,2348,4984,7,8,15,6,10,23,2657,2370,5024,380,354,739,5214,5267,10484
LGA40700,662,836,1501,1926,2644,4571,0,0,0,302,340,638,0,0,4,3735,4456,8187,23,25,47,639,740,1372,37,53,89,23,22,39,259,337,599,52,41,92,75,74,148,157,157,314,205,236,442,0,16,19,13,15,19,912,1212,2129,349,514,862,38,40,81,8736,10922,19662,659,610,1267,476,453,934,55,56,111,0,0,0,122,135,255,119,136,259,240,272,516,10031,9865,19893,97,89,192,41,62,107,10173,10015,20191,978,883,1863,21989,24048,46030
LGA40910,626,830,1457,1059,1443,2502,0,0,0,356,440,790,0,0,0,7791,8604,16392,38,45,84,976,1041,2020,121,142,265,79,79,156,279,362,642,78,68,145,95,123,217,314,361,674,188,207,394,27,36,59,34,52,88,735,1136,1872,614,761,1374,26,24,46,12798,14926,27719,1112,990,2104,625,625,1250,22,31,54,0,0,0,556,527,1082,181,205,387,733,736,1468,9211,8684,17891,87,47,131,47,60,104,9342,8785,18121,1342,1281,2627,26601,28201,54800
LGA41010,0,7,13,138,169,307,0,0,0,11,6,15,0,0,0,143,161,305,13,14,31,43,42,81,0,0,0,0,6,6,196,266,457,0,0,0,0,0,3,19,26,41,4,8,9,0,0,0,4,5,11,87,96,185,34,39,66,3,5,9,707,830,1536,9,8,17,0,0,3,0,0,4,9,11,17,7,7,13,0,4,7,16,24,37,820,664,1483,8,5,10,4,4,9,834,671,1499,201,189,392,1778,1730,3505
LGA41060,1352,1822,3175,3024,3827,6849,0,0,0,645,764,1409,0,0,0,14310,16129,30444,53,89,140,4288,4622,8905,162,187,350,60,82,141,601,779,1383,176,176,353,181,231,413,543,631,1174,248,312,564,42,72,111,32,52,83,1676,2452,4129,1266,1532,2795,39,51,98,27359,31988,59342,1275,1014,2291,1699,1505,3202,25,34,62,8,0,12,928,807,1735,152,185,337,1088,994,2080,23169,21803,44978,187,157,343,74,175,254,23434,22135,45573,3172,2955,6121,59404,62438,121840
LGA41140,16,15,38,386,462,848,0,0,0,34,34,63,0,0,0,662,705,1366,0,5,8,12,14,20,33,48,83,0,5,11,239,289,534,0,0,0,5,8,14,49,59,113,21,36,57,0,4,3,4,7,4,413,516,933,98,97,192,13,12,18,1980,2300,4276,19,16,32,12,10,16,0,5,5,0,0,0,13,15,29,9,21,32,25,40,59,2071,1901,3969,20,6,20,8,7,11,2092,1913,4003,390,364,752,4531,4660,9187
LGA41190,0,3,4,60,64,134,0,0,0,12,12,26,0,0,0,102,106,205,0,0,0,0,0,0,0,0,0,0,0,0,47,59,111,0,0,0,3,0,3,4,9,13,0,3,4,0,0,0,0,0,0,134,143,279,36,41,77,0,0,4,399,443,842,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,310,712,7,0,4,0,0,0,406,313,718,93,76,172,906,839,1742
LGA41330,39,39,78,40,43,83,0,0,0,7,6,13,12,8,19,133,120,253,0,0,0,74,27,105,0,4,6,5,3,3,13,17,34,0,0,0,6,9,10,8,18,21,4,3,7,0,0,0,5,0,6,19,9,30,24,17,42,0,0,0,346,279,623,0,0,0,9,8,17,0,0,0,9,5,10,5,4,7,3,3,6,14,12,20,293,185,479,0,0,0,4,5,7,297,190,483,199,143,344,895,672,1566
LGA41560,17,27,44,508,675,1189,0,0,0,71,123,194,3,0,3,720,810,1535,47,49,94,58,42,99,26,36,68,3,13,16,167,188,356,0,0,3,20,29,50,69,86,158,44,52,91,13,26,46,9,11,22,866,1110,1974,142,167,306,9,3,13,2784,3423,6206,12,12,25,7,5,17,0,0,0,0,0,0,3,4,12,11,27,34,23,27,46,3900,3452,7348,15,17,29,5,18,18,3917,3480,7404,690,618,1303,7453,7598,15050
LGA41750,3,3,3,52,54,104,0,0,0,6,6,8,0,0,0,85,80,160,0,0,0,0,0,0,0,0,0,0,0,0,27,14,45,0,0,0,0,0,4,4,5,9,9,10,22,0,0,0,0,0,0,45,45,90,23,17,38,0,0,0,249,246,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,8,225,174,402,0,0,0,0,0,3,228,179,406,62,42,105,544,474,1014
LGA41830,3,4,9,68,74,138,0,0,0,6,10,17,0,3,3,104,124,225,0,3,3,0,0,0,0,7,3,3,3,10,11,15,27,0,0,0,0,0,3,3,5,13,3,10,10,3,0,3,7,7,5,99,122,222,5,7,18,0,0,0,320,387,705,0,0,3,0,4,5,0,0,0,0,0,0,0,0,0,0,3,5,0,3,5,377,350,726,3,3,7,0,0,3,379,353,734,94,86,185,810,836,1646
LGA41960,8,8,10,48,54,103,0,0,0,6,4,15,0,0,0,50,73,128,0,3,7,0,0,0,4,3,7,0,0,0,36,47,84,0,0,0,9,3,8,0,0,5,4,4,8,0,4,4,0,0,0,64,73,141,28,18,44,0,0,0,247,298,541,0,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,238,573,0,0,0,0,0,0,332,238,572,82,69,157,675,618,1293
LGA42030,71,113,176,1103,1475,2580,0,0,0,142,163,311,0,0,0,1382,1688,3074,33,40,75,92,90,180,64,72,136,12,19,31,375,494,872,5,4,9,48,54,98,175,184,358,57,90,148,32,52,77,17,18,37,515,767,1286,281,365,650,13,16,25,4353,5598,9950,31,22,54,25,22,49,9,5,6,0,0,3,0,0,6,51,79,126,53,79,134,6699,6264,12958,46,35,79,24,35,58,6762,6333,13094,772,749,1520,12073,12916,24988
LGA42110,7,12,24,171,201,376,0,0,0,11,16,28,0,0,0,222,224,443,0,0,0,8,5,13,0,6,3,4,4,9,275,258,533,0,0,0,11,8,19,13,13,23,6,13,23,0,0,3,0,8,11,201,197,401,37,42,81,7,0,9,968,997,1969,7,5,8,7,0,8,0,0,0,0,0,0,0,0,0,6,7,9,6,7,9,830,755,1585,12,5,13,0,6,7,842,765,1606,228,212,439,2057,2003,4060
LGA42250,7,21,29,277,284,558,0,0,0,52,39,87,7,3,6,578,623,1200,3,0,4,10,17,23,6,5,10,8,0,7,81,125,211,0,0,0,5,3,12,25,26,50,165,144,310,18,8,29,6,9,17,209,238,454,89,84,168,7,5,9,1534,1621,3154,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,12,20,6,15,25,2150,1828,3985,13,5,15,9,4,10,2173,1838,4009,1023,382,1405,4752,3881,8636
LGA42600,134,192,326,1698,2255,3951,0,0,0,190,222,410,0,0,0,3221,3814,7035,43,65,106,353,364,717,36,41,80,23,30,54,275,383,656,6,7,17,64,68,132,68,111,175,138,155,298,19,16,36,5,9,13,846,1207,2058,333,435,765,24,33,60,7346,9211,16560,197,177,378,137,124,269,20,29,45,7,0,3,65,61,127,83,111,191,151,174,323,8855,8640,17500,75,54,129,24,63,83,8955,8757,17714,976,953,1930,17917,19619,37543
LGA42750,22,28,47,223,208,429,0,0,0,8,13,19,0,0,0,190,210,391,0,3,7,7,6,12,4,4,7,10,17,25,42,46,88,0,0,0,6,6,11,16,20,38,17,20,33,0,0,3,7,4,13,138,176,310,65,66,139,5,12,16,728,802,1526,10,4,12,4,0,7,0,0,3,0,0,0,5,5,6,6,12,11,9,13,14,1459,1261,2719,10,10,20,6,8,16,1476,1277,2753,288,247,531,2527,2363,4894
LGA43080,0,0,5,29,34,61,0,0,0,7,9,8,0,0,0,38,49,84,0,0,0,0,0,0,0,0,0,0,0,0,56,52,109,0,0,0,0,0,0,5,4,5,3,0,4,0,0,0,4,0,11,56,74,133,34,21,60,4,3,5,245,249,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,160,390,0,4,4,0,0,0,230,162,394,66,48,111,541,463,1007
LGA43220,0,5,6,18,16,33,0,0,0,3,0,7,0,0,0,45,48,97,0,0,0,0,0,0,3,5,5,0,0,0,9,16,29,0,0,0,0,0,0,13,14,22,4,4,7,0,0,0,0,0,0,98,110,211,24,27,52,0,0,0,221,239,458,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,263,208,470,0,0,0,0,0,0,269,210,473,45,38,89,536,494,1037
