LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA54200,11358,6770,6450,7970,7889,7218,6227,3593,1292,58762
LGA54280,6492,3610,4812,4401,3915,3416,1782,678,202,29306
LGA54310,5642,2369,4115,4351,3142,1864,574,135,12,22199
LGA54340,782,503,531,486,489,518,427,232,100,4057
LGA54410,147,109,93,119,154,206,153,114,46,1138
LGA54480,120,41,59,84,84,47,32,19,0,491
LGA54550,372,137,179,249,236,305,222,150,54,1901
LGA54620,145,74,82,114,125,130,110,51,18,847
LGA54690,64,14,28,41,56,69,60,27,6,361
LGA54760,163,41,78,107,117,114,94,43,11,769
LGA54830,10410,5642,7857,7718,5670,4134,2717,1314,416,45867
LGA54900,251,119,144,178,173,200,128,67,13,1265
LGA54970,133,136,323,236,223,207,56,11,5,1333
LGA55040,265,205,351,265,216,180,81,26,3,1588
LGA55110,15677,9464,9182,9972,10978,11960,12513,7848,2707,90306
LGA55180,1484,927,907,944,1246,1510,1213,647,221,9093
LGA55250,174,165,270,166,154,155,81,31,0,1200
LGA55320,17909,12738,10955,13403,13754,12993,11756,6676,3336,103523
LGA55390,29,77,115,108,82,70,40,11,0,524
LGA55460,588,349,373,370,398,449,368,160,65,3119
LGA55530,78,27,38,48,55,75,52,34,9,407
LGA55600,437,234,244,235,324,337,268,149,57,2292
LGA55670,147,71,62,63,77,83,98,36,18,660
LGA55740,1549,1185,1009,1139,1334,1141,995,594,211,9169
LGA55810,122,55,70,97,104,103,72,23,9,653
LGA55880,79,22,42,62,75,100,45,20,16,459
LGA55950,121,48,62,60,82,85,68,46,11,579
LGA56090,6535,4336,4241,4932,5655,5720,4548,2428,775,39166
LGA56160,32,3,13,17,17,10,5,0,0,101
LGA56230,3275,1887,1768,2009,2285,2496,2502,1433,409,18068
LGA56300,208,83,94,178,182,280,336,151,30,1538
LGA56370,153,47,106,69,98,119,89,68,41,787
LGA56460,827,589,536,524,592,654,567,326,159,4779
LGA56580,4202,3045,1863,2448,3143,2774,2506,1499,650,22132
LGA56620,293,242,230,210,180,135,52,14,3,1358
LGA56730,2061,1242,1227,1305,1488,1662,1438,706,237,11358
LGA56790,482,205,239,324,408,606,597,282,86,3227
LGA56860,33,33,17,20,37,46,44,14,4,255
LGA56930,264,322,112,119,215,220,183,114,41,1597
LGA57000,84,58,76,95,102,117,55,26,11,629
LGA57080,1999,4868,8545,4824,2682,2481,1901,901,268,28463
LGA57140,169,81,89,94,123,177,172,107,23,1037
LGA57210,903,488,455,573,769,910,823,352,117,5388
LGA57280,3879,1663,3066,2832,2024,1608,468,111,33,15684
LGA57350,149,49,87,81,121,160,190,81,39,961
LGA57420,392,139,297,257,299,323,221,126,32,2085
LGA57490,29431,16896,18324,18382,17886,15559,10901,6210,2083,135678
LGA57630,0,6,13,7,11,31,22,15,0,109
LGA57700,8017,3704,4896,4765,4066,3391,2123,955,249,32173
LGA57770,169,73,152,133,124,166,145,63,8,1031
LGA57840,6226,5914,6604,5719,5276,5155,4773,2503,1233,43405
LGA57910,38268,24550,37576,34928,28195,24207,20107,12645,5894,226369
LGA57980,2726,1807,2660,2411,2135,1989,1947,1153,439,17267
LGA58050,33231,19203,23311,22878,19814,16713,10855,5197,1767,152974
LGA58190,75,34,45,37,64,69,40,25,6,386
LGA58260,120,43,62,77,71,76,72,45,6,575
LGA58330,627,359,338,412,659,967,818,353,72,4601
LGA58400,26,27,34,16,38,61,47,29,0,298
LGA58470,45,21,22,24,24,25,15,0,0,170
LGA58510,5157,4533,7737,5954,4324,3695,2834,1626,1022,36889
LGA58540,136,57,75,101,114,152,102,50,12,802
LGA58570,5245,3842,8305,6304,4660,3835,2485,1197,667,36537
LGA58610,282,149,173,191,207,277,284,152,47,1761
LGA58680,79,49,47,57,96,84,72,48,9,535
LGA58760,46118,27334,29094,30915,28677,21776,14772,7804,2623,209111
LGA58820,697,417,369,482,578,660,627,305,106,4234
LGA58890,137,63,58,85,123,149,105,46,24,773
LGA59030,46,16,32,30,24,46,38,19,6,248
LGA59100,138,49,75,67,86,123,81,57,18,690
LGA59170,220,71,106,152,121,154,111,65,17,1021
LGA59250,85,72,108,95,88,42,39,13,0,535
LGA59310,243,98,149,166,149,201,191,75,20,1297
LGA59320,99,33,43,49,52,84,61,22,3,448
LGA59330,59,28,47,45,58,78,82,65,9,470
LGA59340,1721,857,1302,1102,1030,889,418,136,25,7477
LGA59350,29,41,106,46,52,33,25,7,4,340
LGA59360,117,65,187,169,222,215,127,50,21,1173
LGA59370,491,221,249,327,385,624,680,369,108,3459
LGA59499,772,820,1512,1543,1313,1144,758,155,30,8055
LGA59799,0,42,116,170,109,62,18,0,0,514
LGA60210,878,438,489,644,827,1358,1339,643,155,6770
LGA60410,4307,2389,2798,2401,2336,2081,1740,757,176,18995
LGA60610,3604,2453,2609,2276,2584,2624,2097,1223,450,19918
LGA60810,3574,2372,2301,2344,2888,3635,3157,1834,646,22760
LGA61010,383,233,243,265,295,471,437,166,32,2520
LGA61210,1539,869,1022,887,1006,1178,969,473,170,8117
LGA61410,10577,6368,8611,7877,7369,7837,7047,4175,1673,61531
LGA61510,1953,1292,1228,1343,1461,1593,1238,631,197,10942
LGA61610,4437,2857,3450,2817,3255,3389,3243,1984,717,26150
LGA61810,1111,645,701,666,813,1145,1003,529,217,6829
LGA62010,120,42,53,97,108,170,200,107,20,922
LGA62210,1121,700,694,705,855,1155,1098,535,163,7033
LGA62410,494,298,525,464,559,970,1062,513,134,5012
LGA62610,8302,5619,9677,6561,5634,5799,4619,2965,1238,50411
LGA62810,7353,7061,10747,6989,6619,6288,5670,3018,1331,55077
LGA63010,3135,1708,1842,2141,2432,2976,2545,1140,333,18259
LGA63210,1006,638,637,694,931,1247,926,425,105,6603
LGA63410,273,110,202,215,189,236,234,122,33,1617
LGA63610,7187,4355,4959,5219,5187,5013,4800,2553,810,40082
LGA63810,1929,1168,1262,1244,1584,1838,1992,1063,339,12420
LGA64010,11863,8729,10853,8447,8598,8252,7171,4348,1793,70055
LGA64210,3413,2117,2272,2244,2694,3063,2813,1590,503,20709
LGA64610,2299,1401,1575,1382,1787,2049,1946,994,311,13745
LGA64810,2920,1678,2217,2056,2026,2484,2108,936,300,16734
LGA65010,1140,768,746,753,907,1078,820,367,86,6662
LGA65210,265,175,175,248,308,571,554,240,58,2593
LGA65410,2425,1367,1352,1521,1824,2211,2055,1179,364,14300
LGA65610,670,368,521,454,629,726,582,254,59,4263
LGA65810,4217,2648,2665,2793,3276,3746,3372,1852,575,25145
LGA69499,129,215,228,198,203,199,163,31,3,1377
LGA69799,0,0,4,4,7,0,0,0,0,19
LGA70200,5398,2773,4872,4023,3313,3048,1701,604,176,25912
LGA70420,1568,956,1150,832,720,638,337,100,10,6316
LGA70540,24,26,30,20,14,25,5,0,0,149
LGA70620,960,615,613,482,402,304,145,53,18,3591
LGA70700,203,95,126,113,176,269,215,79,6,1276
LGA71000,14894,9148,15994,12810,10273,8544,5845,2449,578,80530
LGA71150,24,17,95,54,34,47,16,3,0,293
LGA71300,2036,1848,1576,1292,970,699,281,71,12,8778
LGA72200,2167,1169,1857,1388,1182,1025,585,223,46,9643
LGA72300,3879,2675,2875,3072,3437,2948,1829,599,97,21411
LGA72330,1312,912,1108,920,713,482,232,60,14,5748
LGA72800,9406,4786,6886,6089,4598,3083,1677,559,159,37247
LGA73600,1503,1248,1160,878,753,556,304,83,12,6486
LGA74050,531,395,396,351,343,225,89,19,0,2348
LGA74550,681,552,492,299,322,240,170,50,13,2815
LGA74560,57,23,12,47,79,88,83,25,0,423
LGA74660,1522,1123,1248,929,766,484,171,41,4,6281
LGA74680,829,597,569,424,279,178,72,17,7,2973
LGA79399,1456,721,1145,1206,983,764,421,85,12,6802
LGA79499,446,276,661,573,591,579,318,49,7,3500
LGA79799,0,15,23,22,19,17,0,0,0,99
LGA89399,82892,60460,77634,69285,56126,45328,35639,19340,7180,453890
LGA89499,50,148,108,104,77,78,34,10,4,605
LGA89799,0,0,0,0,0,0,0,0,0,0
LGA99399,410,232,189,282,344,447,345,192,54,2494
LGA99499,0,0,4,0,0,3,0,0,0,11
LGA99799,0,0,0,0,0,0,0,0,0,0
