LGA_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA11500,44903,139183,3917,8749,4787,11774,8701,20522,1023,1817,500,822,1570,3066,182,337,405,929,3674,6965,0,0,0,0,0,7,13,21,16,29,71,136,57368,166836,2888,..,60258,166836
LGA11520,12769,38258,1079,2746,2228,5615,3307,8365,3311,6569,3357,6875,6902,14500,4353,9398,93,218,18011,37569,0,0,0,0,0,0,373,791,373,791,48,90,34512,85066,3369,..,37883,85066
LGA11570,64393,210588,4286,11073,14112,43631,18398,54701,12128,27656,10399,24887,7494,17868,2427,5974,956,2794,33403,79185,5,8,0,0,0,0,580,1386,586,1391,251,639,117031,346501,9183,..,126210,346501
LGA11600,911,2279,0,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0,23,47,0,4,7,9,7,18,4,6,20,41,16,36,965,2406,139,..,1109,2406
LGA11650,103225,275889,9627,15994,6113,12175,15743,28170,6473,10951,1519,2669,2473,4411,600,1076,423,883,11486,19989,345,501,487,756,8,16,148,291,983,1563,280,538,131713,326143,14532,..,146248,326143
LGA11700,480,1168,20,28,0,3,21,28,3,11,0,0,0,0,0,0,0,5,6,13,7,8,0,0,0,0,0,0,7,8,73,148,591,1363,228,..,819,1363
LGA11720,20413,54914,1460,2540,270,443,1731,2984,243,340,0,0,0,0,0,0,50,113,300,462,33,37,7,9,6,8,21,35,59,92,50,115,22556,58557,2108,..,24664,58557
LGA11730,18018,43740,851,1347,497,928,1345,2276,762,1168,88,137,22,36,0,0,42,73,916,1413,109,175,280,402,19,29,152,357,560,955,89,180,20932,48567,3211,..,24141,48567
LGA11750,1270,3076,39,69,3,6,44,74,68,96,0,0,0,0,0,0,0,0,68,96,8,15,4,3,0,0,7,24,20,41,9,26,1409,3300,533,..,1940,3300
LGA11800,22545,59853,2037,3650,1472,3117,3508,6762,2228,3911,387,712,265,417,115,181,77,149,3078,5366,163,341,330,493,5,0,23,50,521,885,127,244,29774,73113,2730,..,32505,73113
LGA12000,1600,3952,23,43,0,4,23,47,9,8,0,0,0,0,0,0,6,3,13,15,3,9,0,0,3,9,3,6,10,17,6,6,1649,4035,219,..,1875,4035
LGA12150,1216,3001,22,44,0,6,23,50,43,60,0,0,0,0,0,0,0,0,43,60,0,0,0,0,0,0,5,13,3,9,10,22,1303,3148,265,..,1567,3148
LGA12160,4150,9723,194,257,25,35,214,290,73,118,14,16,0,0,0,0,0,0,83,133,3,4,0,7,0,0,22,49,31,55,17,29,4490,10237,612,..,5101,10237
LGA12350,4678,10944,245,350,29,46,278,397,80,112,7,14,0,0,0,0,0,5,90,132,13,13,7,7,3,7,6,9,24,40,11,29,5081,11539,732,..,5813,11539
LGA12380,37257,126073,2945,7257,7847,25121,10796,32379,4789,11238,7001,17538,8276,21772,2395,7119,731,2242,23184,59910,0,0,0,0,6,11,178,557,189,572,242,592,71666,219519,6472,..,78143,219519
LGA12390,16444,43868,1438,2493,65,125,1502,2616,1125,1817,10,18,0,0,0,0,20,42,1159,1877,31,43,7,21,7,12,52,114,100,193,70,138,19279,48697,1623,..,20900,48697
LGA12700,3469,8822,55,80,0,0,55,80,8,11,0,0,0,0,0,0,0,0,8,11,12,14,8,22,4,5,11,14,32,64,16,50,3578,9030,416,..,3998,9030
LGA12730,2998,6964,273,373,13,11,281,388,16,34,0,0,0,0,0,0,0,0,16,34,9,9,0,4,0,4,5,12,10,23,18,38,3331,7448,523,..,3856,7448
LGA12750,13873,32214,802,1275,577,1013,1379,2291,861,1343,58,83,36,50,0,3,25,38,974,1512,111,185,188,278,5,6,21,64,322,529,51,82,16603,36633,6226,..,22827,36633
LGA12850,43987,151697,1551,3899,6055,19278,7598,23172,2734,5982,2789,6338,2024,4675,554,1325,864,2547,8970,20874,64,86,0,0,3,8,99,241,173,336,191,505,60918,196584,3484,..,64394,196584
LGA12870,4610,10624,530,772,0,4,532,774,24,31,0,0,0,0,0,0,0,0,27,34,8,7,29,36,3,3,11,24,51,70,15,45,5231,11542,888,..,6123,11542
LGA12900,3192,7868,151,237,9,18,156,256,158,196,0,3,0,0,0,0,4,0,162,201,15,27,19,24,0,0,17,37,44,81,6,18,3563,8421,451,..,4012,8421
LGA12930,27051,84020,2190,4853,3811,10778,5995,15629,1922,3935,5661,13108,7997,19240,3080,7758,297,751,18946,44790,0,0,3,5,0,0,304,684,308,685,93,186,52401,145312,4070,..,56469,145312
LGA12950,1482,3531,42,50,0,0,42,50,47,70,0,0,0,0,0,0,0,0,51,71,10,18,3,7,0,0,6,8,22,36,5,4,1598,3697,315,..,1907,3697
LGA13010,3347,7346,155,227,9,8,158,235,76,93,0,0,0,0,0,0,0,0,76,93,17,29,7,15,4,6,7,28,34,80,11,16,3628,7774,579,..,4207,7774
LGA13310,10534,26416,867,1403,170,311,1036,1718,279,401,61,76,0,0,0,0,21,35,355,512,11,22,36,65,0,0,45,69,94,153,25,38,12045,28839,1799,..,13847,28839
LGA13340,3828,9803,76,103,3,0,77,109,0,0,0,0,0,0,0,0,0,0,4,0,5,12,0,0,0,7,5,13,10,41,16,27,3936,9978,548,..,4481,9978
LGA13450,7785,21721,362,719,64,99,428,818,887,1933,25,64,0,0,0,0,10,29,928,2024,27,33,16,20,0,3,40,100,85,162,45,109,9266,24831,753,..,10019,24831
LGA13550,4224,11042,318,503,45,65,356,568,75,99,0,0,5,6,0,0,4,11,83,117,15,16,0,5,0,0,5,8,22,29,7,15,4697,11769,632,..,5336,11769
LGA13660,1821,4246,27,43,0,0,27,43,9,10,0,0,0,0,0,0,0,0,9,10,14,25,0,0,5,7,0,23,23,43,15,27,1898,4374,348,..,2244,4374
LGA13800,20015,57869,1644,3056,555,1188,2198,4245,474,749,100,174,21,32,0,0,64,152,660,1110,35,61,47,62,8,28,25,59,121,204,68,140,23060,63569,1424,..,24485,63569
LGA13850,1037,2308,80,125,0,0,80,125,12,19,0,0,0,0,0,0,0,0,12,19,0,3,0,0,0,0,3,3,3,7,5,12,1134,2470,239,..,1372,2470
LGA13910,6742,16509,435,667,14,26,448,696,128,173,0,0,0,0,0,0,3,11,137,185,16,27,19,24,0,3,19,46,56,103,31,60,7403,17551,1185,..,8591,17551
LGA14000,35868,110699,1019,1909,3273,8469,4292,10378,1410,2443,3199,6477,3863,8902,2591,6242,213,499,11283,24569,11,13,52,82,0,0,59,144,119,240,65,126,51629,146010,3055,..,54684,146010
LGA14100,2891,8936,96,222,639,1433,731,1656,393,620,224,395,412,677,0,0,3,0,1024,1704,0,0,0,4,0,0,8,12,7,15,10,13,4670,12324,472,..,5144,12324
LGA14170,21357,60593,11304,27439,8774,22530,20072,49974,9668,17429,11325,20238,8864,16203,1243,2402,329,630,31418,56901,0,0,5,11,0,0,1075,2192,1084,2199,152,287,74091,169955,8152,..,82244,169955
LGA14220,6007,14846,402,625,72,110,476,730,52,72,0,0,0,0,0,4,7,12,63,85,22,26,7,15,5,8,12,33,50,87,33,42,6626,15791,786,..,7414,15791
LGA14300,1977,4952,33,45,6,14,35,62,62,71,3,11,0,0,0,0,0,0,68,80,0,0,5,19,5,3,6,11,14,38,5,17,2103,5146,269,..,2368,5146
LGA14350,10220,25351,198,357,91,169,294,528,597,905,55,87,0,0,0,3,12,25,664,1014,65,106,50,95,0,6,16,36,142,241,38,83,11352,27218,1745,..,13104,27218
LGA14400,6555,17724,393,714,838,1697,1230,2414,247,421,181,315,310,452,0,0,29,52,756,1244,6,11,16,28,0,0,31,54,52,96,20,31,8612,21504,1699,..,10317,21504
LGA14500,28718,91350,207,422,1414,3299,1624,3720,1624,2914,1695,3318,7120,15959,842,1854,88,208,11365,24254,0,0,5,9,0,0,112,256,121,262,37,89,41864,119680,3165,..,45029,119680
LGA14550,3553,8073,12,16,3,6,14,16,85,109,4,4,0,0,0,0,3,13,95,128,18,31,8,15,11,18,20,41,59,105,20,40,3736,8365,559,..,4295,8365
LGA14600,2067,5051,39,52,0,5,42,60,58,91,0,0,0,0,0,0,0,0,58,91,4,4,0,0,0,4,0,4,9,11,19,51,2191,5256,491,..,2681,5256
LGA14650,68750,182461,5140,8203,2675,5214,7813,13418,2143,3167,318,500,696,1143,252,439,178,355,3589,5601,91,139,224,308,9,15,91,200,406,663,116,213,80677,202355,5384,..,86059,202355
LGA14700,5832,18203,201,509,600,1374,801,1881,837,1571,2826,5570,3968,7797,1071,2211,49,116,8750,17269,0,0,0,0,0,0,11,41,19,45,19,42,15420,37441,1391,..,16813,37441
LGA14750,3451,9027,105,179,12,27,113,198,324,508,0,0,0,0,0,0,0,0,324,508,7,7,24,45,0,4,18,51,50,103,22,66,3961,9904,330,..,4296,9904
LGA14850,14325,36143,1189,1809,516,904,1703,2710,663,1089,78,117,0,0,0,6,74,145,816,1348,68,79,167,202,9,17,24,64,268,359,49,92,17154,40661,1321,..,18477,40661
LGA14870,7455,17510,542,808,99,160,643,967,107,153,8,13,0,0,0,5,7,19,133,189,14,17,10,15,0,0,40,94,64,122,28,57,8319,18840,1261,..,9585,18840
LGA14900,50658,174816,1288,3184,5805,16061,7098,19243,1608,2882,4078,8548,1801,4535,3321,7442,487,1341,11301,24751,0,0,0,0,4,8,40,92,38,95,212,586,69314,219497,4553,..,73866,219497
LGA14920,2719,6460,58,81,4,7,66,93,34,58,0,0,0,0,0,0,0,0,34,58,4,3,0,0,0,0,5,18,13,28,11,22,2848,6658,462,..,3306,6658
LGA14950,1158,2888,8,15,0,0,8,15,17,20,0,0,0,0,0,0,0,0,17,20,0,3,0,0,0,0,3,5,5,10,17,51,1202,2980,121,..,1332,2980
LGA15050,28499,79203,2516,4413,627,1067,3138,5478,651,908,0,0,31,48,0,0,71,161,752,1124,155,197,10,10,8,13,47,80,214,297,52,102,32648,86211,1744,..,34397,86211
LGA15240,32628,77439,2854,4569,619,1178,3480,5753,1811,2693,467,695,381,627,75,133,21,52,2758,4205,199,302,330,494,15,25,120,234,662,1052,130,208,39654,88653,7715,..,47366,88653
LGA15270,8811,22202,589,987,22,43,609,1028,76,103,10,12,0,0,0,3,0,0,84,117,38,42,46,82,0,3,27,45,110,173,25,39,9638,23557,1704,..,11339,23557
LGA15300,3433,9002,381,685,66,112,443,792,75,114,0,0,0,0,0,0,3,0,77,117,21,39,9,12,0,0,14,23,47,80,43,78,4042,10068,906,..,4953,10068
LGA15350,4028,12192,755,1939,629,1487,1389,3428,1353,2742,2847,4913,1144,1941,589,931,67,120,6001,10652,0,0,3,15,0,0,91,191,96,203,29,41,11544,26522,1472,..,13019,26522
LGA15520,4337,10592,391,598,17,37,406,634,34,43,0,0,0,0,0,0,0,0,34,43,14,32,38,56,0,0,7,21,62,101,34,75,4875,11453,929,..,5803,11453
LGA15560,1210,2831,20,20,0,0,19,23,44,54,0,0,0,0,0,0,0,0,44,54,0,0,0,0,0,0,10,16,10,21,7,15,1291,2943,191,..,1489,2943
LGA15650,5292,13781,448,693,152,214,595,910,43,66,16,29,0,0,0,0,3,5,58,95,16,33,8,7,0,0,10,13,33,60,31,43,6001,14894,805,..,6802,14894
LGA15700,7117,16763,354,601,167,274,524,879,241,406,112,164,28,38,0,0,16,38,393,641,39,64,80,120,0,7,38,76,166,269,60,100,8265,18655,894,..,9156,18655
LGA15750,4114,10484,353,495,31,46,384,544,29,39,0,0,0,0,0,0,0,0,31,38,19,26,9,15,4,7,4,9,33,61,14,42,4574,11167,715,..,5291,11167
LGA15800,2014,4756,43,67,6,0,44,65,49,71,6,0,0,0,0,0,0,0,53,73,0,8,0,0,0,0,13,28,14,38,8,23,2141,4964,326,..,2460,4964
LGA15850,2072,5221,82,109,0,4,85,114,42,59,0,0,0,0,0,0,0,0,42,59,7,20,0,0,0,3,3,12,10,30,12,31,2221,5450,317,..,2534,5450
LGA15900,45617,119197,4532,8070,6194,12926,10724,20990,3501,5461,2299,3739,1921,3226,1386,2254,304,609,9410,15283,8,16,17,17,3,0,220,402,244,442,131,214,66129,156127,5531,..,71658,156127
LGA15950,3593,9986,1173,2818,2948,6959,4121,9775,3596,7124,7159,12945,5923,10337,7826,13778,29,59,24535,44240,0,0,5,6,0,0,68,141,75,143,78,130,32395,64271,5201,..,37603,64271
LGA15990,54040,168808,2097,4335,6201,14234,8299,18570,6758,13272,13756,27541,8541,16559,1906,3642,513,1247,31478,62252,20,53,50,58,6,6,310,693,388,813,177,377,94377,250828,7647,..,102024,250828
LGA16100,1914,4583,80,120,0,3,82,124,10,18,11,18,0,0,0,0,0,0,26,38,8,16,4,5,0,0,0,0,9,19,12,17,2038,4776,470,..,2506,4776
LGA16150,13966,36588,1355,2123,204,338,1556,2459,510,753,34,60,0,0,0,0,17,31,557,836,19,20,0,7,0,0,31,70,54,101,51,120,16183,40100,1476,..,17655,40100
LGA16200,4842,12122,172,300,17,13,191,313,279,391,6,12,0,0,0,0,3,7,292,406,15,15,8,9,0,0,18,34,38,66,41,89,5401,12998,777,..,6178,12998
LGA16260,35872,110289,2649,5917,9602,27381,12253,33295,4255,8234,8947,20162,16110,37672,13955,31672,293,737,43561,98483,5,24,0,0,0,0,185,482,189,508,232,495,92109,243061,10326,..,102443,243061
LGA16350,57474,171639,2743,5760,6187,15135,8934,20899,1745,2696,1524,2588,2311,4094,831,1480,299,716,6712,11574,27,42,93,120,8,22,54,136,179,313,104,235,73398,204659,3973,..,77368,204659
LGA16380,26385,67100,3526,5897,1124,2246,4645,8137,1610,2485,588,958,972,1531,134,231,38,106,3343,5315,58,93,265,377,0,0,52,103,374,576,102,191,34848,81323,3321,..,38174,81323
LGA16400,23362,60447,2155,3647,1756,3656,3911,7301,323,488,222,354,428,736,0,0,59,132,1038,1706,150,208,268,479,9,13,33,62,452,770,96,168,28868,70394,5236,..,34100,70394
LGA16490,17078,48366,1680,3169,1572,3191,3262,6356,1067,1696,554,966,934,1635,77,130,30,68,2661,4499,22,41,0,5,3,0,36,85,61,133,41,72,23100,59422,2191,..,25291,59422
LGA16550,13790,42327,3381,8901,5217,14821,8601,23719,5462,10955,13526,25695,7184,13972,2215,4559,140,324,28527,55502,0,0,0,0,0,0,443,891,443,891,74,140,51433,122587,5939,..,57369,122587
LGA16610,7455,18907,585,927,232,459,819,1390,295,446,9,11,0,0,0,3,17,33,326,489,98,152,60,96,9,18,29,55,197,319,32,63,8825,21162,852,..,9675,21162
LGA16700,20016,61255,2657,6475,4299,10848,6956,17324,1350,2350,6489,11988,7490,15822,6380,12886,148,320,21854,43363,4,3,0,0,0,3,115,237,124,248,93,162,49040,122352,4873,..,53917,122352
LGA16900,21963,62042,1845,3285,2086,4572,3931,7860,998,1646,111,187,98,161,0,0,88,201,1300,2191,271,380,4,5,0,0,41,72,312,456,39,78,27543,72633,1346,..,28891,72633
LGA16950,37225,90356,2622,4327,845,1431,3469,5757,709,1123,32,48,11,20,0,0,115,218,865,1415,119,173,658,999,7,16,67,142,852,1333,252,390,42667,99247,12794,..,55463,99247
LGA17000,7479,20979,400,740,209,373,615,1109,235,349,0,0,0,0,0,0,4,0,231,352,47,61,43,71,3,4,8,26,94,167,16,32,8443,22638,808,..,9255,22638
LGA17040,6995,17356,205,371,174,451,385,825,463,1026,54,137,8,17,0,0,22,51,551,1224,16,21,5,9,9,15,26,75,60,127,61,133,8043,19670,2550,..,10589,19670
LGA17080,5188,12543,356,510,8,14,359,520,51,64,6,5,0,0,0,0,3,5,58,73,3,10,0,6,5,10,20,33,35,54,33,65,5671,13263,807,..,6481,13263
LGA17100,5388,17462,138,339,692,2014,832,2353,1064,2328,2103,5164,4447,11123,1751,4410,8,25,9366,23046,0,0,0,0,0,0,93,264,93,264,67,122,15746,43254,1754,..,17495,43254
LGA17150,50676,155206,2649,5562,8913,21170,11559,26729,3662,6233,8726,16175,6329,11780,1767,3275,177,402,20656,37863,68,96,39,58,0,0,181,375,285,531,115,215,83292,220551,5361,..,88647,220551
LGA17200,2081,5661,3580,7703,14354,33431,17935,41138,2544,4240,8527,14142,29714,52092,35889,67578,77,177,76760,138226,0,0,0,0,0,0,537,1078,541,1079,425,669,97743,186777,18733,..,116478,186777
LGA17310,20808,53391,1811,2841,346,585,2157,3432,357,577,22,33,18,40,0,0,20,34,419,684,62,82,39,56,3,8,17,41,127,180,115,192,23617,57881,2298,..,25914,57881
LGA17350,2203,5295,134,174,5,11,140,187,13,13,0,0,0,0,0,0,0,0,13,13,6,3,0,4,0,0,25,39,32,51,7,14,2393,5560,376,..,2766,5560
LGA17400,2724,5822,24,47,0,0,24,47,66,94,0,0,0,0,0,0,0,0,66,94,10,24,8,10,12,15,14,15,37,57,17,36,2875,6066,713,..,3591,6066
LGA17420,48537,159647,845,1629,4468,12702,5313,14331,783,1524,1132,2546,2706,5795,1024,2237,192,484,5836,12583,3,10,0,0,0,0,15,24,13,39,111,274,59810,186865,3017,..,62824,186865
LGA17550,24836,65810,4289,8024,2823,6004,7107,14029,2023,3296,1584,2791,630,1084,525,912,70,142,4828,8216,131,229,545,777,3,8,39,91,716,1102,107,192,37602,89359,3892,..,41496,89359
LGA17620,4988,12296,355,612,27,39,385,652,43,66,0,0,0,0,0,0,0,0,44,70,15,27,42,51,4,4,4,20,65,103,20,36,5499,13155,850,..,6355,13155
LGA17640,3138,7532,60,76,4,8,60,88,14,13,0,0,0,0,0,0,0,6,13,17,13,13,0,0,0,3,4,22,19,38,17,47,3249,7724,983,..,4226,7724
LGA17650,2179,5350,54,79,0,0,54,79,16,20,0,0,0,0,0,0,0,3,19,25,7,9,7,5,0,0,9,28,30,46,4,8,2285,5513,299,..,2586,5513
LGA17750,21184,56240,954,1506,222,388,1180,1894,2092,3236,113,145,40,54,3,6,25,44,2276,3493,18,28,10,23,0,3,60,154,93,207,42,81,24776,61912,2005,..,26775,61912
LGA17850,1122,2571,0,3,3,3,3,6,39,45,0,0,0,0,0,0,0,0,39,45,0,4,9,11,0,0,0,0,10,17,6,0,1183,2641,321,..,1501,2641
LGA17900,1252,3076,56,81,0,0,56,81,22,32,0,0,0,0,0,0,0,5,22,36,26,44,0,4,202,336,10,27,236,412,87,162,1660,3760,416,..,2079,3760
LGA17950,864,2130,50,64,4,6,44,70,14,20,0,0,0,0,0,0,0,0,14,20,0,4,0,0,0,0,0,4,3,7,15,25,936,2247,180,..,1124,2247
LGA18020,3235,7567,39,55,0,6,38,59,63,81,0,0,0,0,0,0,3,3,69,88,8,11,4,7,4,5,10,21,24,41,33,86,3400,7840,721,..,4115,7840
LGA18050,4405,14041,2163,5882,2810,8265,4969,14145,3615,7369,8234,15680,3452,6322,2256,4231,33,96,17590,33690,0,0,0,0,0,0,443,865,443,865,54,91,27455,62837,3735,..,31190,62837
LGA18100,1405,3118,34,59,5,5,34,61,46,59,0,0,0,3,0,0,0,0,52,58,3,4,0,0,0,0,3,11,8,12,3,7,1500,3258,253,..,1755,3258
LGA18200,2348,6057,100,151,3,8,105,160,30,43,0,0,0,0,0,0,0,5,33,50,37,44,5,10,3,7,3,9,49,67,14,20,2546,6355,484,..,3026,6355
LGA18250,12337,37819,854,2221,1287,3457,2145,5677,1555,3178,3354,7211,3144,6909,4893,10736,58,164,13007,28199,0,0,0,0,0,0,73,146,71,143,32,58,27599,71892,2675,..,30275,71892
LGA18350,18252,46282,942,1447,341,602,1288,2051,386,655,17,39,0,0,0,3,56,118,464,809,21,38,74,89,7,10,45,95,146,232,35,73,20184,49445,2250,..,22436,49445
LGA18400,16388,49784,556,896,67,153,615,1046,99,144,4,9,0,0,0,0,60,160,168,315,0,0,66,73,9,4,35,65,106,147,47,83,17325,51371,894,..,18211,51371
LGA18450,55191,154233,3935,7180,5888,12608,9827,19785,5711,10045,3016,5150,3827,6966,2075,3959,296,696,14928,26816,24,41,224,326,3,4,310,641,565,1011,152,323,80658,202171,5460,..,86119,202171
LGA18500,4894,14843,675,1545,3927,9593,4602,11134,1886,3779,4663,8915,4093,7185,1455,2422,72,163,12170,22457,0,0,0,0,0,0,192,359,192,359,50,100,21907,48886,3655,..,25561,48886
LGA18710,5594,15547,187,302,15,38,201,345,80,100,0,0,0,0,0,0,8,17,86,120,8,10,3,0,0,0,5,10,11,27,38,72,5932,16110,531,..,6460,16110
LGA19399,280,760,5,3,22,46,23,48,0,0,0,0,0,0,0,0,11,14,11,13,7,15,0,5,0,0,0,0,7,24,28,69,353,923,60,..,413,923
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
