LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA10800,59,53,115,186,179,361,49,56,105,5,0,8,241,238,476,131,128,267,11,17,28,7,9,23,155,160,313,5,4,10,3,4,3,14,18,35,14,44,52,0,0,0,36,69,108,7,17,24,3,5,9,0,9,11,8,32,43,0,0,0,18,66,81,59,131,193,0,0,5,5,6,14,0,0,0,5,7,16,265,253,517,785,846,1628
LGA10850,91,90,181,290,283,568,36,49,90,21,21,40,347,354,701,167,157,318,55,52,101,59,50,104,273,256,527,4,12,14,10,12,21,39,31,66,34,54,79,0,0,0,81,108,188,8,29,39,4,15,20,8,5,12,21,69,91,0,0,0,33,118,153,119,229,347,0,3,4,11,18,28,0,0,0,9,25,30,249,245,498,1090,1189,2277
LGA10900,841,793,1631,2333,2266,4597,422,390,817,495,442,933,3245,3101,6350,1689,1646,3332,519,485,1005,584,521,1105,2792,2653,5453,121,136,261,101,157,257,381,198,581,316,611,926,3,3,6,926,1104,2028,520,632,1147,186,349,536,126,129,256,440,887,1322,0,8,8,1272,2002,3273,2199,3114,5306,71,89,160,128,229,346,3,3,6,198,316,513,1260,1358,2617,10537,11336,21872
LGA10950,35,29,63,51,56,107,52,49,102,0,0,0,107,105,217,61,68,125,3,3,7,5,8,13,66,77,143,0,0,0,0,3,8,19,11,31,6,17,26,0,0,0,35,36,69,4,3,6,0,3,3,0,0,0,3,19,18,0,0,0,10,27,33,39,64,107,0,5,4,0,5,5,0,0,0,3,6,8,110,97,211,364,383,745
LGA11150,31,13,49,47,46,93,41,51,87,6,5,13,97,94,195,27,30,58,9,13,21,9,3,9,44,44,89,3,0,3,0,0,6,8,5,12,5,13,18,0,0,0,20,25,42,10,4,16,0,3,5,0,0,3,0,14,17,0,0,0,8,26,36,24,53,77,6,0,9,0,9,9,0,0,0,6,12,18,225,228,450,438,439,879
LGA11200,17,9,22,47,34,81,10,19,32,4,0,5,63,52,115,35,31,67,7,3,9,0,0,4,43,39,84,0,0,0,0,0,4,4,0,4,0,10,12,0,0,0,12,16,22,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,9,10,11,22,33,0,0,0,0,0,0,0,0,0,0,0,0,102,110,218,240,233,472
LGA11250,168,156,324,557,538,1092,74,75,154,5,7,11,637,626,1264,432,454,884,0,0,0,4,8,14,444,461,900,25,15,38,16,34,53,66,56,125,72,144,223,0,0,5,191,252,435,11,29,44,18,48,67,10,18,21,53,123,180,0,0,0,93,220,314,280,474,755,11,15,23,20,39,55,0,0,5,30,54,82,779,811,1591,2337,2581,4914
LGA11300,251,260,513,617,641,1256,265,278,541,126,167,292,1016,1084,2098,418,544,964,303,273,582,216,278,493,939,1097,2040,226,162,392,198,271,471,167,82,248,216,283,500,4,6,4,811,803,1620,1183,1273,2457,470,478,949,167,131,301,189,262,456,7,10,15,2022,2150,4173,2844,2962,5804,269,326,597,260,295,553,3,0,3,538,619,1153,1143,1174,2316,6723,7208,13934
LGA11350,302,298,597,805,769,1574,162,172,334,254,281,538,1230,1223,2456,526,473,998,177,192,368,279,299,580,981,965,1949,27,37,66,71,146,222,98,75,171,206,325,529,5,5,4,406,586,990,74,124,199,87,198,283,29,41,67,126,333,463,0,0,3,317,703,1020,725,1293,2014,29,42,71,94,189,287,0,0,0,122,232,354,1796,1858,3656,5158,5872,11031
LGA11400,139,137,280,468,439,907,130,121,251,67,65,128,666,628,1293,265,240,505,122,127,249,133,143,266,514,503,1019,9,13,21,4,6,15,78,41,120,51,77,129,4,0,4,139,142,280,41,66,103,10,14,24,8,19,37,29,84,120,0,0,0,90,187,279,232,333,562,5,9,17,7,29,38,0,0,0,15,42,59,521,525,1047,2091,2170,4251
LGA11450,1992,1791,3782,4300,4162,8465,1265,1340,2603,826,869,1692,6404,6378,12782,2279,2159,4434,1405,1354,2757,752,756,1506,4438,4273,8717,162,216,377,111,220,336,694,336,1030,472,782,1254,5,0,9,1448,1555,3000,821,1340,2161,216,456,670,158,236,398,426,812,1241,0,9,7,1620,2851,4472,3068,4409,7481,134,148,280,225,355,574,3,4,8,357,507,860,1987,2087,4071,18256,19441,37694
LGA11500,2044,1814,3855,6245,5938,12187,1120,1176,2297,1121,1063,2189,8517,8193,16703,4138,3924,8063,1336,1353,2692,741,772,1512,6221,6065,12288,263,335,601,328,578,910,632,329,953,683,1145,1829,9,8,13,1910,2399,4310,1565,2024,3585,574,848,1423,238,311,548,520,882,1405,9,14,21,2915,4070,6982,4841,6486,11330,264,341,602,340,538,877,6,5,10,607,883,1490,5198,5440,10633,27430,28875,56302
LGA11520,918,812,1725,1672,1640,3312,1053,998,2047,351,415,773,3084,3054,6137,841,813,1656,1054,1043,2098,613,672,1286,2511,2534,5041,133,154,283,189,295,480,236,127,364,364,590,955,3,5,9,923,1173,2087,1280,1424,2703,497,586,1081,215,191,409,482,706,1192,8,7,16,2482,2915,5397,3409,4093,7498,177,162,345,297,414,715,4,3,9,473,586,1060,1815,1958,3777,12209,13033,25246
LGA11570,3840,3457,7290,9688,8792,18484,3584,3452,7034,2726,2739,5471,16028,15020,31049,7475,7097,14567,3407,3240,6647,2115,2212,4327,13020,12583,25600,884,742,1627,1229,1438,2662,1223,530,1755,1473,2184,3655,26,37,61,4832,4927,9752,5348,6079,11421,2097,1830,3927,673,757,1430,1186,1577,2767,30,29,53,9332,10263,19595,14196,15224,29424,1208,901,2107,1054,1366,2415,38,27,62,2295,2286,4579,13667,12758,26421,63042,61327,124370
LGA11600,24,34,60,99,94,190,16,28,44,0,0,0,114,119,234,59,49,104,14,13,29,0,3,8,71,67,140,0,0,4,3,7,12,9,8,20,4,21,25,0,0,0,21,38,60,0,9,9,3,5,7,0,0,0,3,15,20,0,0,0,14,30,39,36,70,102,0,0,0,5,10,18,0,0,0,8,13,18,183,159,346,442,459,897
LGA11650,4254,3844,8097,10314,9479,19787,2335,2273,4605,1775,1603,3375,14454,13374,27821,7313,7053,14368,2002,1946,3944,1764,1846,3609,11100,10854,21955,427,577,1003,345,650,990,1799,1004,2806,1428,2600,4026,26,21,46,4022,4848,8873,1854,2721,4572,664,1190,1855,414,633,1043,1029,2274,3302,11,20,32,3963,6835,10802,7992,11698,19692,261,315,572,494,816,1321,13,10,17,762,1145,1908,8904,9881,18787,47474,50795,98266
LGA11700,17,13,30,45,37,86,5,0,11,0,0,0,53,43,94,22,35,54,0,0,3,7,5,9,26,36,62,0,0,0,0,0,4,6,0,5,0,12,15,0,0,0,4,14,19,0,0,0,0,5,5,0,0,3,0,4,10,0,0,0,3,12,15,6,25,29,0,5,5,0,10,6,0,0,0,0,9,10,195,185,378,294,313,607
LGA11720,840,743,1586,1980,1928,3907,516,498,1019,323,265,590,2818,2697,5518,1333,1316,2644,315,301,619,313,317,635,1962,1936,3897,86,109,197,54,132,188,318,237,551,250,521,766,7,0,5,709,1003,1713,150,316,467,65,160,229,49,105,158,133,374,505,0,4,4,398,963,1361,1105,1969,3074,66,57,126,95,141,234,0,0,0,158,200,361,3096,1552,4648,9985,9099,19086
LGA11730,487,454,938,1518,1385,2909,277,279,558,188,148,338,1995,1814,3811,1093,1061,2143,239,262,502,210,148,355,1539,1469,3007,54,61,122,45,114,157,171,131,305,172,362,536,9,0,3,456,658,1119,51,113,162,28,113,141,33,54,83,112,285,394,3,0,5,226,567,795,680,1229,1914,29,32,68,54,105,155,0,5,6,88,138,228,2857,1977,4835,7647,7087,14737
LGA11750,46,28,73,86,104,188,56,67,125,0,8,13,147,175,322,95,86,178,5,7,8,4,4,9,104,102,207,4,0,4,4,9,12,21,7,32,20,31,51,0,0,0,43,49,92,5,12,20,0,0,3,0,7,7,10,23,34,0,0,0,19,45,65,68,93,158,0,0,4,0,10,8,0,0,0,7,10,13,315,303,614,681,709,1386
LGA11800,833,795,1627,2127,1992,4121,683,720,1400,445,412,864,3261,3137,6394,1509,1549,3058,478,469,946,460,470,930,2448,2493,4939,114,138,249,121,200,321,339,238,575,430,676,1103,3,4,12,1005,1252,2257,192,387,577,124,236,362,56,110,166,245,535,779,0,0,0,617,1263,1882,1628,2520,4145,62,69,133,95,191,291,9,4,13,165,271,435,2397,2536,4937,10734,11747,22480
LGA12000,62,44,103,119,148,271,59,55,113,3,5,13,190,206,388,89,103,194,27,19,51,30,39,68,143,159,308,12,3,9,0,5,8,25,10,32,15,17,26,0,0,0,49,34,85,12,24,35,4,9,17,4,6,9,9,36,37,0,0,0,25,69,91,65,103,174,7,9,16,3,7,13,0,0,0,17,19,29,141,144,284,614,666,1288
LGA12150,42,37,77,88,69,157,70,54,115,0,0,0,157,123,276,95,65,161,8,4,11,3,23,24,113,88,199,0,5,3,0,5,5,0,6,6,0,19,28,0,0,0,6,34,43,9,16,18,4,4,4,0,0,0,9,24,27,0,0,0,17,44,55,20,77,96,0,0,0,3,4,4,0,0,0,5,4,8,242,279,518,569,604,1178
LGA12160,118,111,225,304,268,569,137,123,260,3,12,12,441,397,837,234,176,415,105,123,225,27,25,47,364,326,687,9,16,20,8,8,13,44,26,70,31,70,97,0,0,0,88,122,208,12,35,39,7,14,22,0,12,6,13,43,53,0,0,0,23,98,124,114,224,331,3,9,10,6,13,26,0,0,0,12,20,35,478,436,916,1530,1515,3042
LGA12350,123,131,252,340,309,645,115,104,220,10,16,26,473,425,894,264,239,505,82,119,194,21,25,48,369,383,751,10,12,20,8,13,20,54,44,98,42,92,134,0,0,0,122,158,280,11,25,41,9,16,20,14,13,22,15,54,67,0,0,0,42,106,150,166,270,429,7,6,6,11,13,28,0,0,0,18,23,37,548,525,1069,1691,1743,3433
LGA12380,2381,2090,4475,6523,6232,12752,2266,2247,4509,1140,1175,2311,9964,9682,19638,4235,4038,8273,2035,2132,4165,961,982,1942,7259,7160,14422,807,653,1468,974,1153,2129,717,399,1121,1044,1500,2547,11,15,28,3559,3725,7283,3676,4018,7695,1553,1576,3129,515,510,1024,719,954,1675,32,20,56,6501,7074,13580,10095,10836,20935,1271,934,2203,1010,1007,2015,34,16,54,2313,1960,4274,9778,8229,18006,41792,39956,81748
LGA12390,676,685,1362,1497,1397,2895,611,662,1275,328,278,606,2435,2345,4778,951,921,1871,448,440,887,271,289,557,1669,1650,3323,59,86,144,57,99,157,241,186,432,230,426,654,9,0,4,590,798,1390,85,192,277,81,146,229,27,73,99,152,384,541,0,0,3,346,797,1140,937,1593,2532,66,55,123,93,119,209,0,4,9,163,177,341,3172,2421,5593,9043,8885,17929
LGA12700,108,109,224,331,299,624,56,72,130,29,25,47,417,393,807,213,209,416,47,43,83,35,31,63,286,282,568,5,8,10,4,12,14,55,31,89,29,42,68,0,0,0,97,92,192,20,42,62,4,20,28,6,12,20,26,66,93,0,3,3,64,140,204,157,238,396,0,8,8,8,19,31,0,0,0,8,27,34,201,224,423,1181,1272,2453
LGA12730,76,68,149,236,196,435,83,86,164,11,13,25,331,296,620,209,202,406,10,24,33,23,31,53,237,260,495,6,12,24,4,11,11,34,29,60,32,55,89,0,0,0,80,109,189,6,21,28,0,12,12,5,19,18,14,40,55,0,0,0,31,86,117,111,203,308,0,4,5,6,18,28,3,0,3,8,22,37,406,389,795,1168,1233,2404
LGA12750,297,256,556,912,832,1743,247,259,506,106,91,199,1267,1189,2459,655,609,1266,216,237,458,145,152,293,1023,998,2021,30,27,58,27,52,78,153,108,264,140,252,389,7,3,12,359,440,799,48,91,143,22,86,112,18,32,48,70,205,281,4,0,4,172,414,584,531,849,1377,17,20,37,38,91,132,0,0,0,56,105,164,1585,1587,3167,4763,4989,9748
LGA12850,1549,1350,2901,5930,5433,11357,1887,1831,3723,522,530,1052,8375,7812,16187,6047,5572,11613,1518,1717,3232,512,576,1087,8086,7892,15979,511,522,1035,563,928,1488,636,275,913,760,1184,1943,14,15,31,2489,2924,5408,2879,3624,6501,610,664,1274,375,401,777,339,522,866,13,15,32,4215,5234,9447,6724,8194,14914,471,598,1071,580,993,1567,35,27,60,1081,1615,2700,6804,6722,13526,32622,33580,66206
LGA12870,125,107,225,348,332,679,111,86,194,9,10,19,464,429,890,239,261,501,54,71,123,27,33,54,319,363,676,8,19,29,12,15,30,47,34,81,34,90,126,0,0,0,104,155,263,23,45,63,4,19,24,4,9,15,7,46,56,0,0,3,39,115,156,138,276,418,11,11,20,8,22,35,0,0,0,22,29,52,503,443,942,1570,1644,3215
LGA12900,111,109,222,252,263,513,133,148,279,15,10,22,402,420,821,118,112,228,147,156,304,16,16,31,275,287,566,9,9,18,0,12,17,44,33,71,22,68,94,5,0,5,75,119,201,23,22,42,0,10,17,5,24,25,18,54,73,0,0,0,49,111,159,126,233,358,9,5,15,13,26,32,0,5,5,15,36,50,407,389,805,1336,1479,2813
LGA12930,1490,1239,2724,3866,3452,7315,1254,1196,2450,541,630,1177,5672,5295,10969,2699,2313,5005,1170,1392,2565,761,823,1585,4641,4527,9171,446,302,742,466,578,1042,527,235,770,703,1029,1732,14,3,25,2159,2147,4307,2821,2980,5804,1012,1104,2115,338,372,714,572,828,1405,10,11,18,4760,5297,10057,6948,7458,14409,543,477,1017,452,572,1026,11,15,27,1004,1064,2070,3316,3640,6954,23071,23219,46291
LGA12950,53,45,89,97,85,178,73,89,160,0,3,3,170,173,346,102,91,190,14,5,17,4,19,26,115,114,234,4,4,6,3,9,11,10,9,17,5,31,31,0,0,0,23,44,69,0,5,7,0,5,5,0,3,0,0,19,19,0,0,0,0,28,31,27,79,99,0,0,0,5,6,3,0,0,0,3,6,8,255,248,500,619,662,1281
LGA13010,59,62,114,234,200,442,53,98,152,8,0,8,296,303,603,221,213,435,4,11,8,10,8,15,232,230,458,7,12,20,4,15,21,23,27,49,32,65,102,0,0,0,67,122,190,9,22,25,11,20,27,7,13,16,4,44,51,0,0,0,24,95,120,95,210,308,4,7,8,5,17,26,0,0,0,4,22,28,589,483,1072,1272,1314,2587
LGA13310,332,306,633,973,917,1896,281,281,557,32,31,67,1290,1232,2517,712,668,1383,205,193,392,43,30,72,957,887,1840,44,45,93,30,35,66,163,121,289,150,248,399,0,3,7,397,453,849,96,117,216,68,89,158,14,45,60,88,222,311,0,0,0,271,475,749,666,936,1598,49,33,80,50,74,122,0,0,0,91,106,202,1513,1006,2515,4846,4469,9312
LGA13340,131,106,241,310,265,577,86,96,181,113,105,220,507,469,976,231,225,458,62,42,107,161,152,314,454,420,877,7,15,17,7,15,16,50,25,72,33,66,99,3,0,3,97,119,214,23,49,73,11,19,26,3,13,15,19,56,80,0,0,0,57,144,197,149,261,413,13,6,18,4,23,30,0,0,0,14,30,48,489,460,949,1755,1756,3505
LGA13450,300,280,575,866,770,1634,244,291,537,36,35,71,1144,1101,2246,477,433,902,390,401,791,23,25,48,887,859,1744,27,27,50,20,47,68,149,78,226,101,190,284,3,0,5,292,341,635,76,90,165,28,59,89,32,44,73,67,128,187,0,0,3,198,317,516,492,657,1156,37,28,66,30,74,108,5,0,9,73,107,178,1147,1071,2216,4048,4071,8119
LGA13550,195,152,347,410,356,758,174,180,354,79,67,148,663,599,1262,169,131,311,124,192,320,62,54,120,362,382,743,12,10,19,10,14,25,56,43,98,50,116,166,0,0,0,127,183,309,29,27,55,9,18,28,6,21,26,23,109,130,0,0,0,58,172,230,187,356,539,9,6,15,7,29,36,0,0,0,14,36,56,591,564,1158,2008,2097,4108
LGA13660,45,55,100,194,176,361,24,21,49,0,4,6,220,198,419,97,103,203,5,9,11,19,15,35,118,122,249,0,0,0,5,0,5,10,16,28,8,28,42,0,0,0,23,45,72,9,7,15,6,7,10,0,7,11,9,20,26,0,0,0,18,38,59,48,83,129,4,6,9,7,7,12,0,0,0,10,16,22,238,231,465,675,709,1386
LGA13800,824,741,1562,2121,1953,4073,406,452,862,385,339,721,2923,2746,5662,1156,1117,2273,601,567,1167,499,493,997,2254,2189,4440,102,125,223,59,131,193,553,245,800,246,480,727,5,0,12,968,985,1953,326,636,965,105,259,367,98,123,224,152,363,517,0,4,4,685,1389,2071,1656,2381,4034,69,72,137,82,157,240,0,3,4,145,232,378,1592,1475,3068,9392,9760,19149
LGA13850,25,31,54,86,73,167,10,13,25,0,0,0,99,92,195,55,60,115,0,0,4,5,3,6,61,66,129,0,0,3,0,3,0,3,6,14,11,24,34,0,0,0,16,39,59,0,12,15,0,0,0,0,0,0,0,9,14,0,0,0,3,21,26,27,60,86,0,3,3,0,5,5,0,0,0,0,5,7,192,170,365,406,422,833
LGA13910,213,192,404,600,545,1147,202,186,393,32,43,82,831,783,1615,317,328,649,230,229,458,31,52,86,576,609,1190,17,14,36,13,33,49,76,78,153,54,136,192,5,5,3,160,269,432,33,47,80,4,25,35,8,26,35,26,84,113,0,0,0,72,183,259,234,461,691,14,18,32,9,28,39,0,0,0,23,47,72,745,730,1479,2637,2810,5450
LGA14000,1733,1545,3276,6033,5499,11531,719,700,1417,717,627,1343,7474,6838,14306,3990,3590,7581,969,1223,2187,1197,1095,2296,6165,5919,12087,218,234,447,232,325,555,553,237,790,606,1169,1779,4,3,5,1606,1974,3578,2444,2637,5083,528,708,1235,340,338,679,744,1142,1884,7,11,23,4068,4829,8898,5676,6805,12487,186,190,376,327,452,781,5,8,14,522,650,1166,2103,2378,4482,23672,24131,47808
LGA14100,132,130,260,279,274,547,204,152,365,92,70,158,575,496,1069,107,129,236,332,204,537,260,217,474,701,539,1242,15,7,25,10,18,24,33,7,39,35,65,98,0,0,0,91,99,192,268,275,544,41,39,73,50,27,73,47,83,131,3,0,3,403,415,823,490,513,1009,15,13,27,33,27,61,0,0,0,43,46,86,356,471,825,2299,2199,4500
