LGA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA10800,6,119,17,138,9,108,8,128,22,246,37,299,28,233,42,296,37,248,33,319,52,330,49,433,38,274,37,348,21,152,24,200,0,55,11,72,212,1771,254,2232,9,126,14,152,5,105,9,123,27,236,19,278,65,223,43,331,69,242,20,324,67,258,32,357,61,239,31,332,30,155,30,213,3,83,22,115,340,1662,221,2223,17,245,33,291,17,215,20,251,48,480,55,582,91,457,81,627,97,493,55,642,124,591,81,791,101,507,69,681,46,307,50,411,12,136,29,176,548,3429,478,4458
LGA10850,9,209,25,247,5,147,8,161,21,335,17,371,38,300,24,363,71,366,44,486,77,433,49,558,52,374,43,467,28,184,28,242,11,61,5,69,308,2400,240,2949,18,192,13,218,15,125,13,156,47,343,24,418,76,316,27,415,130,361,32,519,124,384,44,557,73,308,31,412,25,181,29,240,9,79,7,94,518,2296,215,3030,31,397,39,462,16,265,26,314,73,681,42,794,116,616,44,777,207,725,77,1009,204,816,87,1106,119,685,72,877,53,371,52,477,14,133,13,165,824,4701,455,5977
LGA10900,131,2243,102,2472,99,1672,66,1834,262,3082,150,3492,476,3903,197,4582,796,4279,186,5261,835,4236,158,5232,604,4234,178,5014,266,1951,135,2362,78,538,40,657,3550,26157,1200,30905,126,1980,87,2194,122,1418,43,1584,374,3116,143,3629,856,3987,161,5006,1320,4175,197,5695,1371,4438,161,5971,847,4475,180,5497,309,2418,168,2897,57,892,165,1108,5380,26903,1302,33588,255,4226,186,4665,223,3091,105,3421,635,6202,294,7126,1334,7896,358,9583,2113,8460,379,10957,2205,8674,321,11205,1450,8711,353,10517,579,4371,305,5258,131,1428,197,1763,8931,53051,2510,64491
LGA10950,3,75,8,87,4,68,11,83,12,124,10,149,13,90,9,116,20,134,16,165,33,124,21,172,6,101,15,120,10,68,20,94,5,21,0,31,98,805,105,1008,7,55,3,65,3,50,6,59,18,148,10,175,19,75,7,105,25,137,19,176,31,101,14,148,12,84,8,103,12,77,23,109,0,28,18,39,129,744,107,980,11,132,13,147,10,118,17,140,27,271,15,320,35,164,22,224,45,266,33,336,63,226,34,321,15,184,18,225,22,145,43,208,5,51,19,71,230,1545,215,1988
LGA11150,0,41,18,65,3,49,11,64,4,108,26,137,13,98,25,130,13,107,35,152,27,117,27,164,0,86,22,112,8,40,12,52,0,7,0,14,73,650,174,898,3,38,14,62,0,62,7,70,13,131,30,179,20,85,34,138,27,93,27,144,19,106,26,152,18,69,13,101,0,41,15,53,0,16,4,22,102,641,180,921,7,85,36,134,8,108,20,134,20,239,59,311,35,181,56,273,35,203,65,303,42,216,51,315,22,156,35,211,10,75,21,106,3,28,4,34,170,1290,357,1820
LGA11200,0,36,7,45,0,28,13,39,0,68,19,89,4,46,11,64,3,57,12,71,13,82,15,112,3,55,15,74,3,19,4,26,0,0,0,8,35,399,93,528,0,32,5,36,0,21,13,41,8,87,22,121,9,48,4,65,18,61,22,96,9,69,22,94,7,44,5,62,3,16,6,26,0,13,4,14,48,403,102,551,3,66,13,80,0,54,24,76,7,153,45,205,10,101,20,127,23,118,30,169,23,152,36,209,12,102,18,132,6,37,9,51,0,12,3,17,84,799,194,1080
LGA11250,16,431,71,519,20,394,55,475,63,873,117,1050,89,719,117,921,151,760,101,1015,197,967,76,1244,125,898,83,1101,57,429,51,542,25,149,35,205,742,5613,710,7073,27,379,50,452,13,368,38,424,130,894,104,1128,174,696,88,962,202,710,82,993,310,930,82,1320,184,858,74,1112,96,541,101,735,24,280,81,388,1158,5656,707,7516,42,810,119,971,39,765,96,896,195,1765,215,2182,261,1416,209,1883,355,1473,179,2010,511,1893,165,2570,304,1753,158,2214,153,967,151,1272,40,431,120,590,1899,11271,1417,14592
LGA11300,50,778,28,861,97,2297,223,2613,150,3972,386,4507,237,2118,170,2530,291,1684,121,2087,286,1604,98,1987,140,1199,71,1407,78,695,82,853,31,342,89,461,1357,14679,1270,17309,39,882,54,970,107,2120,164,2383,174,3825,294,4297,319,2004,158,2477,470,1814,129,2416,430,1586,105,2121,236,1291,96,1618,107,873,135,1107,24,525,167,718,1901,14913,1297,18109,90,1662,78,1829,205,4414,388,5006,327,7795,686,8805,555,4123,327,5002,759,3497,254,4503,714,3191,205,4109,376,2486,165,3028,183,1563,219,1960,57,866,253,1177,3253,29593,2567,35414
LGA11350,40,717,111,862,28,542,79,648,115,1825,300,2240,170,1964,297,2432,290,1856,257,2403,325,1901,246,2472,228,1856,227,2318,69,659,77,802,13,178,19,212,1282,11500,1613,14389,45,703,95,840,43,675,118,832,151,2157,311,2629,325,2101,296,2719,491,2028,282,2796,570,1897,259,2726,361,1632,177,2171,98,654,76,833,13,305,50,370,2087,12158,1666,15912,76,1416,205,1695,69,1220,197,1483,269,3983,619,4871,492,4063,594,5150,776,3880,535,5197,894,3799,510,5197,590,3491,407,4488,168,1314,150,1634,30,488,67,584,3367,23652,3277,30299
LGA11400,12,384,54,450,16,287,36,335,27,457,38,528,71,609,63,747,115,717,72,899,150,744,78,974,99,722,65,882,37,394,48,480,8,97,18,132,543,4404,470,5424,14,369,41,426,20,251,21,289,63,499,44,610,139,593,60,796,174,677,82,938,263,682,71,1011,126,621,47,795,55,375,49,485,6,166,32,204,866,4230,450,5551,30,750,98,876,35,533,58,628,94,956,89,1139,215,1202,124,1539,291,1389,148,1832,418,1423,148,1987,223,1340,114,1677,92,773,100,960,18,265,54,331,1409,8631,926,10970
LGA11450,125,3520,154,3800,173,3134,138,3453,514,8229,417,9159,869,8030,398,9298,844,6029,251,7123,617,4095,184,4889,353,2910,153,3412,155,1321,117,1596,29,344,52,428,3679,37612,1862,43153,185,3362,153,3698,208,3154,173,3536,961,8913,426,10296,1452,7723,365,9542,1378,5549,225,7153,1059,4191,191,5433,493,3122,166,3786,169,1520,147,1833,22,637,139,793,5937,38169,1976,46073,306,6883,309,7498,385,6289,312,6987,1475,17142,834,19454,2319,15749,764,18834,2226,11579,476,14279,1673,8285,369,10328,843,6031,324,7203,327,2841,260,3432,50,979,189,1220,9612,75778,3838,89228
LGA11500,251,4930,426,5604,310,5073,416,5802,870,10284,855,12016,1430,10796,933,13154,1192,8165,671,10029,1044,7799,504,9347,735,5929,372,7037,339,2470,333,3143,70,486,120,679,6247,55930,4637,66824,313,4619,388,5321,379,4733,367,5479,1534,11083,970,13589,2149,10365,924,13440,1942,7730,586,10257,1808,7849,495,10151,1069,6241,468,7775,341,2774,438,3545,45,886,336,1271,9582,56275,4976,70834,564,9546,810,10930,690,9803,784,11285,2409,21368,1830,25608,3584,21157,1853,26597,3134,15891,1261,20283,2858,15651,999,19501,1806,12172,846,14817,678,5247,773,6689,121,1370,462,1953,15834,112203,9618,137653
LGA11520,99,1868,82,2047,116,2496,210,2817,333,6433,451,7218,554,5846,332,6727,741,4534,204,5473,844,3735,166,4746,402,3147,166,3718,216,1807,123,2149,86,657,97,836,3389,30524,1827,35730,82,1913,66,2062,122,2309,135,2576,440,6796,432,7668,788,5848,307,6944,1287,4775,197,6261,1249,4061,195,5512,644,3538,178,4353,296,2109,189,2594,69,1031,284,1380,4972,32384,1989,39347,181,3778,145,4102,239,4803,350,5395,774,13226,882,14886,1341,11696,643,13677,2019,9315,399,11738,2093,7801,361,10252,1044,6686,340,8074,515,3917,312,4743,153,1685,378,2219,8359,62904,3815,75074
LGA11570,520,10388,917,11822,718,11198,1224,13137,1716,23664,2902,28274,2529,20713,2399,25639,2927,17693,1681,22304,2625,16705,1409,20744,1434,11989,999,14420,784,6664,810,8259,283,2631,524,3441,13528,121647,12870,148038,561,9475,801,10838,842,10212,927,11986,2597,22205,2370,27169,3898,19467,2064,25432,4306,17458,1604,23366,3883,15980,1320,21181,2130,12199,1010,15337,885,7467,897,9249,198,3722,1012,4933,19301,118181,12009,149488,1076,19859,1724,22662,1556,21417,2157,25124,4311,45865,5272,55449,6429,40174,4461,51070,7237,35152,3281,45671,6502,32689,2732,41923,3562,24185,2010,29760,1670,14129,1708,17504,477,6356,1537,8374,32820,239829,24880,297532
LGA11600,0,63,14,71,5,68,12,81,8,223,43,271,12,140,15,170,14,153,36,207,30,163,24,211,15,115,19,151,7,51,14,63,0,19,0,22,80,992,174,1245,5,56,3,66,8,52,9,74,13,165,19,200,22,120,20,170,25,121,17,164,41,108,32,178,17,70,14,100,3,49,13,58,0,38,4,37,132,783,131,1052,5,121,16,141,8,120,26,160,22,386,62,472,37,262,38,337,43,272,55,371,63,273,53,390,26,190,34,251,9,96,28,126,0,52,3,56,214,1778,308,2304
LGA11650,467,9443,615,10523,531,8337,513,9383,1224,16189,1204,18615,2000,16767,1154,19909,2762,17431,1197,21395,3053,17193,1045,21289,2118,15729,1043,18898,1306,9534,1005,11851,323,2885,716,3929,13787,113511,8489,135785,511,8703,538,9754,646,7956,506,9107,1999,16368,1137,19505,3582,16730,1135,21445,4733,17055,1006,22793,5146,17454,994,23597,3372,17222,1200,21797,1430,10995,1420,13850,278,4853,1481,6619,21703,117335,9426,148463,983,18147,1149,20276,1179,16294,1013,18486,3226,32557,2341,38119,5578,33496,2287,41358,7493,34483,2208,44183,8197,34647,2036,44882,5499,32950,2248,40693,2737,20532,2434,25702,606,7741,2203,10545,35488,230845,17915,284248
LGA11700,0,35,17,51,0,35,15,52,6,63,24,95,6,59,18,82,10,80,18,108,10,83,30,126,6,99,34,135,5,44,6,56,0,6,0,10,45,510,157,720,0,30,16,52,4,31,19,51,11,86,30,127,9,72,23,104,15,79,20,116,15,79,24,117,9,60,16,87,6,32,12,45,0,10,3,13,61,473,162,707,0,70,32,107,4,64,34,106,20,146,55,217,13,132,41,182,25,160,39,225,22,163,53,240,16,161,42,222,11,76,17,105,0,13,6,22,109,987,326,1420
LGA11720,105,1695,127,1924,84,1632,244,1962,303,3590,704,4595,374,3058,606,4033,472,3008,455,3932,560,2886,327,3782,428,2599,273,3301,138,1208,148,1494,34,336,43,416,2503,20018,2929,25444,119,1572,120,1812,174,1589,121,1888,578,3693,238,4508,762,2890,202,3858,875,2762,186,3817,900,2791,164,3858,552,2566,161,3279,164,1292,135,1593,29,626,92,749,4160,19776,1418,25356,227,3270,245,3736,256,3218,367,3846,882,7283,940,9106,1144,5944,803,7898,1344,5768,641,7749,1463,5678,494,7635,981,5167,433,6577,304,2500,284,3083,62,960,137,1167,6661,39793,4349,50801
LGA11730,83,1229,163,1468,59,962,221,1246,180,1883,574,2638,277,1940,487,2707,445,2313,397,3154,691,3103,360,4146,512,3446,273,4231,248,1872,191,2314,61,547,76,687,2559,17292,2739,22587,83,1046,129,1264,92,933,101,1129,319,1987,263,2571,496,1912,284,2693,735,2373,262,3368,1034,2957,265,4252,755,3121,246,4123,310,1882,215,2406,54,874,144,1070,3882,17090,1910,22870,165,2275,290,2731,153,1893,322,2369,494,3868,840,5203,776,3852,774,5404,1178,4689,659,6516,1725,6051,623,8407,1269,6567,515,8356,554,3754,408,4719,119,1420,216,1757,6438,34381,4647,45462
LGA11750,6,92,30,122,13,87,12,114,16,230,49,293,18,183,42,241,19,176,41,238,23,229,42,298,24,163,37,216,13,69,17,94,3,24,4,26,136,1238,276,1648,5,68,31,105,7,81,24,111,26,230,46,292,34,187,48,271,27,141,32,208,50,175,32,253,22,129,21,176,8,84,22,113,4,36,4,45,188,1132,254,1578,9,163,61,231,20,168,40,228,42,455,89,592,47,370,92,508,46,323,74,444,77,400,70,552,47,284,56,390,20,154,38,211,6,54,8,75,325,2373,529,3227
LGA11800,106,1988,176,2267,99,1607,139,1841,274,3622,376,4267,422,3641,340,4404,600,3760,322,4687,788,3905,299,4999,636,4043,252,4923,277,2126,232,2640,95,679,146,919,3291,25367,2287,30944,125,1959,159,2240,125,1511,126,1760,492,3684,340,4520,751,3800,311,4865,1070,3785,277,5136,1284,4022,281,5581,893,4094,276,5252,378,2392,323,3089,70,1053,284,1402,5178,26296,2374,33851,227,3941,338,4505,218,3118,262,3601,761,7310,717,8788,1176,7440,656,9273,1666,7553,600,9821,2075,7929,579,10579,1526,8129,524,10183,654,4511,554,5726,164,1731,423,2320,8475,51669,4654,64798
LGA12000,11,129,11,151,4,78,3,87,19,169,14,205,36,173,21,223,37,195,15,251,57,212,17,289,33,243,24,304,16,130,18,164,3,46,10,59,224,1370,136,1730,14,113,19,139,9,82,7,96,28,197,11,238,47,161,4,222,60,203,19,279,86,208,17,315,47,197,19,261,15,137,25,171,6,66,10,75,299,1366,129,1793,28,240,26,293,12,158,8,179,48,364,26,439,79,334,23,438,104,397,33,533,142,421,37,599,79,442,45,565,29,267,36,335,11,109,21,135,527,2732,267,3522
LGA12150,0,80,30,114,3,66,11,78,10,151,28,199,26,137,34,202,25,159,26,210,41,178,35,252,15,176,18,213,8,95,16,121,3,25,0,29,132,1073,212,1413,4,79,11,98,8,74,19,104,29,202,35,267,24,134,40,198,37,160,25,222,60,166,32,258,17,136,32,189,9,90,18,117,3,42,11,55,191,1086,223,1502,4,156,46,207,11,141,28,184,34,354,64,460,47,270,75,395,68,321,46,435,101,344,68,511,34,317,53,404,19,177,40,240,6,70,9,85,321,2159,437,2916
LGA12160,16,281,43,333,17,215,30,258,33,418,43,497,52,424,50,525,89,489,53,628,145,623,68,837,98,721,66,881,63,406,47,519,8,118,18,151,525,3688,412,4632,22,250,29,295,29,189,20,237,63,397,43,499,92,426,48,568,170,459,47,678,185,601,57,840,136,667,76,878,58,432,70,565,10,200,26,230,762,3626,413,4799,34,531,71,636,49,401,45,490,97,814,90,999,149,847,100,1096,257,952,95,1303,327,1226,123,1674,230,1390,141,1763,127,845,118,1086,14,313,45,382,1289,7313,823,9429
