LGA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
LGA10800,62,24,79,22,11,292,585,441,169,3,254,177,39,89,316,29,238,2990,179,4747,0,6,0,0,5,0,0,3,3,0,4,19,478,513,708,484,205,33,313,234,51,136,378,49,318,3035,670,5547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,9,3,14,14,4,8,11,0,5,33,5,100,27,5,9,3,14,14,4,8,13,0,10,33,5,99,672,393,192,28,289,218,49,121,346,52,261,2173,129,3922,14,0,3,0,3,4,0,7,7,0,8,23,378,436,710,406,205,33,306,234,51,137,364,49,276,2225,514,4458
LGA10850,119,33,161,43,9,421,645,705,226,14,322,254,53,130,594,48,413,4046,257,6586,4,0,0,0,0,3,0,5,4,0,6,34,436,492,795,783,269,46,401,347,67,185,712,81,573,4117,706,7497,0,0,0,0,0,0,0,0,0,0,0,4,0,4,36,11,18,4,21,28,5,11,28,7,18,62,9,171,33,12,14,4,21,28,5,11,31,7,18,70,9,172,755,612,253,45,368,318,64,169,637,70,486,2872,195,5392,4,5,0,0,4,0,0,0,6,0,3,30,369,416,792,626,273,46,397,346,67,184,674,81,508,2974,568,5977
LGA10900,1453,349,1819,431,132,4568,6774,6751,2479,84,2912,3067,530,1247,7385,457,6441,42213,2430,70777,92,52,26,37,31,54,4,26,64,4,54,256,2285,2777,8271,7429,2990,578,3565,3927,758,1723,8896,810,8313,42902,4850,78121,12,17,3,0,0,4,0,0,19,0,13,118,9,176,464,159,209,55,256,365,59,141,269,91,295,703,52,2008,480,168,216,55,258,374,59,141,291,87,307,827,54,2181,7675,6226,2727,457,3237,3467,678,1545,8121,704,7227,31213,1918,59944,95,45,29,72,29,57,4,20,77,19,56,143,1955,2368,8251,6448,2973,578,3526,3894,740,1706,8481,809,7586,32184,3929,64491
LGA10950,27,14,21,5,3,111,180,199,73,0,107,87,19,39,132,16,73,1455,82,2155,3,0,0,0,3,4,0,0,0,0,0,12,180,200,217,212,88,13,136,120,29,56,162,26,97,1471,277,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,5,5,0,0,0,0,0,10,4,32,5,4,0,0,5,5,0,0,0,0,0,12,4,37,210,173,91,10,126,111,22,53,147,23,85,1062,78,1778,0,0,0,0,4,5,0,0,3,0,0,8,162,181,215,176,88,13,138,121,29,59,150,26,84,1082,242,1988
LGA11150,23,12,38,9,0,102,110,160,48,0,95,78,19,16,122,12,104,1165,95,1781,0,4,0,0,4,0,0,0,0,0,7,15,418,450,143,187,52,20,118,109,34,39,139,21,141,1189,515,2340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,0,4,6,0,0,15,0,26,0,3,0,0,7,5,0,4,10,0,0,15,0,28,139,143,50,20,113,96,31,31,127,18,113,843,64,1448,5,3,0,0,0,6,0,0,0,0,3,16,313,340,143,149,57,20,118,109,34,35,134,21,120,875,372,1820
LGA11200,5,17,13,9,0,52,77,103,8,0,91,53,13,11,60,0,29,760,24,1084,6,4,0,0,6,0,0,0,0,0,0,12,206,220,101,107,14,11,112,69,15,22,65,18,40,774,234,1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,8,98,86,14,11,108,70,17,22,63,16,41,554,18,888,0,0,0,0,0,6,0,0,0,0,0,4,171,180,103,86,14,11,112,73,15,22,63,18,37,562,187,1080
LGA11250,425,116,465,110,35,1462,1899,1824,438,25,1112,766,162,391,1639,122,1001,7980,655,14550,24,23,6,0,17,19,3,5,22,0,10,72,1432,1579,2497,2118,596,181,1439,1067,273,590,2084,239,1479,8163,2120,17588,3,0,0,0,0,0,0,0,0,0,0,12,3,14,131,59,36,20,83,83,19,55,74,20,63,126,16,441,134,58,36,20,84,83,19,55,74,20,63,134,18,459,2314,1736,549,155,1329,957,243,519,1908,213,1274,5877,545,12845,37,20,8,4,22,16,5,13,17,0,8,63,1139,1286,2489,1809,590,181,1430,1068,273,583,2000,239,1349,6075,1703,14592
LGA11300,382,145,665,283,37,2045,1376,1658,539,29,1250,741,161,212,1500,103,1934,27832,815,35775,23,13,4,5,12,16,3,0,13,5,9,214,2112,2394,1991,1836,778,308,1659,1141,280,334,1894,248,2611,28327,2967,40217,0,5,0,0,0,0,0,0,0,0,0,47,0,51,43,11,24,5,19,33,11,10,21,5,22,90,0,224,41,16,24,5,19,33,11,10,25,5,24,136,6,269,1926,1584,743,291,1622,1084,268,317,1802,236,2397,23849,747,32895,19,7,5,4,13,12,0,5,9,0,13,258,1936,2248,1990,1608,769,308,1654,1134,281,332,1836,251,2439,24244,2688,35414
LGA11350,466,108,621,126,49,1490,2018,1988,841,19,548,836,126,481,2210,151,1909,21554,1107,30894,26,19,11,0,6,16,0,5,22,6,25,185,3458,3732,2475,2170,1020,184,695,1099,196,645,2696,269,2556,21869,4617,36116,0,0,5,0,0,0,0,0,0,0,0,13,0,16,103,35,55,11,36,77,6,44,61,19,52,211,21,505,108,35,59,11,36,77,6,44,61,19,52,220,24,518,2337,1906,940,149,645,1010,175,584,2494,251,2331,16917,914,26623,29,19,17,15,11,13,8,16,28,6,37,158,2887,3156,2470,1959,1014,184,694,1096,191,644,2585,267,2419,17295,3818,30299
LGA11400,185,49,231,54,33,681,1215,1123,389,21,573,470,84,247,1021,81,707,7654,421,12053,19,13,0,3,8,4,0,0,11,0,7,63,917,1026,1453,1241,477,102,679,622,113,321,1217,131,948,7775,1371,13766,0,0,0,0,0,0,0,0,0,0,3,12,0,13,59,25,21,5,32,36,3,24,43,9,30,111,6,271,65,25,21,5,32,38,3,24,41,9,35,127,6,288,1368,979,438,96,622,567,101,283,1112,115,805,5428,328,9812,22,20,11,6,16,19,10,6,10,0,14,60,749,876,1454,1022,472,102,671,618,113,316,1172,131,848,5619,1080,10970
LGA11450,1527,372,2267,698,142,5530,6246,8589,1972,80,4006,2503,520,855,7018,374,6363,77867,3493,109472,90,59,23,14,45,44,7,15,58,6,68,451,3637,4318,7869,9323,2484,587,4917,3403,815,1273,8609,758,8696,79020,7274,119325,17,6,3,0,0,6,0,0,23,0,16,216,11,285,288,107,114,27,162,190,29,50,182,25,178,557,43,1331,305,116,111,27,163,195,29,50,198,30,197,779,51,1623,7347,7244,2298,450,4609,3011,712,1145,7694,665,7163,53318,2631,84296,193,51,53,117,101,141,41,46,178,56,89,279,2629,3312,7843,7413,2461,587,4870,3347,780,1246,8073,749,7450,54368,5316,89228
LGA11500,3294,758,4330,1262,212,11184,11282,13059,2941,143,9177,4466,1029,1770,10088,805,9618,104798,5024,154261,277,141,79,186,160,123,50,77,254,55,324,873,9461,11071,15234,15059,4004,1021,11742,6469,1771,2907,13635,1613,14271,106928,14692,176519,19,14,3,0,14,6,3,0,12,0,13,185,7,255,655,181,214,45,408,367,71,153,317,83,319,725,54,2178,672,199,221,45,425,375,76,156,330,83,334,915,67,2431,14187,11981,3664,714,11074,5853,1588,2602,12262,1450,11945,74986,3946,126822,341,116,86,254,191,180,69,114,296,75,358,589,7018,8402,15206,12301,3973,1019,11689,6407,1730,2874,12889,1611,12633,76490,11029,137653
LGA11520,760,247,1366,462,65,3863,4415,4799,1929,69,2675,2186,395,572,3978,344,4937,59527,2170,81338,40,21,12,6,25,27,5,6,27,3,26,401,3441,3976,5741,5103,2390,569,3388,2931,612,832,4766,593,6329,60390,5680,89177,8,10,0,0,0,0,0,0,17,0,15,302,5,356,153,34,95,15,72,145,14,34,64,27,93,349,20,802,163,46,97,15,70,157,16,34,79,25,104,653,26,1158,5489,4448,2266,529,3281,2727,579,786,4519,550,5691,47374,1849,70509,66,22,12,30,20,32,7,6,44,12,63,263,2984,3415,5720,4509,2375,569,3373,2911,605,822,4640,589,5867,48291,4862,75074
LGA11570,5625,1563,8870,3032,440,25076,15553,18115,5008,306,14738,7332,1746,2251,13000,1189,17386,237515,9809,318465,305,173,74,136,224,166,38,65,239,54,296,2088,24450,27463,23375,20878,7312,2663,20756,11682,3226,4099,18870,2812,26548,242635,34696,371006,4,11,0,0,8,3,3,3,14,4,17,257,10,316,490,141,183,51,321,370,79,162,206,80,260,763,49,2037,493,151,186,51,328,372,79,160,218,83,270,1018,57,2361,22470,16763,6966,2362,20072,10956,3021,3816,17644,2655,23863,180108,8176,273307,363,170,104,250,271,232,58,87,342,65,386,1516,19317,21864,23325,17080,7253,2661,20662,11562,3165,4060,18204,2799,24516,182644,27545,297532
LGA11600,25,9,39,8,4,115,176,258,61,0,95,73,20,35,158,17,99,1603,125,2415,0,8,0,0,0,0,0,0,4,0,0,16,317,340,226,292,79,16,117,106,30,59,188,28,138,1633,442,2866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,8,9,0,7,3,0,4,10,0,34,11,5,3,0,8,9,0,7,3,0,4,10,0,34,214,231,71,16,105,94,31,58,179,22,125,1178,99,1977,3,0,0,0,3,3,0,0,0,0,0,13,266,288,224,233,79,16,113,106,30,59,180,28,133,1203,365,2304
LGA11650,7522,1878,9219,2116,607,24360,31123,29249,10080,560,14781,12715,2762,6169,29829,2511,21533,184263,11280,303427,642,294,219,475,289,365,103,172,634,116,406,1423,15572,18807,39752,33283,12948,3699,18899,17409,4409,9230,37984,4507,31163,187801,27457,346596,38,25,10,0,3,3,3,12,26,3,21,281,7,379,2048,645,790,239,1140,1412,315,648,1176,360,1013,2502,204,7615,2081,667,795,240,1141,1413,318,660,1202,368,1034,2781,214,7999,36647,27282,11800,2674,17204,15292,3862,8233,33944,3916,26442,136199,9115,260016,949,359,275,785,444,602,153,271,805,196,634,901,12788,16235,39679,28309,12880,3694,18792,17313,4333,9164,35956,4482,28118,139883,22118,284248
LGA11700,15,11,23,6,0,70,119,118,33,0,94,72,19,28,84,12,46,867,51,1296,0,0,0,0,0,0,0,0,0,0,0,14,342,357,151,134,43,8,116,88,20,36,97,22,65,879,394,1725,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,5,0,9,3,3,5,10,3,3,9,0,27,9,0,5,0,9,3,3,5,10,3,3,8,0,29,137,118,35,8,99,79,19,33,93,21,61,633,46,1086,5,4,0,0,5,0,0,0,0,0,0,28,277,311,151,121,43,8,116,88,20,36,94,22,65,664,318,1420
LGA11720,1741,407,1896,388,128,4952,5618,6051,1471,67,2831,2127,501,1104,6462,351,3655,31586,2225,53985,76,43,27,6,37,34,8,26,66,8,48,210,4271,4694,7485,7009,1972,528,3805,3116,811,1708,8266,760,5595,32193,6618,63632,10,4,3,0,0,0,0,6,4,0,3,69,3,92,393,121,134,37,227,215,47,120,265,51,189,481,43,1436,400,129,131,37,231,219,47,116,272,51,197,552,44,1530,6965,5444,1796,452,3503,2810,728,1539,7444,684,4664,22192,1696,45234,105,42,33,39,49,65,19,34,71,18,42,152,3652,4038,7473,5611,1961,528,3782,3093,801,1692,7792,754,4904,22891,5392,50801
LGA11730,1628,384,1681,289,86,4580,5781,4324,1766,74,2504,2415,568,1248,4496,404,3060,25892,1754,44806,98,49,23,7,44,40,19,27,60,10,31,223,4270,4732,7737,5115,2355,607,3287,3391,907,1940,6181,798,4768,26401,6106,54115,4,0,0,0,0,0,0,0,9,0,4,41,5,56,521,147,217,35,273,326,77,152,304,83,229,549,50,1769,532,149,220,35,277,326,77,152,307,83,230,586,58,1826,7039,4193,2087,500,2931,2961,801,1728,5510,688,4038,19113,1444,39391,156,69,45,69,67,88,28,50,120,22,115,205,3652,4247,7721,4402,2351,607,3273,3375,900,1925,5942,795,4384,19906,5155,45462
LGA11750,50,21,56,11,0,180,266,331,79,4,185,132,30,53,215,21,174,2148,102,3261,3,5,3,0,0,0,0,0,0,0,0,18,586,618,334,359,100,35,219,172,35,73,268,38,231,2178,687,4059,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,0,7,4,0,0,9,0,6,28,0,59,6,4,4,0,11,4,0,0,9,0,6,29,0,58,323,292,97,30,209,162,35,74,249,35,197,1541,75,2667,0,0,0,4,4,4,0,0,0,0,0,22,468,501,330,295,100,35,219,173,35,73,257,38,206,1590,541,3227
