LGA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA51310,3657,338,67,10,0,0,11,4088
LGA51330,10977,1150,260,128,13,3,63,12600
LGA51400,1825,392,121,23,8,0,28,2395
LGA51470,37,4,4,0,0,0,0,45
LGA51540,301,55,25,11,4,0,6,408
LGA51610,146,26,4,0,0,0,0,179
LGA51680,548,129,49,10,3,0,5,738
LGA51710,133,11,4,0,0,0,0,149
LGA51750,1086,100,20,4,4,0,6,1210
LGA51820,12773,1995,493,116,16,7,73,15467
LGA51860,70,3,0,0,0,0,0,77
LGA51890,593,144,56,18,9,0,8,831
LGA51960,216,40,13,10,0,0,6,286
LGA52030,54,8,9,0,0,0,0,69
LGA52100,80,15,5,0,0,0,0,99
LGA52170,816,103,20,0,0,0,3,942
LGA52240,95,6,3,0,0,0,0,113
LGA52310,62,14,5,0,0,0,0,82
LGA52380,3,0,0,0,0,0,0,3
LGA52450,116,15,12,0,0,0,0,145
LGA52520,134,18,0,0,0,0,3,150
LGA52590,197,53,13,0,0,0,0,266
LGA52660,1333,289,97,17,7,0,16,1754
LGA52730,451,89,24,0,0,0,0,561
LGA52800,382,48,26,42,5,5,25,527
LGA52870,460,102,27,7,0,0,5,603
LGA52940,62,3,6,0,0,0,0,70
LGA53010,53,5,3,0,0,0,0,65
LGA53080,19,7,4,0,0,0,0,27
LGA53150,840,126,21,0,0,0,5,987
LGA53220,472,88,47,21,3,0,13,643
LGA53290,1086,175,69,14,4,0,7,1364
LGA53360,247,53,10,0,0,0,3,311
LGA53430,2615,367,68,18,0,0,9,3076
LGA53570,355,82,25,5,3,0,7,482
LGA53640,121,14,8,0,0,0,0,145
LGA53710,72,9,4,0,0,0,0,93
LGA53780,14012,1841,565,202,33,12,83,16749
LGA53800,2898,707,196,53,9,7,39,3905
LGA53920,215,26,19,23,8,3,15,294
LGA53990,2635,562,185,32,10,3,26,3449
LGA54060,238,52,18,3,0,0,5,316
LGA54130,99,9,7,0,0,0,4,123
LGA54170,18692,2802,634,110,20,6,75,22347
LGA54200,5946,1047,295,60,23,5,31,7406
LGA54280,2582,484,180,34,11,0,28,3319
LGA54310,2185,335,128,22,4,7,18,2696
LGA54340,310,36,15,3,0,0,6,373
LGA54410,74,12,9,0,0,0,0,92
LGA54480,65,0,0,0,0,0,0,69
LGA54550,176,21,6,0,0,0,3,206
LGA54620,57,9,3,0,0,0,0,71
LGA54690,27,0,5,0,0,0,0,35
LGA54760,73,11,4,0,0,0,0,84
LGA54830,4479,879,300,63,15,4,38,5783
LGA54900,132,6,4,0,0,0,0,146
LGA54970,21,4,0,3,0,0,6,35
LGA55040,62,16,3,5,0,0,0,85
LGA55110,6273,1936,492,72,25,7,81,8872
LGA55180,660,113,43,9,3,0,4,829
LGA55250,40,5,0,0,0,0,4,52
LGA55320,11785,1355,270,82,8,0,25,13519
LGA55390,6,0,0,0,0,0,0,11
LGA55460,238,39,15,8,0,0,3,293
LGA55530,40,3,0,0,0,0,0,47
LGA55600,165,28,4,3,0,0,0,205
LGA55670,44,10,0,0,0,0,0,56
LGA55740,974,106,19,0,0,0,3,1104
LGA55810,13,0,0,0,0,0,0,18
LGA55880,44,4,0,0,0,0,0,48
LGA55950,53,4,0,0,0,0,0,60
LGA56090,3602,781,187,47,8,0,40,4669
LGA56160,6,0,0,0,0,0,0,5
LGA56230,1285,390,118,20,4,5,44,1860
LGA56300,88,18,11,0,0,0,0,112
LGA56370,65,9,0,0,0,0,0,73
LGA56460,344,38,8,4,3,0,8,404
LGA56580,2828,259,56,15,0,0,0,3157
LGA56620,91,6,0,9,0,3,5,121
LGA56730,740,169,63,15,4,0,17,1004
LGA56790,174,48,7,4,0,0,3,237
LGA56860,19,0,0,0,0,0,0,21
LGA56930,184,15,6,0,0,0,0,197
LGA57000,29,6,0,0,0,0,0,38
LGA57080,1122,169,14,0,0,0,0,1313
LGA57140,69,14,3,0,0,0,0,83
LGA57210,382,79,18,8,0,0,13,500
LGA57280,1337,243,119,24,11,3,10,1747
LGA57350,42,11,0,0,0,0,0,59
LGA57420,150,18,9,0,0,0,0,181
LGA57490,12068,3223,1022,144,43,13,124,16640
LGA57630,0,0,0,0,0,0,0,0
LGA57700,3428,759,268,58,15,0,27,4562
LGA57770,55,12,0,0,0,0,0,71
LGA57840,3926,460,75,21,8,0,11,4491
LGA57910,22579,2547,532,155,28,7,64,25915
LGA57980,1613,147,21,5,0,0,0,1791
LGA58050,15945,2845,887,257,53,20,112,20120
LGA58190,34,5,0,0,0,0,0,38
LGA58260,41,10,0,0,0,0,0,57
LGA58330,255,82,16,7,0,0,8,374
LGA58400,12,0,0,0,0,0,0,15
LGA58470,10,0,0,4,0,0,0,18
LGA58510,2917,373,72,15,5,0,15,3398
LGA58540,71,0,4,0,0,0,0,80
LGA58570,3098,325,39,13,0,0,9,3488
LGA58610,103,15,10,0,0,0,0,131
LGA58680,41,3,0,0,0,0,0,48
LGA58760,23035,4133,1368,266,46,12,126,28985
LGA58820,313,84,20,9,0,0,7,434
LGA58890,67,0,0,0,0,0,0,73
LGA59030,23,0,0,0,0,0,0,23
LGA59100,51,5,0,0,0,0,0,57
LGA59170,89,7,8,0,0,0,0,106
LGA59250,6,0,0,0,0,0,0,9
LGA59310,93,10,10,0,0,0,0,118
LGA59320,46,4,6,0,0,0,0,53
LGA59330,29,3,0,0,0,0,0,33
LGA59340,461,88,20,26,3,0,10,605
LGA59350,3,0,0,0,0,0,0,6
LGA59360,53,10,3,0,0,0,0,63
LGA59370,204,39,15,5,0,0,8,269
LGA59499,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0
LGA60210,432,40,24,3,0,0,3,503
LGA60410,1626,229,187,24,3,0,21,2093
LGA60610,1614,211,133,19,0,0,18,1992
LGA60810,1845,237,120,15,5,0,17,2239
LGA61010,174,18,13,0,0,0,0,206
LGA61210,639,72,63,7,0,0,8,788
LGA61410,5679,582,329,57,10,0,44,6695
LGA61510,893,105,82,14,3,0,11,1116
LGA61610,1873,307,171,15,9,3,25,2395
LGA61810,495,47,44,4,0,0,6,587
LGA62010,61,0,5,0,0,0,0,66
LGA62210,479,49,52,8,0,0,3,586
LGA62410,279,30,11,0,0,0,7,331
LGA62610,3946,487,295,67,9,4,36,4843
LGA62810,4613,317,136,20,7,0,18,5114
LGA63010,1541,154,121,14,0,0,14,1858
LGA63210,546,60,43,0,3,4,5,655
LGA63410,119,9,6,0,0,0,0,137
LGA63610,4112,359,216,38,5,5,21,4745
LGA63810,1001,107,78,6,0,4,12,1209
LGA64010,5586,565,380,52,10,6,51,6643
LGA64210,1919,189,91,10,3,0,11,2224
LGA64610,1165,127,84,9,0,0,13,1390
LGA64810,1388,201,116,13,5,0,14,1739
LGA65010,582,66,67,9,8,0,5,741
LGA65210,140,17,16,0,0,0,0,172
LGA65410,1108,102,81,15,0,0,20,1318
LGA65610,247,37,24,4,0,0,3,318
LGA65810,2360,236,131,8,6,0,10,2743
LGA69499,0,0,0,0,0,0,0,0
LGA69799,0,0,0,0,0,0,0,0
LGA70200,2107,336,123,57,12,9,35,2681
LGA70420,423,41,29,38,9,7,30,580
LGA70540,6,0,0,0,4,0,0,6
LGA70620,231,21,19,37,0,12,19,341
LGA70700,40,11,3,0,0,0,3,58
LGA71000,7025,1109,267,136,21,5,60,8620
LGA71150,11,0,0,0,0,0,0,12
LGA71300,675,33,35,100,12,17,18,890
LGA72200,658,125,51,30,8,6,21,899
LGA72300,1837,354,126,27,8,3,14,2373
LGA72330,351,26,15,59,13,7,27,495
LGA72800,3468,721,289,75,13,12,21,4599
LGA73600,421,31,25,69,15,13,18,589
LGA74050,182,12,4,12,0,0,8,217
LGA74550,190,24,7,23,0,0,7,254
LGA74560,23,8,0,0,0,0,0,29
LGA74660,523,28,30,71,12,12,22,695
LGA74680,254,24,9,42,8,5,9,343
LGA79399,555,77,32,6,0,0,3,677
LGA79499,0,0,0,0,0,0,0,0
LGA79799,0,0,0,0,0,0,0,0
LGA89399,48600,3377,1646,403,41,22,191,54271
LGA89499,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0
LGA99399,155,18,11,3,0,0,0,188
LGA99499,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0
