LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA33800,194,139,112,105,159,164,140,102,40,1155,1644,1016,956,970,1336,1822,1680,1043,454,10921
LGA33830,48,8,15,7,10,7,0,4,0,99,293,146,162,121,123,69,41,13,6,974
LGA33960,5041,3031,3346,2909,2292,1651,1010,633,327,20240,53649,30597,35410,32952,27656,22741,15637,7982,2575,229199
LGA33980,600,709,1285,899,792,573,189,63,16,5126,4691,2581,4142,3617,3101,2413,1017,379,100,22041
LGA34420,88,32,49,14,35,26,7,7,0,258,282,190,184,103,169,85,49,12,0,1074
LGA34530,693,562,742,792,728,697,398,208,108,4928,7136,4205,4162,4802,5213,5945,4751,2434,753,39401
LGA34570,64,10,6,8,13,5,8,4,0,118,172,113,98,71,82,52,31,12,6,637
LGA34580,762,635,582,544,560,451,315,190,56,4095,7826,5145,5150,4979,5371,5430,4305,2239,660,41105
LGA34590,8320,4773,4918,4537,3866,2809,1891,1102,558,32774,77542,46022,49902,47099,42596,36024,28018,13776,4118,345097
LGA34710,93,68,68,81,69,99,55,19,10,562,683,403,466,464,437,545,385,163,88,3634
LGA34770,2683,1766,2059,2182,2233,1929,1061,606,245,14764,24498,14360,15641,16204,16395,16026,11007,5576,1979,121686
LGA34800,11,22,40,40,20,27,12,3,0,175,143,113,150,125,83,124,60,26,5,829
LGA34830,21,14,11,9,14,7,3,0,0,79,128,68,73,48,33,41,29,7,0,427
LGA34860,383,237,243,221,244,224,145,90,59,1846,2716,1503,1619,1601,1653,1660,1191,654,229,12826
LGA34880,561,505,801,639,534,450,292,175,49,4006,3838,2360,2853,2685,3139,3268,2655,1596,470,22864
LGA35010,7576,4900,5140,4980,4772,3536,2851,1722,919,36396,94450,57283,58511,62658,63615,55529,49072,26718,8506,476342
LGA35250,27,18,27,20,13,8,3,5,0,121,248,191,145,155,128,96,36,24,0,1023
LGA35300,470,355,450,378,337,268,107,61,19,2445,4385,2573,3348,2663,2277,1955,939,473,114,18727
LGA35600,93,61,85,54,80,112,54,27,19,585,695,393,534,400,496,679,451,209,111,3968
LGA35670,68,30,39,30,26,27,14,0,0,234,246,156,118,114,104,86,40,7,0,871
LGA35740,757,425,450,569,756,730,587,390,263,4927,8350,4973,4121,5983,8163,9091,8980,5032,1611,56304
LGA35760,222,156,135,115,186,168,182,124,34,1322,1590,982,965,981,1305,1533,1510,915,291,10072
LGA35780,209,53,42,49,44,41,14,4,0,456,970,473,422,294,258,232,102,23,3,2777
LGA35790,64,19,33,14,23,14,8,0,0,175,659,334,318,226,243,203,91,19,0,2093
LGA35800,26,14,14,12,19,25,19,3,5,137,359,144,196,160,214,270,197,110,33,1683
LGA36070,66,14,22,14,12,8,4,4,0,144,138,94,81,98,104,59,32,9,0,615
LGA36150,22,0,8,5,14,7,6,0,0,62,140,55,103,70,105,125,64,28,13,703
LGA36250,1972,1303,1065,1142,1450,1337,1004,569,286,10128,28377,18287,16086,19550,21779,21854,19053,10448,3799,159233
LGA36300,26,14,26,17,21,20,19,9,4,156,158,68,126,83,85,117,75,34,6,752
LGA36370,1742,1169,1228,1182,1126,972,591,346,164,8520,16638,10574,11142,10406,9715,9863,7504,4352,1776,81970
LGA36510,789,452,447,548,638,526,434,273,146,4253,7558,4331,3864,4968,6120,6429,5718,3029,971,42988
LGA36580,436,264,228,289,351,303,250,166,49,2336,4598,2548,2442,2897,3418,3767,3387,1639,351,25047
LGA36630,745,426,362,360,479,526,516,283,79,3776,5624,3386,3187,3137,4038,4915,5156,2732,820,32995
LGA36660,697,368,346,370,472,504,500,293,118,3668,6237,3657,3462,3492,4476,5415,5478,3068,1004,36289
LGA36720,4979,3397,3308,3650,3895,3429,2716,1716,1038,28128,59492,37383,37804,42382,45977,45184,41086,24171,9058,342537
LGA36820,578,362,327,308,431,445,419,248,125,3243,4449,2457,2335,2576,3369,4132,4063,2153,715,26249
LGA36910,2757,1920,1780,1639,1744,1655,1288,901,460,14144,33904,21902,21846,20352,20894,20570,18096,11264,4381,173209
LGA36950,100,63,40,46,40,34,23,4,5,355,901,530,518,459,402,358,187,62,10,3427
LGA36960,149,28,39,40,42,36,13,4,0,351,1329,567,644,525,417,360,205,65,9,4121
LGA37010,3711,3563,3551,3077,2767,2040,1242,644,270,20865,36970,27863,27901,25201,24814,22520,16591,8268,2647,192775
LGA37300,121,86,130,93,74,66,18,6,0,594,1052,556,797,636,572,364,91,31,10,4109
LGA37310,831,591,649,532,531,457,343,213,108,4255,7242,3965,4404,3963,4304,4175,3338,1827,625,33843
LGA37340,718,598,914,730,805,738,464,222,50,5239,6375,4007,5457,4803,5081,5170,3967,1789,503,37152
LGA37400,32,20,20,22,23,31,40,24,0,212,189,93,122,143,157,177,146,87,19,1133
LGA37550,65,14,12,7,5,4,0,0,0,107,362,172,172,98,108,69,36,8,0,1025
LGA37570,23,6,3,0,0,3,0,0,0,35,80,29,53,29,35,36,10,8,0,280
LGA37600,133,13,22,8,12,16,6,4,0,214,749,480,393,277,253,213,92,31,5,2493
LGA39499,255,435,800,739,648,553,354,67,9,3860,1437,1495,2649,2077,1929,2468,2124,444,44,14667
LGA39799,0,14,37,47,34,8,0,0,0,140,0,16,49,64,45,5,3,0,0,182
LGA40070,101,524,582,350,253,203,205,106,75,2399,1451,5953,6094,3161,2282,2284,2239,1140,425,25029
LGA40120,443,319,222,292,405,393,286,153,47,2560,7349,4789,3461,4858,6128,6085,5053,2391,768,40882
LGA40150,167,128,117,104,125,111,53,43,11,859,1840,1159,1253,1203,1474,1488,912,405,98,9832
LGA40220,318,196,183,183,271,336,327,201,73,2088,4058,2471,2224,2624,3470,4470,5343,3130,941,28731
LGA40250,66,50,59,22,35,25,8,5,3,273,555,439,477,302,269,187,62,24,17,2332
LGA40310,260,190,134,178,242,225,202,106,67,1604,4394,2579,2332,3007,3455,3609,3258,1760,671,25065
LGA40430,46,19,18,20,27,47,33,27,7,244,372,162,182,184,296,474,529,309,107,2615
LGA40520,149,97,77,94,97,118,114,53,33,832,1665,1170,1136,1116,1334,1497,1463,748,358,10487
LGA40700,294,240,192,230,264,212,202,186,80,1900,7751,5723,4192,5638,6223,5725,5543,3628,1609,46032
LGA40910,445,362,364,340,388,351,220,270,208,2948,8904,6461,7522,7439,6988,6305,5151,4101,1929,54800
LGA41010,105,45,43,44,59,50,30,17,5,398,710,355,470,378,472,471,406,192,53,3507
LGA41060,1169,936,1095,988,1065,978,656,393,188,7468,18451,13890,18414,15820,15751,15528,12512,7749,3732,121847
LGA41140,116,79,75,64,99,128,97,62,26,746,1529,839,888,947,1189,1444,1354,741,260,9191
LGA41190,18,7,20,11,25,26,19,19,10,155,345,136,188,172,211,285,222,127,58,1744
LGA41330,32,25,38,30,50,46,54,42,13,330,188,122,216,168,194,232,246,171,29,1566
LGA41560,206,103,112,128,145,218,211,147,80,1350,2127,1214,1264,1353,1708,2468,2787,1599,527,15047
LGA41750,18,10,15,11,8,14,15,5,0,96,207,75,112,118,109,192,127,56,20,1016
LGA41830,23,18,26,22,20,30,31,20,4,194,233,129,165,144,191,276,308,149,52,1647
LGA41960,26,11,15,23,30,23,32,13,0,173,204,85,122,123,166,212,243,103,35,1293
LGA42030,351,223,201,206,184,220,135,101,57,1678,4375,2917,3129,2845,3010,3368,2667,1852,831,24994
LGA42110,83,43,32,50,44,57,60,39,7,415,640,359,347,374,494,745,664,334,107,4064
LGA42250,149,127,206,299,243,229,146,80,49,1528,1463,909,780,1131,1318,1373,1093,438,133,8638
LGA42600,243,199,218,247,284,326,320,196,86,2119,4935,3896,3979,4400,4769,5466,5444,3105,1548,37542
LGA42750,76,43,53,42,61,110,76,46,27,534,776,361,480,488,603,851,804,403,119,4885
LGA43080,14,12,10,10,13,24,11,10,0,104,159,90,95,90,134,177,151,75,41,1012
LGA43220,18,11,7,16,12,4,9,9,5,91,223,75,111,135,113,152,116,82,39,1046
LGA43360,15,19,7,14,25,34,38,24,8,184,329,200,202,225,251,369,444,236,86,2342
LGA43650,218,130,103,125,179,155,99,44,17,1070,3181,2074,1584,1907,2297,2292,1550,697,211,15793
LGA43710,89,47,71,108,135,105,79,29,7,670,1181,491,542,772,872,913,735,315,83,5904
LGA43790,185,109,110,98,124,121,158,95,36,1036,2014,1095,1177,1157,1481,1625,1739,992,392,11672
LGA44000,13,5,6,4,9,7,3,0,0,47,17,9,12,14,20,11,7,4,0,94
LGA44060,837,646,707,672,674,655,443,255,158,5047,15281,11172,14278,13378,11337,11310,9935,5294,2729,94714
LGA44210,129,86,117,160,159,189,187,77,24,1128,1179,708,734,825,1228,1736,1748,799,214,9171
LGA44340,520,388,369,382,466,411,350,270,179,3335,11650,8387,7125,8664,9313,8335,7283,4648,2220,67625
LGA44550,529,285,308,339,320,302,262,120,57,2522,7652,4623,4916,5055,5297,4737,4156,2042,740,39218
LGA44620,427,271,251,242,278,234,229,176,121,2229,4898,3152,3399,3035,3287,3384,3058,1874,802,26889
LGA44830,43,25,13,26,35,55,55,35,5,292,392,209,202,235,347,615,511,271,83,2865
LGA45040,372,261,368,351,317,249,175,125,56,2274,3665,2419,2642,2388,2707,2969,2566,1664,615,21635
LGA45090,150,70,88,92,84,98,91,63,25,761,1630,878,1041,1142,1070,1139,978,587,220,8685
LGA45120,73,36,27,37,43,44,37,37,7,341,816,401,389,473,534,747,681,379,130,4550
LGA45290,254,248,287,258,304,269,193,140,101,2054,5345,4486,5758,4924,4568,4528,3885,2611,1377,37482
LGA45340,2282,1442,1375,1487,1477,1400,1042,633,286,11424,31053,20093,21451,22544,22741,22395,20330,10711,3887,175205
LGA45400,8,7,5,12,8,21,12,9,14,96,142,67,78,77,94,155,149,68,49,879
LGA45540,33,28,27,37,35,45,30,21,11,267,206,131,122,156,209,312,300,157,49,1642
LGA45680,2124,1207,1377,1068,938,769,528,315,217,8543,22682,13121,15770,12715,11319,10878,7214,3912,1574,99185
LGA45890,1496,1145,1559,1484,1256,998,645,402,176,9161,22305,15465,22399,19793,16214,15389,11653,6188,2988,132394
LGA46090,332,236,435,342,241,207,121,66,27,2007,2550,1530,2096,1653,1682,1870,1406,799,250,13836
LGA46300,259,173,164,153,171,164,132,94,59,1369,2599,1642,1806,1626,1783,1907,1656,959,432,14410
LGA46450,336,187,175,163,193,155,116,97,34,1456,3047,2012,1904,1743,2198,2380,2093,1371,521,17269
LGA46510,160,159,202,163,164,150,100,55,38,1191,3857,2757,3572,3265,2763,2748,1953,883,474,22272
LGA46670,134,114,111,81,110,89,101,58,25,823,1593,1085,1226,1063,1232,1343,1287,682,275,9786
LGA46860,6,8,10,8,14,27,14,14,0,101,215,125,142,145,192,291,270,141,30,1551
LGA46970,107,73,114,83,79,44,4,5,0,509,1024,437,856,746,510,346,53,14,3,3989
LGA47140,2157,1340,1339,1408,1245,985,708,422,209,9813,28366,18929,21328,20462,17641,16489,12831,7146,2607,145799
LGA47290,38,22,13,33,31,23,21,12,9,202,332,185,236,234,241,288,254,146,69,1985
LGA47490,40,16,25,22,25,31,31,16,14,220,418,140,224,231,281,334,354,134,59,2175
LGA47630,102,82,96,78,112,96,56,38,10,670,1245,756,861,824,944,921,745,431,172,6899
LGA47700,964,665,583,663,771,663,544,373,280,5506,17467,11744,12098,13462,13156,12550,11374,6842,2482,101175
LGA47800,111,81,79,63,88,85,74,53,24,658,881,507,596,554,640,915,744,486,142,5465
LGA47910,42,5,20,24,21,39,48,29,11,239,475,185,236,277,324,449,461,289,117,2813
LGA47980,252,207,195,229,247,229,220,144,117,1840,5993,4480,4792,5040,5084,4688,4401,2599,1572,38649
LGA48050,152,76,61,81,97,139,196,121,60,983,1991,1136,998,1290,1572,2337,3537,2363,909,16133
LGA48130,85,59,48,53,61,81,62,37,13,499,1281,720,666,714,869,1014,874,453,184,6775
LGA48260,47,43,54,54,69,66,45,35,20,433,1193,978,886,946,1056,993,980,647,339,8018
LGA48340,159,115,92,103,178,165,142,93,33,1080,1924,1209,1032,1242,1625,1901,1778,874,305,11890
LGA48410,464,428,548,463,415,390,232,222,129,3291,8956,7731,11172,8656,7332,6793,5118,3626,2317,61701
LGA48540,410,224,258,225,260,260,136,107,52,1932,3795,2441,2714,2359,2943,2981,2132,1433,451,21249
LGA48640,32,20,11,15,20,23,13,8,14,156,240,99,116,128,146,170,124,61,48,1132
LGA48750,52,24,28,49,61,69,72,40,12,407,798,427,375,490,693,1080,1227,575,174,5839
LGA48830,173,82,91,90,125,171,211,119,47,1109,1558,771,838,947,1221,2112,2412,1306,427,11592
LGA49399,53,63,101,59,82,85,44,7,6,500,429,368,433,345,499,518,306,88,25,3011
LGA49499,84,79,166,178,144,138,77,11,0,877,409,394,627,534,478,513,359,64,11,3389
LGA49799,0,0,0,0,5,0,0,0,0,5,0,0,0,3,5,0,0,0,0,8
LGA50080,560,384,504,470,479,483,396,219,114,3609,6798,4134,4150,4231,4976,5440,4990,2890,1164,38773
LGA50210,1747,960,1171,1161,959,729,404,231,102,7464,22087,10747,14140,15526,11039,9336,7019,3289,1006,94189
LGA50250,268,155,327,319,224,166,39,11,0,1509,1727,637,1511,1494,1021,744,200,54,10,7398
LGA50280,400,140,196,300,315,208,167,41,33,1800,3423,1275,1734,2673,2511,2214,1925,746,286,16787
LGA50350,225,142,202,192,195,151,114,71,30,1322,2799,1601,2231,2389,2165,1971,1574,839,360,15929
LGA50420,673,547,809,761,636,537,368,275,183,4789,11024,7332,11640,10678,8739,7799,6607,3832,1634,69285
LGA50490,578,455,780,632,492,407,254,169,136,3903,6725,4879,8528,6610,5019,4498,3282,1827,902,42270
LGA50560,23,25,13,22,37,34,37,19,10,220,204,117,124,161,220,292,349,165,58,1690
LGA50630,32,12,24,18,28,32,21,7,0,174,375,126,183,208,242,266,197,86,20,1703
LGA50770,61,14,21,29,37,40,25,21,5,253,361,145,129,220,243,295,245,158,35,1831
LGA50840,80,46,31,55,81,86,74,33,13,499,867,413,381,537,699,896,922,426,104,5245
LGA50910,33,18,4,19,16,17,9,3,0,119,161,68,67,102,137,134,133,90,41,933
LGA50980,637,326,481,425,456,308,140,52,17,2842,3994,1869,2890,2707,2353,1828,953,289,75,16958
LGA51080,41,10,13,13,19,21,13,7,0,137,228,95,114,125,129,179,104,52,13,1039
LGA51120,25,23,16,15,29,35,29,22,6,200,181,87,88,111,123,143,155,72,26,986
LGA51190,542,400,607,525,482,396,296,174,99,3521,5449,3544,4214,4053,4290,4440,3875,2158,968,32991
LGA51260,652,321,399,482,492,431,389,247,82,3495,7621,3663,3812,5162,5504,5355,5509,2960,1045,40631
LGA51310,246,161,194,174,229,201,169,85,55,1514,5652,3456,2837,3743,4391,3602,2616,1608,969,28874
LGA51330,926,878,1083,867,757,612,366,276,135,5900,17402,13703,14885,14030,11751,10116,8086,4299,1591,95863
LGA51400,277,206,140,182,232,193,144,53,21,1448,4029,2289,1842,2425,2727,2332,1692,701,136,18173
LGA51470,11,13,4,18,12,11,16,6,0,91,76,41,62,95,64,82,86,33,11,550
LGA51540,232,147,168,132,150,119,78,49,9,1084,973,558,715,617,767,753,556,241,70,5250
LGA51610,61,21,11,40,53,32,26,9,0,253,327,142,127,194,274,254,169,53,9,1549
LGA51680,77,64,55,50,104,113,61,35,12,571,1109,665,516,682,942,988,642,309,77,5930
LGA51710,28,37,161,100,69,33,28,4,0,460,285,127,319,271,263,210,178,32,4,1689
LGA51750,92,120,118,74,102,90,82,66,60,804,1776,1583,1244,1175,1475,1286,1196,1030,529,11294
LGA51820,1448,1037,1285,1302,1154,886,590,353,191,8246,22972,13975,17894,18564,15830,12939,9368,4740,1811,118093
LGA51860,20,10,18,12,14,23,14,5,0,116,130,49,65,85,53,111,63,33,11,600
LGA51890,218,113,107,108,117,127,98,54,23,965,1571,947,920,976,1120,1301,1220,568,183,8806
LGA51960,158,110,120,142,129,105,51,21,5,841,690,412,461,471,533,513,297,86,14,3477
LGA52030,15,10,21,13,29,37,23,20,6,174,132,60,98,89,107,220,215,103,23,1047
LGA52100,10,12,8,8,13,11,14,6,7,89,173,84,105,118,110,147,156,75,42,1010
LGA52170,46,69,80,75,58,85,54,44,43,554,1252,1014,908,841,1094,1113,959,577,219,7977
LGA52240,29,14,11,12,20,21,17,13,0,137,215,87,90,132,159,178,134,85,15,1095
LGA52310,22,15,10,12,17,17,9,11,0,113,142,72,74,75,142,166,151,61,12,895
LGA52380,3,4,8,4,9,4,5,4,0,41,4,19,35,20,31,35,58,11,0,213
LGA52450,24,10,11,19,15,8,19,5,3,114,260,201,152,155,136,154,151,64,27,1300
LGA52520,53,23,27,45,30,40,24,10,6,258,298,118,176,211,155,204,118,63,36,1379
LGA52590,35,31,67,56,51,60,66,27,9,402,471,224,368,364,413,589,599,265,65,3358
LGA52660,236,118,149,153,188,169,129,106,84,1332,2991,1526,1843,1927,1851,1805,1489,900,347,14679
LGA52730,132,62,58,74,114,110,110,55,24,739,1084,522,393,691,833,1055,1042,542,155,6317
LGA52800,382,212,288,219,187,160,82,25,3,1558,1609,1036,1270,958,858,781,421,119,29,7081
LGA52870,73,45,48,61,80,76,79,46,9,517,1024,537,502,684,847,1009,978,460,127,6168
LGA52940,16,4,3,3,14,4,9,4,0,57,152,60,55,86,90,84,126,45,10,708
LGA53010,28,11,12,17,18,20,18,9,0,133,136,39,74,93,89,102,96,44,0,673
LGA53080,27,11,28,6,34,28,16,6,0,156,74,62,96,53,109,133,95,49,3,674
LGA53150,90,58,52,89,81,66,61,54,70,621,1374,912,717,925,1198,1081,876,471,254,7808
LGA53220,197,213,692,591,438,317,56,11,0,2515,1578,1026,2324,2020,1476,1035,251,44,13,9767
LGA53290,378,207,187,210,248,220,165,124,27,1766,2720,1488,1548,1642,1899,1894,1486,918,284,13879
LGA53360,62,43,54,57,58,43,33,11,3,364,562,323,544,498,425,379,244,101,16,3092
LGA53430,358,305,481,395,435,336,259,157,119,2845,4575,3203,4531,4498,4338,4423,3573,1936,849,31926
LGA53570,74,42,66,65,89,88,96,53,9,582,794,462,574,577,782,898,928,462,88,5565
LGA53640,41,16,11,17,17,20,15,10,0,147,261,98,175,155,150,181,143,34,8,1205
LGA53710,19,15,8,15,19,19,18,13,3,129,166,76,65,117,122,153,158,68,24,949
LGA53780,1978,1353,1792,1756,1426,970,654,403,271,10603,26265,16250,17620,19859,16225,12945,10175,5162,1869,126370
LGA53800,1065,632,679,703,689,573,402,232,111,5086,7863,4581,4684,4866,5377,5164,3981,2149,839,39504
LGA53920,246,104,100,87,83,54,29,11,3,717,890,648,605,505,421,277,158,62,11,3577
LGA53990,456,302,274,295,319,326,225,119,38,2354,5963,3146,3228,3762,3741,3784,3061,1466,400,28551
LGA54060,67,45,38,50,55,90,81,56,10,492,551,308,222,359,479,644,673,362,78,3676
LGA54130,28,19,8,15,24,28,9,3,0,134,252,90,137,158,148,191,133,46,12,1167
LGA54170,1582,1167,1125,1345,1564,1315,901,453,257,9709,29848,19300,16285,21336,22768,21744,18096,7853,2782,160012
LGA54200,744,474,514,592,556,506,329,228,122,4065,11358,6770,6450,7970,7889,7218,6227,3593,1292,58767
LGA54280,820,526,709,638,569,476,240,81,31,4090,6492,3610,4812,4401,3915,3416,1782,678,202,29308
LGA54310,914,498,862,883,602,397,124,19,7,4306,5642,2369,4115,4351,3142,1864,574,135,12,22204
LGA54340,130,67,63,62,49,42,47,22,13,495,782,503,531,486,489,518,427,232,100,4068
LGA54410,15,23,13,16,23,28,20,14,6,158,147,109,93,119,154,206,153,114,46,1141
LGA54480,15,9,5,13,15,6,3,6,0,72,120,41,59,84,84,47,32,19,0,486
LGA54550,35,13,15,30,23,41,23,22,4,206,372,137,179,249,236,305,222,150,54,1904
LGA54620,25,9,15,14,15,20,15,6,9,128,145,74,82,114,125,130,110,51,18,849
LGA54690,0,0,3,4,3,0,0,3,0,13,64,14,28,41,56,69,60,27,6,365
LGA54760,21,9,13,13,19,9,8,4,0,96,163,41,78,107,117,114,94,43,11,768
LGA54830,841,632,1067,927,640,359,208,86,25,4785,10410,5642,7857,7718,5670,4134,2717,1314,416,45878
LGA54900,9,13,6,13,19,27,4,6,6,103,251,119,144,178,173,200,128,67,13,1273
LGA54970,27,42,137,95,99,70,14,0,0,484,133,136,323,236,223,207,56,11,5,1330
LGA55040,56,87,143,106,70,55,19,8,0,544,265,205,351,265,216,180,81,26,3,1592
LGA55110,1366,894,864,985,1103,964,804,650,408,8038,15677,9464,9182,9972,10978,11960,12513,7848,2707,90301
LGA55180,141,100,81,97,157,146,102,56,18,898,1484,927,907,944,1246,1510,1213,647,221,9099
LGA55250,28,54,85,46,44,37,12,4,0,310,174,165,270,166,154,155,81,31,0,1196
LGA55320,913,757,697,782,870,782,640,416,315,6172,17909,12738,10955,13403,13754,12993,11756,6676,3336,103520
LGA55390,0,25,42,40,19,19,12,4,0,161,29,77,115,108,82,70,40,11,0,532
LGA55460,78,50,59,61,50,61,46,25,5,435,588,349,373,370,398,449,368,160,65,3120
LGA55530,9,3,3,4,11,24,10,6,3,73,78,27,38,48,55,75,52,34,9,416
LGA55600,59,37,41,33,44,46,37,22,8,327,437,234,244,235,324,337,268,149,57,2285
LGA55670,39,25,9,12,9,18,28,5,3,148,147,71,62,63,77,83,98,36,18,655
LGA55740,90,92,91,86,96,92,73,58,40,718,1549,1185,1009,1139,1334,1141,995,594,211,9157
LGA55810,71,29,35,50,54,40,26,10,0,315,122,55,70,97,104,103,72,23,9,655
LGA55880,7,3,3,10,13,11,0,0,5,52,79,22,42,62,75,100,45,20,16,461
LGA55950,17,9,11,7,15,10,8,10,4,91,121,48,62,60,82,85,68,46,11,583
LGA56090,433,486,933,896,728,572,314,178,82,4622,6535,4336,4241,4932,5655,5720,4548,2428,775,39170
LGA56160,10,0,0,6,6,0,0,0,0,22,32,3,13,17,17,10,5,0,0,97
LGA56230,328,219,194,232,255,248,234,132,71,1913,3275,1887,1768,2009,2285,2496,2502,1433,409,18064
LGA56300,42,10,9,28,33,34,43,33,4,236,208,83,94,178,182,280,336,151,30,1542
LGA56370,19,9,16,11,16,22,17,16,14,140,153,47,106,69,98,119,89,68,41,790
LGA56460,128,80,81,80,77,69,61,35,8,619,827,589,536,524,592,654,567,326,159,4774
LGA56580,190,156,130,133,158,144,155,98,69,1233,4202,3045,1863,2448,3143,2774,2506,1499,650,22130
LGA56620,45,20,24,24,28,24,4,0,0,169,293,242,230,210,180,135,52,14,3,1359
LGA56730,305,198,254,270,223,204,143,83,39,1719,2061,1242,1227,1305,1488,1662,1438,706,237,11366
LGA56790,86,50,49,56,76,81,92,47,13,550,482,205,239,324,408,606,597,282,86,3229
LGA56860,4,11,0,4,16,7,15,4,0,61,33,33,17,20,37,46,44,14,4,248
LGA56930,16,28,0,11,12,20,15,11,4,117,264,322,112,119,215,220,183,114,41,1590
LGA57000,28,22,23,44,30,38,13,4,4,206,84,58,76,95,102,117,55,26,11,624
LGA57080,184,541,939,552,369,289,204,93,30,3201,1999,4868,8545,4824,2682,2481,1901,901,268,28469
LGA57140,15,8,9,9,14,10,5,14,8,92,169,81,89,94,123,177,172,107,23,1035
LGA57210,113,69,69,106,102,108,90,36,12,705,903,488,455,573,769,910,823,352,117,5390
LGA57280,591,344,572,486,382,310,82,19,5,2791,3879,1663,3066,2832,2024,1608,468,111,33,15684
LGA57350,41,12,24,20,43,51,49,24,7,271,149,49,87,81,121,160,190,81,39,957
LGA57420,39,25,33,24,38,46,30,9,4,248,392,139,297,257,299,323,221,126,32,2086
LGA57490,2434,1587,1772,1734,1612,1228,699,545,342,11953,29431,16896,18324,18382,17886,15559,10901,6210,2083,135672
LGA57630,0,4,15,5,8,5,5,3,0,45,0,6,13,7,11,31,22,15,0,105
LGA57700,565,265,413,481,401,294,164,74,22,2679,8017,3704,4896,4765,4066,3391,2123,955,249,32166
LGA57770,31,17,21,32,22,28,21,20,3,195,169,73,152,133,124,166,145,63,8,1033
LGA57840,380,377,509,354,373,377,325,235,236,3166,6226,5914,6604,5719,5276,5155,4773,2503,1233,43403
LGA57910,2544,1783,2875,2530,2034,1626,1256,868,501,16017,38268,24550,37576,34928,28195,24207,20107,12645,5894,226370
LGA57980,141,113,193,153,140,132,151,103,59,1185,2726,1807,2660,2411,2135,1989,1947,1153,439,17267
LGA58050,2496,1576,1934,1810,1709,1263,729,370,210,12097,33231,19203,23311,22878,19814,16713,10855,5197,1767,152969
LGA58190,13,3,8,7,10,13,8,4,0,66,75,34,45,37,64,69,40,25,6,395
LGA58260,29,0,19,19,7,13,9,8,0,104,120,43,62,77,71,76,72,45,6,572
LGA58330,84,44,55,57,99,147,87,53,8,634,627,359,338,412,659,967,818,353,72,4605
LGA58400,7,7,5,4,3,3,6,8,0,43,26,27,34,16,38,61,47,29,0,278
LGA58470,5,5,8,5,5,0,3,0,0,31,45,21,22,24,24,25,15,0,0,176
LGA58510,335,402,670,483,380,303,188,207,262,3230,5157,4533,7737,5954,4324,3695,2834,1626,1022,36882
LGA58540,24,8,6,17,20,18,19,6,0,118,136,57,75,101,114,152,102,50,12,799
LGA58570,292,304,742,443,359,275,165,95,57,2732,5245,3842,8305,6304,4660,3835,2485,1197,667,36540
LGA58610,38,31,30,28,30,27,42,16,6,248,282,149,173,191,207,277,284,152,47,1762
LGA58680,9,16,11,15,19,21,17,9,0,117,79,49,47,57,96,84,72,48,9,541
LGA58760,3271,2010,2181,2265,2200,1567,904,489,195,15082,46118,27334,29094,30915,28677,21776,14772,7804,2623,209113
LGA58820,63,52,36,58,66,73,59,39,28,474,697,417,369,482,578,660,627,305,106,4241
LGA58890,38,4,8,23,16,16,9,6,3,123,137,63,58,85,123,149,105,46,24,790
LGA59030,3,6,4,4,0,0,3,4,3,27,46,16,32,30,24,46,38,19,6,257
LGA59100,28,11,17,15,13,31,18,11,3,147,138,49,75,67,86,123,81,57,18,694
LGA59170,28,5,8,21,12,14,23,13,3,127,220,71,106,152,121,154,111,65,17,1017
LGA59250,24,22,43,41,24,15,13,0,0,182,85,72,108,95,88,42,39,13,0,542
LGA59310,20,13,17,10,18,20,19,3,0,120,243,98,149,166,149,201,191,75,20,1292
LGA59320,14,4,5,9,8,11,10,4,0,65,99,33,43,49,52,84,61,22,3,446
LGA59330,0,0,6,3,9,5,14,11,0,48,59,28,47,45,58,78,82,65,9,471
LGA59340,420,161,257,216,207,159,97,30,13,1560,1721,857,1302,1102,1030,889,418,136,25,7480
LGA59350,7,18,58,23,26,16,10,4,0,162,29,41,106,46,52,33,25,7,4,343
LGA59360,7,14,52,40,51,38,22,3,7,234,117,65,187,169,222,215,127,50,21,1173
LGA59370,50,24,34,29,54,76,56,56,15,394,491,221,249,327,385,624,680,369,108,3454
LGA59499,190,352,661,811,748,503,245,69,15,3594,772,820,1512,1543,1313,1144,758,155,30,8047
LGA59799,0,22,46,76,51,27,3,0,0,225,0,42,116,170,109,62,18,0,0,517
LGA60210,67,65,56,68,63,129,114,57,18,637,878,438,489,644,827,1358,1339,643,155,6771
LGA60410,465,248,224,210,195,150,119,59,15,1685,4307,2389,2798,2401,2336,2081,1740,757,176,18985
LGA60610,324,203,165,177,235,171,148,94,36,1553,3604,2453,2609,2276,2584,2624,2097,1223,450,19920
LGA60810,310,201,175,191,227,248,230,154,52,1788,3574,2372,2301,2344,2888,3635,3157,1834,646,22751
LGA61010,30,33,26,41,33,63,46,17,4,293,383,233,243,265,295,471,437,166,32,2525
LGA61210,170,88,114,106,82,119,99,48,21,847,1539,869,1022,887,1006,1178,969,473,170,8113
