LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA58260,42,650,748,120,1696,0.8,1366,2.3
LGA58330,54,1564,624,285,1579,0.7,1272,2.3
LGA58400,55,531,512,120,1125,0.6,864,1.9
LGA58470,37,826,484,75,1312,0.9,1300,2.9
LGA58510,36,2000,987,350,2473,0.8,1844,2.2
LGA58540,48,537,963,150,2200,0.7,1653,2.3
LGA58570,36,2197,1193,400,3050,0.9,2209,2.2
LGA58610,49,875,686,195,1718,0.7,1183,2.2
LGA58680,49,1600,824,200,2100,0.7,1687,2.4
LGA58760,35,1900,817,350,2148,0.8,1894,2.8
LGA58820,48,1625,620,260,1701,0.7,1312,2.4
LGA58890,50,915,804,143,1708,0.7,1325,2.2
LGA59030,48,400,817,85,1465,0.7,1318,2.2
LGA59100,47,867,742,139,1662,0.7,1256,2.4
LGA59170,41,1285,1015,200,2243,0.7,1739,2.4
LGA59250,35,0,1196,118,767,1,1109,2.4
LGA59310,44,993,767,180,1757,0.7,1269,2.3
LGA59320,45,1148,741,150,1663,0.8,1385,2.5
LGA59330,54,650,582,150,1481,0.6,916,1.9
LGA59340,33,2000,1016,230,2082,1,1858,2.7
LGA59350,34,223,1397,150,1583,0.9,1575,2.6
LGA59360,47,790,1128,150,2057,0.6,1370,2
LGA59370,56,1404,604,260,1538,0.7,1127,2.2
LGA59499,0,0,0,0,0,0,0,0
LGA59799,40,1733,2123,0,1375,0.7,2250,1.7
LGA60210,56,1083,484,240,1132,0.8,836,2
LGA60410,35,1392,700,280,1593,0.9,1352,2.6
LGA60610,40,1129,661,240,1598,0.8,1225,2.3
LGA60810,48,1300,634,250,1562,0.8,1209,2.3
LGA61010,50,900,569,200,1400,0.8,1013,2.1
LGA61210,41,1083,670,220,1614,0.8,1270,2.4
LGA61410,41,1541,820,350,1991,0.8,1602,2.4
LGA61510,42,1235,619,285,1518,0.8,1244,2.5
LGA61610,43,1200,630,250,1495,0.8,1167,2.3
LGA61810,48,1083,583,220,1358,0.7,1039,2.2
LGA62010,57,867,678,139,1542,0.7,1057,2
LGA62210,49,1083,519,220,1272,0.7,996,2.2
LGA62410,57,1103,596,250,1289,0.8,1005,2.1
LGA62610,37,1337,691,325,1632,0.9,1325,2.4
LGA62810,37,1800,886,390,2324,0.9,1842,2.3
LGA63010,46,1300,609,290,1514,0.8,1227,2.4
LGA63210,49,1248,604,230,1470,0.8,1207,2.4
LGA63410,45,1083,845,190,1719,0.7,1330,2.1
LGA63610,41,1625,796,380,2025,0.8,1667,2.5
LGA63810,49,1322,645,260,1534,0.8,1256,2.3
LGA64010,39,1300,694,278,1677,0.8,1310,2.3
LGA64210,46,1322,670,270,1675,0.8,1290,2.4
LGA64610,46,1300,683,250,1618,0.8,1259,2.3
LGA64810,42,1400,726,350,1719,0.8,1400,2.4
LGA65010,44,1300,660,250,1605,0.8,1332,2.5
LGA65210,57,1083,509,250,1174,0.8,863,2
LGA65410,48,1200,605,240,1516,0.8,1138,2.3
LGA65610,47,650,548,160,1406,0.7,958,2
LGA65810,45,1364,700,300,1758,0.8,1402,2.4
LGA69499,0,0,0,0,0,0,0,0
LGA69799,43,0,2249,0,0,0,0,0
LGA70200,34,1800,1131,375,2484,0.9,2142,2.6
LGA70420,30,1087,456,115,1035,1.2,1474,3.2
LGA70540,32,0,272,75,661,1.2,680,3.2
LGA70620,28,498,272,75,635,1.4,1122,4.1
LGA70700,51,1517,607,175,1379,0.9,996,2.1
LGA71000,35,2000,1111,380,2463,0.9,2188,2.6
LGA71150,37,1907,1741,533,2944,1,2281,1.6
LGA71300,28,997,290,80,775,1.7,1395,4.8
LGA72200,33,1625,1072,295,2353,1,2116,2.7
LGA72300,39,2253,1119,380,2675,1,2346,2.8
LGA72330,30,758,286,75,743,1.4,1151,3.8
LGA72800,31,2037,1133,400,2453,0.9,2199,2.8
LGA73600,29,1290,288,75,756,1.7,1320,4.1
LGA74050,30,845,240,80,551,1.3,757,3.4
LGA74550,27,1170,392,85,875,1.3,1194,3.5
LGA74560,52,1597,826,250,1768,1,1355,2.1
LGA74660,28,488,285,80,771,1.6,1523,4.2
LGA74680,26,0,196,50,467,1.9,804,4.9
LGA79399,35,1785,1160,123,2805,1,2087,2.4
LGA79499,0,0,0,0,0,0,0,0
LGA79799,40,0,1478,0,0,0.7,208150,2.3
LGA89399,35,2080,1204,450,2872,0.8,2373,2.5
LGA89499,0,0,0,0,0,0,0,0
LGA89799,0,0,0,0,0,0,0,0
LGA99399,49,1300,728,228,1630,0.8,1199,2.2
LGA99499,0,0,0,0,0,0,0,0
LGA99799,0,0,0,0,0,0,0,0
