LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA32450,..,344,344,292,28,322,132,4,134,130,0,130,66,0,72,50,0,49,675,381,1057
LGA32500,..,526,526,449,45,496,189,9,195,153,0,157,75,0,75,57,0,57,917,581,1498
LGA32600,..,30,30,21,4,21,9,0,9,5,0,5,8,0,8,9,0,9,50,32,80
LGA32750,..,29,29,32,0,36,10,0,10,8,0,8,3,0,3,3,0,3,50,36,82
LGA32770,..,36,36,45,6,51,44,3,44,35,0,35,36,0,36,82,0,82,239,44,285
LGA32810,..,1339,1339,1708,180,1888,522,29,549,462,9,477,202,5,205,96,0,100,2988,1575,4560
LGA33100,..,105,105,85,3,91,30,0,30,16,0,16,13,0,13,10,0,10,158,106,260
LGA33200,..,188,188,180,21,198,44,0,44,66,0,67,34,0,34,12,0,12,340,204,545
LGA33220,..,12121,12121,17477,1362,18830,5329,159,5490,4249,28,4275,1964,3,1970,1233,4,1239,30246,13675,43927
LGA33360,..,5923,5923,7628,626,8252,3335,83,3418,3365,16,3386,1444,5,1447,760,0,760,16535,6650,23181
LGA33430,..,53934,53934,72974,8798,81778,36011,2191,38197,34406,743,35154,13055,178,13235,6508,102,6614,162955,65954,228913
LGA33610,..,1056,1056,1248,92,1340,485,17,504,464,5,463,252,0,251,137,0,137,2589,1172,3757
LGA33620,..,5578,5578,7674,569,8235,2605,61,2665,2212,11,2224,1066,4,1072,683,4,686,14236,6216,20461
LGA33800,..,1386,1386,1783,92,1871,481,3,485,398,0,397,199,0,199,85,0,85,2942,1484,4426
LGA33830,..,73,73,64,0,65,44,0,44,33,0,33,29,0,29,39,0,39,208,76,281
LGA33960,..,17171,17171,22116,2081,24198,13347,351,13700,12972,76,13052,5916,19,5933,4009,0,4010,58356,19700,78058
LGA33980,..,1620,1620,1822,152,1975,898,27,927,1013,3,1017,536,0,536,222,3,228,4491,1809,6298
LGA34420,..,40,40,49,4,54,38,0,38,27,0,27,29,0,29,60,0,60,205,43,247
LGA34530,..,3129,3129,5131,290,5417,1933,41,1971,1895,3,1900,899,0,899,463,0,463,10331,3459,13783
LGA34570,..,33,33,29,4,37,23,0,23,15,0,15,17,0,17,24,0,24,113,39,155
LGA34580,..,3004,3004,4682,414,5096,2144,114,2255,1982,70,2055,957,37,995,710,27,735,10476,3666,14142
LGA34590,..,22708,22708,31839,2982,34826,19372,551,19924,18484,161,18644,9147,42,9189,7348,20,7363,86188,26459,112653
LGA34710,..,439,439,447,45,488,176,7,180,123,0,123,74,0,74,34,0,34,849,492,1342
LGA34770,..,10278,10278,14225,1080,15299,6396,197,6594,6372,42,6413,2970,11,2981,1391,0,1388,31358,11611,42964
LGA34800,..,86,86,58,3,67,31,0,31,24,0,24,21,0,21,19,0,18,149,92,238
LGA34830,..,21,21,9,4,16,13,0,13,15,0,15,18,0,18,13,0,13,70,23,94
LGA34860,..,1325,1325,1463,109,1571,586,31,614,617,6,620,306,0,306,146,0,146,3114,1467,4581
LGA34880,..,2131,2131,2745,234,2974,1028,29,1057,875,21,900,427,8,439,332,5,336,5416,2426,7836
LGA35010,..,37657,37657,55630,4108,59734,27466,637,28099,27165,161,27333,11621,59,11683,6475,44,6520,128356,42665,171018
LGA35250,..,56,56,41,3,44,31,0,27,33,0,33,22,0,22,52,0,52,174,65,234
LGA35300,..,1809,1809,1780,204,1981,903,38,936,906,13,918,460,0,460,310,0,310,4358,2056,6416
LGA35600,..,541,541,508,39,548,176,10,186,143,0,143,78,0,78,45,0,45,949,582,1528
LGA35670,..,39,39,34,0,32,31,0,31,31,0,31,21,0,21,41,0,41,163,39,199
LGA35740,..,5328,5328,8650,632,9282,2875,116,2991,2712,35,2745,1044,13,1057,440,4,442,15722,6122,21847
LGA35760,..,1227,1227,1449,117,1558,445,19,467,356,3,363,178,10,184,98,4,100,2525,1376,3903
LGA35780,..,138,138,135,8,138,100,6,102,101,0,101,67,0,67,137,0,137,532,150,678
LGA35790,..,105,105,81,13,94,60,5,64,62,0,62,52,0,52,120,0,120,375,118,491
LGA35800,..,258,258,222,21,242,67,3,67,71,0,71,36,0,36,25,0,25,416,278,694
LGA36070,..,21,21,48,0,48,20,0,20,19,0,19,19,0,19,22,0,22,128,21,153
LGA36150,..,99,99,77,5,85,34,0,31,32,0,32,19,0,19,13,0,13,173,108,279
LGA36250,..,12889,12889,19980,1196,21175,9508,164,9675,9516,40,9552,3708,4,3707,1748,5,1748,44457,14292,58756
LGA36300,..,61,61,88,3,84,27,0,31,34,0,34,21,0,21,11,0,11,176,65,243
LGA36370,..,8368,8368,9244,825,10070,4254,145,4391,4221,39,4267,1799,10,1805,1009,5,1014,20523,9393,29911
LGA36510,..,3440,3440,5736,329,6064,2190,48,2243,2055,6,2064,994,0,999,620,5,625,11597,3827,15430
LGA36580,..,2089,2089,3305,232,3532,1205,27,1231,1197,20,1216,583,8,596,405,0,410,6692,2367,9066
LGA36630,..,3828,3828,4685,374,5061,1474,49,1529,1163,13,1173,671,3,677,415,3,424,8419,4267,12685
LGA36660,..,4122,4122,5303,274,5574,1682,37,1713,1433,15,1441,738,7,744,425,9,433,9579,4451,14031
LGA36720,..,30061,30061,45169,3736,48901,18430,895,19321,18532,311,18846,7424,59,7485,3291,21,3316,92845,35081,127927
LGA36820,..,2923,2923,3759,260,4017,1196,42,1234,985,12,994,495,6,500,311,0,319,6750,3238,9986
LGA36910,..,17717,17717,21806,1604,23410,8744,307,9054,8091,77,8166,3948,19,3965,2327,14,2335,44912,19741,64650
LGA36950,..,242,242,193,17,210,121,10,121,134,3,139,102,0,102,125,0,125,674,273,950
LGA36960,..,215,215,202,8,209,146,0,146,142,0,142,111,0,111,193,0,193,791,224,1013
LGA37010,..,18235,18235,22233,2331,24560,10647,539,11187,9450,171,9619,4022,41,4059,2215,14,2228,48562,21325,69892
LGA37300,..,240,240,348,35,383,185,14,197,238,0,238,117,0,120,60,0,60,945,291,1233
LGA37310,..,3238,3238,3973,294,4264,1542,64,1606,1478,15,1493,798,4,802,496,0,496,8291,3613,11901
LGA37340,..,3465,3465,4325,415,4745,1610,103,1714,1602,24,1627,710,10,724,319,8,326,8574,4040,12614
LGA37400,..,167,167,136,14,151,43,0,43,43,0,49,20,0,20,8,0,8,254,181,438
LGA37550,..,69,69,44,5,44,57,0,57,34,0,34,27,0,27,45,0,45,198,73,273
LGA37570,..,17,17,18,0,18,16,0,16,8,0,8,10,0,10,14,0,14,60,17,79
LGA37600,..,54,54,57,7,62,54,0,56,77,0,77,61,0,61,173,0,173,417,65,486
LGA39499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA39799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA40070,..,4936,4936,3423,970,4393,843,305,1147,410,78,490,93,16,110,36,15,45,4802,6311,11116
LGA40120,..,2791,2791,5183,186,5364,2238,35,2276,2692,9,2700,1003,0,1001,399,5,401,11513,3026,14537
LGA40150,..,686,686,1077,92,1171,545,14,556,547,8,557,258,5,263,152,0,152,2586,804,3391
LGA40220,..,3339,3339,4862,207,5071,1332,20,1350,1208,9,1212,491,3,494,256,3,256,8148,3577,11724
LGA40250,..,90,90,76,12,88,73,0,77,47,0,47,60,0,60,144,0,151,411,106,514
LGA40310,..,2513,2513,3574,146,3715,1339,16,1354,1371,0,1372,562,0,562,221,0,221,7065,2675,9739
LGA40430,..,387,387,459,20,483,105,0,105,77,0,77,49,0,49,19,0,19,710,403,1118
LGA40520,..,1381,1381,1527,96,1624,531,9,540,451,3,454,209,0,207,94,0,94,2809,1493,4301
LGA40700,..,4762,4762,5534,292,5821,2425,74,2508,3119,46,3165,1083,14,1100,342,7,342,12506,5195,17704
LGA40910,..,5734,5734,6393,457,6848,3499,162,3660,3481,51,3528,1147,20,1173,379,11,392,14896,6437,21332
LGA41010,..,393,393,453,32,480,162,0,166,173,6,177,70,0,70,44,0,44,905,422,1328
LGA41060,..,14831,14831,15312,1379,16694,7269,420,7691,6701,114,6812,2243,37,2278,903,28,928,32427,16806,49233
LGA41140,..,1118,1118,1431,69,1497,433,13,445,373,3,373,200,0,202,73,0,75,2507,1205,3709
LGA41190,..,210,210,249,9,256,56,0,56,86,0,86,41,0,41,18,0,18,451,221,675
LGA41330,..,360,360,173,23,192,53,5,52,31,0,31,18,0,18,17,0,17,285,384,674
LGA41560,..,1952,1952,2610,138,2752,670,11,686,536,3,536,221,0,221,123,0,123,4159,2108,6267
LGA41750,..,129,129,139,8,144,32,0,34,34,0,34,29,0,29,11,0,11,241,135,380
LGA41830,..,247,247,253,14,260,69,0,69,57,0,57,22,0,22,15,0,15,414,259,671
LGA41960,..,141,141,212,9,219,57,0,55,47,0,47,18,0,18,6,0,6,342,145,492
LGA42030,..,3013,3013,3355,216,3576,1505,18,1524,1234,6,1242,507,3,513,222,0,227,6827,3263,10089
LGA42110,..,572,572,615,27,644,191,0,191,142,0,148,83,0,83,37,0,37,1068,606,1673
LGA42250,..,536,536,1115,41,1155,348,0,347,433,0,433,222,0,222,75,0,75,2197,577,2771
LGA42600,..,5604,5604,5504,399,5901,1916,86,2002,1802,34,1836,617,11,630,162,0,158,10002,6129,16131
LGA42750,..,657,657,759,41,797,178,0,178,177,0,177,91,0,91,35,0,35,1238,703,1940
LGA43080,..,151,151,129,3,138,43,0,43,42,0,42,22,0,22,8,0,8,245,153,398
LGA43220,..,115,115,147,6,149,32,0,32,37,0,40,35,0,35,13,0,13,266,121,384
LGA43360,..,326,326,396,22,416,107,0,104,81,0,81,39,0,39,12,0,12,627,348,982
LGA43650,..,1011,1011,1830,90,1918,810,3,820,981,5,989,470,0,470,206,0,206,4298,1108,5405
LGA43710,..,468,468,798,36,836,266,0,261,296,0,296,141,0,141,66,0,66,1563,510,2071
LGA43790,..,1419,1419,1785,84,1870,501,14,512,485,3,491,257,0,260,99,0,95,3124,1522,4649
LGA44000,..,19,19,3,0,3,4,0,4,5,0,5,0,0,0,4,0,4,18,19,28
LGA44060,..,11138,11138,11779,1049,12827,5876,449,6324,5369,113,5479,1731,38,1762,672,16,688,25423,12801,38224
LGA44210,..,1314,1314,1491,83,1579,359,4,368,328,0,333,140,0,140,57,0,57,2379,1411,3793
LGA44340,..,5924,5924,7908,455,8364,3820,160,3986,4697,65,4763,1563,30,1600,445,20,471,18441,6660,25099
LGA44550,..,3237,3237,4933,261,5195,2299,53,2349,2415,11,2428,945,4,950,355,4,356,10948,3565,14514
LGA44620,..,3710,3710,3558,213,3772,1422,32,1454,1263,6,1268,484,0,487,255,0,255,6983,3967,10947
LGA44830,..,345,345,504,23,527,120,0,120,106,0,106,48,0,48,26,0,26,798,367,1167
LGA45040,..,2641,2641,2874,194,3070,1085,36,1120,926,6,935,408,3,416,251,4,249,5539,2887,8426
LGA45090,..,914,914,1161,69,1230,395,30,418,417,7,427,191,5,196,89,6,93,2249,1031,3281
LGA45120,..,617,617,707,49,756,189,5,193,159,0,159,117,0,117,38,0,38,1212,677,1884
LGA45290,..,5607,5607,4748,517,5269,1995,191,2192,2029,64,2094,618,23,635,158,12,166,9551,6408,15965
LGA45340,..,17738,17738,22864,1420,24288,10771,212,10980,9959,42,10002,3690,14,3707,1425,4,1427,48706,19429,68135
LGA45400,..,117,117,134,3,135,19,0,25,26,0,26,21,0,21,12,0,12,216,123,340
LGA45540,..,327,327,252,22,274,58,0,58,34,0,34,13,0,13,14,0,14,375,347,723
LGA45680,..,9141,9141,9932,997,10935,5734,145,5880,5049,40,5096,2406,4,2412,1820,3,1828,24957,10328,35285
LGA45890,..,15206,15206,14298,1562,15856,7895,512,8407,7164,227,7390,2559,78,2636,1471,58,1532,33386,17644,51024
LGA46090,..,1702,1702,1668,126,1787,672,12,684,528,10,541,278,0,278,146,9,149,3290,1855,5143
LGA46300,..,1863,1863,1947,137,2085,752,38,788,648,4,655,260,0,264,109,0,109,3717,2042,5760
LGA46450,..,2501,2501,2360,139,2496,911,11,920,725,3,726,353,0,353,158,0,158,4500,2654,7154
LGA46510,..,2331,2331,2429,284,2717,1322,131,1456,1434,56,1489,488,11,498,135,14,146,5807,2832,8635
LGA46670,..,1127,1127,1374,80,1453,526,10,535,404,8,410,214,8,220,83,7,89,2598,1234,3837
LGA46860,..,197,197,284,6,292,66,7,67,54,0,54,25,0,25,13,0,12,432,213,650
LGA46970,..,291,291,301,49,341,180,8,193,219,5,226,111,0,111,33,0,33,847,350,1195
LGA47140,..,13450,13450,14830,1251,16088,8503,308,8816,7876,103,7978,3559,46,3607,2464,25,2492,37241,15188,52426
LGA47290,..,276,276,304,13,311,63,0,67,88,4,87,43,0,43,10,0,10,509,286,799
LGA47490,..,231,231,311,12,324,82,0,82,85,0,85,57,0,57,19,0,19,547,245,795
LGA47630,..,694,694,887,65,949,356,14,368,285,4,290,167,5,170,63,0,69,1759,781,2546
LGA47700,..,9157,9157,12963,595,13556,6295,120,6415,6318,33,6357,2211,15,2225,874,9,886,28663,9932,38595
LGA47800,..,736,736,799,56,855,234,3,240,205,0,205,104,0,104,51,0,51,1395,792,2188
LGA47910,..,397,397,474,18,493,102,0,102,103,0,103,62,0,62,20,0,20,759,419,1181
LGA47980,..,4681,4681,4898,434,5334,2049,180,2220,2291,52,2341,759,12,772,173,8,178,10164,5363,15526
LGA48050,..,2353,2353,3083,118,3198,718,11,727,542,3,544,226,0,230,101,3,98,4666,2491,7156
LGA48130,..,824,824,930,64,990,283,3,285,301,0,300,167,0,167,94,0,100,1768,892,2667
LGA48260,..,956,956,1058,79,1133,393,29,425,434,9,443,177,3,178,37,4,41,2107,1077,3184
LGA48340,..,1508,1508,1756,65,1821,522,6,529,506,3,510,264,0,263,90,0,89,3139,1587,4726
LGA48410,..,7810,7810,7287,949,8229,3610,447,4058,3404,162,3569,1052,41,1093,332,19,357,15689,9432,25122
LGA48540,..,3268,3268,2886,186,3074,1150,18,1165,948,9,951,388,0,388,142,0,142,5509,3476,8984
LGA48640,..,126,126,143,3,152,35,4,43,50,0,50,35,0,35,12,0,12,278,133,414
LGA48750,..,766,766,1042,58,1100,243,0,244,200,0,200,99,0,99,57,0,57,1643,825,2466
LGA48830,..,1735,1735,2109,90,2200,388,8,393,351,0,351,178,0,178,102,0,107,3128,1826,4954
LGA49399,..,443,443,275,28,294,84,0,89,96,0,96,52,3,54,33,0,33,537,474,1008
LGA49499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA49799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50080,..,4318,4318,5217,281,5502,1880,57,1936,1774,13,1779,783,4,791,402,0,402,10060,4673,14733
LGA50210,..,6955,6955,9238,715,9950,5604,101,5710,6002,24,6029,2489,6,2496,1409,10,1417,24740,7810,32549
LGA50250,..,382,382,452,19,476,222,4,229,294,0,294,145,3,146,48,0,54,1166,416,1581
LGA50280,..,1422,1422,1986,140,2130,873,51,924,927,26,959,346,4,356,99,4,99,4234,1654,5885
LGA50350,..,1903,1903,1936,162,2098,1005,42,1054,882,15,892,278,8,284,112,3,113,4214,2135,6350
LGA50420,..,8394,8394,8697,951,9647,4242,247,4498,3739,71,3814,1147,31,1178,516,15,528,18345,9713,28055
LGA50490,..,5598,5598,5017,705,5725,2336,234,2571,1888,82,1969,715,33,746,398,8,404,10358,6662,17018
LGA50560,..,213,213,280,9,286,82,0,82,56,0,57,28,0,28,12,0,12,456,224,676
LGA50630,..,151,151,222,6,227,82,0,82,80,0,83,39,0,39,17,0,17,441,157,599
LGA50770,..,188,188,279,12,285,72,0,69,73,0,73,44,0,44,18,0,18,481,193,677
LGA50840,..,571,571,854,35,886,211,4,212,216,0,215,106,0,106,43,0,43,1430,613,2039
LGA50910,..,98,98,122,5,122,40,0,40,43,0,43,12,0,12,13,0,13,229,103,332
LGA50980,..,1259,1259,1417,166,1579,743,58,802,856,17,870,400,3,406,243,6,249,3659,1510,5172
LGA51080,..,97,97,145,6,146,42,0,42,39,0,39,32,0,32,17,0,17,271,104,377
LGA51120,..,98,98,117,10,122,27,0,29,43,0,44,27,0,27,7,0,7,229,107,332
LGA51190,..,4538,4538,4442,396,4835,1641,68,1707,1470,16,1488,536,4,538,248,9,253,8327,5034,13356
LGA51260,..,3737,3737,5491,308,5798,2014,65,2073,2149,20,2167,880,4,882,328,3,331,10859,4128,14988
LGA51310,..,2416,2416,3146,164,3305,1392,71,1462,2097,41,2135,865,7,871,193,0,195,7691,2688,10378
LGA51330,..,7209,7209,8959,894,9848,5575,500,6068,6191,273,6461,2457,118,2577,1212,62,1275,24392,9059,33444
LGA51400,..,1097,1097,2080,108,2185,1030,16,1052,1146,3,1152,526,0,525,207,0,207,4995,1224,6221
LGA51470,..,84,84,83,0,86,13,0,13,23,0,23,5,0,5,0,0,0,132,87,219
LGA51540,..,589,589,563,44,606,207,9,213,213,6,217,79,6,86,65,0,65,1117,648,1771
LGA51610,..,80,80,216,6,217,74,0,75,81,0,81,38,0,38,12,0,12,422,84,506
LGA51680,..,306,306,717,21,736,334,4,339,298,6,300,149,0,149,101,0,101,1605,324,1926
LGA51710,..,131,131,120,4,129,60,0,60,58,0,58,34,0,34,10,0,10,292,130,422
LGA51750,..,1403,1403,1390,114,1503,551,32,586,588,21,611,249,0,252,45,0,47,2821,1578,4399
LGA51820,..,10049,10049,13144,1022,14162,7480,273,7747,7703,76,7782,2680,21,2704,1053,5,1062,32070,11446,43510
LGA51860,..,9,9,36,0,35,18,0,18,13,0,13,14,0,14,26,0,26,114,9,122
LGA51890,..,1067,1067,1150,79,1223,425,9,434,415,0,415,190,0,188,82,0,82,2253,1149,3404
LGA51960,..,350,350,367,28,400,159,4,159,123,0,123,55,0,55,33,0,34,739,383,1126
LGA52030,..,135,135,192,3,191,34,0,34,36,0,36,6,0,6,8,0,8,280,138,418
LGA52100,..,126,126,152,4,157,39,0,39,31,0,31,35,0,35,7,0,7,262,131,395
LGA52170,..,782,782,993,73,1065,394,32,431,429,17,446,215,0,219,58,0,58,2085,913,2998
LGA52240,..,127,127,146,5,150,47,0,47,51,0,51,24,0,24,8,0,8,274,130,405
LGA52310,..,98,98,153,9,163,40,0,40,36,0,38,12,0,12,6,0,6,246,110,359
LGA52380,..,41,41,19,0,26,0,5,5,0,0,0,0,0,0,0,0,0,20,45,70
LGA52450,..,141,141,140,11,145,46,0,46,58,0,62,38,0,38,16,0,16,301,148,447
LGA52520,..,111,111,139,6,139,57,0,59,58,0,58,37,0,41,16,0,16,309,120,431
LGA52590,..,359,359,535,25,558,124,0,125,130,0,128,60,0,60,21,0,21,866,390,1253
LGA52660,..,1182,1182,1855,96,1947,831,10,835,820,7,828,362,0,362,154,0,154,4014,1291,5302
LGA52730,..,703,703,906,52,958,275,9,283,252,0,252,117,0,117,50,0,50,1594,765,2362
LGA52800,..,552,552,464,40,505,219,4,221,201,0,202,149,0,149,208,0,208,1241,599,1844
LGA52870,..,565,565,952,43,992,266,4,268,278,0,285,130,0,130,62,0,62,1691,616,2305
LGA52940,..,104,104,95,6,102,25,0,25,24,0,24,26,0,26,3,0,3,176,107,282
LGA53010,..,71,71,89,3,91,22,0,30,26,0,26,20,0,20,4,0,4,162,72,235
LGA53080,..,128,128,76,0,77,21,0,24,19,0,19,3,0,3,3,0,3,127,134,258
LGA53150,..,777,777,904,63,971,413,17,438,509,4,514,172,0,177,51,0,51,2058,860,2913
LGA53220,..,430,430,387,29,419,239,8,249,262,3,266,136,0,136,139,0,142,1166,477,1644
LGA53290,..,1461,1461,1704,121,1824,621,16,636,639,4,636,292,0,295,139,0,139,3389,1603,4990
LGA53360,..,282,282,350,37,390,138,21,158,167,12,181,72,9,79,16,4,21,744,360,1097
LGA53430,..,4380,4380,4209,467,4678,1724,169,1895,1524,73,1596,462,10,469,130,6,136,8042,5110,13148
LGA53570,..,539,539,808,59,871,231,7,239,197,8,199,103,3,100,72,0,75,1412,613,2026
LGA53640,..,115,115,152,8,163,50,0,50,69,0,69,29,0,29,14,0,14,312,124,437
LGA53710,..,122,122,151,4,155,38,0,38,33,0,33,31,0,31,6,0,6,253,134,383
LGA53780,..,9334,9334,11413,958,12369,7242,242,7487,7702,95,7798,3471,34,3507,2172,17,2184,31996,10678,42675
LGA53800,..,4020,4020,4757,336,5097,2041,54,2090,1866,4,1868,837,0,837,427,0,425,9920,4418,14338
LGA53920,..,246,246,155,14,167,134,4,137,103,3,104,79,0,79,168,0,170,642,262,908
LGA53990,..,2058,2058,3579,165,3745,1488,24,1510,1666,8,1671,740,3,745,337,10,345,7815,2265,10077
LGA54060,..,437,437,571,22,596,170,0,169,139,0,145,69,0,74,20,0,20,973,459,1437
LGA54130,..,140,140,149,3,156,33,0,33,58,0,58,35,0,35,7,0,7,283,142,424
LGA54170,..,10704,10704,19212,907,20119,9691,194,9890,11459,74,11530,4049,22,4070,1195,17,1210,45607,11914,57522
LGA54200,..,4623,4623,7062,386,7446,3370,59,3428,3535,15,3552,1554,5,1554,641,6,648,16165,5090,21248
LGA54280,..,2725,2725,2828,286,3113,1518,62,1578,1498,12,1517,696,9,702,348,3,355,6899,3089,9991
LGA54310,..,1360,1360,1630,151,1784,999,44,1041,1283,7,1289,597,0,600,225,3,230,4741,1571,6308
LGA54340,..,422,422,474,33,514,191,13,210,168,0,170,67,0,67,77,0,83,983,476,1456
LGA54410,..,143,143,163,11,169,56,0,52,35,0,35,14,0,14,14,0,14,281,155,436
LGA54480,..,52,52,43,4,49,19,0,19,34,0,34,15,0,15,0,0,0,111,53,174
LGA54550,..,251,251,237,11,247,81,0,77,91,0,90,48,0,53,21,0,21,467,264,737
LGA54620,..,99,99,117,3,124,27,0,31,30,0,30,12,0,12,9,0,9,202,106,297
LGA54690,..,56,56,54,4,55,14,0,14,15,0,15,13,0,13,4,0,4,94,62,157
LGA54760,..,73,73,102,6,111,28,0,28,30,0,30,25,0,25,7,0,7,197,74,270
LGA54830,..,3588,3588,4271,437,4706,2721,70,2788,2677,22,2695,1193,10,1200,679,0,681,11540,4123,15666
LGA54900,..,133,133,160,6,167,43,0,47,64,0,64,35,0,35,9,0,9,320,148,469
LGA54970,..,64,64,52,0,53,18,0,18,17,0,17,10,0,10,15,0,15,115,67,183
LGA55040,..,99,99,95,4,100,38,0,38,36,0,36,25,0,25,13,0,13,209,107,314
LGA55110,..,9909,9909,12919,690,13616,4685,104,4789,4360,21,4382,1822,16,1832,828,0,830,24619,10742,35358
LGA55180,..,1118,1118,1291,58,1357,408,8,412,375,0,377,180,0,180,73,5,79,2322,1192,3514
LGA55250,..,103,103,75,5,79,37,0,41,24,0,22,14,0,14,19,0,19,170,108,276
LGA55320,..,9375,9375,12269,659,12927,5920,244,6162,6725,90,6814,2466,39,2506,772,16,786,28152,10413,38566
LGA55390,..,31,31,19,0,15,7,0,10,6,0,6,3,0,3,3,0,3,35,35,66
LGA55460,..,359,359,404,24,426,142,3,142,119,0,119,65,0,65,25,0,25,759,391,1151
LGA55530,..,42,42,52,0,52,18,0,18,20,0,20,12,0,12,0,0,0,101,42,147
LGA55600,..,261,261,282,13,296,95,6,96,107,0,107,48,0,48,18,0,18,545,277,824
LGA55670,..,73,73,77,7,78,22,0,22,19,0,19,8,0,8,9,0,9,134,78,214
LGA55740,..,1147,1147,983,89,1071,452,23,473,531,12,541,237,6,238,51,0,51,2247,1272,3520
LGA55810,..,49,49,40,10,49,10,0,10,11,0,11,3,0,3,0,0,0,71,57,128
LGA55880,..,60,60,57,5,57,17,0,17,26,0,26,14,0,14,4,0,4,115,61,174
LGA55950,..,62,62,84,0,87,21,0,21,25,0,25,8,0,8,10,0,10,148,68,215
LGA56090,..,2792,2792,4819,214,5035,2162,32,2195,2166,3,2172,957,0,962,385,0,389,10489,3055,13541
LGA56160,..,10,10,10,0,10,5,0,5,3,0,3,5,0,5,6,0,6,28,10,32
LGA56230,..,1627,1627,2490,115,2604,890,12,906,876,9,885,397,0,399,222,0,222,4878,1760,6641
LGA56300,..,187,187,262,18,276,68,0,68,45,0,45,19,0,19,11,0,11,403,201,604
LGA56370,..,69,69,104,4,110,34,0,34,28,0,28,20,0,20,4,0,4,189,75,262
LGA56460,..,629,629,606,39,643,216,6,229,181,3,184,96,0,98,36,0,36,1143,683,1819
LGA56580,..,1480,1480,2302,119,2415,1093,64,1156,1571,59,1629,724,17,742,174,4,179,5865,1736,7602
LGA56620,..,83,83,57,5,63,50,0,50,40,0,40,39,0,39,68,0,68,253,86,340
LGA56730,..,1181,1181,1415,91,1510,511,14,523,477,3,480,227,0,227,148,0,148,2777,1294,4070
LGA56790,..,371,371,517,19,537,105,0,105,97,0,97,52,0,52,28,0,28,806,389,1191
LGA56860,..,31,31,36,0,36,13,0,13,5,0,5,0,0,0,4,0,4,61,31,93
LGA56930,..,115,115,173,4,173,84,0,84,78,0,80,44,0,44,26,0,26,404,118,523
LGA57000,..,46,46,56,3,56,11,0,11,18,0,18,12,0,12,8,0,8,93,48,139
LGA57080,..,5303,5303,4099,871,4969,1109,246,1359,482,55,535,121,9,132,30,0,33,5846,6481,12329
LGA57140,..,151,151,162,3,169,47,0,47,33,0,33,19,0,19,11,0,11,279,155,432
LGA57210,..,550,550,785,37,830,251,6,259,201,4,201,97,0,97,66,0,63,1403,601,2001
LGA57280,..,1264,1264,1311,136,1452,758,20,779,756,6,763,390,0,391,224,0,224,3443,1427,4872
LGA57350,..,101,101,133,6,139,17,0,17,29,0,29,19,0,19,8,0,8,211,106,313
LGA57420,..,265,265,294,18,306,81,0,84,76,0,76,42,0,42,13,0,13,507,277,786
LGA57490,..,11283,11283,14792,980,15771,7941,155,8098,8045,30,8077,3527,11,3540,1656,0,1660,35958,12471,48428
LGA57630,..,22,22,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,16,27,43
LGA57700,..,1542,1542,3038,172,3205,1785,25,1811,2054,5,2058,1002,5,1002,592,0,592,8477,1734,10211
LGA57770,..,137,137,124,14,145,31,0,31,37,0,37,6,0,6,11,0,11,213,153,360
LGA57840,..,5651,5651,5735,626,6357,2284,237,2523,2176,60,2232,700,19,719,200,9,209,11092,6598,17690
LGA57910,..,27703,27703,27045,2757,29800,13065,833,13896,12728,250,12983,4183,61,4249,1651,28,1687,58676,31645,90318
LGA57980,..,2850,2850,2267,219,2482,888,62,948,897,23,918,277,3,280,63,0,63,4381,3157,7534
LGA58050,..,11157,11157,15001,1143,16142,9323,210,9538,9417,59,9473,3970,22,3994,2347,9,2360,40062,12606,52666
LGA58190,..,53,53,36,0,36,20,0,20,16,0,16,9,0,9,4,0,4,91,51,136
LGA58260,..,73,73,71,0,71,21,0,21,31,0,31,8,0,8,8,0,8,136,73,205
LGA58330,..,468,468,742,49,790,202,0,209,149,0,147,85,0,85,44,0,44,1229,525,1749
LGA58400,..,56,56,45,0,48,14,0,14,5,0,5,6,0,6,4,0,4,70,60,131
LGA58470,..,19,19,16,6,13,4,0,4,8,0,8,8,0,8,6,0,6,38,20,57
LGA58510,..,5323,5323,4605,709,5308,2024,288,2316,1669,96,1760,441,29,476,163,14,184,8898,6466,15367
