SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL12653,812,1655,35,238,213,1017,61,305,1128,4528,1437,6084,99,453,146,523,343,1154,591,2131,2031,8218,12,73,47,197,27,112,222,649,312,1031,21,76,34,88,269,628,328,792,645,1821,71,158,3559,11849
SAL12654,41,81,0,0,3,30,4,20,12,61,21,113,8,33,6,6,18,68,33,106,50,222,0,0,0,4,6,11,10,17,13,36,0,0,0,5,0,3,0,11,11,40,0,3,109,352
SAL12655,100,198,0,0,9,26,0,0,34,141,47,165,3,21,3,7,5,24,14,53,55,221,0,0,0,8,0,0,0,7,7,12,0,0,0,0,0,9,0,9,8,16,0,0,167,440
SAL12656,1832,3685,18,122,182,832,47,221,1278,4848,1533,6024,102,439,143,500,344,1120,588,2059,2124,8080,5,17,57,179,26,85,250,641,328,921,40,130,87,193,340,729,472,1052,800,1981,91,183,4841,13932
SAL12657,11,18,0,0,0,3,0,0,3,19,6,24,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,0,18,45
SAL12658,97,194,5,9,10,44,0,10,44,167,60,224,7,40,7,10,12,44,27,94,84,322,0,0,0,0,0,4,22,51,25,56,0,10,4,7,22,48,33,64,53,121,5,0,239,637
SAL12659,14,25,0,0,0,6,0,0,3,21,8,33,0,0,0,0,0,3,0,3,9,34,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,24,65
SAL12660,38,71,0,5,5,22,0,3,15,58,22,90,0,3,0,3,8,22,8,29,32,120,0,0,0,0,0,0,3,3,3,3,0,0,6,8,0,5,7,13,6,17,0,0,73,208
SAL12661,9,22,0,0,0,0,0,11,8,41,12,49,0,0,0,0,0,0,0,0,12,49,0,0,0,0,0,0,4,11,4,11,0,0,0,0,4,10,7,14,13,26,5,8,39,102
SAL12662,20,45,0,6,4,15,4,7,13,52,18,78,4,9,5,24,7,22,16,58,36,134,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,7,3,15,8,14,0,0,66,194
SAL12663,79,156,0,4,4,15,0,8,16,58,25,86,0,3,3,9,9,40,19,51,37,139,0,8,0,3,0,6,0,6,4,24,0,0,4,7,5,14,11,23,20,43,5,6,134,341
SAL12664,803,1605,3,24,54,240,16,72,318,1225,393,1559,27,103,50,164,95,309,166,576,564,2135,4,23,21,68,4,8,72,182,100,282,15,33,24,51,114,253,146,340,247,623,20,38,1628,4402
SAL12665,1051,2095,8,58,72,330,16,75,416,1671,519,2134,47,166,72,235,117,347,231,746,752,2883,3,16,17,63,11,45,79,209,117,335,7,28,11,22,71,151,91,203,205,538,14,34,2021,5553
SAL12666,78,159,5,17,4,24,3,14,36,125,41,180,5,22,7,27,20,60,36,115,75,296,0,4,3,6,0,14,4,12,7,35,0,0,3,6,12,17,9,24,19,56,0,0,178,507
SAL12667,13,25,0,0,0,8,0,0,4,11,3,14,0,0,0,8,0,0,0,8,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,4,7,0,0,23,44
SAL12668,37,81,0,4,3,14,0,5,11,24,11,49,0,4,0,0,6,24,11,27,20,74,0,0,0,0,0,0,0,3,0,6,0,4,5,5,0,6,3,14,5,19,0,0,64,173
SAL12669,0,4,0,0,0,0,0,0,0,6,0,6,0,0,0,4,0,3,4,8,3,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,7,24
SAL12670,21,44,0,0,0,11,0,0,3,22,8,33,0,0,0,0,0,4,0,4,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,29,79
SAL12671,25,60,0,0,3,13,0,14,11,49,15,78,0,7,0,0,7,28,11,41,31,116,0,0,0,3,0,10,4,21,8,36,0,8,0,0,0,12,7,16,15,50,0,0,73,221
SAL12672,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
SAL12673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12674,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,19
SAL12675,12,22,0,0,0,0,0,0,0,4,0,4,0,5,0,0,0,0,0,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,12,33
SAL12676,14,24,0,0,0,8,0,10,8,23,8,41,0,4,0,3,7,10,5,16,17,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,33,96
SAL12677,20,41,0,0,0,0,0,0,0,6,0,6,0,0,0,5,0,4,3,12,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,55
SAL12678,4,10,0,0,3,6,0,0,0,3,0,14,0,3,0,0,0,3,0,11,9,25,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,13,38
SAL12679,9,16,0,0,0,0,0,0,6,5,6,5,0,0,0,0,0,3,3,6,5,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,3,4,3,3,7,0,0,14,38
SAL12680,206,422,0,10,14,52,9,24,47,194,64,277,5,10,7,31,26,88,42,125,103,401,0,0,3,11,0,3,15,42,22,58,0,3,3,8,10,27,22,42,43,99,3,7,356,929
SAL12681,468,933,5,22,16,62,5,23,117,454,142,563,11,39,18,57,34,115,60,211,204,775,3,5,9,14,0,0,34,87,35,103,0,3,7,14,42,84,47,97,85,205,6,6,758,1918
SAL12682,284,565,11,61,34,161,3,14,146,593,194,833,15,60,21,65,56,180,94,309,291,1136,0,0,8,20,4,9,44,129,51,160,4,4,9,17,39,85,52,109,105,266,3,12,683,1990
SAL12683,1279,2571,21,120,145,653,31,142,673,2616,867,3534,89,379,133,454,270,875,490,1707,1360,5248,3,6,23,71,11,36,97,252,136,361,18,67,55,123,160,366,234,550,372,918,25,52,3034,8781
SAL12684,4,10,0,0,0,3,0,0,9,31,6,30,0,0,0,0,3,4,3,4,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,15,46
SAL12685,27,60,0,7,3,8,0,0,7,39,11,59,0,0,0,0,9,28,9,28,20,81,0,0,0,0,0,3,7,8,5,13,0,5,0,0,5,27,10,33,19,48,0,0,66,188
SAL12686,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL12687,21,48,0,7,0,5,0,6,13,41,13,57,0,0,0,0,4,17,4,17,16,76,0,0,0,0,0,3,4,3,5,9,0,0,0,0,0,3,0,3,4,15,0,5,49,145
SAL12688,6,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
SAL12689,17,37,0,0,0,5,0,0,0,13,6,15,0,0,0,3,4,12,5,15,6,34,0,3,0,0,0,0,0,4,3,8,0,0,0,8,0,6,7,8,3,18,0,0,33,84
SAL12690,10,30,0,0,3,13,0,3,0,4,5,23,0,0,0,0,5,9,5,9,4,36,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,26,65
SAL12691,0,0,0,0,0,4,0,0,0,5,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SAL12692,4,4,0,0,0,7,0,0,0,9,5,13,0,0,0,0,0,4,0,4,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
SAL12693,12,28,0,0,3,9,0,3,0,17,6,28,0,0,0,7,5,9,7,15,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,25,73
SAL12694,24,55,0,0,0,0,0,6,11,59,13,61,4,11,0,4,3,16,10,31,22,89,0,0,3,6,0,0,6,17,6,22,0,0,0,0,0,4,0,4,12,30,0,0,58,176
SAL12695,10,21,0,0,0,0,0,0,4,13,4,13,0,0,0,0,0,4,0,4,7,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,18,43
SAL12696,69,136,5,12,8,49,0,3,33,150,50,220,3,18,0,7,3,24,13,46,62,265,0,5,0,10,0,0,9,31,13,45,0,0,0,0,10,18,10,18,24,62,5,7,159,475
SAL12697,474,957,4,26,50,236,8,40,271,1024,339,1332,45,193,52,188,143,487,241,874,583,2207,0,0,13,38,10,31,51,120,70,193,14,53,12,35,111,257,145,346,212,538,21,42,1287,3736
SAL12698,19,33,0,0,0,8,0,0,12,60,15,65,0,0,0,7,4,15,11,23,23,88,0,0,0,0,0,0,0,6,0,6,0,0,0,0,4,6,4,6,7,21,0,0,46,139
SAL12699,21,38,0,0,6,10,0,0,16,53,18,65,4,18,0,0,0,3,3,20,25,84,0,0,0,3,0,0,0,0,0,3,0,3,3,3,0,0,3,11,4,13,0,0,43,133
SAL12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12701,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,8,16
SAL12702,6,8,0,0,0,3,0,3,0,0,4,10,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
SAL12703,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,8,0,0,0,0,0,0,0,0,6,8,0,0,7,9
SAL12704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12705,0,4,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
SAL12706,3,7,0,0,0,3,0,0,0,5,4,15,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
SAL12707,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,11,16
SAL12708,25,47,0,0,0,0,0,0,15,58,15,58,0,0,0,3,4,7,4,9,16,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,39,111
SAL12709,62,121,5,15,14,65,3,10,34,146,54,239,4,9,12,42,9,22,20,76,74,313,0,0,0,0,0,0,3,8,3,8,0,0,5,0,5,6,3,7,11,20,0,0,150,459
SAL12710,150,298,0,0,4,36,4,26,65,245,78,305,3,6,11,21,18,67,34,104,111,402,0,0,5,15,0,4,16,52,21,70,0,0,4,8,18,32,14,43,46,113,9,21,305,829
SAL12711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12712,10,21,0,0,0,0,0,0,0,17,0,17,0,4,0,0,4,6,5,11,10,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,6,10,0,0,21,61
SAL12713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12714,279,564,3,14,39,175,16,63,151,616,210,874,4,31,24,80,38,113,70,232,282,1107,4,8,5,11,0,10,41,110,48,147,0,6,5,10,22,44,23,59,73,208,0,9,639,1885
SAL12715,56,121,0,6,4,11,0,0,17,51,17,77,3,8,3,5,14,29,15,47,35,125,0,0,0,0,0,7,7,22,12,20,0,0,0,0,3,12,3,12,14,40,3,4,112,282
SAL12716,3,6,0,0,0,0,0,0,3,12,3,12,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,7,24
SAL12717,6,11,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
SAL12718,18,32,0,0,0,4,0,5,8,16,8,23,0,0,0,0,3,18,3,18,13,41,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,27,76
SAL12719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12720,21,46,0,8,3,13,3,10,17,57,18,88,0,7,7,13,8,22,13,42,32,130,0,0,0,3,0,0,0,4,3,7,0,0,0,0,3,12,3,12,8,20,0,3,68,204
SAL12721,287,567,13,81,48,234,12,61,271,1094,350,1465,22,97,32,91,75,224,128,416,476,1882,0,0,3,8,0,0,38,106,40,121,0,4,7,15,20,43,28,59,68,183,3,10,828,2637
SAL12722,0,5,0,5,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,6,0,0,3,13
SAL12723,832,1689,24,130,179,853,42,210,1031,4121,1273,5324,84,365,119,427,293,982,490,1775,1764,7098,3,14,26,101,12,41,136,383,177,548,20,63,45,99,223,516,285,682,464,1228,38,83,3092,10102
SAL12724,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,3,10,0,0,11,23
SAL12725,71,144,0,6,4,30,3,12,27,94,31,140,0,5,8,9,3,17,10,39,45,174,0,11,0,3,3,8,10,33,15,53,0,7,3,5,22,39,21,52,35,101,0,0,151,420
SAL12726,15,27,0,0,0,6,0,0,19,78,19,88,3,12,4,24,0,3,13,41,31,124,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,4,9,0,0,44,157
SAL12727,9,23,0,0,5,12,0,0,0,5,0,16,0,0,0,9,4,13,6,16,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,50
SAL12728,16,41,0,7,0,9,0,7,4,17,8,40,0,0,0,0,0,0,0,0,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,10,0,0,29,93
SAL12729,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
SAL12730,7,16,0,0,3,7,0,4,4,13,5,15,0,0,0,3,0,3,0,6,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,41
SAL12731,10,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,31
SAL12732,6,14,0,8,0,9,0,0,4,10,0,26,0,3,0,0,6,8,3,8,8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52
SAL12733,831,1657,5,29,74,290,21,108,446,1790,544,2209,17,74,42,124,143,455,210,655,750,2870,0,11,23,82,26,115,189,567,241,774,11,20,16,34,154,343,172,398,416,1174,49,114,2052,5813
SAL12734,461,937,7,41,14,77,16,57,150,573,185,751,15,67,17,55,62,197,98,323,280,1072,4,22,19,57,10,35,92,259,123,371,0,10,15,32,92,204,110,240,231,613,19,40,994,2661
SAL12735,132,265,0,9,9,46,5,35,66,257,80,341,9,16,10,31,30,101,44,148,127,488,0,0,6,15,5,20,31,87,36,122,5,5,4,15,8,24,18,48,62,168,0,6,316,934
SAL12736,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11
SAL12737,13,24,0,0,0,11,0,0,6,33,8,44,0,0,0,7,4,13,5,19,19,58,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,6,0,0,31,93
SAL12738,269,531,0,3,8,45,9,38,81,321,101,407,12,30,7,38,26,89,48,159,146,563,0,0,6,24,0,5,27,66,36,90,7,17,12,20,23,49,35,81,70,172,3,13,484,1275
SAL12739,1024,2089,19,88,136,627,19,90,761,2930,936,3732,64,280,129,462,265,871,454,1612,1392,5344,3,5,12,33,5,9,127,308,145,360,26,95,53,127,185,438,270,661,415,1021,61,129,2885,8576
SAL12740,314,631,0,3,10,48,3,15,144,504,160,572,6,20,12,31,25,73,42,126,198,697,0,0,6,11,0,5,29,74,37,92,0,0,10,22,22,46,28,64,66,158,9,18,592,1508
SAL12741,27,53,0,0,8,17,0,5,11,62,18,90,0,5,6,13,0,8,8,30,28,113,0,0,0,0,0,5,0,6,9,14,0,0,0,0,0,10,0,10,8,20,0,0,64,187
SAL12742,49,96,0,11,3,27,0,7,15,70,24,112,0,0,5,7,8,29,16,40,39,149,0,0,0,0,0,0,5,3,5,3,0,0,0,0,5,8,7,13,7,15,0,0,97,265
SAL12743,56,119,4,26,4,17,0,4,25,84,30,133,4,10,3,4,12,31,15,51,49,187,0,5,0,4,0,8,11,32,16,46,0,4,3,5,16,38,19,42,36,93,3,11,148,411
SAL12744,4,12,0,0,0,3,0,3,4,9,7,19,0,0,0,0,4,10,0,7,6,29,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,18,47
SAL12745,634,1266,0,6,26,127,13,75,178,715,224,917,11,66,18,61,91,281,122,404,346,1321,5,18,13,39,8,28,69,197,95,282,5,18,6,22,86,181,102,223,198,504,23,48,1195,3138
SAL12746,157,311,4,17,12,38,5,16,58,204,67,270,5,14,7,32,19,72,32,112,102,391,0,3,0,17,4,4,12,45,20,72,0,0,0,3,16,34,19,39,40,111,3,6,304,817
SAL12747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12748,17,36,0,7,0,12,0,6,9,30,11,53,0,0,0,0,0,0,0,0,11,53,0,0,0,0,0,0,0,4,0,5,0,0,0,6,0,7,4,8,5,11,0,5,34,99
SAL12749,3382,6738,17,91,429,1901,18,71,1812,6950,2280,9005,170,719,522,1805,407,1277,1106,3798,3388,12804,3,15,66,209,8,31,295,683,372,938,29,87,171,366,285,614,488,1068,862,2006,95,191,7723,21743
SAL12750,1097,2203,12,92,83,419,27,122,568,2224,697,2861,38,153,67,223,189,600,292,970,988,3830,0,13,35,112,25,107,113,317,175,550,27,75,35,71,179,381,238,530,415,1081,35,67,2535,7178
SAL12751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL12752,109,209,3,10,11,40,0,0,25,78,28,130,5,9,5,28,14,48,24,85,56,208,0,0,4,25,0,0,8,10,14,40,0,0,3,6,7,21,14,30,28,73,0,7,193,498
SAL12753,25,42,0,9,0,4,0,10,3,22,8,46,0,3,0,0,0,3,5,8,9,56,0,3,0,3,0,0,0,4,4,14,0,0,0,0,3,0,3,0,6,16,0,0,39,113
SAL12754,62,127,0,0,3,16,0,3,22,97,27,113,0,0,0,5,6,21,10,20,36,138,0,4,0,4,0,0,16,41,18,48,0,0,4,8,4,13,6,20,23,71,0,3,125,331
SAL12755,6,13,0,6,0,0,0,0,4,11,6,14,0,0,0,8,0,0,0,8,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35
SAL12756,819,1680,42,239,221,1048,62,279,912,3640,1230,5205,134,584,138,505,368,1236,642,2318,1875,7528,13,65,54,177,32,122,173,492,266,857,30,93,43,111,166,383,247,593,514,1452,25,61,3233,10723
SAL12757,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL12758,16,44,0,5,0,5,0,0,0,5,3,17,0,0,3,11,3,10,6,23,7,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,31,81
SAL12759,322,646,15,76,28,124,14,82,187,751,240,1041,9,34,7,23,64,195,74,256,318,1296,3,13,9,57,15,62,133,362,165,496,11,33,14,16,94,210,114,261,278,759,20,45,939,2743
SAL12760,25,57,0,0,3,15,0,7,0,9,9,39,0,4,0,5,4,7,8,18,13,51,0,0,3,3,0,0,0,6,5,15,0,0,0,0,12,24,11,32,14,46,0,3,60,160
SAL12761,728,1477,13,69,126,577,13,70,639,2477,799,3192,82,347,136,482,253,813,471,1643,1273,4836,3,19,16,45,0,16,84,224,107,303,16,49,36,83,102,229,164,365,274,665,26,60,2295,7039
SAL12762,0,4,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL12763,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL12764,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
SAL12765,4,10,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,9,0,9,0,12,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,0,0,10,27
SAL12766,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14
SAL12767,942,1941,92,565,247,1284,67,337,1237,5041,1642,7221,128,591,142,538,405,1421,680,2550,2317,9776,17,110,46,207,14,52,262,766,347,1137,37,139,69,166,343,804,454,1114,797,2256,94,202,4149,14174
SAL12768,19,42,0,0,5,15,0,0,10,35,12,53,0,12,6,10,9,11,12,38,21,91,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,5,0,5,7,12,0,0,44,138
SAL12769,43,95,0,0,3,14,0,0,15,70,18,82,0,0,4,12,3,9,8,22,26,104,0,0,0,3,0,0,3,9,5,13,0,0,0,4,0,0,0,3,7,14,0,0,78,212
SAL12770,0,0,0,0,0,0,0,0,0,8,0,8,0,4,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SAL12771,22,35,0,0,3,9,0,0,15,53,17,60,0,0,0,0,0,0,0,0,16,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,39,110
SAL12772,28,62,0,9,0,19,0,9,14,49,18,85,0,0,0,8,9,33,14,38,32,127,0,0,0,4,0,0,0,14,6,19,0,6,6,5,11,38,17,43,24,62,0,4,88,258
SAL12773,5,3,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,4,0,4,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26
SAL12774,0,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SAL12775,0,8,0,0,0,0,0,4,0,5,6,9,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
SAL12776,64,133,5,36,13,64,0,11,45,187,73,303,9,28,3,19,33,106,46,155,112,456,0,6,0,0,0,7,9,26,14,40,0,5,0,7,11,18,14,30,24,66,0,0,202,654
SAL12777,385,775,4,24,29,138,9,55,189,726,235,942,10,47,26,74,75,234,110,353,346,1296,4,15,21,72,4,33,92,229,123,352,8,31,23,36,78,176,112,247,230,600,16,35,979,2707
SAL12778,8,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9
SAL12779,166,325,4,29,28,130,3,17,117,457,156,634,19,85,21,73,42,151,82,310,241,944,0,3,3,14,0,3,19,44,25,68,0,8,4,14,26,58,30,79,59,148,3,8,467,1421
SAL12780,113,233,4,32,25,104,0,7,75,295,100,439,12,55,22,65,35,119,69,234,167,672,0,0,0,6,0,3,10,35,20,47,0,0,6,9,7,18,14,25,29,69,0,0,312,975
SAL12781,6,3,0,0,0,3,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
SAL12782,4,11,0,0,0,0,0,0,4,8,4,8,0,3,0,3,0,0,3,5,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27
SAL12783,170,343,3,28,41,184,5,9,135,550,183,778,11,64,24,96,53,158,94,316,278,1093,0,0,4,12,0,4,22,48,20,61,3,7,6,18,26,54,37,76,60,141,0,0,509,1572
