SAL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SAL11792,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,6,0,0,0,0,6,18,0,0,0,0,18,15,0,0,0,0,15,20,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,84,0,0,0,0,84
SAL11793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL11794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL11796,77,8,12,0,0,96,11,3,5,0,0,24,14,0,0,0,0,17,30,9,8,0,0,37,35,7,14,0,0,55,106,27,60,0,0,192,141,30,100,0,0,273,236,77,103,0,0,415,190,47,24,0,0,257,197,38,25,0,0,256,107,22,4,0,0,136,135,27,22,0,0,183,1269,293,385,0,6,1949
SAL11797,13,4,0,0,0,21,4,3,0,0,0,8,3,0,0,0,0,7,8,5,0,0,0,11,12,4,0,0,0,14,45,15,0,0,0,64,45,6,0,0,0,49,83,32,0,0,0,121,72,19,0,0,0,92,86,22,0,0,0,109,39,3,0,0,0,48,37,5,0,0,0,42,457,119,6,0,0,585
SAL11798,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31
SAL11799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL11800,13,0,0,0,0,16,4,0,0,0,0,9,9,0,0,0,0,9,21,0,0,0,0,21,21,0,0,0,0,21,78,0,0,0,0,78,73,3,0,0,0,73,55,0,0,0,0,55,21,0,0,0,0,21,17,0,0,0,0,17,10,0,0,0,0,10,14,0,0,0,0,17,336,6,0,6,0,339
SAL11801,19,0,0,0,0,19,10,0,0,0,0,10,5,0,0,0,0,5,8,0,0,0,0,11,10,0,0,0,0,10,46,0,0,0,0,46,43,0,0,0,0,46,73,0,0,0,0,75,23,0,0,0,0,23,5,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,11,259,0,0,3,0,264
SAL11802,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,27,0,0,0,0,27
SAL11803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,19,0,0,0,0,19
SAL11804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL11805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL11806,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,10,0,0,0,0,10,12,0,0,0,0,12,9,0,0,0,0,11,8,0,0,0,0,8,8,0,0,0,0,8,3,0,0,0,0,3,76,0,0,0,0,71
SAL11807,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,9,0,0,0,0,9,17,0,0,0,0,17,12,0,0,0,0,12,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,65,0,0,0,0,65
SAL11808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SAL11809,10,0,0,0,0,11,4,0,0,0,0,4,10,0,0,0,0,10,14,0,0,0,0,15,19,0,0,0,0,19,39,0,0,0,0,39,29,0,0,0,0,33,14,0,0,0,0,22,3,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,156,5,5,0,0,165
SAL11810,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL11811,14,0,0,0,0,14,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,22,0,0,0,0,23,20,0,0,0,0,20,34,0,0,0,0,34,29,0,0,0,0,29,43,0,0,0,0,43,30,0,0,0,0,31,8,0,0,0,0,8,213,4,0,0,0,217
SAL11812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,4,0,0,0,0,4,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,37,0,0,0,0,37
SAL11813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11814,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,9,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31
SAL11815,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26
SAL11816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,30,0,0,0,0,30
SAL11817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11818,36,6,0,0,0,43,26,0,0,0,0,26,28,0,0,0,0,24,51,0,0,0,0,55,91,0,0,0,0,96,277,3,0,0,0,285,264,6,0,0,0,276,209,0,0,0,0,211,86,0,0,0,0,90,64,0,0,0,0,64,29,0,0,0,0,28,80,3,0,0,0,84,1242,18,0,5,0,1267
SAL11819,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,3,0,0,0,0,3,26,0,0,0,0,26,30,0,0,0,0,30,29,0,0,0,0,30,10,0,0,0,3,18,10,0,0,0,0,10,12,0,0,0,0,12,11,0,0,0,0,11,151,0,0,0,3,149
SAL11820,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SAL11821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SAL11822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SAL11824,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SAL11825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SAL11827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,9
SAL11828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,8
SAL11829,16,0,0,0,0,16,4,0,0,0,0,4,11,0,0,0,0,11,10,0,0,0,0,10,23,0,0,0,0,23,47,0,0,0,0,52,25,0,0,0,0,23,18,0,0,0,0,18,7,0,0,0,0,7,4,0,0,0,0,4,3,0,0,0,0,3,9,0,0,0,0,9,176,0,0,0,0,180
SAL11830,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SAL11831,33,0,0,0,0,33,12,0,0,0,0,12,13,0,0,0,0,13,21,0,0,0,0,21,18,0,0,0,0,18,71,0,0,0,0,70,115,0,0,0,0,120,158,0,0,0,0,158,73,0,0,0,0,73,42,0,0,0,0,42,12,0,0,0,0,12,42,0,0,0,0,42,600,0,0,0,0,609
SAL11832,5,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,9,9,5,9,0,0,22,15,3,3,0,0,17,18,6,0,0,0,30,27,4,0,0,0,36,15,4,0,0,0,26,18,0,0,0,0,20,5,0,5,0,0,10,138,26,14,0,0,184
SAL11833,29,10,10,0,0,54,5,0,0,0,0,17,3,9,4,0,0,13,12,0,3,0,0,12,7,4,5,0,0,17,30,15,22,0,0,67,30,21,27,0,0,78,72,42,58,0,0,170,83,32,61,0,0,182,142,63,32,0,0,233,132,34,16,0,0,185,37,13,16,0,0,59,588,248,251,0,0,1085
SAL11834,32,7,0,0,0,34,16,0,0,0,0,21,11,0,0,0,0,11,10,0,0,0,0,10,20,3,0,0,0,23,41,4,0,0,0,47,57,3,0,0,0,61,111,9,4,0,0,123,116,10,0,0,0,126,194,17,0,0,0,212,298,13,0,0,0,309,66,4,0,0,0,71,971,67,3,0,0,1042
SAL11835,43,5,0,0,0,48,0,0,0,0,0,0,4,0,0,0,0,4,10,0,0,0,0,11,6,0,0,0,0,6,30,3,4,0,0,36,24,0,4,0,0,27,51,11,4,0,0,60,36,11,5,0,0,50,71,21,4,0,0,93,268,36,4,0,0,309,27,3,0,5,0,38,576,87,27,0,0,692
SAL11836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11837,11,0,0,0,0,11,4,0,0,0,0,4,7,0,0,0,0,7,11,0,0,0,0,11,11,0,0,0,0,11,45,0,0,0,0,45,62,0,0,0,0,66,99,0,0,0,0,100,24,0,0,0,0,24,18,0,0,0,0,18,0,0,0,0,0,4,30,0,0,0,0,30,321,0,0,3,0,325
SAL11838,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31
SAL11839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,4,6,0,0,0,0,6,8,0,0,0,0,8,24,0,0,0,0,24,10,0,0,0,0,10,9,0,0,0,0,9,5,0,0,0,0,5,3,0,0,0,0,3,81,0,0,0,0,84
SAL11840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4
SAL11841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,23,0,0,0,0,23
SAL11842,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,14,22,0,0,0,0,22,27,0,0,0,0,27,11,0,0,0,0,11,9,0,0,0,0,9,6,0,0,0,0,6,7,0,0,0,0,7,117,0,0,0,0,117
SAL11843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11845,22,8,0,0,0,34,8,6,0,0,0,8,0,0,0,0,0,5,7,0,0,0,0,9,7,5,0,0,0,19,34,11,10,0,0,46,38,18,9,0,0,58,67,22,13,0,0,104,51,11,0,0,0,59,47,9,0,0,0,60,38,4,8,0,0,44,15,7,3,0,0,23,331,98,37,0,0,475
SAL11846,6,0,0,0,0,6,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,7,3,0,0,0,0,3,17,0,0,0,0,21,15,0,0,0,0,15,18,0,0,0,0,18,21,0,0,0,0,21,13,0,0,0,0,14,113,3,3,0,0,117
SAL11847,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,6,3,0,0,0,0,3,4,0,0,0,0,4,15,4,0,0,0,21,15,0,0,0,0,16,42,0,0,0,0,42,27,0,0,0,0,27,16,0,0,0,0,16,12,0,0,0,0,12,5,0,0,0,0,5,138,9,0,0,0,141
SAL11848,20,0,0,0,0,20,8,0,0,0,0,8,8,0,0,0,0,7,3,3,0,0,0,11,6,0,0,0,0,9,17,0,0,0,0,17,25,4,0,0,0,25,58,7,0,0,0,72,32,8,3,0,0,38,47,0,0,0,0,47,70,0,0,0,0,75,15,0,0,0,0,21,320,25,3,0,0,350
SAL11849,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,35,35,0,0,0,0,35,24,0,0,0,0,24,12,0,0,0,0,12,6,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,128,0,0,0,0,128
SAL11850,17,0,0,0,0,17,6,6,0,0,0,12,9,0,0,0,0,3,14,0,0,0,0,21,25,0,0,0,0,25,83,5,0,0,0,87,137,11,0,0,0,149,314,5,0,0,0,321,222,4,0,0,0,228,121,6,0,0,4,124,40,0,0,0,0,46,57,3,0,0,0,66,1049,32,0,0,5,1090
SAL11851,13,3,0,0,0,14,5,5,0,0,0,7,0,0,6,0,0,8,7,3,0,0,0,12,4,6,0,0,0,7,30,17,0,0,0,45,41,15,0,0,0,58,84,37,0,0,0,120,67,28,0,0,0,100,69,7,0,0,0,82,17,4,0,0,0,21,21,6,0,0,0,30,365,135,10,0,0,504
SAL11852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,0,0,0,0,10
SAL11853,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,15
SAL11854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SAL11855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL11856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
SAL11857,8,0,0,0,0,8,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,27,0,0,0,0,27,23,0,0,0,0,23,20,0,0,0,0,20,4,0,0,0,0,4,7,0,0,0,0,7,3,0,0,0,0,3,13,0,0,0,0,13,120,0,0,0,0,120
SAL11858,14,0,0,0,0,13,12,0,0,0,0,12,14,4,0,0,0,16,44,0,0,0,0,44,36,0,0,0,0,36,60,0,0,0,0,62,21,0,0,0,0,21,15,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,16,233,3,0,0,0,242
SAL11859,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,0,30
SAL11860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,5,24,0,0,0,0,17
SAL11861,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,32
SAL11862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SAL11863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SAL11864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL11865,10,5,0,0,0,19,10,0,0,0,0,13,4,0,0,0,0,4,5,0,0,0,0,5,11,0,0,0,0,11,30,0,0,0,0,34,33,3,0,0,0,41,39,0,0,0,0,46,17,0,0,0,0,17,14,0,0,0,0,14,8,0,0,0,0,8,22,0,0,0,0,21,216,11,0,3,0,231
SAL11866,67,0,0,0,0,73,23,0,0,0,0,23,11,0,0,0,0,11,28,0,0,0,0,36,40,0,0,0,0,40,120,4,0,0,0,123,172,5,0,0,0,176,343,3,0,0,0,342,365,0,0,0,0,369,508,3,0,0,0,514,405,0,0,0,0,414,157,4,0,0,0,159,2253,27,7,0,0,2285
SAL11867,0,0,15,0,0,17,0,0,4,0,0,4,0,0,8,0,0,8,0,0,4,0,0,4,0,0,5,0,0,9,3,0,43,0,0,49,4,0,49,0,0,52,4,3,68,4,0,77,6,0,13,0,0,16,8,0,12,5,0,20,6,4,8,0,0,20,0,0,17,0,0,15,29,7,242,14,0,290
SAL11868,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,12,0,0,0,0,12,15,0,0,0,0,15,9,0,0,0,0,9,17,0,0,0,0,17,7,0,0,0,0,7,4,0,0,0,0,4,74,0,0,0,0,78
SAL11869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
