SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL20122,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAL20123,..,1294,1294,1453,71,1526,900,34,930,906,17,918,307,0,307,110,3,108,3668,1417,5085
SAL20124,..,1196,1196,1845,78,1918,1284,29,1313,1764,13,1775,634,3,637,239,0,236,5766,1326,7090
SAL20125,..,34,34,61,7,68,26,0,26,18,0,18,15,0,15,7,0,7,133,38,171
SAL20126,..,14,14,32,0,38,14,0,14,14,0,14,10,0,10,5,0,5,73,15,89
SAL20127,..,9,9,22,0,22,5,0,5,8,0,8,6,0,6,0,0,0,37,5,43
SAL20128,..,4,4,3,0,3,4,0,4,3,0,3,0,0,0,0,0,0,11,4,16
SAL20129,..,22,22,46,0,49,37,0,42,31,0,31,22,0,22,17,0,17,153,29,181
SAL20130,..,6,6,9,0,9,0,0,0,4,0,4,0,0,0,0,0,0,14,6,19
SAL20131,..,244,244,137,8,143,22,4,25,8,0,8,5,0,7,3,0,3,181,254,431
SAL20132,..,6,6,5,0,5,0,0,0,4,0,4,5,0,5,0,0,0,14,6,21
SAL20133,..,279,279,637,18,652,327,0,327,470,0,470,241,0,241,79,0,79,1758,292,2048
SAL20134,..,0,0,3,0,3,0,0,0,6,0,6,0,0,0,0,0,0,6,0,11
SAL20135,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
SAL20136,..,168,168,362,10,372,151,5,150,198,0,198,90,0,90,35,0,35,824,186,1005
SAL20137,..,7,7,17,0,13,3,0,3,0,0,0,5,0,5,0,0,0,29,8,31
SAL20138,..,28,28,33,5,38,5,0,6,8,0,8,3,0,3,0,0,0,50,29,78
SAL20139,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL20140,..,12,12,23,0,23,6,0,7,6,0,6,0,0,0,3,0,3,45,14,53
SAL20141,..,42,42,66,3,75,20,0,20,33,0,33,7,0,7,10,0,10,135,46,182
SAL20142,..,12,12,8,0,8,3,0,3,0,0,0,0,0,0,0,0,0,7,12,21
SAL20143,..,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,4,18
SAL20144,..,41,41,34,8,36,16,0,17,12,0,12,0,0,0,0,0,0,56,50,110
SAL20145,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
SAL20146,..,73,73,125,11,128,56,0,56,64,0,64,21,0,21,9,0,9,267,84,354
SAL20147,..,10,10,24,0,28,4,0,4,4,0,4,7,0,7,5,0,5,50,12,60
SAL20148,..,22,22,15,0,15,4,0,4,6,0,6,3,0,3,8,0,8,29,22,52
SAL20149,..,31,31,64,3,66,18,0,18,23,0,23,14,0,14,8,0,8,128,35,160
SAL20150,..,15,15,34,0,35,13,0,13,11,0,11,5,0,5,4,0,4,77,14,91
SAL20151,..,13,13,35,0,35,14,0,14,15,0,15,7,0,7,5,0,5,71,13,81
SAL20152,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
SAL20153,..,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5
SAL20154,..,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,8,0,7
SAL20155,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20156,..,9,9,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,6,12,21
SAL20157,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,12
SAL20158,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL20159,..,11,11,13,0,13,3,0,3,7,0,7,4,0,4,0,0,0,26,11,36
SAL20160,..,19,19,41,0,41,12,0,12,17,0,17,8,0,8,3,0,3,80,20,97
SAL20161,..,25,25,26,0,26,6,0,6,6,0,6,0,0,0,0,0,0,35,25,59
SAL20162,..,374,374,573,15,584,165,6,169,262,0,263,134,0,134,27,0,27,1158,393,1553
SAL20163,..,6,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12
SAL20164,..,37,37,61,4,65,16,0,16,19,0,19,10,0,10,9,0,9,107,39,146
SAL20165,..,33,33,94,4,100,52,0,52,83,0,83,53,0,53,18,0,18,298,32,337
SAL20166,..,3,3,5,0,5,4,0,4,3,0,3,4,0,4,0,0,0,14,3,18
SAL20167,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20168,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20169,..,279,279,291,12,306,154,3,158,100,0,100,34,0,30,23,0,23,603,297,901
SAL20170,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5
SAL20171,..,20,20,50,0,51,24,0,24,34,0,34,8,0,8,4,0,4,121,24,148
SAL20172,..,12,12,15,0,17,0,0,0,3,0,3,6,0,6,0,0,0,23,11,40
SAL20173,..,1387,1387,1476,130,1605,835,28,861,664,12,675,205,7,216,104,0,104,3290,1565,4851
SAL20174,..,913,913,1003,72,1075,588,10,596,544,3,546,199,6,204,75,0,74,2406,998,3404
SAL20175,..,422,422,650,30,679,395,0,399,568,0,568,257,0,257,78,0,78,1943,458,2401
SAL20176,..,94,94,269,4,272,119,3,121,226,0,232,119,0,119,39,0,39,775,102,881
SAL20177,..,35,35,36,0,38,11,0,11,7,0,7,0,0,0,0,0,0,59,37,98
SAL20178,..,28,28,40,4,46,5,0,5,5,0,5,0,0,0,0,0,0,47,29,78
SAL20179,..,7,7,9,0,9,3,0,3,5,0,5,0,0,0,0,0,0,15,7,18
SAL20180,..,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,12,0,12
SAL20181,..,262,262,266,16,282,73,3,73,70,0,70,23,0,23,17,0,17,445,275,725
SAL20182,..,991,991,1661,36,1695,746,3,747,1101,0,1098,398,0,398,81,0,81,3981,1029,5007
SAL20183,..,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,9
SAL20184,..,55,55,63,5,72,19,0,19,21,0,21,10,0,10,0,0,0,108,67,175
SAL20185,..,20,20,14,0,14,4,0,4,3,0,3,0,0,0,0,0,0,22,18,46
SAL20186,..,519,519,648,29,683,174,8,176,208,0,208,82,0,80,25,0,25,1137,553,1690
SAL20187,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7
SAL20188,..,267,267,462,31,494,268,6,273,263,0,264,89,0,87,29,0,29,1112,304,1414
SAL20189,..,78,78,143,9,149,78,0,85,103,0,103,51,0,51,12,0,12,384,87,470
SAL20190,..,76,76,169,6,180,85,5,91,116,0,116,61,0,61,26,0,26,458,83,548
SAL20191,..,840,840,733,58,789,300,15,320,294,6,292,105,6,112,42,0,38,1468,923,2397
SAL20192,..,564,564,699,36,733,329,15,342,251,4,261,88,0,88,50,0,50,1413,617,2034
SAL20193,..,13,13,27,0,29,8,0,8,9,0,9,6,0,6,0,0,0,50,16,60
SAL20194,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20195,..,115,115,170,4,171,45,0,51,70,0,70,43,0,43,7,0,7,331,119,450
SAL20196,..,37,37,58,4,55,19,0,19,25,0,25,7,0,7,3,0,3,107,39,152
SAL20197,..,3,3,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,3,22
SAL20198,..,176,176,207,28,234,131,15,143,95,9,102,43,7,44,25,0,26,497,234,730
SAL20199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20200,..,3,3,15,0,16,5,0,5,4,0,4,0,0,0,5,0,5,31,5,44
SAL20201,..,2109,2109,1800,194,1991,819,84,900,785,39,826,277,17,292,84,7,92,3755,2452,6205
SAL20202,..,9,9,19,0,19,5,0,5,0,0,0,0,0,0,0,0,0,20,9,37
SAL20203,..,23,23,55,0,59,17,0,17,14,0,14,6,0,6,0,0,0,94,26,117
SAL20204,..,1657,1657,1662,126,1783,492,10,499,396,5,402,179,0,178,77,0,77,2804,1795,4602
SAL20205,..,30,30,34,4,33,3,0,3,5,0,5,0,0,0,0,0,0,43,33,78
SAL20206,..,3,3,14,0,14,3,0,3,3,0,3,0,0,0,0,0,0,23,3,23
SAL20207,..,15,15,30,5,39,17,0,17,21,0,21,3,0,3,5,0,5,76,13,95
SAL20208,..,964,964,797,84,884,306,34,344,220,5,223,62,0,62,32,0,29,1415,1090,2503
SAL20209,..,23,23,23,3,23,3,0,3,0,0,0,0,0,0,0,0,0,29,25,52
SAL20210,..,4,4,14,0,14,3,0,3,7,0,7,4,0,4,0,0,0,28,4,30
SAL20211,..,4,4,5,0,5,3,0,3,3,0,3,0,0,0,0,0,0,12,4,20
SAL20212,..,10,10,18,0,17,9,0,9,9,0,9,3,0,3,4,0,4,35,10,45
SAL20213,..,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,10,0,15
SAL20214,..,1604,1604,1961,165,2124,1132,24,1156,1286,27,1308,428,9,440,84,0,82,4891,1838,6723
SAL20215,..,2226,2226,2958,164,3115,1994,41,2037,2500,22,2525,711,7,719,178,8,183,8342,2460,10802
SAL20216,..,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20217,..,6,6,19,0,18,18,0,18,15,0,15,0,0,0,0,0,0,53,7,58
SAL20218,..,4,4,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,4,17
SAL20219,..,23,23,26,3,32,8,0,8,6,0,6,0,0,0,5,0,5,52,25,77
SAL20220,..,3,3,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,10,3,15
SAL20221,..,18,18,27,3,24,7,0,9,12,0,12,3,0,3,0,0,0,52,22,73
SAL20222,..,4,4,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,11,4,14
SAL20223,..,12,12,28,0,28,5,0,5,7,0,7,0,0,0,0,0,0,47,15,61
SAL20224,..,2905,2905,4543,225,4760,3043,43,3081,3835,17,3853,1412,8,1418,626,3,632,13458,3196,16653
SAL20225,..,14,14,15,0,12,5,0,5,3,0,3,0,0,0,0,0,0,24,16,46
SAL20226,..,16,16,15,0,14,6,0,6,6,0,6,0,0,0,0,0,0,30,17,46
SAL20227,..,13,13,9,0,9,0,0,0,8,0,8,6,0,6,0,0,0,21,13,32
SAL20228,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6
SAL20229,..,33,33,87,3,83,30,0,30,25,0,25,8,0,8,5,0,5,152,37,189
SAL20230,..,11,11,17,0,18,4,0,4,0,0,0,0,0,0,0,0,0,27,13,41
SAL20231,..,48,48,46,0,52,10,0,10,8,0,8,10,0,10,5,0,5,82,54,133
SAL20232,..,22,22,39,0,39,22,0,19,19,0,19,6,0,6,3,0,3,89,23,113
SAL20233,..,151,151,357,12,369,294,3,304,340,0,343,147,0,147,77,0,77,1223,174,1396
SAL20234,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20235,..,18,18,23,0,26,15,0,15,17,0,17,10,0,10,3,0,3,70,18,91
SAL20236,..,0,0,7,0,7,3,0,3,0,0,0,0,0,0,0,0,0,10,0,12
SAL20237,..,10,10,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,19,10,30
SAL20238,..,3,3,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,11,3,16
SAL20239,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20240,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SAL20241,..,0,0,15,0,15,0,0,0,4,0,4,0,0,0,0,0,0,16,0,17
SAL20242,..,23,23,16,0,16,6,0,6,8,0,8,9,0,9,0,0,0,34,23,53
SAL20243,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20244,..,109,109,95,8,104,34,0,34,18,0,18,14,0,14,12,0,12,172,118,288
SAL20245,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20246,..,32,32,81,0,86,29,0,29,45,0,43,21,0,21,17,0,17,193,34,224
SAL20247,..,105,105,117,4,124,41,0,48,43,0,43,38,0,38,3,0,3,249,110,363
SAL20248,..,368,368,595,15,607,236,3,239,262,0,263,94,0,100,37,0,37,1227,390,1617
SAL20249,..,301,301,256,33,295,105,6,106,124,0,125,27,0,27,12,0,12,524,339,867
SAL20250,..,11,11,32,0,32,6,0,7,7,0,11,6,0,6,0,0,0,56,13,72
SAL20251,..,605,605,901,28,930,337,3,340,417,0,421,164,0,164,32,0,32,1851,634,2486
SAL20252,..,1513,1513,1650,125,1783,801,34,833,970,32,1002,308,5,316,106,4,109,3840,1715,5561
SAL20253,..,561,561,698,57,753,466,26,488,591,10,601,214,0,216,68,5,75,2037,658,2701
SAL20254,..,1050,1050,1048,83,1133,652,30,684,775,13,786,281,3,283,91,5,93,2846,1181,4024
SAL20255,..,6,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
SAL20256,..,66,66,53,5,54,20,0,20,16,0,16,7,0,7,0,0,0,95,65,161
SAL20257,..,341,341,536,11,542,101,6,102,108,0,108,43,0,45,7,0,7,785,357,1144
SAL20258,..,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,8,0,13
SAL20259,..,20,20,33,0,37,10,0,10,9,0,9,5,0,6,0,0,0,60,26,87
SAL20260,..,88,88,146,4,149,90,4,88,85,0,85,28,0,28,11,0,11,354,93,452
SAL20261,..,13,13,12,0,12,8,0,8,0,0,0,0,0,0,0,0,0,19,13,33
SAL20262,..,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,7,0,4
SAL20263,..,8,8,17,0,17,6,0,6,0,0,0,0,0,0,0,0,0,32,8,41
SAL20264,..,0,0,13,0,13,3,0,3,5,0,5,0,0,0,0,0,0,22,0,22
SAL20265,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20266,..,5,5,17,0,14,5,0,5,0,0,0,0,0,0,0,0,0,23,4,33
SAL20267,..,10,10,20,0,20,3,0,3,3,0,3,0,0,0,0,0,0,29,10,36
SAL20268,..,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,6
SAL20269,..,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SAL20270,..,30,30,34,0,39,14,0,14,16,0,16,8,0,8,9,0,9,77,31,105
SAL20271,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20272,..,9,9,23,5,24,12,0,12,13,0,13,0,0,0,0,0,0,55,12,68
SAL20273,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SAL20274,..,51,51,104,5,109,36,0,36,33,0,33,15,0,15,4,0,4,191,49,242
SAL20275,..,5,5,3,0,0,0,0,0,0,0,0,6,0,6,0,0,0,9,10,17
SAL20276,..,9,9,14,0,14,3,0,8,6,0,6,0,0,0,0,0,0,29,9,37
SAL20277,..,7,7,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,8,7,21
SAL20278,..,950,950,900,71,975,386,12,405,389,3,395,88,0,88,38,0,38,1813,1033,2844
SAL20279,..,16,16,51,0,49,16,0,16,21,0,21,7,0,7,6,0,6,96,17,117
SAL20280,..,22,22,32,4,40,19,0,19,22,0,22,3,0,3,7,0,7,79,31,111
SAL20281,..,0,0,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,14,0,18
SAL20282,..,30,30,43,5,44,24,0,24,15,0,15,3,0,3,5,0,8,87,33,124
SAL20283,..,78,78,117,5,124,29,0,31,28,0,34,11,0,11,4,0,4,191,82,276
SAL20284,..,60,60,95,13,113,69,3,72,61,0,60,20,0,20,13,0,13,260,82,343
SAL20285,..,14,14,17,0,16,11,0,11,6,0,6,4,0,4,0,0,0,42,16,58
SAL20286,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20287,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20288,..,137,137,144,7,152,42,0,45,39,0,39,29,0,29,11,0,11,254,147,402
SAL20289,..,12,12,20,0,20,10,0,10,4,0,4,4,0,4,4,0,4,43,12,55
SAL20290,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20291,..,5,5,9,0,9,0,0,0,0,0,0,7,0,7,0,0,0,9,5,12
SAL20292,..,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,3,7
SAL20293,..,3,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,3,10
SAL20294,..,16,16,13,0,18,10,0,10,5,0,5,7,0,7,3,0,3,36,18,55
SAL20295,..,15,15,15,0,15,9,0,9,7,0,7,4,0,4,4,0,4,36,15,49
SAL20296,..,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,7
SAL20297,..,3,3,7,0,7,4,0,4,3,0,3,0,0,0,0,0,0,15,3,24
SAL20298,..,11,11,20,0,20,9,0,9,9,0,9,10,0,10,0,0,0,44,11,54
SAL20299,..,4,4,9,0,9,3,0,3,0,0,0,0,0,0,0,0,0,20,4,20
SAL20300,..,126,126,130,6,130,31,0,31,36,0,31,16,0,16,8,0,8,212,127,342
SAL20301,..,9,9,9,0,9,12,0,12,6,0,6,9,0,9,0,0,0,28,9,38
SAL20302,..,0,0,9,0,10,0,0,0,7,0,7,0,0,0,5,0,5,19,3,27
SAL20303,..,0,0,7,0,5,0,0,0,3,0,3,0,0,0,0,0,0,9,0,11
SAL20304,..,2641,2641,2905,258,3165,1507,35,1546,1332,10,1340,455,4,465,177,0,181,6379,2957,9332
SAL20305,..,10,10,9,0,13,0,0,0,7,0,7,0,0,0,0,0,0,18,8,26
SAL20306,..,9,9,15,0,15,4,0,5,4,0,4,0,0,0,0,0,0,29,9,32
SAL20307,..,159,159,605,27,626,420,0,421,552,0,552,220,0,220,101,0,101,1900,187,2084
SAL20308,..,14,14,16,3,15,5,0,3,7,0,7,0,0,0,0,0,0,33,20,51
SAL20309,..,18,18,22,0,25,6,0,6,13,0,13,5,0,5,5,0,5,55,18,73
SAL20310,..,0,0,3,0,6,3,0,3,3,0,3,0,0,0,0,0,0,14,3,21
SAL20311,..,5,5,11,0,6,0,0,0,3,0,3,0,0,0,0,0,0,8,5,19
SAL20312,..,9,9,23,0,22,3,0,3,7,0,7,0,0,0,0,0,0,34,7,40
SAL20313,..,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,9,0,9
SAL20314,..,1967,1967,1829,413,2244,763,123,892,534,67,600,168,25,192,67,12,76,3360,2607,5965
SAL20315,..,1045,1045,1244,131,1369,814,75,891,804,30,835,260,6,266,110,7,120,3224,1307,4536
SAL20316,..,800,800,789,72,857,510,39,553,607,27,631,209,16,225,61,4,65,2181,952,3132
SAL20317,..,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,11
SAL20318,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL20319,..,5,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,14,5,10
SAL20320,..,10,10,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,10,16
SAL20321,..,0,0,16,0,16,9,0,9,8,0,8,3,0,3,0,0,0,31,0,34
SAL20322,..,28,28,54,0,60,20,0,20,14,0,14,4,0,4,0,0,0,95,27,125
SAL20323,..,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,3,0,7
SAL20324,..,876,876,857,148,1008,576,52,622,430,36,464,248,15,259,166,13,176,2271,1145,3412
SAL20325,..,6,6,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,9,6,13
SAL20326,..,174,174,135,25,155,66,4,68,26,0,28,13,0,13,10,0,10,248,204,453
SAL20327,..,19,19,28,5,30,7,0,9,9,0,9,0,0,0,0,0,0,43,23,66
SAL20328,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9
SAL20329,..,7,7,4,0,4,0,0,0,4,0,4,6,0,6,0,0,0,13,7,16
SAL20330,..,116,116,172,10,181,57,0,57,45,0,47,31,0,31,13,0,13,309,121,433
SAL20331,..,333,333,425,17,443,220,0,225,205,0,205,68,0,68,12,0,12,936,351,1285
SAL20332,..,10,10,20,0,20,8,0,8,10,0,10,4,0,4,4,0,4,36,10,42
SAL20333,..,14,14,24,0,23,4,0,4,10,0,10,0,0,0,6,0,6,38,16,55
SAL20334,..,0,0,7,0,7,3,0,3,4,0,4,3,0,3,0,0,0,14,0,17
SAL20335,..,37,37,54,3,63,18,0,21,8,0,8,7,0,7,4,0,4,91,42,136
SAL20336,..,324,324,419,20,438,114,3,119,111,3,114,41,0,41,12,0,13,694,357,1050
SAL20337,..,2494,2494,2986,127,3115,1283,19,1301,1395,7,1404,538,5,541,129,0,130,6327,2654,8981
SAL20338,..,1446,1446,1700,83,1779,939,16,956,1281,7,1290,426,9,432,103,0,109,4448,1560,6009
SAL20339,..,15,15,20,0,26,7,0,7,10,0,10,3,0,3,4,0,4,43,18,63
SAL20340,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL20341,..,3,3,9,0,7,4,0,4,5,0,5,0,0,0,0,0,0,17,6,21
SAL20342,..,9,9,12,0,12,0,0,0,5,0,5,3,0,3,0,0,0,23,9,28
SAL20343,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4
SAL20344,..,3,3,6,0,6,0,0,0,4,0,4,0,0,0,0,0,0,10,3,13
SAL20345,..,507,507,557,32,588,252,3,258,237,0,234,125,0,125,56,0,56,1234,542,1773
SAL20346,..,919,919,862,103,967,590,47,641,546,32,574,346,11,353,327,10,335,2667,1120,3789
SAL20347,..,10,10,13,0,13,4,0,4,5,0,5,0,0,0,0,0,0,17,10,26
SAL20348,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,16
SAL20349,..,4,4,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,4,18
SAL20350,..,3,3,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,13,3,19
SAL20351,..,601,601,807,50,860,599,9,601,640,5,641,314,0,312,288,0,292,2649,664,3317
SAL20352,..,277,277,287,36,319,138,3,139,63,3,66,32,3,28,13,0,13,532,319,850
SAL20353,..,6,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10
SAL20354,..,12,12,30,0,33,8,0,8,12,0,12,4,0,4,3,0,3,63,14,76
SAL20355,..,0,0,3,0,3,4,0,4,4,0,4,0,0,0,0,0,0,12,0,14
SAL20356,..,443,443,572,48,619,237,10,248,277,4,282,120,0,126,30,0,23,1232,503,1730
SAL20357,..,6,6,19,0,19,5,0,5,3,0,3,4,0,4,0,0,0,37,6,38
SAL20358,..,9,9,14,0,14,5,0,5,6,0,6,3,0,3,4,0,4,27,9,40
SAL20359,..,11,11,23,0,22,4,0,4,0,0,4,4,0,4,3,0,3,36,15,51
SAL20360,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20361,..,3774,3774,3270,750,4023,1232,495,1723,939,241,1181,213,51,263,63,13,71,5712,5329,11040
SAL20362,..,2472,2472,1919,452,2375,615,237,854,438,92,532,99,10,107,24,5,31,3093,3277,6368
SAL20363,..,2524,2524,1778,347,2120,752,156,911,697,103,799,176,20,197,55,4,60,3461,3151,6612
SAL20364,..,98,98,112,6,116,55,0,55,40,0,40,15,0,15,7,0,7,221,104,331
SAL20365,..,14,14,18,0,21,9,0,9,4,0,4,0,0,0,4,0,4,33,12,46
SAL20366,..,28,28,34,4,35,8,0,8,3,0,3,6,0,6,0,0,0,51,30,79
SAL20367,..,10,10,20,0,20,4,0,11,3,0,3,0,0,0,0,0,0,37,14,47
SAL20368,..,11,11,26,0,25,4,0,4,8,0,8,9,0,9,0,0,0,43,13,57
SAL20369,..,10,10,24,3,20,12,0,12,18,0,18,12,0,12,0,0,0,62,14,76
SAL20370,..,3,3,4,0,4,0,0,0,3,0,3,0,0,0,0,0,0,5,3,12
SAL20371,..,6,6,3,0,8,0,0,0,0,0,0,0,0,0,5,0,5,12,6,22
SAL20372,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20373,..,8,8,21,0,21,8,0,8,5,0,5,0,0,0,5,0,5,44,8,52
SAL20374,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20375,..,21,21,41,0,42,11,0,11,22,0,22,6,0,6,3,0,3,74,18,96
SAL20376,..,28,28,49,0,57,16,0,15,13,0,13,4,0,4,3,0,3,86,26,112
SAL20377,..,3,3,9,0,9,3,0,3,8,0,8,5,0,5,0,0,0,25,3,32
SAL20378,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL20379,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20380,..,4,4,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,7,4,14
SAL20381,..,36,36,64,4,73,46,0,46,40,0,40,16,0,16,10,0,10,180,40,218
SAL20382,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10
SAL20383,..,13,13,10,0,10,0,0,0,8,0,8,3,0,3,0,0,0,22,13,30
SAL20384,..,6,6,14,0,20,0,0,0,7,0,7,0,0,0,0,0,0,28,11,35
SAL20385,..,6,6,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,9,24
SAL20386,..,945,945,1383,60,1440,716,24,744,767,5,772,252,10,261,80,0,84,3198,1053,4248
SAL20387,..,40,40,77,5,80,29,0,33,39,0,39,20,0,20,11,0,11,181,40,228
SAL20388,..,9,9,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,9,30
SAL20389,..,4,4,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,4,13
SAL20390,..,22,22,61,0,64,20,0,20,29,0,29,25,0,25,8,0,8,145,26,177
SAL20391,..,9,9,29,0,28,14,0,14,6,0,6,4,0,4,4,0,4,51,13,65
SAL20392,..,8,8,13,0,13,5,0,5,9,0,9,0,0,0,0,0,0,30,8,31
SAL20393,..,9,9,42,3,42,16,0,16,17,0,17,12,0,12,8,0,8,89,6,98
SAL20394,..,8,8,25,0,25,4,0,4,9,0,9,12,0,12,6,0,6,55,8,64
SAL20395,..,47,47,83,5,88,20,0,20,27,0,27,4,0,4,8,0,8,145,47,197
SAL20396,..,3,3,12,0,12,5,0,5,0,0,0,0,0,0,0,0,0,16,3,24
SAL20397,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20398,..,6,6,14,0,14,0,0,0,0,0,4,0,0,0,0,0,0,22,0,26
SAL20399,..,2304,2304,2897,299,3194,1678,157,1839,1645,97,1742,605,52,657,255,23,279,7090,2930,10014
SAL20400,..,6,6,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,18,6,26
