SAL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SAL11394,2339,7024,89,134,199,403,286,537,44,55,0,0,0,0,0,0,0,0,42,57,20,27,31,48,0,0,0,0,56,79,0,0,2720,7693,70,..,2793,7693
SAL11395,37,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,124,3,..,44,124
SAL11396,2044,5808,159,252,49,81,206,332,8,17,24,39,0,0,0,0,0,7,35,53,0,0,0,0,0,0,0,0,0,0,0,0,2292,6199,95,..,2380,6199
SAL11397,1820,4735,292,538,147,325,442,861,24,42,6,21,0,0,0,0,0,5,36,66,0,0,0,0,0,0,0,7,0,7,0,3,2298,5673,115,..,2420,5673
SAL11398,10,22,0,0,14,32,14,32,70,120,208,286,1639,2399,924,1353,0,0,2845,4158,0,0,0,0,0,0,0,0,0,0,14,13,2885,4234,762,..,3648,4234
SAL11399,90,216,3,4,3,13,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,234,90,..,183,234
SAL11400,735,2843,0,0,84,262,84,262,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,3,823,3119,19,..,844,3119
SAL11401,432,1279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,437,1289,30,..,472,1289
SAL11402,119,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,9,0,0,123,312,6,..,130,312
SAL11403,94,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,96,264,3,..,104,264
SAL11404,62,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,144,3,..,67,144
SAL11405,13,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38,4,..,13,38
SAL11406,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,53,8,..,24,53
SAL11407,55,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,106,0,..,56,106
SAL11408,265,817,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,265,830,6,..,277,830
SAL11409,52,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56,133,6,..,63,133
SAL11410,55,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,149,8,..,60,149
SAL11411,55,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,128,8,..,72,128
SAL11412,108,294,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,298,14,..,125,298
SAL11413,41,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,78,11,..,47,78
SAL11414,874,2421,13,23,26,55,36,84,10,19,0,0,0,0,0,0,6,14,14,33,7,7,0,0,0,0,0,0,7,7,0,3,934,2544,78,..,1007,2544
SAL11415,48,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,50,127,4,..,57,127
SAL11416,562,1684,0,0,115,366,116,370,25,31,0,0,0,0,0,0,9,27,41,62,0,0,0,0,0,0,0,0,0,0,0,0,716,2110,47,..,766,2110
SAL11417,213,423,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,3,3,0,0,225,438,61,..,289,438
SAL11418,821,2298,14,31,14,46,34,76,11,24,0,0,0,0,0,0,3,10,19,32,0,0,5,0,0,0,5,4,6,9,0,0,880,2416,83,..,959,2416
SAL11419,69,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,180,8,..,73,180
SAL11420,1063,3081,8,32,11,31,20,62,0,0,0,0,0,0,0,0,5,3,5,3,0,0,0,0,0,0,0,0,0,0,3,3,1093,3146,25,..,1121,3146
SAL11421,2453,6823,152,239,215,424,372,660,56,68,0,0,0,0,0,0,8,20,66,90,0,0,90,117,0,0,11,28,99,142,3,6,2989,7725,100,..,3083,7725
SAL11422,49,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,141,3,..,53,141
SAL11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11424,441,1332,104,276,222,578,321,852,16,27,188,427,66,140,40,81,5,14,310,688,0,0,0,0,0,0,0,3,0,3,0,4,1085,2879,56,..,1145,2879
SAL11425,4776,14695,137,263,327,793,464,1061,169,352,494,936,82,148,0,0,15,25,764,1455,0,0,0,0,0,0,11,27,11,27,9,10,6017,17248,238,..,6258,17248
SAL11426,102,264,0,0,25,50,25,50,10,15,7,21,0,0,0,0,0,0,14,36,0,0,0,0,0,0,0,0,0,0,0,0,145,347,6,..,152,347
SAL11427,11,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,40,0,..,13,40
SAL11428,277,737,356,817,383,973,738,1790,220,357,261,451,28,33,0,0,11,21,516,856,0,0,0,0,0,0,56,97,56,97,6,7,1599,3497,183,..,1779,3497
SAL11429,45,139,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,19,54,161,15,..,69,161
SAL11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11431,4398,13870,242,673,767,2235,1012,2913,92,149,1296,3134,2508,6250,957,2278,50,124,4904,11928,0,0,0,0,0,0,0,3,0,3,28,63,10336,28777,898,..,11234,28777
SAL11432,84,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,88,215,17,..,103,215
SAL11433,11,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,..,11,26
SAL11434,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,0,..,11,25
SAL11435,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,6,..,16,28
SAL11436,1618,3671,358,512,80,153,433,663,27,52,60,92,0,0,0,0,3,7,92,150,0,0,0,0,0,0,0,3,0,3,5,3,2147,4497,119,..,2275,4497
SAL11437,129,397,5,33,0,0,5,33,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,5,135,443,0,..,142,443
SAL11438,2579,7801,269,634,640,1854,904,2484,98,139,102,168,544,1246,0,0,22,54,767,1607,0,0,0,0,0,0,10,21,10,21,10,26,4274,11936,315,..,4590,11936
SAL11439,262,613,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,6,9,0,0,0,0,0,0,0,0,0,0,6,3,262,626,161,..,424,626
SAL11440,19,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,37,0,..,19,37
SAL11441,1939,6130,18,43,10,30,25,74,0,0,0,0,0,0,0,0,9,14,9,14,0,0,0,0,0,0,0,0,0,0,0,0,1976,6219,57,..,2029,6219
SAL11442,146,364,532,1119,1034,2458,1566,3573,191,318,143,250,1538,2818,932,1749,0,0,2801,5136,0,0,0,0,0,0,19,32,19,32,10,11,4540,9126,494,..,5031,9126
SAL11443,30,100,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,102,12,..,43,102
SAL11444,831,2441,43,83,3,0,45,79,0,0,0,0,0,0,0,0,5,16,5,16,0,0,0,0,0,0,0,0,0,0,0,0,884,2540,19,..,903,2540
SAL11445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11446,33,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,88,13,..,47,88
SAL11447,726,2108,106,161,4,11,111,169,43,54,0,0,0,0,0,0,0,0,43,54,0,0,0,0,0,0,0,0,0,0,3,10,893,2332,78,..,970,2332
SAL11448,1292,2815,661,1109,223,419,885,1535,116,188,8,9,59,115,0,6,6,5,194,326,0,0,93,145,0,0,17,25,109,171,28,39,2507,4880,395,..,2901,4880
SAL11449,26,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,67,0,..,24,67
SAL11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11451,55,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,132,6,..,62,132
SAL11452,47,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,119,0,..,51,119
SAL11453,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,16,0,..,6,16
SAL11454,49,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,126,3,..,51,126
SAL11455,53,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,143,14,..,68,143
SAL11456,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,16,..,36,26
SAL11457,312,722,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,724,47,..,357,724
SAL11458,25,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,59,4,..,28,59
SAL11459,124,314,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,9,128,325,25,..,150,325
SAL11460,53,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,143,0,..,56,143
SAL11461,148,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,361,12,..,162,361
SAL11462,78,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,203,5,..,86,203
SAL11463,114,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,117,291,11,..,129,291
SAL11464,118,295,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,302,9,..,130,302
SAL11465,12,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,38,8,..,20,38
SAL11466,23,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,59,11,..,39,59
SAL11467,115,323,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,331,0,..,119,331
SAL11468,27,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,30,71,0,..,26,71
SAL11469,24,85,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,86,10,..,35,86
SAL11470,66,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,165,16,..,82,165
SAL11471,214,632,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,9,10,235,658,15,..,246,658
SAL11472,686,1687,250,399,175,341,428,738,81,128,3,8,0,0,0,3,5,9,90,138,14,23,30,53,0,0,7,14,50,88,4,7,1247,2664,280,..,1536,2664
SAL11473,57,158,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,167,6,..,64,167
SAL11474,0,6,10,7,24,73,30,88,0,0,22,83,208,389,0,0,0,0,228,472,0,0,0,0,0,0,0,0,0,0,0,0,265,561,26,..,288,561
SAL11475,65,213,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,215,10,..,75,215
SAL11476,31,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,4,..,32,40
SAL11477,291,885,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,5,10,0,3,305,913,23,..,328,913
SAL11478,424,1056,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,3,4,0,0,425,1066,85,..,512,1066
SAL11479,208,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,116,0,0,0,0,77,116,0,0,290,682,12,..,297,682
SAL11480,2390,8215,133,286,673,2312,800,2596,512,1173,580,1311,1043,2432,554,1325,53,171,2747,6413,0,0,0,0,0,4,7,13,8,11,34,78,5978,17320,536,..,6510,17320
SAL11481,1036,3641,78,236,104,414,183,650,201,314,0,0,0,0,0,0,35,122,237,439,0,5,0,0,0,0,0,0,0,8,4,8,1462,4742,84,..,1544,4742
SAL11482,1287,4574,152,414,676,2497,833,2917,129,236,18,54,0,0,0,0,12,35,157,316,0,0,0,0,0,0,0,0,0,0,17,60,2297,7868,141,..,2431,7868
SAL11483,3146,10969,31,104,224,712,251,810,48,126,5,7,23,84,0,0,81,245,161,467,0,0,0,0,0,0,0,0,0,0,13,41,3564,12294,157,..,3719,12294
SAL11484,17,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42,5,..,17,42
SAL11485,635,1995,184,476,359,814,538,1296,369,777,538,1072,184,359,129,275,0,0,1223,2479,0,0,0,0,0,0,5,16,5,16,6,8,2407,5790,219,..,2623,5790
SAL11486,147,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,391,8,..,158,391
SAL11487,1718,4594,260,469,326,684,585,1159,217,376,41,84,391,696,0,0,18,36,665,1188,0,0,0,0,0,0,27,56,26,53,5,5,2995,7006,168,..,3168,7006
SAL11488,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,..,11,19
SAL11489,14,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,50,4,..,21,50
SAL11490,321,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,326,876,32,..,353,876
SAL11491,83,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,201,10,..,97,201
SAL11492,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,0,..,5,22
SAL11493,138,385,13,34,52,120,68,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,205,539,47,..,251,539
SAL11494,1346,3820,30,61,13,31,46,91,12,26,5,22,0,0,0,0,0,0,16,39,0,0,0,0,0,0,0,0,0,0,5,7,1408,3956,44,..,1452,3956
SAL11495,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21,0,..,10,21
SAL11496,43,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,107,8,..,50,107
SAL11497,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,3,..,12,16
SAL11498,203,499,24,34,4,11,28,42,7,13,0,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,242,547,12,..,259,547
SAL11499,1449,3951,14,27,4,13,18,42,0,0,0,0,0,0,0,0,7,12,8,16,0,0,0,0,0,0,0,6,0,6,4,4,1483,4014,74,..,1550,4014
SAL11500,43,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,93,12,..,55,93
SAL11501,53,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,148,6,..,53,148
SAL11502,271,664,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,273,673,29,..,301,673
SAL11503,615,1527,33,54,12,27,42,81,41,48,0,0,0,0,0,0,0,0,41,48,0,0,0,0,0,0,0,0,0,0,0,0,698,1659,39,..,737,1659
SAL11504,1607,3785,22,48,4,15,26,67,7,5,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,5,9,1641,3866,79,..,1725,3866
SAL11505,15,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,40,0,..,21,40
SAL11506,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,7,..,14,9
SAL11507,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,10,..,28,35
SAL11508,40,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,110,7,..,48,110
SAL11509,50,113,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,56,117,11,..,64,117
SAL11510,276,740,32,74,65,84,101,155,40,61,0,0,0,0,0,0,0,5,44,64,0,0,0,0,0,0,0,0,0,0,0,0,424,962,30,..,450,962
SAL11511,100,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,277,5,..,103,277
SAL11512,144,392,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,393,8,..,152,393
SAL11513,21,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52,3,..,25,52
SAL11514,87,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,241,8,..,92,241
SAL11515,33,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,95,4,..,32,95
SAL11516,67,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,212,4,..,73,212
SAL11517,38,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,117,0,..,42,117
SAL11518,3535,10443,220,411,200,453,417,862,149,255,23,52,0,0,0,0,7,15,181,326,0,0,149,212,0,0,7,11,154,221,6,17,4290,11863,147,..,4436,11863
SAL11519,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,0,..,17,36
SAL11520,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,4,..,10,23
SAL11521,362,845,236,394,91,190,320,584,3,6,4,3,0,0,0,0,0,0,7,14,0,0,7,31,0,0,0,0,10,31,0,0,703,1479,416,..,1114,1479
SAL11522,177,473,0,3,16,49,17,54,15,32,0,0,0,0,0,0,0,0,18,31,4,15,0,0,0,0,0,0,4,15,0,7,229,576,42,..,269,576
SAL11523,865,1940,69,95,0,0,69,95,8,7,0,0,0,0,0,0,0,0,8,7,0,3,0,0,0,0,0,6,4,9,10,15,949,2069,101,..,1053,2069
SAL11524,98,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,241,15,..,108,241
SAL11525,29,67,0,0,4,11,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,78,13,..,43,78
SAL11526,206,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,467,67,..,277,467
SAL11527,62,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,126,27,..,96,126
SAL11528,21,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,59,5,..,23,59
SAL11529,414,1030,0,0,9,13,9,13,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,10,422,1055,52,..,476,1055
SAL11530,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,0,..,12,29
SAL11531,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,..,3,12
SAL11532,88,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,220,16,..,106,220
SAL11533,1737,5046,209,526,368,886,580,1409,584,1218,314,615,505,990,0,0,7,20,1412,2835,0,0,0,0,0,0,96,191,96,191,6,11,3833,9490,290,..,4118,9490
SAL11534,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,..,8,22
SAL11535,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,3,..,15,23
SAL11536,2230,7366,125,330,56,128,177,456,5,3,0,0,0,0,0,0,20,35,22,38,0,0,0,0,0,0,0,0,0,0,0,0,2429,7860,66,..,2495,7860
SAL11537,1751,5519,210,402,401,933,611,1337,0,4,0,0,0,0,0,0,8,20,11,23,0,0,0,0,0,0,4,9,4,9,4,9,2380,6895,78,..,2460,6895
SAL11538,551,1628,55,92,10,21,67,116,5,6,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,5,0,5,0,0,629,1755,22,..,648,1755
SAL11539,2805,6835,142,234,13,14,154,245,158,196,0,3,0,0,0,0,4,0,162,201,15,27,19,24,0,0,17,37,44,81,4,14,3167,7375,342,..,3508,7375
SAL11540,24,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,57,8,..,30,57
SAL11541,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,..,3,12
SAL11542,55,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,153,11,..,66,153
SAL11543,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,6,..,13,20
SAL11544,29,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,73,6,..,37,73
SAL11545,25,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,78,0,..,21,78
SAL11546,36,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,116,0,..,38,116
SAL11547,747,2188,8,21,0,0,8,21,66,87,0,0,0,0,0,0,0,0,66,87,6,11,3,8,0,0,0,0,10,18,0,0,831,2312,56,..,890,2312
SAL11548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL11549,80,198,120,262,675,1605,794,1870,58,108,146,212,292,493,916,1788,0,0,1413,2608,0,0,0,0,0,0,7,15,7,15,11,22,2294,4714,322,..,2622,4714
